Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,appos,ccomp,compound,conj,discourse,dislocated,fixed,flat:name,nmod,nsubj,nsubj:pass,obj,obj:lvc,obl,obl:agent,obl:arg,obl:mod,orphan,parataxis,parataxis:parenth,reparandum,root,xcomp
pt_gsd-ud-dev,1204,0,2,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
pt_gsd-ud-test,1200,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
pt_gsd-ud-train,9616,0,18,,,,,,,,2.0,,,,,7.0,2.0,,1.0,,6.0,,,,,,,,,
fr_fqb-ud-test,2289,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
fr_gsd-ud-test,416,0,23,,,,,1.0,1.0,,,,,,,8.0,1.0,,3.0,,,1.0,3.0,4.0,1.0,,,,,
fr_gsd-ud-train,14450,0,413,,2.0,2.0,,33.0,1.0,,51.0,,,,,104.0,33.0,10.0,55.0,1.0,,2.0,44.0,46.0,10.0,4.0,,,14.0,1.0
fr_gsd-ud-dev,1476,0,40,,,,,4.0,,,3.0,,,,,11.0,3.0,,8.0,,,,4.0,6.0,1.0,,,,,
fr_rhapsodie-ud-train,1288,0,4,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,
fr_rhapsodie-ud-dev,1081,0,10,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,2.0,,,,2.0,2.0,
fr_rhapsodie-ud-test,840,0,6,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,2.0,
fr_parisstories-ud-train,1387,0,4,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,
fr_parisstories-ud-test,697,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
pt_bosque-ud-dev,1172,0,50,,,,,2.0,,,6.0,,,,,18.0,6.0,1.0,5.0,,8.0,1.0,,,,,,,2.0,1.0
pt_bosque-ud-test,1167,0,37,,,,,2.0,,,,,,,,18.0,2.0,,8.0,,3.0,1.0,,,,,,,2.0,1.0
pt_bosque-ud-train,7018,0,351,,1.0,,,12.0,2.0,,15.0,,,,,141.0,28.0,3.0,48.0,,84.0,1.0,,,,3.0,,,5.0,8.0
pcm_nsc-ud-test,972,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
ha_southernautogramm-ud-test,1918,0,376,1.0,24.0,6.0,24.0,8.0,20.0,4.0,22.0,2.0,6.0,2.0,1.0,32.0,8.0,,86.0,,15.0,,14.0,,,7.0,,1.0,83.0,10.0
ha_northernautogramm-ud-test,400,0,108,1.0,2.0,1.0,22.0,,5.0,,12.0,,1.0,,,6.0,3.0,,17.0,,3.0,,2.0,,,1.0,,,24.0,8.0
