Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,advmod:emph,amod,amod:flat,appos,case,cc,compound,conj,csubj:pass,dep,det,flat,iobj,mark,nmod,nmod:poss,nsubj,nsubj:cop,nsubj:pass,nummod,obj,obl,obl:arg,parataxis,punct,root,xcomp
de_hdt-ud-test,18459,0,590,,1.0,,,15.0,,21.0,,,,114.0,,,,,,,183.0,,61.0,,13.0,,72.0,92.0,1.0,1.0,,7.0,9.0
de_hdt-ud-train,153035,0,4922,3.0,15.0,,,69.0,,145.0,,,,886.0,1.0,,,,,,1602.0,,525.0,,135.0,,558.0,790.0,12.0,1.0,,116.0,64.0
de_hdt-ud-dev,18434,0,575,,,,,9.0,,17.0,,,,117.0,,,,,,,180.0,,66.0,,17.0,,62.0,87.0,2.0,,,7.0,11.0
pl_pdb-ud-test,2215,0,23,,,,,21.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,203,,,,,166.0,21.0,,,,,13.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,
pl_pdb-ud-dev,2215,0,33,,,,,26.0,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,16,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-train,5521,0,97,,,,,,,,,,96.0,,,,,,,,1.0,,,,,,,,,,,,
uk_iu-ud-test,898,0,29,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,20,,,,,,,,6.0,,,1.0,,,,,,,13.0,,,,,,,,,,,,
sk_snk-ud-test,1061,0,23,,,,,,,,5.0,,,,,,,,,,18.0,,,,,,,,,,,,
sk_snk-ud-train,8483,0,80,,1.0,1.0,,,,1.0,9.0,1.0,,1.0,,,,,,,47.0,,1.0,,,,1.0,8.0,,,,9.0,
et_ewt-ud-train,5444,0,18,,1.0,,,,,,,,,2.0,,,,,,,5.0,,2.0,1.0,,,1.0,1.0,,,5.0,,
et_ewt-ud-test,913,0,6,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,2.0,,,,,,
et_ewt-ud-dev,833,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
