Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,amod,appos,ccomp,compound,compound:nn,conj,conj:expl,csubj,csubj:pass,dep,dislocated,flat,flat:foreign,flat:name,flat:range,flat:redup,iobj,list,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,root,vocative,xcomp
orv_rnc-ud-dev,943,0,340,,,,,,,75.0,1.0,,,12.0,,,,,,,,,,,2.0,,56.0,,,,,,3.0,184.0,,,,4.0,1.0,2.0,,
orv_rnc-ud-train,1868,0,948,,,4.0,1.0,,,197.0,,40.0,,100.0,,1.0,,,1.0,,,,,,4.0,,164.0,,,11.0,,1.0,7.0,354.0,,,,30.0,3.0,20.0,8.0,2.0
orv_rnc-ud-test,717,0,300,,,4.0,,,,37.0,,2.0,,38.0,,,,,,,,,,,2.0,,40.0,,,1.0,,,8.0,160.0,,,,3.0,,5.0,,
la_circse-ud-test,1263,0,304,,,,1.0,1.0,88.0,2.0,1.0,,,23.0,,,,,,1.0,,,,1.0,,,59.0,,,48.0,,7.0,30.0,11.0,2.0,4.0,16.0,5.0,,2.0,1.0,1.0
sms_giellagas-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
be_hse-ud-train,22853,0,6382,,,4.0,5.0,,,429.0,5.0,1.0,,494.0,,2.0,,2.0,,6.0,,1.0,,,51.0,49.0,2709.0,,,471.0,,1.0,149.0,1690.0,4.0,,,23.0,57.0,211.0,11.0,7.0
be_hse-ud-dev,1301,0,447,,,,,,,32.0,,1.0,,48.0,,,,,,,,1.0,,,4.0,11.0,189.0,,,32.0,,1.0,10.0,80.0,,,,,10.0,28.0,,
be_hse-ud-test,1077,0,435,,,1.0,,,,122.0,,,,34.0,,,,,,,,,,,1.0,11.0,128.0,,,31.0,,2.0,9.0,64.0,,,,,12.0,17.0,1.0,2.0
cs_pud-ud-test,1000,0,402,,1.0,1.0,1.0,,2.0,9.0,,1.0,,34.0,,,,,,32.0,,,,,1.0,,180.0,,,41.0,,5.0,16.0,64.0,,10.0,,2.0,,1.0,,1.0
orv_ruthenian-ud-test,390,0,213,,,2.0,,,,25.0,,2.0,,29.0,,,,,,,,,,,,,7.0,,,1.0,,,,109.0,,,,22.0,,14.0,,2.0
orv_ruthenian-ud-train,2789,0,974,,,3.0,2.0,,,185.0,,5.0,,123.0,,,,,,,,1.0,,,1.0,,164.0,,,4.0,,,18.0,409.0,,,,42.0,,17.0,,
orv_ruthenian-ud-dev,344,0,97,,,,,,,15.0,,,,8.0,,,,,,,,,,,,,12.0,,,,,,1.0,57.0,,,,3.0,,1.0,,
vi_tuecl-ud-test,100,0,11,,,,1.0,,,,,1.0,,1.0,,,,,,2.0,,,,,,,4.0,,,,,,2.0,,,,,,,,,
hy_bsut-ud-train,1226,0,324,,1.0,,1.0,,34.0,7.0,,2.0,,36.0,,,,,,5.0,,,,,3.0,,60.0,8.0,88.0,13.0,,,1.0,60.0,,,,1.0,3.0,1.0,,
hy_bsut-ud-test,595,0,274,,1.0,,,,12.0,1.0,1.0,,,26.0,,,,,1.0,,,,3.0,,2.0,,14.0,11.0,119.0,19.0,,1.0,3.0,55.0,,,,1.0,2.0,2.0,,
hy_bsut-ud-dev,479,0,203,,,,,,23.0,,,,,10.0,,,,,,,,,,,4.0,,18.0,19.0,78.0,20.0,,,1.0,28.0,,,,,1.0,1.0,,
mdf_jr-ud-train,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,
myv_jr-ud-test,921,0,17,,,,,,,,,,5.0,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,7.0,,,,,,,,1.0
myv_jr-ud-train,1217,0,7,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,
ru_taiga-ud-train,16045,0,1216,,,1.0,8.0,,,98.0,2.0,1.0,,134.0,,1.0,,1.0,,,2.0,6.0,,,,30.0,401.0,,,63.0,,2.0,28.0,327.0,1.0,,,6.0,46.0,55.0,,3.0
ru_taiga-ud-dev,946,0,67,,,,,,,5.0,1.0,,,6.0,,,,,,,2.0,,,,,,12.0,,,7.0,,,1.0,22.0,,,,,2.0,9.0,,
ru_taiga-ud-test,881,0,107,,,1.0,,,,6.0,,,,8.0,,,,,,,,,,,,1.0,42.0,,,5.0,,,5.0,29.0,,,,1.0,4.0,4.0,1.0,
hy_armtdp-ud-train,1974,0,589,,1.0,1.0,,,10.0,5.0,,2.0,,38.0,,,,,,10.0,,,,,5.0,,116.0,32.0,216.0,35.0,,1.0,5.0,106.0,,,,,1.0,4.0,,1.0
hy_armtdp-ud-dev,249,0,75,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,11.0,1.0,45.0,3.0,,,,8.0,,,,,,,,1.0
