Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:eval,advcl:tcl,advmod,appos,aux,aux:neg,aux:opt,cc,ccomp,ccomp:obj,ccomp:quote,compound,conj,csubj,dep,dep:infl,discourse,obj,parataxis,reparandum,root,vocative,xcomp
ess_sli-ud-test,309,0,85,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,
jaa_jarawara-ud-test,20,0,6,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
gub_tudet-ud-test,1182,0,2,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
apu_ufpa-ud-test,161,0,63,,1.0,1.0,2.0,,,,,,,,5.0,,,,,14.0,1.0,,,,,,,39.0,,
mdf_jr-ud-test,454,0,86,,,1.0,8.0,,1.0,,,,4.0,,,4.0,,,,19.0,,,,,,7.0,,42.0,,
mdf_jr-ud-train,20,0,5,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,3.0,,
bor_bdt-ud-test,881,0,5,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,3.0,,
myv_jr-ud-test,921,0,200,,1.0,3.0,5.0,,,,1.0,,9.0,3.0,,2.0,,,1.0,81.0,,,,1.0,,8.0,,84.0,,1.0
myv_jr-ud-train,1217,0,211,,,1.0,8.0,1.0,,,3.0,1.0,6.0,2.0,,3.0,,,,49.0,2.0,,,,,10.0,,124.0,,1.0
quc_iu-ud-test,1435,0,606,,39.0,,25.0,,,,,,,,,28.0,,,,11.0,15.0,,,,,29.0,,449.0,,10.0
tpn_tudet-ud-test,581,0,8,,,,,,,,,,,,,,,,,,,,,,,5.0,,3.0,,
myu_tudet-ud-test,158,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
wbp_ufal-ud-test,55,0,11,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,590,,26.0,7.0,59.0,,,,,,,,,33.0,,,,120.0,13.0,,,1.0,,46.0,1.0,263.0,,21.0
ka_glc-ud-test,151,0,3,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,
azz_itml-ud-test,1260,0,795,3.0,1.0,49.0,60.0,,,,1.0,,,,,28.0,,,,119.0,14.0,5.0,,,,128.0,1.0,378.0,,8.0
eme_tudet-ud-test,913,0,8,,,,,,,2.0,,,,,,,,,,1.0,,,,,,1.0,,2.0,2.0,
ab_abnc-ud-test,263,0,12,,,,,,,,,,,,,,1.0,4.0,,4.0,,,,,,1.0,,2.0,,
