Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cond,advcl:conv,advcl:eval,advcl:quote,advcl:seq,advcl:tcl,advmod,advmod:deg,amod,appos,aux,aux:aspect,aux:imp,aux:nec,aux:neg,case,ccomp,ccomp:obj,ccomp:quote,compound,conj,cop,csubj,dep,dep:infl,discourse,nmod,nsubj,obj,obl,parataxis,reparandum,root,vocative,xcomp,xcomp:ds
ess_sli-ud-test,309,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,
jaa_jarawara-ud-test,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,
apu_ufpa-ud-test,161,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
mdf_jr-ud-test,454,0,143,,,1.0,4.0,,,,,,2.0,,,,1.0,,,,1.0,2.0,,6.0,,,,39.0,4.0,,,,,,,,,1.0,,82.0,,,
mdf_jr-ud-train,20,0,5,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,,
bor_bdt-ud-test,881,0,17,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,7.0,,,,,9.0,,,
myv_jr-ud-test,921,0,412,,,11.0,10.0,,,,,,,,,,2.0,,16.0,1.0,,13.0,,12.0,,,2.0,132.0,9.0,2.0,,,,,,,,11.0,,189.0,,2.0,
myv_jr-ud-train,1217,0,460,,,4.0,15.0,,,1.0,,,1.0,,2.0,,5.0,,20.0,,,23.0,,7.0,,,,102.0,11.0,1.0,,,,,,1.0,,9.0,,255.0,1.0,1.0,1.0
quc_iu-ud-test,1435,0,227,,9.0,,13.0,,,,,,,,,,,,,,,,,18.0,,,,2.0,,16.0,,,,,,,,12.0,,149.0,,8.0,
kpv_ikdp-ud-test,214,0,3,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
kpv_lattice-ud-test,643,0,88,,,,3.0,,,,,,,,,1.0,1.0,,,,,2.0,6.0,1.0,,,,31.0,1.0,,,,,,,,,3.0,,39.0,,,
tpn_tudet-ud-test,581,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,11.0,,2.0,
myu_tudet-ud-test,158,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
koi_uh-ud-test,94,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
nhi_itml-ud-test,909,0,644,,30.0,3.0,64.0,,,,,,,,,,5.0,2.0,,,,,,27.0,,,,127.0,18.0,19.0,,,,3.0,,,44.0,54.0,1.0,232.0,,15.0,
ka_glc-ud-test,151,0,57,,2.0,,,,,,,,,,,,,,,,,,,8.0,,,,11.0,,,,,,,,,,3.0,,33.0,,,
gn_oldtudet-ud-test,59,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
azz_itml-ud-test,1260,0,361,3.0,1.0,37.0,41.0,,,,,,,,,,2.0,1.0,,,,,,17.0,,,,42.0,2.0,6.0,5.0,,,,1.0,,,57.0,1.0,141.0,,4.0,
eme_tudet-ud-test,913,0,93,,,,1.0,,,,,,,5.0,,,1.0,,,,,,,,,,2.0,2.0,,,7.0,,1.0,,1.0,2.0,9.0,5.0,,53.0,2.0,2.0,
ab_abnc-ud-test,263,0,57,,,2.0,4.0,3.0,3.0,,2.0,1.0,,,,,,,,,,,,,1.0,3.0,,11.0,,5.0,,,,,,,,1.0,,21.0,,,
