Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,appos,aux,aux:pass,ccomp,conj,cop,cop:own,csubj,csubj:cop,dep,dislocated,fixed,nmod,nmod:gsubj,nmod:poss,nsubj,nsubj:cop,obj,obl,orphan,parataxis,root,vocative,xcomp,xcomp:ds
fi_ood-ud-test,2122,0,660,,54.0,37.0,41.0,,16.0,2.0,12.0,82,37.0,3.0,,1.0,,,,,,,1.0,1.0,,2.0,2.0,72.0,283,,14.0,
mdf_jr-ud-test,454,0,9,,1.0,,,,,,,2,,,,,,,,,,,,,1.0,,,,5,,,
fi_tdt-ud-train,12217,0,3891,4.0,1141.0,190.0,367.0,3.0,98.0,13.0,193.0,352,200.0,25.0,3.0,9.0,,1.0,,2.0,1.0,9.0,9.0,6.0,6.0,10.0,2.0,21.0,1116,,97.0,13.0
fi_tdt-ud-test,1555,0,470,1.0,132.0,20.0,49.0,,5.0,1.0,26.0,49,27.0,2.0,,1.0,,,1.0,,,,2.0,,,2.0,,2.0,136,,12.0,2.0
fi_tdt-ud-dev,1364,0,448,,156.0,20.0,39.0,,8.0,1.0,20.0,41,17.0,3.0,3.0,1.0,,,,,,2.0,1.0,1.0,,,1.0,1.0,111,,20.0,2.0
fi_pud-ud-test,1000,0,360,,99.0,25.0,24.0,,8.0,4.0,26.0,24,24.0,5.0,1.0,2.0,,,1.0,1.0,,,2.0,,,2.0,,7.0,93,,9.0,3.0
krl_kkpp-ud-test,228,0,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
fi_ftb-ud-dev,1875,0,364,,67.0,,45.0,,8.0,,20.0,33,12.0,,,2.0,2.0,,,,,,,,,,,,174,,1.0,
fi_ftb-ud-train,14981,0,2778,,548.0,,376.0,,66.0,,225.0,221,92.0,,40.0,11.0,2.0,,3.0,1.0,1.0,,,,9.0,,,,1151,1.0,31.0,
fi_ftb-ud-test,1867,0,378,,84.0,,54.0,,11.0,,30.0,35,6.0,,2.0,1.0,,,,2.0,,,,,,,,,149,,4.0,
