Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,amod,appos,ccomp,compound,conj,csubj,dep,flat,iobj,nmod,nmod:arg,obj,obl,obl:agent,obl:arg,obl:cmpr,orphan,parataxis,parataxis:insert,root,xcomp
es_gsd-ud-test,426,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,
es_gsd-ud-dev,1400,0,5,,,,,,,,,,,,,,3.0,,1.0,,,1.0,,,,,,
es_gsd-ud-train,14187,0,49,,,,3.0,1.0,,,,1.0,,,,,13.0,,5.0,19.0,,6.0,,,,,1.0,
pl_pdb-ud-test,2215,0,91,,,,,,,,,1.0,,,,2.0,13.0,3.0,,42.0,1.0,28.0,1.0,,,,,
pl_pdb-ud-train,17722,0,782,,,,,,1.0,,,9.0,1.0,,,5.0,78.0,19.0,,388.0,16.0,253.0,7.0,1.0,,2.0,1.0,1.0
pl_pdb-ud-dev,2215,0,120,,,,,,,,,,,,,1.0,13.0,2.0,,63.0,2.0,39.0,,,,,,
es_ancora-ud-train,14287,0,103,,1.0,,,,1.0,,,2.0,,1.0,,,23.0,,13.0,34.0,3.0,24.0,,,,,1.0,
es_ancora-ud-test,1721,0,14,,,,,,1.0,,,,,,,,3.0,,2.0,8.0,,,,,,,,
es_ancora-ud-dev,1654,0,22,,,,1.0,,,,,2.0,,,2.0,,2.0,,1.0,9.0,,5.0,,,,,,
cs_pud-ud-test,1000,0,57,,,1.0,,,,,,3.0,,,,,16.0,,1.0,24.0,,11.0,,,,,1.0,
es_pud-ud-test,1000,0,3,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,
cs_cltt-ud-dev,316,0,26,,,,,,,,,,,,,,1.0,,,21.0,,4.0,,,,,,
cs_cltt-ud-train,467,0,18,,,,,,,,,,,,,,2.0,,,15.0,,1.0,,,,,,
cs_cltt-ud-test,338,0,28,,,,,,,,,2.0,,,,,1.0,,,21.0,,4.0,,,,,,
cs_fictree-ud-dev,1309,0,79,,,,,,,2.0,,1.0,,,,,4.0,,,50.0,,21.0,,,,,1.0,
cs_fictree-ud-train,10160,0,698,,,4.0,2.0,,,1.0,,8.0,1.0,4.0,,,68.0,,,359.0,,230.0,,2.0,1.0,,16.0,2.0
cs_fictree-ud-test,1291,0,94,,,,,,,,,2.0,,,,,5.0,,,57.0,,27.0,,1.0,,,2.0,
ca_ancora-ud-dev,1709,0,4,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,
ca_ancora-ud-test,1846,0,3,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,
ca_ancora-ud-train,13123,0,44,,,,,,,,1.0,,,,4.0,,8.0,,4.0,16.0,,10.0,,,,,1.0,
cs_pdt-ud-test,10146,0,455,,,4.0,,,,2.0,,8.0,2.0,2.0,,,65.0,,,276.0,,88.0,,,1.0,,6.0,1.0
cs_pdt-ud-dev,9270,0,413,1.0,1.0,2.0,,,,1.0,,6.0,,,,,63.0,,,255.0,,76.0,,,,,8.0,
cs_pdt-ud-train,68491,0,3110,,1.0,28.0,5.0,,2.0,10.0,,64.0,,19.0,,,483.0,,,1813.0,,637.0,,4.0,2.0,,41.0,1.0
pl_pud-ud-test,1000,0,30,,,,,,,,,,,,,,4.0,1.0,,11.0,2.0,12.0,,,,,,
cs_cac-ud-dev,603,0,16,,,,,,,,,,,1.0,,,1.0,,,7.0,,7.0,,,,,,
cs_cac-ud-train,23478,0,1393,,1.0,19.0,2.0,,,2.0,,34.0,1.0,5.0,,,209.0,,,821.0,,279.0,,1.0,1.0,,16.0,2.0
cs_cac-ud-test,628,0,24,,,1.0,,,,,,1.0,,,,,4.0,,,11.0,,6.0,,,,,1.0,
pl_lfg-ud-test,1727,0,45,,,,,,,1.0,,,,,,,7.0,,,36.0,1.0,,,,,,,
pl_lfg-ud-train,13774,0,377,,,,,,,,,2.0,,,,,44.0,,,324.0,2.0,,,,,,5.0,
pl_lfg-ud-dev,1745,0,44,,,,,,,,,1.0,,,,,9.0,,,33.0,,,,,,,1.0,
cs_poetry-ud-test,297,0,36,,,,,,,,,,,,,,2.0,,,26.0,,7.0,,1.0,,,,
es_coser-ud-test,539,0,6,,,,1.0,,,,,,,,,,1.0,,,,,4.0,,,,,,
