Treebank,Number of Sentences,Failures,Total,acl,advcl,advcl:cmp,advmod,amod,appos,ccomp,conj,det,discourse,dislocated,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,iobj,nmod,nmod:tmod,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:pmod,orphan,parataxis,root,vocative,xcomp
ro_nonstandard-ud-test,1052,0,861,,,,,,,,,2.0,,,50.0,23.0,65.0,21.0,340.0,,137.0,5.0,,3.0,,213,1.0,,,1.0,,,,,
ro_nonstandard-ud-dev,1052,0,847,,,,,,,,,,,,70.0,24.0,35.0,19.0,315.0,,134.0,1.0,,3.0,,243,3.0,,,,,,,,
ro_nonstandard-ud-train,24121,0,28373,2.0,,,,,,2.0,,15.0,,,1384.0,87.0,208.0,72.0,11378.0,,6609.0,104.0,4.0,83.0,,8319,69.0,,,34.0,,,,,3.0
ro_simonero-ud-test,491,0,148,,,,,,,,,,,,5.0,1.0,75.0,1.0,62.0,,1.0,,,,,3,,,,,,,,,
ro_simonero-ud-train,3747,0,1223,,,,,,,,,2.0,,,77.0,17.0,575.0,34.0,436.0,,37.0,3.0,,,,42,,,,,,,,,
ro_simonero-ud-dev,443,0,119,,,,,,,,,,,,3.0,2.0,54.0,3.0,53.0,,,1.0,,,,3,,,,,,,,,
ro_tuecl-ud-test,210,0,179,,,,,,,,,,,,18.0,,1.0,17.0,54.0,,47.0,,,,,41,,,,,,,,1.0,
ro_art-ud-test,50,0,45,,,,,,,,,,,,11.0,1.0,,1.0,19.0,,5.0,,,,,8,,,,,,,,,
ro_rrt-ud-test,729,0,442,,,,,,,,,,1.0,,39.0,7.0,82.0,38.0,158.0,,55.0,3.0,,,,59,,,,,,,,,
ro_rrt-ud-train,8043,0,5243,1.0,,,,3.0,,,3.0,2.0,,,449.0,115.0,957.0,528.0,1897.0,5.0,526.0,25.0,,6.0,,723,,,,,,1.0,2.0,,
ro_rrt-ud-dev,752,0,512,,,,,1.0,,,,,,,40.0,8.0,95.0,46.0,188.0,,58.0,4.0,,,,71,1.0,,,,,,,,
got_proiel-ud-dev,985,0,358,13.0,103.0,3.0,5.0,48.0,13.0,,33.0,,,2.0,,,,,,,,22.0,,30.0,2.0,20,8.0,,7.0,,5.0,,6.0,1.0,37.0
got_proiel-ud-train,3387,0,1277,75.0,304.0,5.0,31.0,200.0,31.0,2.0,124.0,,,2.0,,,,,,,,107.0,,92.0,4.0,60,41.0,,38.0,,17.0,,39.0,4.0,101.0
got_proiel-ud-test,1029,0,351,17.0,109.0,,3.0,41.0,5.0,1.0,25.0,,,3.0,,,,,,,,26.0,,24.0,2.0,22,11.0,3.0,8.0,,9.0,,7.0,1.0,34.0
