Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:conv,advmod,amod,amod:att,appos,aux,aux:caus,case,ccomp,ccomp:obj,ccomp:obl,ccomp:purp,ccomp:quote,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:caus,csubj:cop,csubj:pass,dep,dislocated,flat,mark,nmod,nmod:part,nmod:poss,nsubj,obj,obl,obl:subj,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:lo
xcl_caval-ud-train,3185,0,194,16.0,,23.0,,,,,,,,,32.0,,,,,,,,74.0,,4.0,4.0,,2.0,,,,,,,,,,,,1.0,2.0,,,,36.0,,,
xcl_caval-ud-dev,411,0,24,,,7.0,,,,,,,,,4.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,
xcl_caval-ud-test,550,0,29,,,1.0,,,,,,,,,3.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,8.0,,,
zh_gsdsimp-ud-test,500,0,44,,,5.0,,,1.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,4.0,,,,22.0,,7.0,
zh_gsdsimp-ud-train,3997,0,403,2.0,27.0,72.0,,,1.0,,,,,1.0,38.0,,,,,2.0,,,3.0,,6.0,,,,,,,,,,,,,,,,60.0,,,,151.0,,40.0,
zh_gsdsimp-ud-dev,500,0,46,,3.0,9.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,23.0,,3.0,
hu_szeged-ud-dev,441,0,19,,,1.0,,,,1.0,,,,,,,3.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,7.0,,4.0,
hu_szeged-ud-test,449,0,13,2.0,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,
hu_szeged-ud-train,910,0,31,4.0,,6.0,,,,,,,,,,,3.0,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,12.0,,,
tr_pud-ud-test,1000,0,114,8.0,,9.0,,,,,1.0,,,,7.0,,,,,7.0,,,14.0,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,62.0,,1.0,
