Treebank,Number of Sentences,Failures,Total,advcl,advmod:deg,advmod:lmod,advmod:tmod,amod,appos,case,conj,det,flat,flat:name,nmod,nmod:obl,nummod,obl,obl:lmod,obl:tmod,orphan,parataxis,root
hu_szeged-ud-dev,441,0,13,,,,,,,,1.0,,,2.0,,1.0,,9,,,,,
hu_szeged-ud-test,449,0,12,,,,,,,,,,,,,,,12,,,,,
hu_szeged-ud-train,910,0,27,,,,,,,,1.0,,,,,2.0,,24,,,,,
et_ewt-ud-train,5444,0,29,,,,,,,,2.0,1.0,,,4.0,,,20,,,,,2.0
et_ewt-ud-test,913,0,5,,,,,,,,,,,,,,,4,,,,,1.0
et_ewt-ud-dev,833,0,6,,,,,,,,,,,,1.0,,,5,,,,,
olo_kkpp-ud-test,106,0,2,,,,,1.0,,,,,,,,,,1,,,,,
vep_vwt-ud-test,103,0,2,,,,,,,,,,,,,,,2,,,,,
kpv_ikdp-ud-test,214,0,2,,1.0,,,,,,,,,,,,,1,,,,,
kpv_lattice-ud-test,643,0,23,,3.0,1.0,3.0,,,1.0,1.0,,,,1.0,,,7,5.0,1.0,,,
et_edt-ud-dev,3128,0,50,,,,,,1.0,,1.0,,1.0,,3.0,,1.0,43,,,,,
et_edt-ud-train,24615,0,379,1.0,,,,,,,18.0,,1.0,,32.0,,4.0,309,,,5.0,4.0,5.0
et_edt-ud-test,3214,0,51,,,,,,,,2.0,,,,7.0,,,41,,,,,1.0
ab_abnc-ud-test,263,0,1,,,,,,,,,,,,,,,1,,,,,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,,1,,,,,
