Nombre d'accusatifs = 291
sl_ssj-ud-test, Nearest=Gen, Distance=0.00113, Self=0.00113, Diff=0.00000
sl_ssj-ud-dev, Nearest=Gen, Distance=0.00105, Self=0.00105, Diff=0.00000
sl_ssj-ud-train, Nearest=Gen, Distance=0.00134, Self=0.00134, Diff=0.00000
xcl_caval-ud-train, Nearest=Acc, Distance=0.00168, Self=0.00178, Diff=0.00010
xcl_caval-ud-dev, Nearest=Gen, Distance=0.00198, Self=0.00198, Diff=0.00000
xcl_caval-ud-test, Nearest=Acc, Distance=0.00140, Self=0.00254, Diff=0.00114
hu_szeged-ud-dev, Nearest=Gen, Distance=0.00438, Self=0.00438, Diff=0.00000
hu_szeged-ud-test, Nearest=Gen, Distance=0.00440, Self=0.00440, Diff=0.00000
hu_szeged-ud-train, Nearest=Gen, Distance=0.00472, Self=0.00472, Diff=0.00000
no_bokmaal-ud-dev, Nearest=Gen, Distance=0.00483, Self=0.00483, Diff=0.00000
no_bokmaal-ud-test, Nearest=Gen, Distance=0.00397, Self=0.00397, Diff=0.00000
no_bokmaal-ud-train, Nearest=Gen, Distance=0.00423, Self=0.00423, Diff=0.00000
el_gud-ud-train, Nearest=Gen, Distance=0.00261, Self=0.00261, Diff=0.00000
el_gud-ud-test, Nearest=Gen, Distance=0.00324, Self=0.00324, Diff=0.00000
tr_pud-ud-test, Nearest=Gen, Distance=0.00126, Self=0.00126, Diff=0.00000
fi_ood-ud-test, Nearest=Dat, Distance=0.00336, Self=0.00542, Diff=0.00206
de_hdt-ud-test, Nearest=Gen, Distance=0.00377, Self=0.00377, Diff=0.00000
de_hdt-ud-train, Nearest=Gen, Distance=0.00388, Self=0.00388, Diff=0.00000
de_hdt-ud-dev, Nearest=Gen, Distance=0.00421, Self=0.00421, Diff=0.00000
sga_dipsgg-ud-test, Nearest=Gen, Distance=0.00117, Self=0.00117, Diff=0.00000
sv_talbanken-ud-dev, Nearest=Gen, Distance=0.00394, Self=0.00394, Diff=0.00000
sv_talbanken-ud-test, Nearest=Gen, Distance=0.00485, Self=0.00485, Diff=0.00000
sv_talbanken-ud-train, Nearest=Gen, Distance=0.00461, Self=0.00461, Diff=0.00000
ar_nyuad-ud-train, Nearest=Acc, Distance=0.00424, Self=0.00577, Diff=0.00153
ar_nyuad-ud-dev, Nearest=Acc, Distance=0.00420, Self=0.00573, Diff=0.00152
ar_nyuad-ud-test, Nearest=Acc, Distance=0.00428, Self=0.00582, Diff=0.00154
pl_pdb-ud-test, Nearest=Dat, Distance=0.00499, Self=0.00874, Diff=0.00374
pl_pdb-ud-train, Nearest=Dat, Distance=0.00527, Self=0.00885, Diff=0.00358
pl_pdb-ud-dev, Nearest=Dat, Distance=0.00514, Self=0.00865, Diff=0.00352
uk_iu-ud-dev, Nearest=Gen, Distance=0.00075, Self=0.00075, Diff=0.00000
uk_iu-ud-train, Nearest=Acc, Distance=0.00131, Self=0.00197, Diff=0.00067
uk_iu-ud-test, Nearest=Gen, Distance=0.00106, Self=0.00106, Diff=0.00000
sa_vedic-ud-test, Nearest=Nom, Distance=0.00284, Self=0.00441, Diff=0.00157
sa_vedic-ud-train, Nearest=Nom, Distance=0.00235, Self=0.00316, Diff=0.00082
sa_vedic-ud-dev, Nearest=Nom, Distance=0.00266, Self=0.00315, Diff=0.00049
bn_bru-ud-test, Nearest=Acc, Distance=0.00353, Self=0.00525, Diff=0.00172
no_nynorsk-ud-dev, Nearest=Gen, Distance=0.00218, Self=0.00218, Diff=0.00000
no_nynorsk-ud-test, Nearest=Gen, Distance=0.00217, Self=0.00217, Diff=0.00000
no_nynorsk-ud-train, Nearest=Gen, Distance=0.00129, Self=0.00129, Diff=0.00000
hr_set-ud-dev, Nearest=Gen, Distance=0.00115, Self=0.00115, Diff=0.00000
hr_set-ud-train, Nearest=Gen, Distance=0.00107, Self=0.00107, Diff=0.00000
hr_set-ud-test, Nearest=Gen, Distance=0.00114, Self=0.00114, Diff=0.00000
orv_rnc-ud-dev, Nearest=Dat, Distance=0.00462, Self=0.00587, Diff=0.00124
orv_rnc-ud-train, Nearest=Nom, Distance=0.00396, Self=0.00470, Diff=0.00074
orv_rnc-ud-test, Nearest=Dat, Distance=0.00481, Self=0.00781, Diff=0.00301
cpg_tuecl-ud-test, Nearest=Gen, Distance=0.00361, Self=0.00361, Diff=0.00000
la_circse-ud-test, Nearest=Gen, Distance=0.00395, Self=0.00395, Diff=0.00000
is_pud-ud-test, Nearest=Nom, Distance=0.00243, Self=0.00307, Diff=0.00064
grc_perseus-ud-dev, Nearest=Acc, Distance=0.00272, Self=0.00430, Diff=0.00159
grc_perseus-ud-train, Nearest=Acc, Distance=0.00237, Self=0.00387, Diff=0.00150
grc_perseus-ud-test, Nearest=Acc, Distance=0.00218, Self=0.00371, Diff=0.00154
qpm_philotis-ud-train, Nearest=Acc, Distance=0.00225, Self=0.00367, Diff=0.00143
qpm_philotis-ud-dev, Nearest=Dat, Distance=0.00395, Self=0.00463, Diff=0.00068
qpm_philotis-ud-test, Nearest=Acc, Distance=0.00325, Self=0.00335, Diff=0.00010
tr_atis-ud-dev, Nearest=Gen, Distance=0.00249, Self=0.00249, Diff=0.00000
tr_atis-ud-train, Nearest=Gen, Distance=0.00143, Self=0.00143, Diff=0.00000
tr_atis-ud-test, Nearest=Dat, Distance=0.00328, Self=0.00412, Diff=0.00083
la_perseus-ud-test, Nearest=Gen, Distance=0.00369, Self=0.00369, Diff=0.00000
la_perseus-ud-train, Nearest=Gen, Distance=0.00399, Self=0.00399, Diff=0.00000
tr_kenet-ud-dev, Nearest=Gen, Distance=0.00295, Self=0.00295, Diff=0.00000
tr_kenet-ud-test, Nearest=Gen, Distance=0.00060, Self=0.00060, Diff=0.00000
tr_kenet-ud-train, Nearest=Gen, Distance=0.00253, Self=0.00253, Diff=0.00000
sms_giellagas-ud-test, Nearest=Dat, Distance=0.00444, Self=0.00627, Diff=0.00183
sms_giellagas-ud-train, Nearest=Acc, Distance=0.00526, Self=0.00716, Diff=0.00190
sk_snk-ud-dev, Nearest=Gen, Distance=0.00080, Self=0.00080, Diff=0.00000
sk_snk-ud-test, Nearest=Gen, Distance=0.00118, Self=0.00118, Diff=0.00000
