Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,amod,appos,aux,ccomp,compound,conj,cop,csubj,csubj:cop,dep,det,discourse,expl,fixed,flat,iobj,mark,nmod,nsubj,nsubj:cop,nsubj:outer,nummod,obj,obl,orphan,parataxis,root,vocative,xcomp,xcomp:ds
fi_ood-ud-test,2122,0,200,,,1.0,,,,,1.0,,7.0,,,,,54.0,,,3.0,,,,,13.0,7.0,,,86.0,3.0,1.0,,24.0,,,
sah_yktdt-ud-test,299,0,26,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,18.0,,,,5.0,,,
sms_giellagas-ud-test,230,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
et_ewt-ud-train,5444,0,849,2.0,,4.0,1.0,2.0,,,,,28.0,,1.0,,2.0,3.0,,,,,,,23.0,53.0,35.0,,,637.0,41.0,,2.0,14.0,,1.0,
et_ewt-ud-test,913,0,151,,,,,2.0,,,,,8.0,,,,,,,,,,,,3.0,2.0,6.0,,,122.0,5.0,,,3.0,,,
et_ewt-ud-dev,833,0,105,,,,,,,,,,5.0,,,,,1.0,,,,,,,3.0,8.0,6.0,,,75.0,,,,6.0,,1.0,
olo_kkpp-ud-test,106,0,12,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,9.0,,1.0,,,,,
olo_kkpp-ud-train,19,0,2,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
vep_vwt-ud-test,103,0,14,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,9.0,,,,,,,
fi_tdt-ud-train,12217,0,1566,,3.0,19.0,2.0,1.0,7.0,,10.0,,27.0,,,,,485.0,2.0,,1.0,,,,10.0,86.0,33.0,,,801.0,51.0,,1.0,25.0,,1.0,1.0
fi_tdt-ud-test,1555,0,224,,,1.0,,2.0,,,,,4.0,,,,,67.0,,,1.0,,,,2.0,6.0,7.0,,,129.0,1.0,1.0,,3.0,,,
fi_tdt-ud-dev,1364,0,192,,,1.0,,,,,4.0,,1.0,,,,,76.0,,,,,,,,6.0,5.0,,,91.0,3.0,1.0,,4.0,,,
ru_taiga-ud-train,16045,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ru_taiga-ud-dev,946,0,3,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,127,,,,,,,,1.0,,2.0,,,,,33.0,,,,,,,1.0,9.0,4.0,,,69.0,6.0,,,2.0,,,
et_edt-ud-dev,3128,0,329,,,2.0,,,,,2.0,,8.0,,,1.0,,,,,,,,,3.0,15.0,15.0,,,265.0,13.0,,3.0,2.0,,,
et_edt-ud-train,24615,0,2662,2.0,2.0,8.0,,10.0,1.0,,10.0,,68.0,,,,,2.0,,,,,,,59.0,152.0,95.0,,,2023.0,169.0,4.0,4.0,53.0,,,
et_edt-ud-test,3214,0,360,1.0,,3.0,,5.0,,,,,6.0,,,,,,,,,,,,3.0,19.0,11.0,,,282.0,22.0,,1.0,7.0,,,
ru_syntagrus-ud-train,69630,0,147,,,,,,1.0,,,,6.0,,,,,,,,29.0,,,,10.0,22.0,,,,1.0,73.0,1.0,2.0,2.0,,,
ru_syntagrus-ud-dev,8906,0,20,,,,,,,,,,,,,,,,,,2.0,,,,3.0,1.0,,,,,14.0,,,,,,
ru_syntagrus-ud-test,8800,0,9,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,7.0,,,,,,
ru_poetry-ud-dev,789,0,5,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,2.0,,,,,,
ru_poetry-ud-train,3569,0,11,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,5.0,,1.0,1.0,,,
krl_kkpp-ud-test,228,0,40,,1.0,,,,,,,,1.0,,,,,6.0,,,1.0,,,,4.0,,1.0,,,24.0,1.0,,1.0,,,,
eu_bdt-ud-train,5396,0,420,4.0,,34.0,2.0,48.0,1.0,,3.0,4.0,16.0,5.0,3.0,,,3.0,,,,,1.0,,9.0,61.0,,,,179.0,21.0,1.0,,16.0,,9.0,
eu_bdt-ud-test,1799,0,162,2.0,,15.0,,16.0,,,1.0,,7.0,2.0,1.0,,,3.0,,,,,,,4.0,18.0,,1.0,,64.0,9.0,,,10.0,1.0,8.0,
eu_bdt-ud-dev,1798,0,135,1.0,,10.0,1.0,10.0,,1.0,3.0,1.0,5.0,,,,,1.0,,,,1.0,,,3.0,19.0,,,,51.0,7.0,2.0,,13.0,,6.0,
fi_ftb-ud-dev,1875,0,175,1.0,,4.0,,,,,,,4.0,,,,1.0,,,4.0,3.0,,,1.0,19.0,17.0,3.0,,,113.0,,,,4.0,,1.0,
fi_ftb-ud-train,14981,0,1288,2.0,,21.0,,,,,5.0,,34.0,,,,3.0,,,54.0,17.0,,,3.0,125.0,120.0,11.0,,,844.0,,,,38.0,,11.0,
fi_ftb-ud-test,1867,0,174,1.0,,1.0,,,,,,,2.0,,,,,,,3.0,2.0,,,,12.0,12.0,2.0,,,132.0,,,,6.0,,1.0,
ru_gsd-ud-dev,579,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ru_gsd-ud-train,3850,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
