,Treebank,fi_ood-ud-test_Case=Abe,sms_giellagas-ud-test_Case=Abe,sms_giellagas-ud-train_Case=Abe,et_ewt-ud-train_Case=Abe,et_ewt-ud-test_Case=Abe,et_ewt-ud-dev_Case=Abe,gub_tudet-ud-test_Case=Abe,olo_kkpp-ud-test_Case=Abe,olo_kkpp-ud-train_Case=Abe,mdf_jr-ud-test_Case=Abe,fi_tdt-ud-train_Case=Abe,fi_tdt-ud-test_Case=Abe,fi_tdt-ud-dev_Case=Abe,myv_jr-ud-test_Case=Abe,myv_jr-ud-train_Case=Abe,kpv_ikdp-ud-test_Case=Abe,kpv_lattice-ud-test_Case=Abe,fi_pud-ud-test_Case=Abe,et_edt-ud-dev_Case=Abe,et_edt-ud-train_Case=Abe,et_edt-ud-test_Case=Abe,koi_uh-ud-test_Case=Abe,sme_giella-ud-train_Case=Abe,sme_giella-ud-test_Case=Abe,arr_tudet-ud-test_Case=Abe,krl_kkpp-ud-test_Case=Abe,fi_ftb-ud-dev_Case=Abe,fi_ftb-ud-train_Case=Abe,fi_ftb-ud-test_Case=Abe,ab_abnc-ud-test_Case=Abe
0,hu_szeged-ud-dev_Case=All,5.485048413771755,0.3201992971410781,1.29172958692549,3.5746339455788645,9.555630526537795,1.29172958692549,1.2395522796722145,1.29172958692549,1.29172958692549,0.5652510256205753,10.882306399812837,7.875725737465497,2.2124602640676554,0.49285388136871416,0.5564977089051761,0.3201992971410781,1.4376676169726217,1.2395522796722145,2.618878715479379,3.613700160908352,3.1758492023279974,0.9608758020008479,1.29172958692549,1.29172958692549,0.3201992971410781,1.2395522796722145,1.29172958692549,1.29172958692549,1.29172958692549,0.3201992971410781
1,hu_szeged-ud-test_Case=All,5.546367118088811,0.2525381361380526,1.2216165268919335,3.631596351949382,9.60862530605231,1.2216165268919335,1.2787509849977254,1.2216165268919335,1.2216165268919335,0.560156683619933,10.944950895887049,7.936771821009818,2.271346209947347,0.5353808486126719,0.5646924393157821,0.2525381361380526,1.4881428563809769,1.2787509849977257,2.6755509130522244,3.6734003268371964,3.2246855565737738,1.0313949341566895,1.2216165268919335,1.2216165268919335,0.2525381361380526,1.2787509849977257,1.2216165268919335,1.2216165268919335,1.2216165268919335,0.2525381361380526
2,hu_szeged-ud-train_Case=All,5.533078568821652,0.2554424522554568,1.2334468765583195,3.623047796567166,9.602374796039118,1.2334468765583195,1.2685071917561557,1.2334468765583195,1.2334468765583195,0.5806726022258023,10.931614353190572,7.923670178145246,2.257097829624616,0.5211205579210684,0.5789744918729656,0.2554424522554568,1.4870943738793572,1.2685071917561557,2.6676315326357676,3.663864808350957,3.2199196302643407,1.010639004438021,1.2334468765583195,1.2334468765583195,0.2554424522554568,1.2685071917561557,1.2334468765583195,1.2334468765583195,1.2334468765583195,0.2554424522554568
3,fi_ood-ud-test_Case=All,5.321504421975669,0.5188594036020282,1.4885496183206106,3.382374930292676,9.353912453355118,1.4885496183206106,1.150065300411272,1.4885496183206106,1.4885496183206106,0.35776208108245766,10.716240541753903,7.714498680398264,2.07481047095282,0.40744198830756706,0.3326009617530661,0.5188594036020282,1.2076251167151792,1.143408509517727,2.413094934416828,3.4120495904498185,2.982317065757136,0.8638948531780206,1.4885496183206106,1.4885496183206106,0.5188594036020282,1.143408509517727,1.4885496183206106,1.4885496183206106,1.4885496183206106,0.5188594036020282
4,ess_sli-ud-test_Case=All,37.10645346686866,40.66939881532551,41.43669871020132,38.235871369833205,35.11884584284247,41.43669871020132,39.92492955535426,41.43669871020132,41.43669871020132,40.29267923581156,34.25658898502431,35.86084215408221,39.191835884530846,40.215419928181774,40.23806706113412,40.66939881532551,39.541820336898446,39.92492955535426,38.77913082644222,38.14224356014802,38.56650100799916,39.91866731242415,41.43669871020132,41.43669871020132,40.66939881532551,39.92492955535426,41.43669871020132,41.43669871020132,41.43669871020132,40.66939881532551
5,hit_hittb-ud-test_Case=All,5.734883511361751,0.0,1.0,3.8273392947447844,9.797958971132713,1.0,1.4142135623730951,1.0,1.0,0.7071067811865476,11.136152337719203,8.12403840463596,2.449489742783178,0.692820323027551,0.7284313590846835,0.0,1.699673171197595,1.4142135623730951,2.874966451763469,3.8746047519032274,3.409545424246464,1.224744871391589,1.0,1.0,0.0,1.4142135623730951,1.0,1.0,1.0,0.0
6,et_ewt-ud-train_Case=All,5.3924170324217,0.4135739305083116,1.3930450983353315,3.4688775042887094,9.442766282327588,1.3930450983353315,1.183854782478026,1.3930450983353315,1.3930450983353315,0.44320877811263365,10.792070535886598,7.790164850373585,2.1418940362825514,0.401496757142687,0.4114481370300289,0.4135739305083116,1.3184527680397387,1.1788949893845906,2.503611934183041,3.500716888258731,3.0695706701623755,0.9255216210311317,1.3930450983353315,1.3930450983353315,0.4135739305083116,1.1788949893845906,1.3930450983353315,1.3930450983353315,1.3930450983353315,0.4135739305083116
7,et_ewt-ud-test_Case=All,5.339987222070508,0.48805270012001417,1.4619432297123496,3.415823274840624,9.38635386415678,1.4619432297123496,1.1572004447316364,1.4619432297123496,1.4619432297123496,0.4927297373385731,10.735267491731737,7.731719074162238,2.0867207262029033,0.41401261728206845,0.46163459948102364,0.48805270012001417,1.2857208914750409,1.149245076314833,2.4463787991663795,3.4395116403327077,3.025637096838311,0.8645054945002038,1.4619432297123496,1.4619432297123496,0.48805270012001417,1.149245076314833,1.4619432297123496,1.4619432297123496,1.4619432297123496,0.48805270012001417
8,et_ewt-ud-dev_Case=All,5.397128818808098,0.41099049492265494,1.3878741802897074,3.4742378688470597,9.449267394207892,1.3878741802897074,1.1881210517109404,1.3878741802897074,1.3878741802897074,0.45043730911308916,10.796287543851697,7.793698013196132,2.1438511265794986,0.41848151589978083,0.42193306608816045,0.41099049492265494,1.3254550924189208,1.179921250673347,2.511169885958746,3.508382518720068,3.073963726647081,0.9290252656404573,1.3878741802897074,1.3878741802897074,0.41099049492265494,1.179921250673347,1.3878741802897074,1.3878741802897074,1.3878741802897074,0.41099049492265494
9,ml_ufal-ud-test_Case=All,4.109609335312651,3.7416573867739413,4.58257569495584,2.522461454885529,7.302967433402215,4.58257569495584,2.8284271247461903,4.58257569495584,4.58257569495584,3.082207001484488,8.917056066263623,6.164414002968976,2.82842712474619,3.298484500494128,3.0639443699324596,3.7416573867739413,2.2852182001336816,3.1622776601683795,2.2208328990340758,2.4778689857907743,2.3717082451262845,3.082207001484488,4.58257569495584,4.58257569495584,3.7416573867739413,3.1622776601683795,4.58257569495584,4.58257569495584,4.58257569495584,3.7416573867739413
10,egy_ujaen-ud-test_Case=All,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
