,Treebank,fi_ood-ud-test_Case=Abe,sms_giellagas-ud-test_Case=Abe,sms_giellagas-ud-train_Case=Abe,et_ewt-ud-train_Case=Abe,et_ewt-ud-test_Case=Abe,et_ewt-ud-dev_Case=Abe,gub_tudet-ud-test_Case=Abe,olo_kkpp-ud-test_Case=Abe,olo_kkpp-ud-train_Case=Abe,mdf_jr-ud-test_Case=Abe,fi_tdt-ud-train_Case=Abe,fi_tdt-ud-test_Case=Abe,fi_tdt-ud-dev_Case=Abe,myv_jr-ud-test_Case=Abe,myv_jr-ud-train_Case=Abe,kpv_ikdp-ud-test_Case=Abe,kpv_lattice-ud-test_Case=Abe,fi_pud-ud-test_Case=Abe,et_edt-ud-dev_Case=Abe,et_edt-ud-train_Case=Abe,et_edt-ud-test_Case=Abe,koi_uh-ud-test_Case=Abe,sme_giella-ud-train_Case=Abe,sme_giella-ud-test_Case=Abe,arr_tudet-ud-test_Case=Abe,krl_kkpp-ud-test_Case=Abe,fi_ftb-ud-dev_Case=Abe,fi_ftb-ud-train_Case=Abe,fi_ftb-ud-test_Case=Abe,ab_abnc-ud-test_Case=Abe
0,sl_ssj-ud-test_Case=Dat,4.091290153370965,2.2850533621933233,3.237354116223063,2.27611902049513,7.99540523296312,3.237354116223063,1.4538071395499004,3.237354116223063,3.237354116223063,1.8452431020006776,9.356468951168392,6.427114422765695,1.6236800711921662,1.772905944142567,1.776509656613182,2.2850533621933233,1.1844508027782774,1.721184493979543,1.4260657617250687,2.177570599580983,2.06879726060363,1.5368007801452939,3.237354116223063,3.237354116223063,2.2850533621933233,1.721184493979543,3.237354116223063,3.237354116223063,3.237354116223063,2.2850533621933233
1,sl_ssj-ud-dev_Case=Dat,3.829255076962678,2.75214562760686,3.702382866329317,2.097006153366326,7.64103505205065,3.702382866329317,1.776974644976368,3.702382866329317,3.702382866329317,2.276540992138927,9.013377403738414,6.118902860989234,1.7863292591855013,2.230315124720172,2.212015605403532,2.75214562760686,1.4951309864579314,2.1034033268861103,1.4006997810177633,1.9619998207447387,1.9733467060357697,1.9491807395815186,3.702382866329317,3.702382866329317,2.75214562760686,2.1034033268861103,3.702382866329317,3.702382866329317,3.702382866329317,2.75214562760686
2,sl_ssj-ud-train_Case=Dat,4.146510031067383,2.1601796065306087,3.1179361720571244,2.313100267610288,8.084156646965484,3.1179361720571244,1.3356553760782486,3.1179361720571244,3.1179361720571244,1.7219873665214214,9.431477662810037,6.492533707062053,1.5733764766351301,1.6467130436489574,1.6522211996876084,2.1601796065306087,1.0765414486817138,1.615928801624389,1.4405798236218441,2.2356398630220577,2.0827646960677204,1.4108091368823774,3.1179361720571244,3.1179361720571244,2.1601796065306087,1.615928801624389,3.1179361720571244,3.1179361720571244,3.1179361720571244,2.1601796065306087
3,xcl_caval-ud-train_Case=Dat,5.526954574102952,0.2535032568519937,1.239102502759832,3.615988383404195,9.592263714081982,1.239102502759832,1.262201564776188,1.239102502759832,1.239102502759832,0.5584079662667104,10.926078428565324,7.918377886011694,2.2553239508897143,0.507627938018378,0.556479826162798,0.2535032568519937,1.4810297385332116,1.2600870830185202,2.659456400409492,3.6571327326335283,3.20857142166124,1.0244985283385726,1.239102502759832,1.239102502759832,0.2535032568519937,1.2600870830185202,1.239102502759832,1.239102502759832,1.239102502759832,0.2535032568519937
4,xcl_caval-ud-dev_Case=Dat,5.587260208103815,0.1774437795360273,1.1651494545412489,3.6772469154476854,9.650165241769011,1.1651494545412489,1.3059093913339819,1.1651494545412489,1.1651494545412489,0.5979742899304027,10.987562723555882,7.978842088768566,2.3115104364450922,0.5581095724819906,0.6027775508583859,0.1774437795360273,1.5510907227373036,1.2975593273293937,2.721658619305197,3.720188068701553,3.265467772487871,1.0929454575398079,1.1651494545412489,1.1651494545412489,0.1774437795360273,1.2975593273293937,1.1651494545412489,1.1651494545412489,1.1651494545412489,0.1774437795360273
5,xcl_caval-ud-test_Case=Dat,5.541716525798143,0.24363276830424319,1.2227021265001647,3.628974749401069,9.607131761778218,1.2227021265001647,1.2742501172984657,1.2227021265001647,1.2227021265001647,0.5758768562065689,10.94034883417162,7.932259644288344,2.264655350485954,0.5272293496930228,0.5766657854557445,0.24363276830424319,1.4906955448446715,1.2742501172984655,2.6721752558008496,3.6687065374785086,3.2256245837813426,1.01715507693963,1.2227021265001647,1.2227021265001647,0.24363276830424319,1.2742501172984655,1.2227021265001647,1.2227021265001647,1.2227021265001647,0.24363276830424319
6,hu_szeged-ud-dev_Case=Dat,4.52832856992381,2.374008923181827,3.1993621813334823,2.8744870389273722,8.462675153182907,3.1993621813334823,2.0089595235710793,3.1993621813334823,3.1993621813334823,2.0822868119802656,9.72122359626692,6.812293808899871,2.101635255770925,1.98894906102367,2.0271624885790582,2.374008923181827,1.762316554194566,2.0089595235710798,2.164596371206271,2.861234378550599,2.6281832011439974,1.8727912160130158,3.1993621813334823,3.1993621813334823,2.374008923181827,2.0089595235710798,3.1993621813334823,3.1993621813334823,3.1993621813334823,2.374008923181827
7,hu_szeged-ud-test_Case=Dat,4.3711069494715895,5.356666645500764,6.174337938564088,3.8829238346468933,7.366498905344994,6.174337938564088,4.703450752329808,6.174337938564088,6.174337938564088,4.997958767010258,8.360516887751945,5.932442797956033,4.206409104095845,4.907969362710623,4.940461847368738,5.356666645500764,4.33281001549635,4.718612732832498,3.9115955173120445,3.7938703880739615,4.00525802374013,4.634608056430952,6.174337938564088,6.174337938564088,5.356666645500764,4.718612732832498,6.174337938564088,6.174337938564088,6.174337938564088,5.356666645500764
8,hu_szeged-ud-train_Case=Dat,4.54436121153036,2.209383975460221,3.045362818101901,2.844789763442272,8.508424196813719,3.045362818101901,1.8677581235704117,3.045362818101901,3.045362818101901,1.9196220929109555,9.772990221446081,6.849605232181975,2.0001062896926323,1.8216806548248972,1.8622868320690988,2.209383975460221,1.6209285292856543,1.8581727913326522,2.095437250034813,2.836641841524743,2.5846633618089516,1.707949600174049,3.045362818101901,3.045362818101901,2.209383975460221,1.8581727913326522,3.045362818101901,3.045362818101901,3.045362818101901,2.209383975460221
9,xav_xdt-ud-test_Case=Dat,5.4784933046312005,0.3535533905932738,1.3133925536563698,3.5660038165928323,9.537207837377423,1.3133925536563698,1.2349089035228469,1.3133925536563698,1.3133925536563698,0.5244044240850758,10.876069551491884,7.869243928103893,2.2192341021172144,0.49497474683058335,0.5195170441705195,0.3535533905932738,1.4191155304938665,1.2349089035228469,2.609041733171798,3.6071038725142692,3.1553525951943944,1.0124228365658292,1.3133925536563698,1.3133925536563698,0.3535533905932738,1.2349089035228469,1.3133925536563698,1.3133925536563698,1.3133925536563698,0.3535533905932738
