,Treebank,fi_ood-ud-test_Case=Abe,sms_giellagas-ud-test_Case=Abe,sms_giellagas-ud-train_Case=Abe,et_ewt-ud-train_Case=Abe,et_ewt-ud-test_Case=Abe,et_ewt-ud-dev_Case=Abe,gub_tudet-ud-test_Case=Abe,olo_kkpp-ud-test_Case=Abe,olo_kkpp-ud-train_Case=Abe,mdf_jr-ud-test_Case=Abe,fi_tdt-ud-train_Case=Abe,fi_tdt-ud-test_Case=Abe,fi_tdt-ud-dev_Case=Abe,myv_jr-ud-test_Case=Abe,myv_jr-ud-train_Case=Abe,kpv_ikdp-ud-test_Case=Abe,kpv_lattice-ud-test_Case=Abe,fi_pud-ud-test_Case=Abe,et_edt-ud-dev_Case=Abe,et_edt-ud-train_Case=Abe,et_edt-ud-test_Case=Abe,koi_uh-ud-test_Case=Abe,sme_giella-ud-train_Case=Abe,sme_giella-ud-test_Case=Abe,arr_tudet-ud-test_Case=Abe,krl_kkpp-ud-test_Case=Abe,fi_ftb-ud-dev_Case=Abe,fi_ftb-ud-train_Case=Abe,fi_ftb-ud-test_Case=Abe,ab_abnc-ud-test_Case=Abe
0,hu_szeged-ud-dev_Case=Ess,4.819767497520885,1.6547190813232433,2.49284690951645,3.0099984556387804,8.827716093564145,2.49284690951645,1.503963018795596,2.49284690951645,2.49284690951645,1.3972762620115438,10.127853311458095,7.168050807643064,1.9416079083690583,1.3161994348809578,1.346449096723685,1.6547190813232433,1.3481321587516253,1.503963018795596,2.1481709540843763,3.020637398821544,2.6787301540273214,1.318368399991155,2.49284690951645,2.49284690951645,1.6547190813232433,1.503963018795596,2.49284690951645,2.49284690951645,2.49284690951645,1.6547190813232433
1,hu_szeged-ud-test_Case=Ess,5.09599406941919,1.0647065323364933,1.9322525714823102,3.222426234842664,9.146963066140223,1.9322525714823102,1.2383860464330176,1.9322525714823102,1.9322525714823102,0.8908422980528035,10.463626947138783,7.478876921035671,1.983330532210907,0.7984985911070851,0.8391735487358734,1.0647065323364933,1.2473260288401833,1.2383860464330176,2.293742426905788,3.249276588274294,2.84668227942635,1.0166612021711068,1.9322525714823102,1.9322525714823102,1.0647065323364933,1.2383860464330176,1.9322525714823102,1.9322525714823102,1.9322525714823102,1.0647065323364933
2,hu_szeged-ud-train_Case=Ess,5.303376960543098,0.6810352803144473,1.5829800566512728,3.405485153062559,9.365228589416523,1.5829800566512728,1.1923893014910394,1.5829800566512728,1.5829800566512728,0.6526821025449968,10.690192652629102,7.689452165092872,2.088772059583938,0.564445718381639,0.6201430160502552,0.6810352803144473,1.3219893816196648,1.1923893014910394,2.4563447587490423,3.4401318315101594,3.0107556176427592,0.9468802259402588,1.5829800566512728,1.5829800566512728,0.6810352803144473,1.1923893014910394,1.5829800566512728,1.5829800566512728,1.5829800566512728,0.6810352803144473
3,fi_ood-ud-test_Case=Ess,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
4,sms_giellagas-ud-test_Case=Ess,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
5,et_ewt-ud-train_Case=Ess,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
6,et_ewt-ud-test_Case=Ess,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
7,et_ewt-ud-dev_Case=Ess,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
8,egy_ujaen-ud-test_Case=Ess,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
9,olo_kkpp-ud-test_Case=Ess,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
