,Treebank,fi_ood-ud-test_Case=Abe,sms_giellagas-ud-test_Case=Abe,sms_giellagas-ud-train_Case=Abe,et_ewt-ud-train_Case=Abe,et_ewt-ud-test_Case=Abe,et_ewt-ud-dev_Case=Abe,gub_tudet-ud-test_Case=Abe,olo_kkpp-ud-test_Case=Abe,olo_kkpp-ud-train_Case=Abe,mdf_jr-ud-test_Case=Abe,fi_tdt-ud-train_Case=Abe,fi_tdt-ud-test_Case=Abe,fi_tdt-ud-dev_Case=Abe,myv_jr-ud-test_Case=Abe,myv_jr-ud-train_Case=Abe,kpv_ikdp-ud-test_Case=Abe,kpv_lattice-ud-test_Case=Abe,fi_pud-ud-test_Case=Abe,et_edt-ud-dev_Case=Abe,et_edt-ud-train_Case=Abe,et_edt-ud-test_Case=Abe,koi_uh-ud-test_Case=Abe,sme_giella-ud-train_Case=Abe,sme_giella-ud-test_Case=Abe,arr_tudet-ud-test_Case=Abe,krl_kkpp-ud-test_Case=Abe,fi_ftb-ud-dev_Case=Abe,fi_ftb-ud-train_Case=Abe,fi_ftb-ud-test_Case=Abe,ab_abnc-ud-test_Case=Abe
0,egy_ujaen-ud-test_Case=Lat,5.734883511361751,0.0,1.0,3.8273392947447844,9.797958971132713,1.0,1.4142135623730951,1.0,1.0,0.7071067811865476,11.136152337719203,8.12403840463596,2.449489742783178,0.692820323027551,0.7284313590846835,0.0,1.699673171197595,1.4142135623730951,2.874966451763469,3.8746047519032274,3.409545424246464,1.224744871391589,1.0,1.0,0.0,1.4142135623730951,1.0,1.0,1.0,0.0
1,mdf_jr-ud-test_Case=Lat,29.76108570301531,33.81567683782183,34.677081768799404,31.036168645184535,27.431733448690405,34.677081768799404,32.977264895682296,34.677081768799404,34.677081768799404,33.384127965247195,26.4609250699131,28.32843094843059,32.13772445792224,33.30435406970086,33.323552986941074,33.81567683782183,32.52776591706777,32.977264895682296,31.65594360356517,30.92151087367407,31.424512724941337,32.95451410656816,34.677081768799404,34.677081768799404,33.81567683782183,32.977264895682296,34.677081768799404,34.677081768799404,34.677081768799404,33.81567683782183
2,myv_jr-ud-test_Case=Lat,5.924378050063438,8.85045640136127,9.717071966559976,6.494810835810186,6.899514894912827,9.717071966559976,8.077107738633156,9.717071966559976,9.717071966559976,8.443051815957435,7.344070839268551,6.154350742186478,7.333834192763165,8.349830502560373,8.379250569588189,8.85045640136127,7.644055769904272,8.06584473193412,6.907034220435948,6.382646928836172,6.799975692712996,8.03479005573073,9.717071966559976,9.717071966559976,8.85045640136127,8.06584473193412,9.717071966559976,9.717071966559976,9.717071966559976,8.85045640136127
3,myv_jr-ud-train_Case=Lat,7.58290571857667,10.89923797472796,11.769480071652476,8.40044377591986,7.600202984095164,11.769480071652476,10.102777623133122,11.769480071652476,11.769480071652476,10.484739008011392,7.685366164095027,7.272159068712754,9.326049893259754,10.39408604896979,10.422221546932848,10.89923797472796,9.667996488751934,10.093775186750552,8.882409828807795,8.287259962493659,8.732006292044087,10.068976984811375,11.769480071652476,11.769480071652476,10.89923797472796,10.093775186750552,11.769480071652476,11.769480071652476,11.769480071652476,10.89923797472796
4,sjo_xdt-ud-test_Case=Lat,5.575320743140155,0.2651650429449553,1.202211503854459,3.6699916317476124,9.640814929247425,1.202211503854459,1.3020416659999787,1.202211503854459,1.202211503854459,0.6187184335382291,10.973966985046424,7.965256587204206,2.3065802609057418,0.5703617273274918,0.6218030480885767,0.2651650429449553,1.5481283502632748,1.3020416659999787,2.7161390364692486,3.7131415187165335,3.2584025994342687,1.0933034802834938,1.202211503854459,1.202211503854459,0.2651650429449553,1.3020416659999787,1.202211503854459,1.202211503854459,1.202211503854459,0.2651650429449553
5,eu_bdt-ud-train_Case=Lat,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
6,eu_bdt-ud-test_Case=Lat,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
7,eu_bdt-ud-dev_Case=Lat,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
8,fi_ftb-ud-dev_Case=Lat,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
9,fi_ftb-ud-train_Case=Lat,6.6248689714505975,1.0,0.0,4.723895928549249,10.661457061146319,0.0,2.23606797749979,0.0,0.0,1.5811388300841898,12.021392967908872,9.0,3.3166247903554,1.6370705543744901,1.6350747346085137,1.0,2.6246692913372702,2.23606797749979,3.7916412290559007,4.787656304765619,4.286607049870562,2.1213203435596424,0.0,0.0,1.0,2.23606797749979,0.0,0.0,0.0,1.0
