,Treebank,xcl_caval-ud-train_Case=Abl,xcl_caval-ud-dev_Case=Abl,xcl_caval-ud-test_Case=Abl,hu_szeged-ud-dev_Case=Abl,hu_szeged-ud-test_Case=Abl,hu_szeged-ud-train_Case=Abl,tr_pud-ud-test_Case=Abl,fi_ood-ud-test_Case=Abl,sah_yktdt-ud-test_Case=Abl,sa_vedic-ud-test_Case=Abl,sa_vedic-ud-train_Case=Abl,sa_vedic-ud-dev_Case=Abl,la_circse-ud-test_Case=Abl,tr_atis-ud-dev_Case=Abl,tr_atis-ud-train_Case=Abl,tr_atis-ud-test_Case=Abl,hi_pud-ud-test_Case=Abl,la_perseus-ud-test_Case=Abl,la_perseus-ud-train_Case=Abl,tr_kenet-ud-dev_Case=Abl,tr_kenet-ud-test_Case=Abl,tr_kenet-ud-train_Case=Abl,ess_sli-ud-test_Case=Abl,ky_tuecl-ud-test_Case=Abl,hit_hittb-ud-test_Case=Abl,sa_ufal-ud-test_Case=Abl,et_ewt-ud-train_Case=Abl,et_ewt-ud-test_Case=Abl,et_ewt-ud-dev_Case=Abl,gub_tudet-ud-test_Case=Abl,ml_ufal-ud-test_Case=Abl,egy_ujaen-ud-test_Case=Abl,sq_tsa-ud-test_Case=Abl,mr_ufal-ud-train_Case=Abl,si_stb-ud-test_Case=Abl,olo_kkpp-ud-test_Case=Abl,olo_kkpp-ud-train_Case=Abl,hy_bsut-ud-train_Case=Abl,hy_bsut-ud-test_Case=Abl,hy_bsut-ud-dev_Case=Abl,mdf_jr-ud-test_Case=Abl,mdf_jr-ud-train_Case=Abl,vep_vwt-ud-test_Case=Abl,la_llct-ud-dev_Case=Abl,la_llct-ud-test_Case=Abl,la_llct-ud-train_Case=Abl,fi_tdt-ud-train_Case=Abl,fi_tdt-ud-test_Case=Abl,fi_tdt-ud-dev_Case=Abl,myv_jr-ud-test_Case=Abl,myv_jr-ud-train_Case=Abl,tr_framenet-ud-test_Case=Abl,tr_framenet-ud-train_Case=Abl,tr_framenet-ud-dev_Case=Abl,ky_ktmu-ud-train_Case=Abl,ky_ktmu-ud-test_Case=Abl,la_proiel-ud-test_Case=Abl,la_proiel-ud-dev_Case=Abl,la_proiel-ud-train_Case=Abl,kpv_ikdp-ud-test_Case=Abl,kpv_lattice-ud-test_Case=Abl,tt_nmctt-ud-test_Case=Abl,tr_gb-ud-test_Case=Abl,fi_pud-ud-test_Case=Abl,hy_armtdp-ud-train_Case=Abl,hy_armtdp-ud-dev_Case=Abl,hy_armtdp-ud-test_Case=Abl,ota_boun-ud-train_Case=Abl,ota_boun-ud-test_Case=Abl,et_edt-ud-dev_Case=Abl,et_edt-ud-train_Case=Abl,et_edt-ud-test_Case=Abl,sjo_xdt-ud-test_Case=Abl,la_udante-ud-train_Case=Abl,la_udante-ud-test_Case=Abl,la_udante-ud-dev_Case=Abl,hyw_armtdp-ud-test_Case=Abl,hyw_armtdp-ud-dev_Case=Abl,hyw_armtdp-ud-train_Case=Abl,arr_tudet-ud-test_Case=Abl,aln_gps-ud-test_Case=Abl,kk_ktb-ud-test_Case=Abl,kk_ktb-ud-train_Case=Abl,gn_oldtudet-ud-test_Case=Abl,ta_mwtt-ud-test_Case=Abl,ota_dudu-ud-test_Case=Abl,ug_udt-ud-test_Case=Abl,ug_udt-ud-dev_Case=Abl,ug_udt-ud-train_Case=Abl,xum_ikuvina-ud-test_Case=Abl,la_ittb-ud-dev_Case=Abl,la_ittb-ud-test_Case=Abl,la_ittb-ud-train_Case=Abl,qtd_sagt-ud-test_Case=Abl,qtd_sagt-ud-dev_Case=Abl,qtd_sagt-ud-train_Case=Abl,krl_kkpp-ud-test_Case=Abl,eu_bdt-ud-train_Case=Abl,eu_bdt-ud-test_Case=Abl,eu_bdt-ud-dev_Case=Abl,fi_ftb-ud-dev_Case=Abl,fi_ftb-ud-train_Case=Abl,fi_ftb-ud-test_Case=Abl,eme_tudet-ud-test_Case=Abl,tr_tourism-ud-train_Case=Abl,tr_tourism-ud-dev_Case=Abl,tr_tourism-ud-test_Case=Abl,aqz_tudet-ud-test_Case=Abl,tr_imst-ud-train_Case=Abl,tr_imst-ud-dev_Case=Abl,tr_imst-ud-test_Case=Abl,gu_gujtb-ud-test_Case=Abl,bxr_bdt-ud-train_Case=Abl,bxr_bdt-ud-test_Case=Abl,bej_nsc-ud-test_Case=Abl,tr_boun-ud-dev_Case=Abl,tr_boun-ud-test_Case=Abl,tr_boun-ud-train_Case=Abl,tr_penn-ud-dev_Case=Abl,tr_penn-ud-test_Case=Abl,tr_penn-ud-train_Case=Abl
0,fi_ood-ud-test_Case=Abe,4.964506505192279,5.278159035375515,5.071207464997127,5.554340144827687,5.577815825639697,5.468939298634992,5.2071358282710785,4.8654522824821065,5.35708994682866,3.309211294739821,3.3543291426707293,4.827416345901382,4.175051449019963,15.458347371961281,13.764981557970057,20.231387193610274,6.6248689714505975,4.80615808202222,4.626854542929649,5.1503188242862405,4.881418086597886,5.1540632002027,113.22053209947782,5.734883511361751,5.668464733875015,4.585296425604085,5.486279181673064,5.471941458637758,5.5631725560950285,5.734883511361751,6.6248689714505975,6.6248689714505975,4.737556801183965,5.734883511361751,5.185449728701348,6.6248689714505975,5.734883511361751,5.211619379860274,5.264865003933346,5.260690402792495,3.186097347078783,6.6248689714505975,5.328122454381927,3.5466272205122324,3.4940840409090628,3.6534498002892724,4.975956389409461,5.151895643920817,4.746899572937641,5.152559022582493,4.888130507193759,5.536710311930542,4.622884000157973,4.522044768563099,4.916186417223099,4.74846499915619,4.344988941435912,4.354606210093465,4.393268192842125,3.6817870057290873,4.507880616689065,5.375010289381521,4.438131746651623,5.077160699041236,5.319516223923871,5.477731297371658,5.154313113788967,5.041883533875113,5.27215852541526,5.382409317381974,5.375146024749465,5.363611281770573,11.397758064149674,4.4941372211010835,4.223024361231159,4.532779103260063,5.474578097738335,5.275126334525323,5.257266237998801,6.6248689714505975,5.286084939282344,5.018152811432598,5.063317905150414,5.734883511361751,5.734883511361751,5.238744548500571,5.271986039962127,5.093333333333333,5.185986122738274,4.69875092921492,4.4899987130101415,4.413122120943066,4.527671440860636,5.384353865001061,5.424152344447817,5.344921812377996,5.55297717945568,5.06264387808422,4.9573671327519095,5.014722534883366,6.6248689714505975,6.6248689714505975,6.6248689714505975,5.698744988543043,3.6441351027264224,14.208276277726503,3.316486352505382,5.734883511361751,4.506710269800303,4.585255044162578,4.720646773403666,5.734883511361751,6.6248689714505975,46.926064778069296,6.6248689714505975,5.223583061338033,5.2122760077106,5.174911589084579,4.641087278249728,5.032806915801577,4.704498264884263
1,sms_giellagas-ud-test_Case=Abe,0.981033658215459,0.5715444524392794,0.8383913995250516,0.27003086243366076,0.20327890704543547,0.36265586218399565,0.5927349379101761,0.9799018381739814,0.5345224838248488,3.88590296719629,5.221412445784578,7.928398585605507,2.095276678888364,19.021061517433772,17.197306965449716,23.917174791350252,1.0,1.209019689170821,1.4163998524064745,0.6703064653046633,1.0203470160886428,0.6985630677993511,116.73045875006231,0.0,0.1087856586440842,1.616244071283537,0.30307070437746336,0.36080121229411,0.24494897427831777,0.0,1.0,1.0,1.699673171197595,0.0,0.816496580927726,1.0,0.0,0.6756366144362388,0.590605591233093,0.6149239691939756,4.0674781742776265,1.0,0.7071067811865476,3.2012830687745946,3.320446069683141,2.95881040312914,0.9338179035135449,0.7186986956322287,1.333229162597338,0.6902571934115808,1.1230944852859372,0.2719641466102106,1.3795724778374816,1.7776388834631178,1.131370849898476,1.3847506492806019,1.646717170376281,1.6250649173880125,1.5677670543941407,4.69041575982343,2.0245407953653998,0.5315528914927409,1.5273088474063334,0.7991694907840263,0.5094081406735885,0.34999890075894746,0.737259697875463,0.8270922757788645,0.5467389605332817,0.437070031055995,0.4439966880337181,0.4560038470305008,14.000714267493642,1.5255438587204564,1.9497913088598344,1.4775338403664497,0.33052721868725343,0.5762016576278494,0.6027830343127235,1.0,0.5647624381722354,0.9323935000250103,0.8081220356417685,0.0,0.0,0.6382847385042254,0.5792266156024102,0.7570703768841809,0.7352160228214442,1.623738241667633,1.5125579561047746,1.5884201963539495,1.4703182551689247,0.4046988552428869,0.3365943859240105,0.45816212899272757,0.282842712474619,0.8097317868014416,0.9309135298189625,0.8932407601955861,1.0,1.0,1.0,0.05892556509887901,3.4328634643395466,18.26616797694534,3.655505175757629,0.0,1.4909703586443053,1.443137078762504,1.2333317746802706,0.0,1.0,50.73953093988946,1.0,0.5691558741494286,0.5807457490158667,0.6263108795402875,1.5748839956592573,0.9084234082589916,1.4604461325328297
2,sms_giellagas-ud-train_Case=Abe,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
3,et_ewt-ud-train_Case=Abe,3.008612240762697,3.3444878357537924,3.1162821720254152,3.647027258347441,3.671202415970261,3.5634832254989917,3.2906316503364077,3.0178358353843837,3.465410552125762,2.2078158908006174,3.019622640751403,5.364501046618425,2.332389855818053,16.144618672765308,14.365707383162812,21.00295742321881,4.723895928549249,2.880301382840363,2.7093738214831196,3.212974938376379,2.9498583331283,3.2069857038420384,114.37066287329587,3.8273392947447844,3.761321560808597,2.6203459985138293,3.5619472028708263,3.5428233606523736,3.657211060871955,3.8273392947447844,4.723895928549249,4.723895928549249,2.7396475930747664,3.8273392947447844,3.297081785355002,4.723895928549249,3.8273392947447844,3.3090012282685857,3.3565404979889757,3.353378141508166,2.220173081447952,4.723895928549249,3.437323485470079,1.959111656405117,1.9325130480927337,1.9875215522337217,3.0509103908387867,3.2299866029199724,2.7932448072605416,3.255861867595974,3.027787733248229,3.6127774500803747,2.682392590203256,2.6813202826312796,2.967274263240252,2.761753958551788,2.4222174794969202,2.434358535797928,2.4711865582197996,2.704661299269129,2.5461227866397187,3.426089913795528,2.5199145137450136,3.17753391195457,3.409998160674155,3.573189558374669,3.2496921380094608,3.111852843229228,3.3513126443447026,3.454393931968452,3.4423415829159354,3.437203454406559,12.027822998244424,2.5950518788568524,2.376732057008445,2.621758310304627,3.563732382539821,3.3682620711935156,3.3489293507187408,4.723895928549249,3.353933208943349,3.031256940053303,3.10072773259042,3.8273392947447844,3.8273392947447844,3.286634331734618,3.3267646268789526,3.146996408411967,3.221821341611582,2.7892338506685244,2.5987696059710976,2.5145124401478283,2.6210291515975683,3.4487332275224793,3.5038257458444115,3.417119953813385,3.6390674343000593,3.1403487482537216,3.033131711920768,3.0925903605428813,4.723895928549249,4.723895928549249,4.723895928549249,3.7913349260573046,2.2271815869679124,15.407822225695883,2.1019444745317917,3.8273392947447844,2.5418492875066865,2.612118306506813,2.7583126736681547,3.8273392947447844,4.723895928549249,47.80023861646909,4.723895928549249,3.301855911417077,3.2907816826781273,3.2525948951917907,2.6319641504557523,3.078165126726222,2.712546057647833
4,et_ewt-ud-test_Case=Abe,8.973048862334814,9.319122432186163,9.083142074159547,9.621482041071774,9.644222067318161,9.53713353685337,9.266221206292595,8.982521795605908,9.441549509633319,7.042161965558125,6.472154892664044,6.173494098543924,8.110281409887923,12.785438901995764,11.276191514382573,17.265190573971534,10.661457061146319,8.796083522451848,8.62554693870611,9.186693074812968,8.911399320971,9.178030691751076,111.00450441310929,9.797958971132713,9.732922635954493,8.526868299275959,9.534887208251291,9.512578613276595,9.629468659623265,9.797958971132713,10.661457061146319,10.661457061146319,8.563488385776754,9.797958971132713,9.24962461700774,10.661457061146319,9.797958971132713,9.287895104546818,9.34219727986635,9.334822751483543,6.84860227033219,10.661457061146319,9.38971068066885,7.332365031703342,7.229292513660882,7.499109256358261,9.002551245086067,9.188530683472434,8.701197235629897,9.233795094487911,8.964591754533153,9.583485548915498,8.612499639835583,8.518215775618742,8.903931715820827,8.67394156377823,8.354603326158442,8.370589101828571,8.413609399602635,6.831300510639733,8.305880707124782,9.39214421939196,8.459165355808816,9.126034473325934,9.390690230053732,9.54734198594637,9.227136234508603,9.094126085100244,9.323781980455657,9.429342044875767,9.414572220553728,9.41656559603599,11.270314991161516,8.515503479114605,8.227446031798255,8.545169387506817,9.54044553233608,9.349450371759637,9.327779643061653,10.661457061146319,9.322952400396298,8.99080838504896,9.075645813867768,9.797958971132713,9.797958971132713,9.255628917943215,9.293558290259142,9.118713359533423,9.18563735114311,8.610020954492708,8.531598799224115,8.445550544707196,8.554989414610944,9.419870307070655,9.480848678094395,9.388390987041326,9.623582146650662,9.107595447179401,8.999996296295535,9.052289570677969,10.661457061146319,10.661457061146319,10.661457061146319,9.762634264263811,7.3753415294417675,12.349144804822245,7.144192450288451,9.797958971132713,8.481544121500804,8.548395689866224,8.714171993996091,9.797958971132713,10.661457061146319,43.57177985806869,10.661457061146319,9.277440220586085,9.265514860222286,9.231536486172349,8.518085405748678,9.0371623594582,8.61623593306023
5,et_ewt-ud-dev_Case=Abe,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
6,gub_tudet-ud-test_Case=Abe,1.0862301064948006,1.1314377725739666,1.0869832645584079,1.286953767623375,1.295255168070455,1.2298258638233293,1.038963572844458,1.066151115317168,0.9258200997725515,3.1287004427763394,4.428065414332705,7.10604445304102,1.5675832444327542,18.23940188849404,16.429606880522755,23.12894110560764,2.23606797749979,0.953465798996136,1.006436783556814,0.9836307136883299,1.0357060300149934,1.0235372847987931,116.01724009818541,1.4142135623730951,1.3630803958976423,1.324802642213672,1.2394742015452747,1.2307692307692308,1.2884098726725126,1.4142135623730951,2.23606797749979,2.23606797749979,1.4907119849998598,1.4142135623730951,1.1547005383792517,2.23606797749979,1.4142135623730951,1.1152214476596363,1.1298893821707428,1.1383226900632362,3.294248170055978,2.23606797749979,1.224744871391589,2.49590534839094,2.6019885457301797,2.2763209681408583,1.0771932957335157,1.0977487896907019,1.194780314534852,1.072665976167427,1.0764651040863245,1.2077168052390448,1.0981128359845433,1.32664991614216,1.131370849898476,1.1948800953717915,1.2521253092599232,1.2382233630635546,1.207812621600811,4.0,1.6629588385661962,1.2001846579990927,1.1710815536452375,1.0959798697968863,1.1479325245714525,1.235316964370803,1.1000993267783077,0.9249379460707798,1.0686724221514161,1.1817401000651888,1.1741441736287723,1.1693416089243076,13.34990636671284,1.1860350542652025,1.4572528552907706,1.1569609697923802,1.2313508787015899,1.1330842898951041,1.1210664607444438,2.23606797749979,1.0228535275605082,1.1431787431932456,1.1065666703449764,1.4142135623730951,1.4142135623730951,1.0886621079036347,1.1465906588180843,1.0769504270031292,1.1319378697411457,1.4150546053034425,1.1823783999900217,1.2168097180728137,1.1630995388404666,1.205510202215406,1.2225952231235953,1.1805024378758833,1.2961481396815722,1.0603359992205887,1.061414151026827,1.0653439385288594,2.23606797749979,2.23606797749979,2.23606797749979,1.3856907623596575,2.175735950687985,16.912023206157794,2.418174223425455,1.4142135623730951,1.0298241290189887,1.0621201314134474,0.9411764705882353,1.4142135623730951,2.23606797749979,49.914927626913375,2.23606797749979,1.0546371778777817,1.0486971083206054,1.0276397621453444,1.2818152353042485,1.0785458996662898,1.1476453234036157
7,olo_kkpp-ud-test_Case=Abe,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
8,olo_kkpp-ud-train_Case=Abe,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
9,mdf_jr-ud-test_Case=Abe,0.4967300716101273,0.3591498886390815,0.4002063168698515,0.60380736442456,0.5995866344669508,0.5674464422768087,0.49299064468182785,0.6783860349806351,0.5976143046671968,3.4584530657751955,4.786526949332511,7.49719874224475,1.700876704494084,18.337653373591724,16.50900865781787,23.23229612701537,1.5811388300841898,0.8578178220462971,1.0376976171253671,0.4337939075072002,0.5929876466086549,0.33434879400525136,116.37224755069397,0.7071067811865476,0.6594780076723941,1.0546302185880998,0.4861031745383858,0.4106568558473581,0.6000000000000001,0.7071067811865476,1.5811388300841898,1.5811388300841898,1.0274023338281628,0.7071067811865476,0.7071067811865476,1.5811388300841898,0.7071067811865476,0.591694056116384,0.5499301881316134,0.580478266002301,3.568849449126783,1.5811388300841898,0.7071067811865476,2.718882240489295,2.8225733902296786,2.483886251036133,0.4797285135537419,0.3623284607426286,0.7262919523166973,0.5599407510994584,0.8651709137847687,0.4772951402304175,0.9503789884075975,1.4000000000000001,0.6164414002968976,0.7485930159573966,1.2373260220435438,1.2212822893048734,1.1658043480059814,4.183300132670378,1.3899995559107559,0.21379048433252532,1.1011436221519757,0.44852187795022885,0.5235071733803073,0.5694327146357011,0.5994508618691188,0.5462301226944332,0.44820115492793966,0.45997625727070723,0.4047217879625183,0.44798787003112267,13.660893089399389,1.150846873448999,1.5633829854476287,1.0946174929739378,0.5434102997929267,0.5402790005001338,0.5400241429601497,1.5811388300841898,0.38535965813211753,0.3300620732865596,0.39123039821797573,0.7071067811865476,0.7071067811865476,0.2721655269759087,0.27401971745762305,0.3913509365717112,0.20135193123827277,1.3488709006877526,1.1186818288473792,1.155672410410978,1.0749847597726168,0.38810213694085854,0.470683761474702,0.39861275478825736,0.6164414002968976,0.5485253759023376,0.6297618597533516,0.58551078205231,1.5811388300841898,1.5811388300841898,1.5811388300841898,0.6795627679291704,2.965096615897854,17.82919418507904,3.2542266081610762,0.7071067811865476,0.9804385541023815,0.8936183296062499,0.7339988591677207,0.7071067811865476,1.5811388300841898,50.039984012787215,1.5811388300841898,0.48238732691312636,0.4997655700425951,0.4896450955167739,0.9169104187775035,0.4126784598305243,0.8161779169419949
