,Treebank,xcl_caval-ud-train_Case=Abl,xcl_caval-ud-dev_Case=Abl,xcl_caval-ud-test_Case=Abl,hu_szeged-ud-dev_Case=Abl,hu_szeged-ud-test_Case=Abl,hu_szeged-ud-train_Case=Abl,tr_pud-ud-test_Case=Abl,fi_ood-ud-test_Case=Abl,sah_yktdt-ud-test_Case=Abl,sa_vedic-ud-test_Case=Abl,sa_vedic-ud-train_Case=Abl,sa_vedic-ud-dev_Case=Abl,la_circse-ud-test_Case=Abl,tr_atis-ud-dev_Case=Abl,tr_atis-ud-train_Case=Abl,tr_atis-ud-test_Case=Abl,hi_pud-ud-test_Case=Abl,la_perseus-ud-test_Case=Abl,la_perseus-ud-train_Case=Abl,tr_kenet-ud-dev_Case=Abl,tr_kenet-ud-test_Case=Abl,tr_kenet-ud-train_Case=Abl,ess_sli-ud-test_Case=Abl,ky_tuecl-ud-test_Case=Abl,hit_hittb-ud-test_Case=Abl,sa_ufal-ud-test_Case=Abl,et_ewt-ud-train_Case=Abl,et_ewt-ud-test_Case=Abl,et_ewt-ud-dev_Case=Abl,gub_tudet-ud-test_Case=Abl,ml_ufal-ud-test_Case=Abl,egy_ujaen-ud-test_Case=Abl,sq_tsa-ud-test_Case=Abl,mr_ufal-ud-train_Case=Abl,si_stb-ud-test_Case=Abl,olo_kkpp-ud-test_Case=Abl,olo_kkpp-ud-train_Case=Abl,hy_bsut-ud-train_Case=Abl,hy_bsut-ud-test_Case=Abl,hy_bsut-ud-dev_Case=Abl,mdf_jr-ud-test_Case=Abl,mdf_jr-ud-train_Case=Abl,vep_vwt-ud-test_Case=Abl,la_llct-ud-dev_Case=Abl,la_llct-ud-test_Case=Abl,la_llct-ud-train_Case=Abl,fi_tdt-ud-train_Case=Abl,fi_tdt-ud-test_Case=Abl,fi_tdt-ud-dev_Case=Abl,myv_jr-ud-test_Case=Abl,myv_jr-ud-train_Case=Abl,tr_framenet-ud-test_Case=Abl,tr_framenet-ud-train_Case=Abl,tr_framenet-ud-dev_Case=Abl,ky_ktmu-ud-train_Case=Abl,ky_ktmu-ud-test_Case=Abl,la_proiel-ud-test_Case=Abl,la_proiel-ud-dev_Case=Abl,la_proiel-ud-train_Case=Abl,kpv_ikdp-ud-test_Case=Abl,kpv_lattice-ud-test_Case=Abl,tt_nmctt-ud-test_Case=Abl,tr_gb-ud-test_Case=Abl,fi_pud-ud-test_Case=Abl,hy_armtdp-ud-train_Case=Abl,hy_armtdp-ud-dev_Case=Abl,hy_armtdp-ud-test_Case=Abl,ota_boun-ud-train_Case=Abl,ota_boun-ud-test_Case=Abl,et_edt-ud-dev_Case=Abl,et_edt-ud-train_Case=Abl,et_edt-ud-test_Case=Abl,sjo_xdt-ud-test_Case=Abl,la_udante-ud-train_Case=Abl,la_udante-ud-test_Case=Abl,la_udante-ud-dev_Case=Abl,hyw_armtdp-ud-test_Case=Abl,hyw_armtdp-ud-dev_Case=Abl,hyw_armtdp-ud-train_Case=Abl,arr_tudet-ud-test_Case=Abl,aln_gps-ud-test_Case=Abl,kk_ktb-ud-test_Case=Abl,kk_ktb-ud-train_Case=Abl,gn_oldtudet-ud-test_Case=Abl,ta_mwtt-ud-test_Case=Abl,ota_dudu-ud-test_Case=Abl,ug_udt-ud-test_Case=Abl,ug_udt-ud-dev_Case=Abl,ug_udt-ud-train_Case=Abl,xum_ikuvina-ud-test_Case=Abl,la_ittb-ud-dev_Case=Abl,la_ittb-ud-test_Case=Abl,la_ittb-ud-train_Case=Abl,qtd_sagt-ud-test_Case=Abl,qtd_sagt-ud-dev_Case=Abl,qtd_sagt-ud-train_Case=Abl,krl_kkpp-ud-test_Case=Abl,eu_bdt-ud-train_Case=Abl,eu_bdt-ud-test_Case=Abl,eu_bdt-ud-dev_Case=Abl,fi_ftb-ud-dev_Case=Abl,fi_ftb-ud-train_Case=Abl,fi_ftb-ud-test_Case=Abl,eme_tudet-ud-test_Case=Abl,tr_tourism-ud-train_Case=Abl,tr_tourism-ud-dev_Case=Abl,tr_tourism-ud-test_Case=Abl,aqz_tudet-ud-test_Case=Abl,tr_imst-ud-train_Case=Abl,tr_imst-ud-dev_Case=Abl,tr_imst-ud-test_Case=Abl,gu_gujtb-ud-test_Case=Abl,bxr_bdt-ud-train_Case=Abl,bxr_bdt-ud-test_Case=Abl,bej_nsc-ud-test_Case=Abl,tr_boun-ud-dev_Case=Abl,tr_boun-ud-test_Case=Abl,tr_boun-ud-train_Case=Abl,tr_penn-ud-dev_Case=Abl,tr_penn-ud-test_Case=Abl,tr_penn-ud-train_Case=Abl
0,hu_szeged-ud-dev_Case=Ade,0.7546181420653344,0.4045870455083622,0.625727806933833,0.29315098498896436,0.2516731203448875,0.15731637245717275,0.4085277254629297,0.739637904723525,0.4265203897320067,3.604124610294503,4.941221707984335,7.652050030059555,1.823759854790811,18.768012181635008,16.94761120387624,23.66393396781975,1.3375584099395434,0.9648263019907962,1.1579269250994106,0.47828639204335216,0.791342634274146,0.5038610161256157,116.50606877969919,0.4050462936504913,0.3575190854341963,1.3723885219215586,0.2868854139560615,0.3192684176131537,0.3147419578003543,0.4050462936504913,1.3375584099395434,1.3375584099395434,1.4898382648984272,0.4050462936504913,0.6434768838116876,1.3375584099395434,0.4050462936504913,0.4894520325973439,0.4216941047774307,0.4483497711620227,3.7884920440005705,1.3375584099395434,0.5929270612815711,2.92086313967383,3.0389915211959546,2.6790224332826296,0.7063235959752137,0.514399366782357,1.097297817367737,0.4829224806010955,0.8991198715368852,0.306261698242942,1.1412624983007638,1.5448503163737257,0.9050207179948977,1.1528425045403579,1.3771613095586872,1.3567261246810185,1.2984119907737577,4.43441794376669,1.7947593892865135,0.4283142324479208,1.2669893240073526,0.594571799701264,0.3595316916207363,0.3164778377083326,0.5393956761457699,0.6049803926659144,0.37179441766146665,0.32681040499716607,0.3246667860251088,0.33063703526121574,13.783924060295748,1.2570574552450147,1.6791785100714638,1.2111764247188015,0.2929347065356569,0.4097100122078404,0.4279574644439407,1.3375584099395434,0.4042484865067218,0.7383352144445563,0.6088473971868685,0.4050462936504913,0.4050462936504913,0.47354797558978673,0.4249182927993988,0.5436463822089584,0.5611992572930061,1.4062068289361203,1.244519000461353,1.3177157169705298,1.2033597802758178,0.3252755597192825,0.28992983903592395,0.34477963342811035,0.3450543435460566,0.5893796150046744,0.6977911578688857,0.6650403253386024,1.3375584099395434,1.3375584099395434,1.3375584099395434,0.37615562677641223,3.173895723680492,18.00438458134275,3.396784395035171,0.4050462936504913,1.228555057426606,1.1868609633318434,0.9821311170825759,0.4050462936504913,1.3375584099395434,50.49419830534989,1.3375584099395434,0.3878268533803297,0.39696111270501044,0.42987675249610124,1.3475287483726068,0.6919047682963257,1.2277754728696628
1,hu_szeged-ud-test_Case=Ade,0.709951926912905,0.32611664509133126,0.5734144655630601,0.22522725757385728,0.18672769122823338,0.19702056936058904,0.332707760011965,0.6992304632378992,0.36661158939807204,3.583738959512472,4.926244173485998,7.640671146938584,1.806442467389879,18.770238707370154,16.949438384160743,23.666271231104844,1.3144621146642357,0.9390670646966461,1.1300580838223546,0.4175147220946376,0.7574806820795583,0.4440606798522399,116.50931344035632,0.335299918733898,0.25512498387349236,1.3257593923594035,0.1519253308643073,0.20351933162035316,0.2221466012029793,0.335299918733898,1.3144621146642357,1.3144621146642357,1.4767539076904546,0.335299918733898,0.6073189375552314,1.3144621146642357,0.335299918733898,0.41819216120157415,0.3255263545578997,0.3623278974805617,3.7825510317366913,1.3144621146642357,0.552026926707974,2.9001558767843627,3.019585888076343,2.6591909305731742,0.6651765682966074,0.466751273147418,1.0784261488761673,0.4108882698560345,0.871983388365741,0.2106625221173716,1.122758000801895,1.5327586608550074,0.8814995292785716,1.1353356700923842,1.3485438114081514,1.328739382277274,1.269849532661911,4.398089956591633,1.7848110381664213,0.368598969364215,1.249073582617251,0.5513461035389421,0.25158865059505947,0.22369616869088765,0.4734226913793772,0.5394563584401562,0.2899127034788393,0.20525236702103852,0.2138724635622959,0.19856759342872776,13.785503920538968,1.2311032822634171,1.6548561751861333,1.1840202158666873,0.17523774440067816,0.31837978853276383,0.3495869001733911,1.3144621146642357,0.3364533086349254,0.697561012886715,0.5513155162466343,0.335299918733898,0.335299918733898,0.4115897137721199,0.3636267035299424,0.4903604653010978,0.5101774949584847,1.36918058622112,1.2187439304796768,1.2944493405733266,1.1762100934403097,0.23784779041962376,0.16087392710080742,0.2608092415658208,0.19641762053544165,0.5430239862429108,0.6555877258400964,0.6286332532277138,1.3144621146642357,1.3144621146642357,1.3144621146642357,0.30042841424232014,3.1654205564659064,18.005523736649618,3.387498210404513,0.335299918733898,1.2045505848916673,1.16293306812765,0.9518043349261409,0.335299918733898,1.3144621146642357,50.494448695994556,1.3144621146642357,0.3118158548634942,0.3195238749402065,0.35647585543651755,1.3303336435219055,0.6562140433233002,1.2078733707183458
2,hu_szeged-ud-train_Case=Ade,0.7821727686244458,0.4000439402582816,0.6461874793399315,0.17440374613713625,0.15061855932528082,0.08643873743176832,0.4093077855372506,0.7665249856548826,0.4079565803226753,3.657262601908344,4.994889103850387,7.705760608562521,1.8713544768099575,18.81793110971554,16.99677745300509,23.714034171069812,1.2629330940315089,1.0004036966000924,1.1983547107384773,0.48643442490938493,0.8203353817214976,0.5142458660947685,116.55082582290011,0.3082207001484488,0.26148189433513136,1.4117220631815133,0.21900448160474467,0.2670793158347265,0.2345207879911715,0.3082207001484488,1.2629330940315089,1.2629330940315089,1.522242497837392,0.3082207001484488,0.6544717972023955,1.2629330940315089,0.3082207001484488,0.4950776262804234,0.4192537743209824,0.4447891300854986,3.8411929544881587,1.2629330940315089,0.5873670062235365,2.972969196249566,3.0914718166361417,2.730639258261389,0.731735559853429,0.5232808969097572,1.1313708498984758,0.49559287366468335,0.9288441630811601,0.23147328497432426,1.1774455895469185,1.5827191791344413,0.9354143466934854,1.1876420101851053,1.4221346324790336,1.4014139237660328,1.342550258453642,4.482744694938582,1.833148138794416,0.40868344799467954,1.309386887360653,0.6117980671757635,0.3450503739755097,0.26148885925585375,0.5524658620929311,0.6271900405290054,0.36622338728757614,0.29563503693065046,0.295809785766599,0.30462202968660096,13.826243162913055,1.3012196331475994,1.7262096062094332,1.254563635421217,0.22913763603262519,0.4048539810536714,0.4267527132409737,1.2629330940315089,0.3978376470225383,0.7574514102494555,0.6252346498291171,0.3082207001484488,0.3082207001484488,0.4739510835831369,0.41868262310357346,0.5610902086315732,0.5690467512881994,1.4397879330262642,1.2885566918543518,1.362888664799128,1.2468267573825043,0.2848676613579271,0.23163895479350993,0.3175388224927583,0.2738612787525831,0.6105553028004733,0.7256721022610695,0.6907595229862105,1.2629330940315089,1.2629330940315089,1.2629330940315089,0.2786375582883414,3.221731144089667,18.056041089749176,3.4448235076824654,0.3082207001484488,1.2711516610436295,1.227676701189946,1.019625753990498,0.3082207001484488,1.2629330940315089,50.54300149377755,1.2629330940315089,0.3858308131526955,0.39656730198038265,0.4359338039603962,1.3829204250820972,0.7153896731485089,1.2634384316737715
3,fi_ood-ud-test_Case=Ade,0.37655309964757316,0.3482409939488126,0.3158145363402842,0.6394068255152665,0.6445569080901387,0.5613128518683498,0.3552899811388196,0.33373964418381646,0.4906456926867959,3.1512393095950784,4.498532868800536,7.222999171354271,1.3472238872427726,18.368163010077033,16.551184105173,23.263244101541076,1.7886065521032837,0.5225387367831728,0.6845535895541324,0.34266924440493035,0.46987769177372124,0.3390085012702316,116.17944603210742,0.8146657764756383,0.7445642638962824,0.9488003942871641,0.5320631864079838,0.5333569092154186,0.6448304518341417,0.8146657764756383,1.7886065521032837,1.7886065521032837,1.149607797312031,0.8146657764756383,0.553827542456338,1.7886065521032837,0.8146657764756383,0.39684124131154525,0.3829859803613085,0.4228707713541763,3.3528155584724413,1.7886065521032837,0.6069635382866697,2.4348201396144504,2.5552191805858846,2.193238240759769,0.32774718502579175,0.29758992329386763,0.700702131413166,0.341081117916075,0.6267526185101161,0.608764775459283,0.7855224991213297,1.2046739735209544,0.5929201827469581,0.7983088146034466,0.8769283310074042,0.8550242744719924,0.7969715745556768,4.012075671457654,1.443444014796338,0.4962562301907109,0.859516469689024,0.3210002784089252,0.4170857949897583,0.5663777758672363,0.3841294554438964,0.3058492067858869,0.3601855943666791,0.42289424662713904,0.41507714370076954,0.4052328915787943,13.47155866727328,0.7712425485868768,1.2062507696141942,0.7262138366875778,0.5536105986210627,0.39925033990599673,0.3964630313054739,1.7886065521032837,0.36031562129344635,0.4922962030641521,0.3861832497100792,0.8146657764756383,0.8146657764756383,0.413838993928552,0.41954865024700555,0.29338494859240344,0.4292391617630759,1.0042328035909867,0.7408872814689904,0.8039525602083794,0.7052535958759154,0.49611611196979055,0.511937904839076,0.46582868840094027,0.6364728196830565,0.3188730669765228,0.3448793190138971,0.353944882903481,1.7886065521032837,1.7886065521032837,1.7886065521032837,0.7764329253970491,2.757048917695066,17.59852625130597,2.9667542969929013,0.8146657764756383,0.7703624054714204,0.7425318769213659,0.5452036920036476,0.8146657764756383,1.7886065521032837,50.09618994750493,1.7886065521032837,0.34204383913569864,0.32733276609931594,0.312215774952233,0.998905823485118,0.4315818196709256,0.8670156862828154
4,et_ewt-ud-train_Case=Ade,0.37016651837919523,0.44879766468342713,0.3513161538350812,0.7530026929422281,0.7598502585510387,0.6734903120310806,0.45975241271486866,0.32477398473087943,0.5885060461374154,3.056451253368158,4.405300104880644,7.12951419891965,1.2456175462186738,18.27979998239087,16.463739666792865,23.174507291241046,1.897422799077966,0.45464799296923963,0.5942546079076286,0.43086175027560625,0.47578211965122635,0.4185696051478979,116.1080601841543,0.9298928155685491,0.861728960477141,0.881409022904803,0.6446895750870126,0.6466270443473044,0.7590205783389484,0.9298928155685491,1.897422799077966,1.897422799077966,1.100339286654304,0.9298928155685491,0.611848751819242,1.897422799077966,0.9298928155685491,0.477014853324294,0.4784460237059077,0.5107739210357851,3.2639448269121294,1.897422799077966,0.6911062437317815,2.32738200856768,2.448347288237023,2.086475841316374,0.3270839074317931,0.37050711823875754,0.6473182034129565,0.4261044601033131,0.6276001955355439,0.7227648301087873,0.7504673430078023,1.1577143134240524,0.5888810458721352,0.7608822542118472,0.7770468281718949,0.7555280715239919,0.699260662388791,3.918171848399093,1.3876810098451915,0.5925605998109187,0.8035158396623197,0.36800879463124825,0.5235992627589452,0.6789228422943494,0.45512283405091447,0.3493977978061697,0.46829594352979576,0.5292825983383577,0.5231885735694959,0.5127357268050687,13.405339444090885,0.6788539320946229,1.1114669903129986,0.6339821884065959,0.6667918105410753,0.49638164569680365,0.4907570390340247,1.897422799077966,0.4598002573195641,0.5179426392734884,0.4376119036073491,0.9298928155685491,0.9298928155685491,0.5014686198280989,0.5170266458947784,0.36099559368818107,0.4957587108623583,0.922608580768844,0.6440101390875866,0.7034686611463566,0.6101162504497221,0.6085980315223465,0.6291308230758805,0.5769085305761497,0.7444530251753031,0.37267454121429705,0.3581472391068816,0.3814560686184043,1.897422799077966,1.897422799077966,1.897422799077966,0.8921097715066272,2.6740400988007234,17.511956288982798,2.881925605203548,0.9298928155685491,0.6922346799384964,0.6699738283988582,0.4882348308754323,0.9298928155685491,1.897422799077966,50.00835656076368,1.897422799077966,0.450349429627832,0.4337597852571519,0.41216910635934945,0.9535282359419689,0.46197982150401273,0.8217332116283482
5,et_ewt-ud-test_Case=Ade,0.34547149196213234,0.4194656112708373,0.329130343269323,0.7333043758369858,0.7353559634769546,0.6543225959964748,0.4514421060782515,0.333450678535867,0.575230449060577,3.071887037301267,4.419074241591747,7.143557784081313,1.2811676229942204,18.293960997604213,16.478536586188195,23.189012178457972,1.8771070193697335,0.4941969878862711,0.6157835177673853,0.4304293699907062,0.48810169136958736,0.4183114535276721,116.12183733699592,0.9091540382121331,0.8406507913648951,0.876247848591334,0.6256811409282317,0.6191219642071784,0.7335367862026964,0.9091540382121331,1.8771070193697335,1.8771070193697335,1.0932739518914267,0.9091540382121331,0.6015933847300552,1.8771070193697335,0.9091540382121331,0.46457636591939117,0.4649134752122106,0.4971084343590888,3.284360467352236,1.8771070193697335,0.6859303602675877,2.335903256523782,2.4586567841518088,2.091392756705957,0.342399224884054,0.36428885055638666,0.665924173304565,0.4148495602926911,0.63081344159777,0.7035134374299066,0.7708534871208083,1.1717186955754633,0.5983946997697928,0.7717981733034969,0.7962487231577753,0.7714484695418273,0.7176801202253833,3.939991213463188,1.4038450921489662,0.5799847143886205,0.8254890138967017,0.38715892228711424,0.5060345424671598,0.6593225528861077,0.4439219247967229,0.3577131744379949,0.45891221457929343,0.5064455396522662,0.5078634905958561,0.49815549385510094,13.418142981247348,0.6967187326083082,1.1242825203116684,0.6529290957894092,0.6473578366409091,0.48248060318460023,0.4764567502531823,1.8771070193697335,0.4342369789673179,0.5279948414247683,0.44280075218707704,0.9091540382121331,0.9091540382121331,0.4931812363260544,0.506872109510327,0.36889057607455994,0.4930372278636982,0.9883118238707318,0.6559414620527111,0.722635923867828,0.6308589660929235,0.5964669736388604,0.6143096702652349,0.5635154553611905,0.726479997253572,0.35908397795116287,0.3461614245754363,0.3655587162263974,1.8771070193697335,1.8771070193697335,1.8771070193697335,0.871393261801226,2.6955984437441134,17.532892477881536,2.9073740198777407,0.9091540382121331,0.7279914648804361,0.7038934748064616,0.5219631358957527,0.9091540382121331,1.8771070193697335,50.02893905414524,1.8771070193697335,0.4451583086418734,0.43312311135676906,0.407164525020453,0.9697244014692604,0.4571496347223025,0.8379907781000817
6,et_ewt-ud-dev_Case=Ade,0.49237416679342044,0.7162699344287331,0.5571889204063517,1.0363828955423955,1.0409883619509759,0.95425477037982,0.7400724551730671,0.47565715910587525,0.8399630461343238,2.8492806351818176,4.192042247449051,6.920774868696813,1.0790696866439227,18.07092150637333,16.257554232354305,22.964082596658915,2.166296264635297,0.4841411740175141,0.5111849577448268,0.6974021700345955,0.6083484941142122,0.6782483847796335,115.93448128411704,1.2126901021904224,1.1452123962554168,0.7727534511055353,0.933465599093699,0.9193689374717645,1.0421961617210904,1.2126901021904224,2.166296264635297,2.166296264635297,1.0093391065934014,1.2126901021904224,0.8052298191997084,2.166296264635297,1.2126901021904224,0.7312093616316814,0.753582017164576,0.7805585485131041,3.05638539923734,2.166296264635297,0.9150322128850349,2.095754575547839,2.2187781842275043,1.8552770999636339,0.5076521543516541,0.6227950678224685,0.6256601451938189,0.6907674483996751,0.7216975791279825,1.00433278602991,0.7496635247189952,1.08605072295888,0.6629526173411687,0.7437950051681114,0.6197798656274229,0.5936868468688368,0.5494840564975098,3.7510821483873977,1.2896549447597252,0.8473948554874908,0.7403814604527086,0.6051723749437525,0.8062362249096099,0.9562238638707545,0.6934232565530974,0.5928948586630477,0.755977221369372,0.8193831485302332,0.8150925452602424,0.8081546623751836,13.247287166961792,0.552363754839503,0.9365735636290395,0.5208203382077543,0.9529743437717301,0.7722223496617968,0.7589887626364576,2.166296264635297,0.724867216377904,0.6835859402111201,0.6665683978972705,1.2126901021904224,1.2126901021904224,0.7578396846657749,0.7819493783148073,0.6150539472474682,0.7257138348102891,0.9211984455255339,0.4793314363112876,0.511283569882461,0.4793912925020101,0.8912575205031128,0.9156624336002231,0.8570286310048341,1.036851835314507,0.5933173052968359,0.5313458337671694,0.5627487027278786,2.166296264635297,2.166296264635297,2.166296264635297,1.175370968494733,2.4871844972064423,17.30347879857697,2.686605136311106,1.2126901021904224,0.614169323300995,0.6078022114235905,0.5088360176621379,1.2126901021904224,2.166296264635297,49.79785309468176,2.166296264635297,0.7379676446361473,0.7255990766681889,0.6967987307829829,0.908173272299848,0.6357236682129745,0.7902180828431573
7,olo_kkpp-ud-test_Case=Ade,0.543020787049227,0.6298830095032865,0.5262796470359873,0.8717208705112832,0.8971387559298252,0.798779541535179,0.6001402633414559,0.4487402237804156,0.7627040392731282,2.967961050809787,4.325763955831416,7.041191849984238,1.1601684711467164,18.258044334266742,16.443878772745705,23.15193491392331,2.0006924009208644,0.47397854727931477,0.571830614037193,0.5851007887619737,0.595086064214845,0.571400684946261,116.05149778656093,1.0526315789473684,0.974590721633393,0.8618784890771186,0.7782885365116565,0.7943068087316241,0.8883050560343431,1.0526315789473684,2.0006924009208644,2.0006924009208644,1.2126855900902074,1.0526315789473684,0.664354253640754,2.0006924009208644,1.0526315789473684,0.5772998134801984,0.5795255241780238,0.5962504290042412,3.2270025631320696,2.0006924009208644,0.8128129058673949,2.2563381792449024,2.3738766978560824,2.026548975258245,0.46745817088332936,0.5439020048428314,0.74251108724479,0.5223392793564069,0.6800675501623326,0.8629894405355705,0.8163198615392684,1.1941222625172578,0.6717076266755291,0.8399295640539108,0.754026842305093,0.7475364520813514,0.6958263275165599,3.777026340633506,1.4313992930883714,0.7699336230698839,0.8384792529500553,0.516180160508415,0.6376678910998651,0.8134753066224302,0.5525619560710042,0.4348647546689645,0.6047123797307292,0.6641510507023689,0.6643971778414334,0.6377641835156586,13.3555283873067,0.6612168063843896,1.0612991884268999,0.6163741712233974,0.7885494575866825,0.6073171831174826,0.6080103389190571,2.0006924009208644,0.6479296405279318,0.6667054394888446,0.5634584660209082,1.0526315789473684,1.0526315789473684,0.6540040903228537,0.6814470240251882,0.5189016978112347,0.6549448139399061,0.7334056816006695,0.682484383795545,0.7514664543983475,0.6277132686655413,0.7737468646310082,0.7777806213781917,0.7291738028742246,0.8262990276543312,0.5320399738743268,0.49300536876266254,0.5310565958786754,2.0006924009208644,2.0006924009208644,2.0006924009208644,1.0161486578244343,2.658288518816722,17.468088949413083,2.8746155930597137,1.0526315789473684,0.7081390854956033,0.7116651900863311,0.5531009791997569,1.0526315789473684,2.0006924009208644,49.98397250044466,2.0006924009208644,0.600749373609018,0.5785953250828736,0.5589219876116586,1.023371471563612,0.606351530423552,0.8902002343500115
8,vep_vwt-ud-test_Case=Ade,0.48753000479435005,0.32012031269897234,0.3749185997805288,0.5334635257759741,0.5428219297181351,0.46710377973538586,0.31290447006623195,0.43364818656561843,0.43752550946038726,3.278847810338428,4.626930004044519,7.3410915635450715,1.4369167740822388,18.470244933856904,16.651008522387563,23.365659155645016,1.6593171286204857,0.5661018449547643,0.7720550242257407,0.3172062408979201,0.5452049010401413,0.30832456270926045,116.27590750738807,0.697614984548545,0.6332969988539315,1.0663052108665174,0.4172218523448576,0.4545192748422841,0.5416025603090641,0.697614984548545,1.6593171286204857,1.6593171286204857,1.2463279397226612,0.697614984548545,0.5557777333511023,1.6593171286204857,0.697614984548545,0.3693425412554682,0.3280953817353517,0.3647375065352987,3.4789136575497803,1.6593171286204857,0.5944184833375669,2.564180176279891,2.681584486138444,2.326703721556276,0.3678880026457793,0.278408731294196,0.7772815877574012,0.3247210450546378,0.6882215596647469,0.4978058365342595,0.8820684684366384,1.3012814197295424,0.6683312551921141,0.8768277354702297,1.0133519218783957,0.9981825449950104,0.9399216639865253,4.093083597159156,1.5300286449347893,0.4321562249581546,0.9836968005788279,0.2928399022219023,0.34540190941458476,0.47736709929731835,0.38818341674445017,0.31363569143000203,0.27765702873425757,0.31992876232144307,0.29995427177780004,0.2847448070202048,13.563431227630664,0.8983075211885242,1.3335060850255456,0.8478243757338595,0.45129463429592664,0.3421560153568568,0.35037116713745853,1.6593171286204857,0.3131254072430996,0.5255123161681793,0.3984664480280386,0.697614984548545,0.697614984548545,0.3671713698190735,0.3660269039899177,0.30007406493138394,0.40881164654801583,0.9726030905579313,0.8929154271498746,0.9592302879613175,0.8412038016163104,0.4204326575984004,0.4283311825461737,0.3938052875093979,0.5099019513592785,0.373459431792423,0.43657759905886157,0.42740269438250533,1.6593171286204857,1.6593171286204857,1.6593171286204857,0.6613328293008831,2.8621232734510516,17.70482339222457,3.089390595506981,0.697614984548545,0.8681604680715621,0.8364295099223069,0.6311593843053991,0.697614984548545,1.6593171286204857,50.19316022460962,1.6593171286204857,0.2908109566112084,0.26570464492238993,0.28043383198481886,1.0773693498808739,0.47091284784886317,0.9396498495943145
9,fi_tdt-ud-train_Case=Ade,0.40880495592463,0.6526504913123177,0.4658635756152393,0.9775953058998494,0.9917792830256554,0.8928694669362118,0.6502324413197649,0.3823222037744772,0.8022586629927602,2.848147426202258,4.198683816115886,6.924410300761832,1.0369498353859528,18.06430929544999,16.249608679843547,22.958305739496687,2.1333499449356674,0.37039262802207185,0.42952093787933465,0.5963609895116873,0.48864737322505764,0.5735419556042279,115.94342122426809,1.1640891530224247,1.0932014836016504,0.7220998203422684,0.8721863389410894,0.8646262463044708,0.9877423072251077,1.1640891530224247,2.1333499449356674,2.1333499449356674,0.9881499192481712,1.1640891530224247,0.7468051521444087,2.1333499449356674,1.1640891530224247,0.6572473568806203,0.6810710295936667,0.7010311445886652,3.0544934709660643,2.1333499449356674,0.8487512583198076,2.105916694262528,2.224164410252667,1.8675880934382791,0.38883794379361525,0.5355634671977255,0.5340678581609104,0.6002577574792884,0.6475807418957933,0.9451105059385091,0.6517724673138241,1.0512420659844028,0.5689069395222605,0.6558847509975713,0.5554678034265242,0.5372303689401405,0.4806942098099797,3.710969662978859,1.238655792803934,0.7830180465193609,0.6526864815355922,0.5017577935915698,0.7343479512335828,0.9028335803281884,0.617670290417626,0.47266114247269003,0.6704866451997,0.7521349302008553,0.7419557810588016,0.7337030271436537,13.251750059794595,0.4897642365702189,0.9148548505073962,0.445449383077979,0.8902990497800459,0.6975423346556047,0.685935783979103,2.1333499449356674,0.6650149329051532,0.568285526327624,0.5436041973927119,1.1640891530224247,1.1640891530224247,0.6669179634401458,0.6964298790058557,0.5038441654623016,0.6298880117548447,0.7995753674524485,0.45112034734665685,0.48913404618665995,0.41688317756512283,0.8168996758988089,0.8505095560492174,0.7796531512516829,0.9700442820436822,0.5062322513361982,0.432921997879199,0.47764508379591625,2.1333499449356674,2.1333499449356674,2.1333499449356674,1.1255963272511782,2.48615474724432,17.31329269968765,2.69511772130117,1.1640891530224247,0.4981571862357843,0.4957051279268321,0.36658826815636947,1.1640891530224247,2.1333499449356674,49.79245933019858,2.1333499449356674,0.648788612395404,0.6325108721981431,0.6014655003044639,0.8247197045791006,0.5306187266781593,0.7010777373991943
