,Treebank,xcl_caval-ud-train_Case=Abl,xcl_caval-ud-dev_Case=Abl,xcl_caval-ud-test_Case=Abl,hu_szeged-ud-dev_Case=Abl,hu_szeged-ud-test_Case=Abl,hu_szeged-ud-train_Case=Abl,tr_pud-ud-test_Case=Abl,fi_ood-ud-test_Case=Abl,sah_yktdt-ud-test_Case=Abl,sa_vedic-ud-test_Case=Abl,sa_vedic-ud-train_Case=Abl,sa_vedic-ud-dev_Case=Abl,la_circse-ud-test_Case=Abl,tr_atis-ud-dev_Case=Abl,tr_atis-ud-train_Case=Abl,tr_atis-ud-test_Case=Abl,hi_pud-ud-test_Case=Abl,la_perseus-ud-test_Case=Abl,la_perseus-ud-train_Case=Abl,tr_kenet-ud-dev_Case=Abl,tr_kenet-ud-test_Case=Abl,tr_kenet-ud-train_Case=Abl,ess_sli-ud-test_Case=Abl,ky_tuecl-ud-test_Case=Abl,hit_hittb-ud-test_Case=Abl,sa_ufal-ud-test_Case=Abl,et_ewt-ud-train_Case=Abl,et_ewt-ud-test_Case=Abl,et_ewt-ud-dev_Case=Abl,gub_tudet-ud-test_Case=Abl,ml_ufal-ud-test_Case=Abl,egy_ujaen-ud-test_Case=Abl,sq_tsa-ud-test_Case=Abl,mr_ufal-ud-train_Case=Abl,si_stb-ud-test_Case=Abl,olo_kkpp-ud-test_Case=Abl,olo_kkpp-ud-train_Case=Abl,hy_bsut-ud-train_Case=Abl,hy_bsut-ud-test_Case=Abl,hy_bsut-ud-dev_Case=Abl,mdf_jr-ud-test_Case=Abl,mdf_jr-ud-train_Case=Abl,vep_vwt-ud-test_Case=Abl,la_llct-ud-dev_Case=Abl,la_llct-ud-test_Case=Abl,la_llct-ud-train_Case=Abl,fi_tdt-ud-train_Case=Abl,fi_tdt-ud-test_Case=Abl,fi_tdt-ud-dev_Case=Abl,myv_jr-ud-test_Case=Abl,myv_jr-ud-train_Case=Abl,tr_framenet-ud-test_Case=Abl,tr_framenet-ud-train_Case=Abl,tr_framenet-ud-dev_Case=Abl,ky_ktmu-ud-train_Case=Abl,ky_ktmu-ud-test_Case=Abl,la_proiel-ud-test_Case=Abl,la_proiel-ud-dev_Case=Abl,la_proiel-ud-train_Case=Abl,kpv_ikdp-ud-test_Case=Abl,kpv_lattice-ud-test_Case=Abl,tt_nmctt-ud-test_Case=Abl,tr_gb-ud-test_Case=Abl,fi_pud-ud-test_Case=Abl,hy_armtdp-ud-train_Case=Abl,hy_armtdp-ud-dev_Case=Abl,hy_armtdp-ud-test_Case=Abl,ota_boun-ud-train_Case=Abl,ota_boun-ud-test_Case=Abl,et_edt-ud-dev_Case=Abl,et_edt-ud-train_Case=Abl,et_edt-ud-test_Case=Abl,sjo_xdt-ud-test_Case=Abl,la_udante-ud-train_Case=Abl,la_udante-ud-test_Case=Abl,la_udante-ud-dev_Case=Abl,hyw_armtdp-ud-test_Case=Abl,hyw_armtdp-ud-dev_Case=Abl,hyw_armtdp-ud-train_Case=Abl,arr_tudet-ud-test_Case=Abl,aln_gps-ud-test_Case=Abl,kk_ktb-ud-test_Case=Abl,kk_ktb-ud-train_Case=Abl,gn_oldtudet-ud-test_Case=Abl,ta_mwtt-ud-test_Case=Abl,ota_dudu-ud-test_Case=Abl,ug_udt-ud-test_Case=Abl,ug_udt-ud-dev_Case=Abl,ug_udt-ud-train_Case=Abl,xum_ikuvina-ud-test_Case=Abl,la_ittb-ud-dev_Case=Abl,la_ittb-ud-test_Case=Abl,la_ittb-ud-train_Case=Abl,qtd_sagt-ud-test_Case=Abl,qtd_sagt-ud-dev_Case=Abl,qtd_sagt-ud-train_Case=Abl,krl_kkpp-ud-test_Case=Abl,eu_bdt-ud-train_Case=Abl,eu_bdt-ud-test_Case=Abl,eu_bdt-ud-dev_Case=Abl,fi_ftb-ud-dev_Case=Abl,fi_ftb-ud-train_Case=Abl,fi_ftb-ud-test_Case=Abl,eme_tudet-ud-test_Case=Abl,tr_tourism-ud-train_Case=Abl,tr_tourism-ud-dev_Case=Abl,tr_tourism-ud-test_Case=Abl,aqz_tudet-ud-test_Case=Abl,tr_imst-ud-train_Case=Abl,tr_imst-ud-dev_Case=Abl,tr_imst-ud-test_Case=Abl,gu_gujtb-ud-test_Case=Abl,bxr_bdt-ud-train_Case=Abl,bxr_bdt-ud-test_Case=Abl,bej_nsc-ud-test_Case=Abl,tr_boun-ud-dev_Case=Abl,tr_boun-ud-test_Case=Abl,tr_boun-ud-train_Case=Abl,tr_penn-ud-dev_Case=Abl,tr_penn-ud-test_Case=Abl,tr_penn-ud-train_Case=Abl
0,hu_szeged-ud-dev_Case=All,0.7315091517560126,0.3461855666085879,0.5929839408742228,0.17093227156381993,0.17988224658266067,0.17857919821259066,0.3550559303689145,0.7118190554615668,0.3816467928933231,3.6087905899645407,4.952850322505423,7.6598868827547255,1.8278555904952014,18.79024002402961,16.969094988524194,23.686370658004577,1.29172958692549,0.9609846779343693,1.148243506100032,0.4366625570582394,0.7778213357067213,0.46233834769854204,116.52705847904413,0.3201992971410781,0.26612129775759474,1.357002993352418,0.1567422118855521,0.2419496796819842,0.22208116246054982,0.3201992971410781,1.29172958692549,1.29172958692549,1.4955599278017764,0.3201992971410781,0.6259678633845907,1.29172958692549,0.3201992971410781,0.4294927828375867,0.33598660820209864,0.365968875211446,3.8046870552714194,1.29172958692549,0.5652510256205752,2.9182252939464908,3.037666812565881,2.677788015094599,0.6848008258606677,0.48465667145656227,1.0983818480971281,0.4297256801958241,0.8924010858971424,0.2141681443231386,1.1446035233204466,1.5535349967464704,0.9035982813399902,1.1569383343326103,1.368839561607132,1.3485691427760214,1.2907963527668254,4.4029020495366655,1.8049644859590206,0.38307230138930654,1.2717300485561165,0.5720877297670506,0.27095806296262526,0.2356830835829966,0.494861388279383,0.551967862954064,0.31021710891170257,0.2094776428079763,0.22788547109928525,0.20479498063897184,13.802853111041353,1.2533740796798725,1.6772180107675976,1.2067811325231428,0.17290984792310718,0.3320388432654247,0.3644518862573622,1.29172958692549,0.3562124210895061,0.7141527564857112,0.564739880333181,0.3201992971410781,0.3201992971410781,0.42765754072600565,0.3830893854000687,0.5104789964558333,0.5266484278242591,1.378281873375215,1.2406861035417254,1.3173579129350221,1.1982292714748222,0.254401013106333,0.18373248096453135,0.2770985376560856,0.15503878176735195,0.5656272944392361,0.6754978913441517,0.6516751863227704,1.29172958692549,1.29172958692549,1.29172958692549,0.2870799652561725,3.184919194122516,18.025682552198344,3.406239414541673,0.3201992971410781,1.2251747638948007,1.1834010665020023,0.9717970844300566,0.3201992971410781,1.29172958692549,50.51245577050524,1.29172958692549,0.3328768523504128,0.3398540305181797,0.37551451077672227,1.349787821602333,0.6774848816983173,1.2277193253329892
1,hu_szeged-ud-test_Case=All,0.7779913493017674,0.38134231344359937,0.6370791067016682,0.0757614408414158,0.1320435026471607,0.16919845718514168,0.4065400334349361,0.7702667419493497,0.4072055089639779,3.678227420799772,5.019139229393157,7.727019439990123,1.8930742460526382,18.82641105438781,17.003939089867135,23.72247330688599,1.2216165268919335,1.0166855376247426,1.2112577538011653,0.4804603999452583,0.8246644853332118,0.5014729790799888,116.57642890185907,0.2525381361380526,0.2065013238787487,1.4078859531733587,0.15194630471403686,0.22604398275521118,0.19509286119639518,0.2525381361380526,1.2216165268919335,1.2216165268919335,1.5198050059911727,0.2525381361380526,0.6668792178171867,1.2216165268919335,0.2525381361380526,0.48859532392732713,0.4000164434273223,0.42591407163027944,3.8642373157719954,1.2216165268919335,0.5911766199016731,2.986414780976492,3.104697416013937,2.745347188241887,0.7299876297545328,0.5173557337887823,1.1347704973397277,0.4940473972285929,0.945893124343779,0.1749204107662814,1.1920331791656567,1.6020713632860506,0.9416117315864457,1.191061566479118,1.4356329342304825,1.415221036881157,1.3570846645960637,4.47128023487407,1.8376143927898916,0.3785716152346644,1.3284068954327626,0.6118189153696392,0.32696483889689626,0.24177508528459404,0.5525598246200789,0.616855091639546,0.3569382068678503,0.2510476057116695,0.2580627828200401,0.25835261680756993,13.850664907048577,1.3197428540411447,1.7447967749031312,1.2718546596904174,0.18299964146490247,0.3899825399496321,0.4187677833576805,1.2216165268919335,0.3859609928582109,0.7430886677514263,0.6081923702116572,0.2525381361380526,0.2525381361380526,0.45311135688533927,0.4014769536736398,0.5561582671691483,0.5498089592963892,1.4410440686762627,1.3057139556816373,1.3800945018957167,1.2630195920400278,0.25302734842802777,0.18497066789764396,0.29264551836122427,0.17172593257387583,0.6183331930888073,0.7331564412503917,0.7023359265193783,1.2216165268919335,1.2216165268919335,1.2216165268919335,0.2222399369356483,3.2402080477978283,18.08266854859706,3.46661256720505,0.2525381361380526,1.2809436362140314,1.234445301841406,1.0249043834072828,0.2525381361380526,1.2216165268919335,50.54622556004896,1.2216165268919335,0.38251356896238015,0.39320804134136206,0.4315483114818146,1.3824415881111376,0.7146600458754685,1.2636532771235442
2,hu_szeged-ud-train_Case=All,0.7711544379289068,0.3733147839668741,0.6306985134289486,0.13522008780235084,0.11861354569794609,0.16737651987031577,0.39159521322065516,0.7579433136548973,0.3943049712139776,3.661332362246846,5.003667142733758,7.711003623516763,1.8767132973475507,18.834832107493472,17.013158744831934,23.731009846439203,1.2334468765583195,1.0032121770626754,1.1948334370942144,0.4731975923409972,0.8202124956446932,0.5001459679571855,116.56650231251142,0.2554424522554568,0.20493278567048015,1.4020400478416837,0.1381701934561156,0.2288633406283409,0.18445263955509753,0.2554424522554568,1.2334468765583195,1.2334468765583195,1.5278274426019116,0.2554424522554568,0.6540825221862192,1.2334468765583195,0.2554424522554568,0.4699756928599242,0.37736889517734085,0.4063955709691584,3.855300344424381,1.2334468765583195,0.5806726022258023,2.969959558067342,3.0895608498566687,2.7286192989668554,0.7262609783648157,0.5185221599883341,1.1385339776853853,0.47406079111789684,0.9324977390356296,0.1842611884281782,1.1865879319642367,1.5940640890812676,0.9429265589308048,1.1973115670927843,1.4181082774203635,1.3970982842181576,1.3398540111952808,4.459799575084406,1.844934242834793,0.394639364182526,1.3187662537424067,0.6078592738890127,0.3051236164845322,0.22739441047045122,0.5350158134026984,0.601967657371205,0.344325866428265,0.22909363657320328,0.2488555094698008,0.23995595933740269,13.840862016967371,1.3011797934369098,1.7255501983820678,1.2541199052818337,0.16802457808919405,0.3701481356162168,0.4015396940288119,1.2334468765583195,0.37812615329951815,0.7507522581647208,0.60616406848445,0.2554424522554568,0.2554424522554568,0.45771209191460804,0.40756005180768884,0.5516985719127236,0.5582679096366048,1.4241712231849772,1.2878186519379717,1.3649746455828433,1.246083121700194,0.25880909634968297,0.17901495957892546,0.29223837579155365,0.13760471263949178,0.6045849641619337,0.7176410949430945,0.6902003344930009,1.2334468765583195,1.2334468765583195,1.2334468765583195,0.22297358741179896,3.2320923205718484,18.07221363776016,3.453804624551158,0.2554424522554568,1.2747039743563366,1.2313880489695495,1.0197133348117442,0.2554424522554568,1.2334468765583195,50.55658967551455,1.2334468765583195,0.3675913954447993,0.37652471018406425,0.4159126611688583,1.3902155763358173,0.7161845486387282,1.2695846619277416
3,fi_ood-ud-test_Case=All,0.48345010790766146,0.1336254976900052,0.340556881184033,0.37224911874442107,0.363578087304193,0.32153994401760677,0.25152077668611494,0.5368856699286775,0.3806529272766879,3.429927297119077,4.773149492814092,7.489424314149546,1.627411092173147,18.54204928670382,16.719376332598976,23.43774346583463,1.4885496183206106,0.7480796834191737,0.941814680050665,0.268997453326522,0.5765590531329641,0.2377043488300752,116.39053984194345,0.5188594036020282,0.44984967058825137,1.1141495039538136,0.2212193701784694,0.20585326503701115,0.37403489624233716,0.5188594036020282,1.4885496183206106,1.4885496183206106,1.234712996341903,0.5188594036020282,0.5521218075528839,1.4885496183206106,0.5188594036020282,0.36105578035197833,0.285438943011338,0.3302179875347942,3.609827894970792,1.4885496183206106,0.5439969098792391,2.7101118419498254,2.8259763592985285,2.469995445072216,0.4307930207324407,0.23274422906404452,0.8342372096278291,0.32661711008191613,0.7611135431759848,0.29323435892946476,0.9546131396891517,1.391981331509564,0.684323790447111,0.9068420288147155,1.1622104594405247,1.1433558879231456,1.0855607391395163,4.223947699093316,1.5650576504371287,0.21339202561968262,1.0838368675852343,0.33903985666665015,0.24537633987803947,0.3291414665427788,0.3946425000280448,0.3847885824228956,0.18583814891602665,0.13540221089814228,0.09081880242285355,0.12839065802527266,13.671803930509464,1.0539686911951733,1.485820071341696,1.0010047432990785,0.2892793921827429,0.2815705395446587,0.29934577542680296,1.4885496183206106,0.16462985751808257,0.471069053248539,0.35524941990560327,0.5188594036020282,0.5188594036020282,0.21937128430651773,0.1829528179341668,0.2854025327979012,0.2860661257713822,1.2100810559763335,1.0357212550194244,1.101863665485231,0.99095975743254,0.20016832176421231,0.22903397250782703,0.20107212809895014,0.3596772893330599,0.39032228472101155,0.4930956550011994,0.46373322761650604,1.4885496183206106,1.4885496183206106,1.4885496183206106,0.4829566226548029,3.000018377874651,17.856855395145413,3.2435578992352343,0.5188594036020282,0.9967669024785797,0.9432288515910188,0.7403466060096313,0.5188594036020282,1.4885496183206106,50.260904568638686,1.4885496183206106,0.22310483295679648,0.2284443314606024,0.24710259260538794,1.1011179119383305,0.45024004437510956,0.9773538052426812
4,ess_sli-ud-test_Case=All,39.99629932900516,40.27263093710166,40.09414554490972,40.51118672663145,40.53108183901982,40.43440420092647,40.246260359882726,39.98038013635877,40.344941265470766,37.99074838933737,37.18148931832874,35.68225245827213,39.19874020057458,32.41702147406513,32.97996567758485,31.849090777184415,41.43669871020132,39.83063233829525,39.672107880711955,40.203177294880355,39.970107944386044,40.186881523074554,76.39371701913711,40.66939881532551,40.61086804723947,39.59849512704404,40.45824550854411,40.43579174985782,40.5075301641559,40.66939881532551,41.43669871020132,41.43669871020132,39.67646937697736,40.66939881532551,40.158021199589335,41.43669871020132,40.66939881532551,40.210206915084584,40.26303145023154,40.25947329898168,37.90583162266615,41.43669871020132,40.29267923581156,38.43275536177864,38.34800693660082,38.594343490266446,40.02262149060075,40.17288625565987,39.78602141456218,40.16964090577204,39.92370682769707,40.494027611357076,39.749155028563365,39.54946270178648,39.89085108141966,39.75587729202618,39.489098121148174,39.507100309623006,39.54131323324983,37.78888725538237,39.43051397203396,40.350678870603396,39.596111578794286,40.12575447109998,40.31203874188913,40.442938458528914,40.16478829184561,40.08560228067032,40.27509450288671,40.36782002072624,40.35868009468236,40.34890365877403,35.15992036395987,39.57088189910378,39.29439791186887,39.60755625233537,40.44410373975495,40.272075061270776,40.25312617746088,41.43669871020132,40.28168828583311,40.080317584057255,40.12938258855692,40.66939881532551,40.66939881532551,40.248763496074794,40.2815880621104,40.13394019474733,40.196858784990404,39.685992356146116,39.581187045781135,39.52464556478745,39.61109634186494,40.39841831329621,40.434367041523934,40.34754265442604,40.51765047482393,40.082121421473744,39.99358198511356,40.02766055358161,41.43669871020132,41.43669871020132,41.43669871020132,40.63356747266422,38.4674969250761,32.08253818198222,38.34096223044823,40.66939881532551,39.61073082159005,39.65580215590273,39.79850634466621,40.66939881532551,41.43669871020132,41.803109932156964,41.43669871020132,40.25886850314604,40.25217094300629,40.21845324088261,39.677376590295836,40.05218278402226,39.72155919636698
5,hit_hittb-ud-test_Case=All,0.981033658215459,0.5715444524392794,0.8383913995250516,0.27003086243366076,0.20327890704543547,0.36265586218399565,0.5927349379101761,0.9799018381739814,0.5345224838248488,3.88590296719629,5.221412445784578,7.928398585605507,2.095276678888364,19.021061517433772,17.197306965449716,23.917174791350252,1.0,1.209019689170821,1.4163998524064745,0.6703064653046633,1.0203470160886428,0.6985630677993511,116.73045875006231,0.0,0.1087856586440842,1.616244071283537,0.30307070437746336,0.36080121229411,0.24494897427831777,0.0,1.0,1.0,1.699673171197595,0.0,0.816496580927726,1.0,0.0,0.6756366144362388,0.590605591233093,0.6149239691939756,4.0674781742776265,1.0,0.7071067811865476,3.2012830687745946,3.320446069683141,2.95881040312914,0.9338179035135449,0.7186986956322287,1.333229162597338,0.6902571934115808,1.1230944852859372,0.2719641466102106,1.3795724778374816,1.7776388834631178,1.131370849898476,1.3847506492806019,1.646717170376281,1.6250649173880125,1.5677670543941407,4.69041575982343,2.0245407953653998,0.5315528914927409,1.5273088474063334,0.7991694907840263,0.5094081406735885,0.34999890075894746,0.737259697875463,0.8270922757788645,0.5467389605332817,0.437070031055995,0.4439966880337181,0.4560038470305008,14.000714267493642,1.5255438587204564,1.9497913088598344,1.4775338403664497,0.33052721868725343,0.5762016576278494,0.6027830343127235,1.0,0.5647624381722354,0.9323935000250103,0.8081220356417685,0.0,0.0,0.6382847385042254,0.5792266156024102,0.7570703768841809,0.7352160228214442,1.623738241667633,1.5125579561047746,1.5884201963539495,1.4703182551689247,0.4046988552428869,0.3365943859240105,0.45816212899272757,0.282842712474619,0.8097317868014416,0.9309135298189625,0.8932407601955861,1.0,1.0,1.0,0.05892556509887901,3.4328634643395466,18.26616797694534,3.655505175757629,0.0,1.4909703586443053,1.443137078762504,1.2333317746802706,0.0,1.0,50.73953093988946,1.0,0.5691558741494286,0.5807457490158667,0.6263108795402875,1.5748839956592573,0.9084234082589916,1.4604461325328297
6,et_ewt-ud-train_Case=All,0.5923953723986388,0.20358627853537653,0.45081822403098876,0.28294932952637847,0.25770914904253195,0.24891016765690221,0.27450955023180784,0.604955103764311,0.3336668616562369,3.5142456603861643,4.855811246686975,7.5712842290269595,1.7064433512237376,18.65551449653349,16.833766569563547,23.551482872195745,1.3930450983353315,0.822227285666449,1.0234649488449774,0.33022202778714177,0.6657604340548336,0.33542817806859254,116.45398412418527,0.4135739305083116,0.35125848490111766,1.2337453463618668,0.12167567575389851,0.1657797636014794,0.2727687133747083,0.4135739305083116,1.3930450983353315,1.3930450983353315,1.3472715458356257,0.4135739305083116,0.5686713866514596,1.3930450983353315,0.4135739305083116,0.38158226632761977,0.29493979305259177,0.34111931033784515,3.698156242537752,1.3930450983353315,0.5350493164149392,2.8032662845016842,2.9214894990713027,2.5610970158634774,0.535438938108309,0.3296631136123812,0.9454911698403605,0.3658530569466998,0.8137273788443561,0.21608004383840299,1.036367707668219,1.4590063899778143,0.7807926395632159,1.018057600083269,1.2495328739935638,1.2287348235905258,1.171134352748151,4.329128768701168,1.6746734160179055,0.25899558790769106,1.1668012923953248,0.4203077805264777,0.23281581150437694,0.2477107365148019,0.4289878379686964,0.4642246147447044,0.20791397919673635,0.09661201796870258,0.0683973032517781,0.10990207503460937,13.732176958552351,1.1340950424537342,1.566426831057418,1.0836716862123734,0.20989129641907733,0.28830439942959335,0.31072590252259125,1.3930450983353315,0.2068302970333098,0.5844911257074961,0.4573283977002002,0.4135739305083116,0.4135739305083116,0.3091842502873059,0.25578398884113657,0.37966678577183444,0.3949763638492807,1.2745024994133851,1.1161275502897572,1.186424192193805,1.0736167559494474,0.1716650374680049,0.15199892780653373,0.19596357634920056,0.28275368431922115,0.45314951434899453,0.5645335096308224,0.5312780535747813,1.3930450983353315,1.3930450983353315,1.3930450983353315,0.37742789527932696,3.081406805357741,17.931789592883195,3.3120750340898764,0.4135739305083116,1.0968312148791395,1.0490687624810153,0.8414852070051798,0.4135739305083116,1.3930450983353315,50.378829999772684,1.3930450983353315,0.2391582683865804,0.24458677983712399,0.2837388283417891,1.2161306593715504,0.5496538496065373,1.0921035321923886
7,et_ewt-ud-test_Case=All,0.5605624154920792,0.2193400237991559,0.42131999487042454,0.3408195656366228,0.330720376335265,0.2950568262760636,0.2602611556614539,0.5529886677258524,0.36873756373911903,3.4462826552187775,4.790242637326762,7.503357146042573,1.627799411821423,18.621655160277186,16.801834799618952,23.517925927545296,1.4619432297123496,0.7502752435947282,0.9470761314356361,0.31865154486588554,0.6386238407798455,0.32859568730215793,116.40753953098691,0.48805270012001417,0.4252876203471001,1.1913218186129058,0.20136231092806928,0.2575390758921854,0.3276732366566455,0.48805270012001417,1.4619432297123496,1.4619432297123496,1.3370246017553014,0.48805270012001417,0.5526967754168738,1.4619432297123496,0.48805270012001417,0.3528548519279169,0.2723871141474534,0.3124108454347987,3.648348932085599,1.4619432297123496,0.5372654406257364,2.7318799109733565,2.8511700508609437,2.4887211702952743,0.49413870949800226,0.309802480875143,0.915768102693553,0.32660660164702177,0.7738264797713628,0.30674679754394213,1.0009946360209947,1.4239217802462234,0.7631615959812673,1.0008190668555637,1.1766519998072744,1.156610141815305,1.100309240694552,4.264170442950751,1.6567160489749666,0.3350307516535739,1.1211060189560367,0.3885226916175888,0.22993818717855488,0.3026243856331033,0.396953628922883,0.4154572477943747,0.1961328442104188,0.1035674450853221,0.11343906878009269,0.12059603195524432,13.687851475191486,1.0602880305721685,1.493059218066506,1.0098846488289837,0.2622987326091002,0.2740169835253598,0.29548495929867374,1.4619432297123496,0.22234497377446197,0.5855219480096903,0.4404644777529898,0.48805270012001417,0.48805270012001417,0.33077980862099854,0.29281426659288384,0.35852132153123023,0.4129347848110344,1.1809945669616757,1.0502097642312143,1.1259220684105122,1.0057365798080942,0.2557815696637531,0.24025835262893647,0.2505730903751518,0.3188756444549295,0.41483479833594655,0.511363555409318,0.48659577930072545,1.4619432297123496,1.4619432297123496,1.4619432297123496,0.4518914544626318,3.037396667322002,17.880928903222923,3.2650705291516062,0.48805270012001417,1.0454299982587518,1.0062097600431634,0.7959652408209684,0.48805270012001417,1.4619432297123496,50.35410966917903,1.4619432297123496,0.2259447067376779,0.21894777302959717,0.25590099932766996,1.1994770536205743,0.5336430960429395,1.070934443016412
8,et_ewt-ud-dev_Case=All,0.5880604314279116,0.19758487750266682,0.4481424599850141,0.2828737454215355,0.25067749787125804,0.2515191143815687,0.2822077413386509,0.6102543307529711,0.34089383969257514,3.51880650790818,4.860467545455034,7.574744554474703,1.7155708569178212,18.66251526430226,16.84074682246899,23.558462047865163,1.3878741802897074,0.8324298951547267,1.027049623455577,0.3385666664142804,0.6729352598878902,0.34575668052289055,116.45839283925173,0.41099049492265494,0.34999297029930476,1.2313603199071474,0.12169776584632258,0.1557521671031119,0.274800161325174,0.41099049492265494,1.3878741802897074,1.3878741802897074,1.3448461388925987,0.41099049492265494,0.5750873713196949,1.3878741802897074,0.41099049492265494,0.3867383894811366,0.3002387799216662,0.34521715790769475,3.7046584559153066,1.3878741802897074,0.538769347882505,2.8019121475387125,2.921114845190079,2.559440735029591,0.5447526203674656,0.33866582839454207,0.9547050490104725,0.37222338196288535,0.8200457136070923,0.21898881406841553,1.0427536852362351,1.4650559426425014,0.7884977621384548,1.0271045146032716,1.2508656560386722,1.2286663791443564,1.1721748323103272,4.332534470086716,1.6824938083487972,0.26890500268433226,1.1729550201318046,0.43712722123866493,0.23741784972111615,0.25066163608991165,0.4349887087899392,0.47138545895602635,0.22185298121018124,0.08349209076757075,0.09089156432928602,0.12113860321768238,13.736514325267382,1.1368078596018196,1.5675831921642385,1.0868529200757162,0.21222353350015413,0.29465319274360924,0.3170177720341866,1.3878741802897074,0.20150905026727817,0.5912336539581013,0.4631250518226202,0.41099049492265494,0.41099049492265494,0.3171631110081536,0.2660069570710293,0.3909131349058301,0.4038929630403746,1.2916395557008653,1.1169841829257852,1.188996601456916,1.0771419859212805,0.18024970421701897,0.1574080018063338,0.20297637965766052,0.2793553301961533,0.4546207984697067,0.5648082263457542,0.534057138464459,1.3878741802897074,1.3878741802897074,1.3878741802897074,0.37527591327014126,3.087823232193369,17.937375268449564,3.317822756055963,0.41099049492265494,1.1070978129087568,1.0597819074933235,0.8520562737710298,0.41099049492265494,1.3878741802897074,50.38510895541512,1.3878741802897074,0.25038116659837684,0.2573939149450689,0.29341054233822667,1.2230556170054592,0.5583903378174216,1.1002248135663426
9,ml_ufal-ud-test_Case=All,2.8839470775686036,3.238742620028417,3.0017648886096797,3.5809100333108996,3.5986682568889976,3.503480614650745,3.2628615634432636,3.022693864864922,3.3380918415851206,2.689124283377124,3.4926397673362617,5.8214952686173715,2.543325783185302,15.509699586065489,13.679619228930338,20.39071479865284,4.58257569495584,2.829414826059536,2.7010046667968783,3.1500785653623855,2.8835381467508476,3.089146095413972,114.61239025515522,3.7416573867739413,3.6810726504632,2.3989793748209522,3.480527844174512,3.415938970949926,3.5860842154082215,3.7416573867739413,4.58257569495584,4.58257569495584,2.2110831935702664,3.7416573867739413,3.2659863237109037,4.58257569495584,3.7416573867739413,3.2891012393093706,3.3303277624931913,3.3363262227126205,2.370928462680376,4.58257569495584,3.391164991562634,2.1922529308971894,2.1299244489757903,2.200491939472207,2.931354580317679,3.108708541936671,2.535251466817444,3.2402047625372057,3.017862665701263,3.4747610704969945,2.68437177018274,2.638181191654584,2.7712812921102037,2.449319704273877,2.6162971491299296,2.6336239053088426,2.6577502314630896,2.8284271247461903,2.0245407953653998,3.2393015901956037,2.625035590282422,3.0742758293620955,3.372832860986956,3.511840763235421,3.236259634750421,3.0516639823585576,3.2787046044317374,3.3880232355938764,3.3533984563623003,3.367250256680562,12.27273400673216,2.719436889309331,2.587181232264234,2.720088879358357,3.501486974556782,3.3351839830091023,3.3120846552442513,4.58257569495584,3.219380554862191,2.8749245159172827,3.037184517924186,3.7416573867739413,3.7416573867739413,3.13876597596123,3.205152644137596,3.0789319937637822,3.0465198737172425,2.955348854714728,2.693044473311352,2.5943449828418035,2.706995823102153,3.3764809000937737,3.4536544080620293,3.345071654416067,3.588871688985272,3.115312266379039,3.040822257219254,3.0520047490557833,4.58257569495584,4.58257569495584,4.58257569495584,3.7085674083427715,1.6621710003373686,15.261900924678768,2.18097626853898,3.7416573867739413,2.452265550214226,2.4478021850611382,2.637499077551127,3.7416573867739413,4.58257569495584,47.11156970426691,4.58257569495584,3.2783068912645104,3.2786835201037627,3.232025910736879,2.254974670051609,2.9229339622762285,2.3345371559743673
