,Treebank,xcl_caval-ud-train_Case=Abl,xcl_caval-ud-dev_Case=Abl,xcl_caval-ud-test_Case=Abl,hu_szeged-ud-dev_Case=Abl,hu_szeged-ud-test_Case=Abl,hu_szeged-ud-train_Case=Abl,tr_pud-ud-test_Case=Abl,fi_ood-ud-test_Case=Abl,sah_yktdt-ud-test_Case=Abl,sa_vedic-ud-test_Case=Abl,sa_vedic-ud-train_Case=Abl,sa_vedic-ud-dev_Case=Abl,la_circse-ud-test_Case=Abl,tr_atis-ud-dev_Case=Abl,tr_atis-ud-train_Case=Abl,tr_atis-ud-test_Case=Abl,hi_pud-ud-test_Case=Abl,la_perseus-ud-test_Case=Abl,la_perseus-ud-train_Case=Abl,tr_kenet-ud-dev_Case=Abl,tr_kenet-ud-test_Case=Abl,tr_kenet-ud-train_Case=Abl,ess_sli-ud-test_Case=Abl,ky_tuecl-ud-test_Case=Abl,hit_hittb-ud-test_Case=Abl,sa_ufal-ud-test_Case=Abl,et_ewt-ud-train_Case=Abl,et_ewt-ud-test_Case=Abl,et_ewt-ud-dev_Case=Abl,gub_tudet-ud-test_Case=Abl,ml_ufal-ud-test_Case=Abl,egy_ujaen-ud-test_Case=Abl,sq_tsa-ud-test_Case=Abl,mr_ufal-ud-train_Case=Abl,si_stb-ud-test_Case=Abl,olo_kkpp-ud-test_Case=Abl,olo_kkpp-ud-train_Case=Abl,hy_bsut-ud-train_Case=Abl,hy_bsut-ud-test_Case=Abl,hy_bsut-ud-dev_Case=Abl,mdf_jr-ud-test_Case=Abl,mdf_jr-ud-train_Case=Abl,vep_vwt-ud-test_Case=Abl,la_llct-ud-dev_Case=Abl,la_llct-ud-test_Case=Abl,la_llct-ud-train_Case=Abl,fi_tdt-ud-train_Case=Abl,fi_tdt-ud-test_Case=Abl,fi_tdt-ud-dev_Case=Abl,myv_jr-ud-test_Case=Abl,myv_jr-ud-train_Case=Abl,tr_framenet-ud-test_Case=Abl,tr_framenet-ud-train_Case=Abl,tr_framenet-ud-dev_Case=Abl,ky_ktmu-ud-train_Case=Abl,ky_ktmu-ud-test_Case=Abl,la_proiel-ud-test_Case=Abl,la_proiel-ud-dev_Case=Abl,la_proiel-ud-train_Case=Abl,kpv_ikdp-ud-test_Case=Abl,kpv_lattice-ud-test_Case=Abl,tt_nmctt-ud-test_Case=Abl,tr_gb-ud-test_Case=Abl,fi_pud-ud-test_Case=Abl,hy_armtdp-ud-train_Case=Abl,hy_armtdp-ud-dev_Case=Abl,hy_armtdp-ud-test_Case=Abl,ota_boun-ud-train_Case=Abl,ota_boun-ud-test_Case=Abl,et_edt-ud-dev_Case=Abl,et_edt-ud-train_Case=Abl,et_edt-ud-test_Case=Abl,sjo_xdt-ud-test_Case=Abl,la_udante-ud-train_Case=Abl,la_udante-ud-test_Case=Abl,la_udante-ud-dev_Case=Abl,hyw_armtdp-ud-test_Case=Abl,hyw_armtdp-ud-dev_Case=Abl,hyw_armtdp-ud-train_Case=Abl,arr_tudet-ud-test_Case=Abl,aln_gps-ud-test_Case=Abl,kk_ktb-ud-test_Case=Abl,kk_ktb-ud-train_Case=Abl,gn_oldtudet-ud-test_Case=Abl,ta_mwtt-ud-test_Case=Abl,ota_dudu-ud-test_Case=Abl,ug_udt-ud-test_Case=Abl,ug_udt-ud-dev_Case=Abl,ug_udt-ud-train_Case=Abl,xum_ikuvina-ud-test_Case=Abl,la_ittb-ud-dev_Case=Abl,la_ittb-ud-test_Case=Abl,la_ittb-ud-train_Case=Abl,qtd_sagt-ud-test_Case=Abl,qtd_sagt-ud-dev_Case=Abl,qtd_sagt-ud-train_Case=Abl,krl_kkpp-ud-test_Case=Abl,eu_bdt-ud-train_Case=Abl,eu_bdt-ud-test_Case=Abl,eu_bdt-ud-dev_Case=Abl,fi_ftb-ud-dev_Case=Abl,fi_ftb-ud-train_Case=Abl,fi_ftb-ud-test_Case=Abl,eme_tudet-ud-test_Case=Abl,tr_tourism-ud-train_Case=Abl,tr_tourism-ud-dev_Case=Abl,tr_tourism-ud-test_Case=Abl,aqz_tudet-ud-test_Case=Abl,tr_imst-ud-train_Case=Abl,tr_imst-ud-dev_Case=Abl,tr_imst-ud-test_Case=Abl,gu_gujtb-ud-test_Case=Abl,bxr_bdt-ud-train_Case=Abl,bxr_bdt-ud-test_Case=Abl,bej_nsc-ud-test_Case=Abl,tr_boun-ud-dev_Case=Abl,tr_boun-ud-test_Case=Abl,tr_boun-ud-train_Case=Abl,tr_penn-ud-dev_Case=Abl,tr_penn-ud-test_Case=Abl,tr_penn-ud-train_Case=Abl
0,egy_ujaen-ud-test_Case=Lat,0.981033658215459,0.5715444524392794,0.8383913995250516,0.27003086243366076,0.20327890704543547,0.36265586218399565,0.5927349379101761,0.9799018381739814,0.5345224838248488,3.88590296719629,5.221412445784578,7.928398585605507,2.095276678888364,19.021061517433772,17.197306965449716,23.917174791350252,1.0,1.209019689170821,1.4163998524064745,0.6703064653046633,1.0203470160886428,0.6985630677993511,116.73045875006231,0.0,0.1087856586440842,1.616244071283537,0.30307070437746336,0.36080121229411,0.24494897427831777,0.0,1.0,1.0,1.699673171197595,0.0,0.816496580927726,1.0,0.0,0.6756366144362388,0.590605591233093,0.6149239691939756,4.0674781742776265,1.0,0.7071067811865476,3.2012830687745946,3.320446069683141,2.95881040312914,0.9338179035135449,0.7186986956322287,1.333229162597338,0.6902571934115808,1.1230944852859372,0.2719641466102106,1.3795724778374816,1.7776388834631178,1.131370849898476,1.3847506492806019,1.646717170376281,1.6250649173880125,1.5677670543941407,4.69041575982343,2.0245407953653998,0.5315528914927409,1.5273088474063334,0.7991694907840263,0.5094081406735885,0.34999890075894746,0.737259697875463,0.8270922757788645,0.5467389605332817,0.437070031055995,0.4439966880337181,0.4560038470305008,14.000714267493642,1.5255438587204564,1.9497913088598344,1.4775338403664497,0.33052721868725343,0.5762016576278494,0.6027830343127235,1.0,0.5647624381722354,0.9323935000250103,0.8081220356417685,0.0,0.0,0.6382847385042254,0.5792266156024102,0.7570703768841809,0.7352160228214442,1.623738241667633,1.5125579561047746,1.5884201963539495,1.4703182551689247,0.4046988552428869,0.3365943859240105,0.45816212899272757,0.282842712474619,0.8097317868014416,0.9309135298189625,0.8932407601955861,1.0,1.0,1.0,0.05892556509887901,3.4328634643395466,18.26616797694534,3.655505175757629,0.0,1.4909703586443053,1.443137078762504,1.2333317746802706,0.0,1.0,50.73953093988946,1.0,0.5691558741494286,0.5807457490158667,0.6263108795402875,1.5748839956592573,0.9084234082589916,1.4604461325328297
1,mdf_jr-ud-test_Case=Lat,33.048050728977586,33.364284800822816,33.1595133783538,33.63638283168986,33.657303064666024,33.54901311781225,33.33572692390747,33.031912848577,33.45038970518238,30.731949187886833,29.789054421273754,28.04750495918062,32.00569184122129,24.305750991277765,24.93409122718219,23.819416099756378,34.677081768799404,32.86150324126194,32.67918044079146,33.286237430136275,33.02158867407134,33.26592373151148,99.45602043114333,33.81567683782183,33.74981919741183,32.59006359149916,33.574339849002186,33.55041247905595,33.64164086366775,33.81567683782183,34.677081768799404,34.677081768799404,32.681119251879295,33.81567683782183,33.24906013709259,34.677081768799404,33.81567683782183,33.293649892023545,33.353207399444734,33.348364661637255,30.48653791565779,34.677081768799404,33.391615714128,31.253101947077628,31.156420342708948,31.442876923488683,33.076832093913005,33.250171501276256,32.80743056077388,33.24659389403453,32.96548012215836,33.61657276548342,32.77347385680467,32.54934715167111,32.95421065660654,32.78391192794812,32.47362374054859,32.49436707402193,32.533189181549254,30.47129797038518,32.40265573630396,33.45214053496713,32.59683424119471,33.19612058471592,33.40923483682228,33.55970914918514,33.24377859118915,33.14963600625109,33.368191116584754,33.47058516530504,33.46043688840133,33.448174887079006,27.66441757926597,32.556178964841344,32.24532197157411,32.60469194572889,33.55989012178793,33.36378528851397,33.34277127904612,34.677081768799404,33.37528824897965,33.141027307134316,33.19869065527268,33.81567683782183,33.81567683782183,33.33611099538002,33.37557869868659,33.20672354943933,33.27667109096867,32.681238580349834,32.57955071375094,32.514466496474675,32.61264854922519,33.50853138978605,33.54893174981629,33.46054201175045,33.63896550133491,33.16192728630431,33.063826154878086,33.09986782212569,34.677081768799404,34.677081768799404,34.677081768799404,33.77874290470594,31.310653383998766,24.063706769138342,31.1717965460474,33.81567683782183,32.610615365055786,32.66362181514237,32.824451810779735,33.81567683782183,34.677081768799404,36.91882988394946,34.677081768799404,33.351247206572296,33.34216198186614,33.304015222830785,32.68316939841308,33.1142051875226,32.73385586510265
2,myv_jr-ud-test_Case=Lat,8.111253810720752,8.410312212402454,8.21638625715215,8.67435324793569,8.696441753588287,8.589670779903,8.380302049686792,8.090522945145324,8.492513544564089,6.178188700085173,5.699210398701166,5.7202939684424825,7.238756325097467,14.326175843813004,12.814203818504533,18.852047827763315,9.717071966559976,7.936678884426461,7.764616808858969,8.333474743776392,8.083559571715014,8.316440999483358,111.51992743396147,8.85045640136127,8.785304415390748,7.699382166642867,8.614306051452255,8.591705266350386,8.681727748220101,8.85045640136127,9.717071966559976,9.717071966559976,7.816537294740776,8.85045640136127,8.302809110081798,9.717071966559976,8.85045640136127,8.341642611117566,8.397957579593834,8.395099401287945,6.07938099600096,9.717071966559976,8.443051815957435,6.553597598715428,6.477620580989011,6.697447713128945,8.139501301004431,8.302802244148872,7.8970009476346235,8.298940072977446,8.037054854709364,8.655751008833413,7.855944001217885,7.669279708008401,8.032413673453803,7.87774546053522,7.569802181987042,7.588065480110543,7.6235229670638045,6.2641575188917145,7.568211730189656,8.49997003672452,7.685647044296009,8.252612557472956,8.452324902689245,8.598994761992408,8.292507306234338,8.202730643827067,8.412192007683146,8.513768191821432,8.504233514294965,8.493718920702948,11.178129472876789,7.6510633215048705,7.370622506008655,7.692401401927221,8.598888523358251,8.408648381952528,8.388436729049829,9.717071966559976,8.42116761794864,8.20667760810712,8.253877687471727,8.85045640136127,8.85045640136127,8.385931343963096,8.423080134625092,8.258078183213904,8.332401894836625,7.806439447728262,7.663680525476101,7.603283366611656,7.695360518778566,8.550531244093222,8.587365333162273,8.506390119611353,8.678690536105524,8.219008496443587,8.125207486225499,8.158714170403519,9.717071966559976,9.717071966559976,9.717071966559976,8.815058868540302,6.683843194840456,13.344141624790982,6.585455772523576,8.85045640136127,7.699320170207861,7.753031931588532,7.898238225215491,8.85045640136127,9.717071966559976,45.25597536000217,9.717071966559976,8.39440665202675,8.385980104866388,8.3487562842432,7.795418835064804,8.173744611478194,7.833731221492865
3,myv_jr-ud-train_Case=Lat,10.149371662292483,10.45445011361046,10.256831005473538,10.721456917310821,10.743439281873648,10.635571629893931,10.423910955937309,10.13014838008983,10.53817482724083,8.075336956555804,7.426283270377787,6.8522381777107775,9.217322479634698,13.751977928737356,12.413991657001022,18.02226154390799,11.769480071652476,9.970567402471687,9.794741434475172,10.375617877252928,10.11867612441667,10.358421626885523,110.31307813043551,10.89923797472796,10.832851761873844,9.720933207188512,10.661096456525533,10.637073947675702,10.724599050472165,10.89923797472796,11.769480071652476,11.769480071652476,9.83425545473291,10.89923797472796,10.342881929693013,11.769480071652476,10.89923797472796,10.384827915154954,10.44244865217825,10.438891243754039,7.932098505969053,11.769480071652476,10.484739008011392,8.511576049482306,8.427985720048298,8.670308110955299,10.17855565980657,10.344797449812269,9.927600519063793,10.33885422823714,10.071710134691482,10.702274599267305,9.881254595617712,9.678877060745465,10.058046406766135,9.904290349002132,9.59414663224518,9.613730168296316,9.650052136729604,8.071990138335677,9.574969067821035,10.544703383314845,9.713364890880923,10.293710186111767,10.497127703622871,10.64538308945289,10.334613922012899,10.244393585397574,10.45641041152917,10.559473278861022,10.549735484605018,10.538717618618406,11.376000546314687,9.676234950256005,9.384728385444866,9.720189515500827,10.645592557503551,10.452869923311757,10.43233964558703,11.769480071652476,10.465347680135414,10.24555797357338,10.29523696666067,10.89923797472796,10.89923797472796,10.429115609811603,10.46631093696566,10.299479174115305,10.373308824489756,9.829239532330279,9.69300783418175,9.631348041246259,9.72531884624106,10.595780609392287,10.634043405472312,10.546370725256343,10.72637900745495,10.2528445405666,10.156233521283514,10.192521185591234,11.769480071652476,11.769480071652476,11.769480071652476,10.861799060643337,8.618977166638102,12.74997974394761,8.50711364405112,10.89923797472796,9.72690625499557,9.779807160633258,9.931963927687914,10.89923797472796,11.769480071652476,44.084863690518205,11.769480071652476,10.438043948805026,10.429905406187766,10.39231503595364,9.81869850940246,10.212225820923107,9.860294165546902
4,sjo_xdt-ud-test_Case=Lat,0.8357720620008333,0.44805650411701164,0.6985386378298372,0.25515518153991434,0.2084538219073198,0.2928486739000002,0.4610269234338717,0.8298242872746405,0.4419417382415922,3.715615732567655,5.052379375311301,7.761958415916259,1.929801343332991,18.86889387987542,17.04710347995263,23.76496239214361,1.202211503854459,1.055983105607767,1.2569822612613837,0.537451417953289,0.874100744873476,0.5651519247246524,116.59575597979543,0.2651650429449553,0.23086936929890328,1.4652109446236392,0.24082708565521688,0.2917282972361167,0.23518609652783473,0.2651650429449553,1.202211503854459,1.202211503854459,1.568184105546568,0.2651650429449553,0.6978389260185094,1.202211503854459,0.2651650429449553,0.5471779580224209,0.4670080690531372,0.495482402733624,3.8988754352714725,1.202211503854459,0.6187184335382291,3.0315054350919963,3.1501272228610437,2.789264297173188,0.7882830467664882,0.5838995425235445,1.1862493414118296,0.5498958724927132,0.9805413888191445,0.24028844229999616,1.2307116407425747,1.6333439625504482,0.9875791107551841,1.2394822501505016,1.4816031297040742,1.4604874137510764,1.4027638736617989,4.535450639131684,1.882572158537028,0.4415498155499426,1.3667849481302574,0.6629126073623883,0.3914479325294872,0.28455162144910306,0.6032117058806293,0.681988576419977,0.4175919656656996,0.3352165110903137,0.33759937316690714,0.3473374624978457,13.870032894697834,1.3605316866437698,1.7844701567842571,1.3135016173754726,0.2614744381923693,0.4536483066010038,0.47719730039516606,1.202211503854459,0.44441843788695845,0.8041774610674494,0.674919685320152,0.2651650429449553,0.2651650429449553,0.5190246372515221,0.4630439743936015,0.6151975744064305,0.6140511411251395,1.4875940099467682,1.3477032884637243,1.422297899360307,1.3059303829318296,0.3176003451263502,0.26005556943134817,0.3566003532714918,0.27443123000125186,0.6652535042917829,0.7814489746618138,0.7459180939391401,1.202211503854459,1.202211503854459,1.202211503854459,0.24116326880812966,3.275647121531456,18.1087755112412,3.4985495239897633,0.2651650429449553,1.3291653627820228,1.2845684952575571,1.0765996587680655,0.2651650429449553,1.202211503854459,50.59219616205645,1.202211503854459,0.43783120554987026,0.44869602739493925,0.4895483025546795,1.4329965375142584,0.7675985672888326,1.3151029349371228
5,eu_bdt-ud-train_Case=Lat,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
6,eu_bdt-ud-test_Case=Lat,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
7,eu_bdt-ud-dev_Case=Lat,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
8,fi_ftb-ud-dev_Case=Lat,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
9,fi_ftb-ud-train_Case=Lat,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
