,Treebank,xcl_caval-ud-train_Case=Abl,xcl_caval-ud-dev_Case=Abl,xcl_caval-ud-test_Case=Abl,hu_szeged-ud-dev_Case=Abl,hu_szeged-ud-test_Case=Abl,hu_szeged-ud-train_Case=Abl,tr_pud-ud-test_Case=Abl,fi_ood-ud-test_Case=Abl,sah_yktdt-ud-test_Case=Abl,sa_vedic-ud-test_Case=Abl,sa_vedic-ud-train_Case=Abl,sa_vedic-ud-dev_Case=Abl,la_circse-ud-test_Case=Abl,tr_atis-ud-dev_Case=Abl,tr_atis-ud-train_Case=Abl,tr_atis-ud-test_Case=Abl,hi_pud-ud-test_Case=Abl,la_perseus-ud-test_Case=Abl,la_perseus-ud-train_Case=Abl,tr_kenet-ud-dev_Case=Abl,tr_kenet-ud-test_Case=Abl,tr_kenet-ud-train_Case=Abl,ess_sli-ud-test_Case=Abl,ky_tuecl-ud-test_Case=Abl,hit_hittb-ud-test_Case=Abl,sa_ufal-ud-test_Case=Abl,et_ewt-ud-train_Case=Abl,et_ewt-ud-test_Case=Abl,et_ewt-ud-dev_Case=Abl,gub_tudet-ud-test_Case=Abl,ml_ufal-ud-test_Case=Abl,egy_ujaen-ud-test_Case=Abl,sq_tsa-ud-test_Case=Abl,mr_ufal-ud-train_Case=Abl,si_stb-ud-test_Case=Abl,olo_kkpp-ud-test_Case=Abl,olo_kkpp-ud-train_Case=Abl,hy_bsut-ud-train_Case=Abl,hy_bsut-ud-test_Case=Abl,hy_bsut-ud-dev_Case=Abl,mdf_jr-ud-test_Case=Abl,mdf_jr-ud-train_Case=Abl,vep_vwt-ud-test_Case=Abl,la_llct-ud-dev_Case=Abl,la_llct-ud-test_Case=Abl,la_llct-ud-train_Case=Abl,fi_tdt-ud-train_Case=Abl,fi_tdt-ud-test_Case=Abl,fi_tdt-ud-dev_Case=Abl,myv_jr-ud-test_Case=Abl,myv_jr-ud-train_Case=Abl,tr_framenet-ud-test_Case=Abl,tr_framenet-ud-train_Case=Abl,tr_framenet-ud-dev_Case=Abl,ky_ktmu-ud-train_Case=Abl,ky_ktmu-ud-test_Case=Abl,la_proiel-ud-test_Case=Abl,la_proiel-ud-dev_Case=Abl,la_proiel-ud-train_Case=Abl,kpv_ikdp-ud-test_Case=Abl,kpv_lattice-ud-test_Case=Abl,tt_nmctt-ud-test_Case=Abl,tr_gb-ud-test_Case=Abl,fi_pud-ud-test_Case=Abl,hy_armtdp-ud-train_Case=Abl,hy_armtdp-ud-dev_Case=Abl,hy_armtdp-ud-test_Case=Abl,ota_boun-ud-train_Case=Abl,ota_boun-ud-test_Case=Abl,et_edt-ud-dev_Case=Abl,et_edt-ud-train_Case=Abl,et_edt-ud-test_Case=Abl,sjo_xdt-ud-test_Case=Abl,la_udante-ud-train_Case=Abl,la_udante-ud-test_Case=Abl,la_udante-ud-dev_Case=Abl,hyw_armtdp-ud-test_Case=Abl,hyw_armtdp-ud-dev_Case=Abl,hyw_armtdp-ud-train_Case=Abl,arr_tudet-ud-test_Case=Abl,aln_gps-ud-test_Case=Abl,kk_ktb-ud-test_Case=Abl,kk_ktb-ud-train_Case=Abl,gn_oldtudet-ud-test_Case=Abl,ta_mwtt-ud-test_Case=Abl,ota_dudu-ud-test_Case=Abl,ug_udt-ud-test_Case=Abl,ug_udt-ud-dev_Case=Abl,ug_udt-ud-train_Case=Abl,xum_ikuvina-ud-test_Case=Abl,la_ittb-ud-dev_Case=Abl,la_ittb-ud-test_Case=Abl,la_ittb-ud-train_Case=Abl,qtd_sagt-ud-test_Case=Abl,qtd_sagt-ud-dev_Case=Abl,qtd_sagt-ud-train_Case=Abl,krl_kkpp-ud-test_Case=Abl,eu_bdt-ud-train_Case=Abl,eu_bdt-ud-test_Case=Abl,eu_bdt-ud-dev_Case=Abl,fi_ftb-ud-dev_Case=Abl,fi_ftb-ud-train_Case=Abl,fi_ftb-ud-test_Case=Abl,eme_tudet-ud-test_Case=Abl,tr_tourism-ud-train_Case=Abl,tr_tourism-ud-dev_Case=Abl,tr_tourism-ud-test_Case=Abl,aqz_tudet-ud-test_Case=Abl,tr_imst-ud-train_Case=Abl,tr_imst-ud-dev_Case=Abl,tr_imst-ud-test_Case=Abl,gu_gujtb-ud-test_Case=Abl,bxr_bdt-ud-train_Case=Abl,bxr_bdt-ud-test_Case=Abl,bej_nsc-ud-test_Case=Abl,tr_boun-ud-dev_Case=Abl,tr_boun-ud-test_Case=Abl,tr_boun-ud-train_Case=Abl,tr_penn-ud-dev_Case=Abl,tr_penn-ud-test_Case=Abl,tr_penn-ud-train_Case=Abl
0,hu_szeged-ud-dev_Case=Tem,0.8621086971797884,0.46104687820742635,0.7199570632930888,0.20412414523193148,0.16467473575215275,0.2818438238512313,0.48011558389671777,0.8524973490303688,0.45806269065645216,3.753732577569632,5.096206530932314,7.799854090250735,1.9715903800809433,18.918720061092927,17.095904861040594,23.814823814870714,1.1319231422671772,1.0965438583860256,1.289790532656472,0.5590568513999699,0.908289387909143,0.5849469333273963,116.64060720863897,0.1767766952966369,0.15444594619431742,1.4882618954296165,0.19942045661997287,0.2906964703429034,0.203100960115899,0.1767766952966369,1.1319231422671772,1.1319231422671772,1.6083549221348987,0.1767766952966369,0.7288689868556626,1.1319231422671772,0.1767766952966369,0.5515652241294682,0.45539494071043135,0.48260843305311113,3.94903272554883,1.1319231422671772,0.6373774391990981,3.0641717043785475,3.18375645047053,2.823798482850688,0.817748189346039,0.6129002101178326,1.2283118496538246,0.5627555038392571,1.017929745350546,0.2179958470914353,1.2748567352023752,1.678168644683841,1.0301698889018258,1.283652582484756,1.514241539257217,1.4934007191465828,1.437156432763581,4.531142240097965,1.9270051285432788,0.4566566747125862,1.4126943268457253,0.6945659615904022,0.38647530146037995,0.2814033173644185,0.617915371204721,0.6873677980498637,0.4336088424143532,0.3091405558644241,0.3293564202767321,0.3186037493287335,13.913168222946203,1.399037287358826,1.820929914172147,1.3516231914806045,0.23084397321037006,0.45036711998818296,0.4842573420615323,1.1319231422671772,0.4654931624605465,0.8273220688193659,0.6855840650161594,0.1767766952966369,0.1767766952966369,0.53467712652556,0.4863590637470314,0.641149141949221,0.6340658591925835,1.4949411520811124,1.386078117461938,1.4635189381928988,1.3434555945215518,0.32590700201317996,0.2439143994187492,0.36608698324345207,0.10606601717798211,0.6980297984756495,0.8110795275433847,0.7846310659203934,1.1319231422671772,1.1319231422671772,1.1319231422671772,0.15590239111558085,3.319033402094291,18.158458004672035,3.5398208607716932,0.1767766952966369,1.367723876787896,1.3229732667226537,1.1111751471358853,0.1767766952966369,1.1319231422671772,50.6362641789459,1.1319231422671772,0.457387152879206,0.46578227209716777,0.5058039885663147,1.472578128307532,0.8032530628880786,1.3542393535800148
1,hu_szeged-ud-test_Case=Tem,0.981033658215459,0.5715444524392794,0.8383913995250516,0.27003086243366076,0.20327890704543547,0.36265586218399565,0.5927349379101761,0.9799018381739814,0.5345224838248488,3.88590296719629,5.221412445784578,7.928398585605507,2.095276678888364,19.021061517433772,17.197306965449716,23.917174791350252,1.0,1.209019689170821,1.4163998524064745,0.6703064653046633,1.0203470160886428,0.6985630677993511,116.73045875006231,0.0,0.1087856586440842,1.616244071283537,0.30307070437746336,0.36080121229411,0.24494897427831777,0.0,1.0,1.0,1.699673171197595,0.0,0.816496580927726,1.0,0.0,0.6756366144362388,0.590605591233093,0.6149239691939756,4.0674781742776265,1.0,0.7071067811865476,3.2012830687745946,3.320446069683141,2.95881040312914,0.9338179035135449,0.7186986956322287,1.333229162597338,0.6902571934115808,1.1230944852859372,0.2719641466102106,1.3795724778374816,1.7776388834631178,1.131370849898476,1.3847506492806019,1.646717170376281,1.6250649173880125,1.5677670543941407,4.69041575982343,2.0245407953653998,0.5315528914927409,1.5273088474063334,0.7991694907840263,0.5094081406735885,0.34999890075894746,0.737259697875463,0.8270922757788645,0.5467389605332817,0.437070031055995,0.4439966880337181,0.4560038470305008,14.000714267493642,1.5255438587204564,1.9497913088598344,1.4775338403664497,0.33052721868725343,0.5762016576278494,0.6027830343127235,1.0,0.5647624381722354,0.9323935000250103,0.8081220356417685,0.0,0.0,0.6382847385042254,0.5792266156024102,0.7570703768841809,0.7352160228214442,1.623738241667633,1.5125579561047746,1.5884201963539495,1.4703182551689247,0.4046988552428869,0.3365943859240105,0.45816212899272757,0.282842712474619,0.8097317868014416,0.9309135298189625,0.8932407601955861,1.0,1.0,1.0,0.05892556509887901,3.4328634643395466,18.26616797694534,3.655505175757629,0.0,1.4909703586443053,1.443137078762504,1.2333317746802706,0.0,1.0,50.73953093988946,1.0,0.5691558741494286,0.5807457490158667,0.6263108795402875,1.5748839956592573,0.9084234082589916,1.4604461325328297
2,hu_szeged-ud-train_Case=Tem,0.981033658215459,0.5715444524392794,0.8383913995250516,0.27003086243366076,0.20327890704543547,0.36265586218399565,0.5927349379101761,0.9799018381739814,0.5345224838248488,3.88590296719629,5.221412445784578,7.928398585605507,2.095276678888364,19.021061517433772,17.197306965449716,23.917174791350252,1.0,1.209019689170821,1.4163998524064745,0.6703064653046633,1.0203470160886428,0.6985630677993511,116.73045875006231,0.0,0.1087856586440842,1.616244071283537,0.30307070437746336,0.36080121229411,0.24494897427831777,0.0,1.0,1.0,1.699673171197595,0.0,0.816496580927726,1.0,0.0,0.6756366144362388,0.590605591233093,0.6149239691939756,4.0674781742776265,1.0,0.7071067811865476,3.2012830687745946,3.320446069683141,2.95881040312914,0.9338179035135449,0.7186986956322287,1.333229162597338,0.6902571934115808,1.1230944852859372,0.2719641466102106,1.3795724778374816,1.7776388834631178,1.131370849898476,1.3847506492806019,1.646717170376281,1.6250649173880125,1.5677670543941407,4.69041575982343,2.0245407953653998,0.5315528914927409,1.5273088474063334,0.7991694907840263,0.5094081406735885,0.34999890075894746,0.737259697875463,0.8270922757788645,0.5467389605332817,0.437070031055995,0.4439966880337181,0.4560038470305008,14.000714267493642,1.5255438587204564,1.9497913088598344,1.4775338403664497,0.33052721868725343,0.5762016576278494,0.6027830343127235,1.0,0.5647624381722354,0.9323935000250103,0.8081220356417685,0.0,0.0,0.6382847385042254,0.5792266156024102,0.7570703768841809,0.7352160228214442,1.623738241667633,1.5125579561047746,1.5884201963539495,1.4703182551689247,0.4046988552428869,0.3365943859240105,0.45816212899272757,0.282842712474619,0.8097317868014416,0.9309135298189625,0.8932407601955861,1.0,1.0,1.0,0.05892556509887901,3.4328634643395466,18.26616797694534,3.655505175757629,0.0,1.4909703586443053,1.443137078762504,1.2333317746802706,0.0,1.0,50.73953093988946,1.0,0.5691558741494286,0.5807457490158667,0.6263108795402875,1.5748839956592573,0.9084234082589916,1.4604461325328297
3,fa_seraji-ud-dev_Case=Tem,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
4,fa_seraji-ud-test_Case=Tem,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
5,fa_seraji-ud-train_Case=Tem,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
6,gub_tudet-ud-test_Case=Tem,0.981033658215459,0.5715444524392794,0.8383913995250516,0.27003086243366076,0.20327890704543547,0.36265586218399565,0.5927349379101761,0.9799018381739814,0.5345224838248488,3.88590296719629,5.221412445784578,7.928398585605507,2.095276678888364,19.021061517433772,17.197306965449716,23.917174791350252,1.0,1.209019689170821,1.4163998524064745,0.6703064653046633,1.0203470160886428,0.6985630677993511,116.73045875006231,0.0,0.1087856586440842,1.616244071283537,0.30307070437746336,0.36080121229411,0.24494897427831777,0.0,1.0,1.0,1.699673171197595,0.0,0.816496580927726,1.0,0.0,0.6756366144362388,0.590605591233093,0.6149239691939756,4.0674781742776265,1.0,0.7071067811865476,3.2012830687745946,3.320446069683141,2.95881040312914,0.9338179035135449,0.7186986956322287,1.333229162597338,0.6902571934115808,1.1230944852859372,0.2719641466102106,1.3795724778374816,1.7776388834631178,1.131370849898476,1.3847506492806019,1.646717170376281,1.6250649173880125,1.5677670543941407,4.69041575982343,2.0245407953653998,0.5315528914927409,1.5273088474063334,0.7991694907840263,0.5094081406735885,0.34999890075894746,0.737259697875463,0.8270922757788645,0.5467389605332817,0.437070031055995,0.4439966880337181,0.4560038470305008,14.000714267493642,1.5255438587204564,1.9497913088598344,1.4775338403664497,0.33052721868725343,0.5762016576278494,0.6027830343127235,1.0,0.5647624381722354,0.9323935000250103,0.8081220356417685,0.0,0.0,0.6382847385042254,0.5792266156024102,0.7570703768841809,0.7352160228214442,1.623738241667633,1.5125579561047746,1.5884201963539495,1.4703182551689247,0.4046988552428869,0.3365943859240105,0.45816212899272757,0.282842712474619,0.8097317868014416,0.9309135298189625,0.8932407601955861,1.0,1.0,1.0,0.05892556509887901,3.4328634643395466,18.26616797694534,3.655505175757629,0.0,1.4909703586443053,1.443137078762504,1.2333317746802706,0.0,1.0,50.73953093988946,1.0,0.5691558741494286,0.5807457490158667,0.6263108795402875,1.5748839956592573,0.9084234082589916,1.4604461325328297
7,lzh_tuecl-ud-test_Case=Tem,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
8,apu_ufpa-ud-test_Case=Tem,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
9,egy_ujaen-ud-test_Case=Tem,1.9351894565771866,1.5405111778306224,1.7956245877591162,1.2204848763230673,1.1853095282186634,1.3230899037571242,1.5705228683121009,1.9451830310337004,1.4638501094227998,4.835176356148253,6.156303355579317,8.84095777816305,3.0524509968820435,19.847563609924517,18.015411712519857,24.740949523681046,0.0,2.1645814420642675,2.37784999625236,1.6370949844766072,1.9732560939189738,1.661973692717177,117.45211790342479,1.0,1.0796668344321692,2.543499116394979,1.2835136958394355,1.3211972336398206,1.2083045973594573,1.0,0.0,0.0,2.560381915956203,1.0,1.7320508075688774,0.0,1.0,1.6337841938927158,1.555949842652198,1.5685931368795876,5.008277172510163,0.0,1.5811388300841898,4.155343916539191,4.275279936582964,3.915000890586476,1.8930626924303462,1.6816667996186203,2.26439837484485,1.6672809540006404,2.0580816789521883,1.2391541302759241,2.31313394395121,2.6758176320519302,2.06881608655772,2.307747305488443,2.615626502506727,2.59310032953965,2.539096521469755,5.5677643628300215,2.9038076323048845,1.457619202539603,2.4870435246815115,1.7539019000502851,1.4836590668344454,1.3111027643181319,1.6961383184884282,1.7963682182420742,1.5290975041636563,1.4090957242119833,1.4197364464940068,1.4312649016347547,14.724808997063425,2.498443095671545,2.9101945505838316,2.4494512826049313,1.3047112700161232,1.5427691637114966,1.568983123616363,0.0,1.5302561498969776,1.8525273652199823,1.7554579610635008,1.0,1.0,1.5869840952317444,1.5350364183157206,1.7281460843600258,1.6695676627379603,2.5041310307005324,2.4854867652813493,2.5623293212180593,2.443536577527555,1.3690534975757436,1.3159986632464675,1.423460244283413,1.2165525060596438,1.779667587408437,1.8991050523865183,1.8603226612578245,0.0,0.0,0.0,1.042499666933067,4.334114853669353,19.119675297218684,4.552620613847279,1.0,2.45594317326027,2.40092957204441,2.1970411055274233,1.0,0.0,51.53154373779229,0.0,1.5505580865874455,1.561174437723088,1.606603082099346,2.476170913018999,1.8598483555317864,2.3789509973157035
