,Treebank,xcl_caval-ud-train_Case=Abl,xcl_caval-ud-dev_Case=Abl,xcl_caval-ud-test_Case=Abl,hu_szeged-ud-dev_Case=Abl,hu_szeged-ud-test_Case=Abl,hu_szeged-ud-train_Case=Abl,tr_pud-ud-test_Case=Abl,fi_ood-ud-test_Case=Abl,sah_yktdt-ud-test_Case=Abl,sa_vedic-ud-test_Case=Abl,sa_vedic-ud-train_Case=Abl,sa_vedic-ud-dev_Case=Abl,la_circse-ud-test_Case=Abl,tr_atis-ud-dev_Case=Abl,tr_atis-ud-train_Case=Abl,tr_atis-ud-test_Case=Abl,hi_pud-ud-test_Case=Abl,la_perseus-ud-test_Case=Abl,la_perseus-ud-train_Case=Abl,tr_kenet-ud-dev_Case=Abl,tr_kenet-ud-test_Case=Abl,tr_kenet-ud-train_Case=Abl,ess_sli-ud-test_Case=Abl,ky_tuecl-ud-test_Case=Abl,hit_hittb-ud-test_Case=Abl,sa_ufal-ud-test_Case=Abl,et_ewt-ud-train_Case=Abl,et_ewt-ud-test_Case=Abl,et_ewt-ud-dev_Case=Abl,gub_tudet-ud-test_Case=Abl,ml_ufal-ud-test_Case=Abl,egy_ujaen-ud-test_Case=Abl,sq_tsa-ud-test_Case=Abl,mr_ufal-ud-train_Case=Abl,si_stb-ud-test_Case=Abl,olo_kkpp-ud-test_Case=Abl,olo_kkpp-ud-train_Case=Abl,hy_bsut-ud-train_Case=Abl,hy_bsut-ud-test_Case=Abl,hy_bsut-ud-dev_Case=Abl,mdf_jr-ud-test_Case=Abl,mdf_jr-ud-train_Case=Abl,vep_vwt-ud-test_Case=Abl,la_llct-ud-dev_Case=Abl,la_llct-ud-test_Case=Abl,la_llct-ud-train_Case=Abl,fi_tdt-ud-train_Case=Abl,fi_tdt-ud-test_Case=Abl,fi_tdt-ud-dev_Case=Abl,myv_jr-ud-test_Case=Abl,myv_jr-ud-train_Case=Abl,tr_framenet-ud-test_Case=Abl,tr_framenet-ud-train_Case=Abl,tr_framenet-ud-dev_Case=Abl,ky_ktmu-ud-train_Case=Abl,ky_ktmu-ud-test_Case=Abl,la_proiel-ud-test_Case=Abl,la_proiel-ud-dev_Case=Abl,la_proiel-ud-train_Case=Abl,kpv_ikdp-ud-test_Case=Abl,kpv_lattice-ud-test_Case=Abl,tt_nmctt-ud-test_Case=Abl,tr_gb-ud-test_Case=Abl,fi_pud-ud-test_Case=Abl,hy_armtdp-ud-train_Case=Abl,hy_armtdp-ud-dev_Case=Abl,hy_armtdp-ud-test_Case=Abl,ota_boun-ud-train_Case=Abl,ota_boun-ud-test_Case=Abl,et_edt-ud-dev_Case=Abl,et_edt-ud-train_Case=Abl,et_edt-ud-test_Case=Abl,sjo_xdt-ud-test_Case=Abl,la_udante-ud-train_Case=Abl,la_udante-ud-test_Case=Abl,la_udante-ud-dev_Case=Abl,hyw_armtdp-ud-test_Case=Abl,hyw_armtdp-ud-dev_Case=Abl,hyw_armtdp-ud-train_Case=Abl,arr_tudet-ud-test_Case=Abl,aln_gps-ud-test_Case=Abl,kk_ktb-ud-test_Case=Abl,kk_ktb-ud-train_Case=Abl,gn_oldtudet-ud-test_Case=Abl,ta_mwtt-ud-test_Case=Abl,ota_dudu-ud-test_Case=Abl,ug_udt-ud-test_Case=Abl,ug_udt-ud-dev_Case=Abl,ug_udt-ud-train_Case=Abl,xum_ikuvina-ud-test_Case=Abl,la_ittb-ud-dev_Case=Abl,la_ittb-ud-test_Case=Abl,la_ittb-ud-train_Case=Abl,qtd_sagt-ud-test_Case=Abl,qtd_sagt-ud-dev_Case=Abl,qtd_sagt-ud-train_Case=Abl,krl_kkpp-ud-test_Case=Abl,eu_bdt-ud-train_Case=Abl,eu_bdt-ud-test_Case=Abl,eu_bdt-ud-dev_Case=Abl,fi_ftb-ud-dev_Case=Abl,fi_ftb-ud-train_Case=Abl,fi_ftb-ud-test_Case=Abl,eme_tudet-ud-test_Case=Abl,tr_tourism-ud-train_Case=Abl,tr_tourism-ud-dev_Case=Abl,tr_tourism-ud-test_Case=Abl,aqz_tudet-ud-test_Case=Abl,tr_imst-ud-train_Case=Abl,tr_imst-ud-dev_Case=Abl,tr_imst-ud-test_Case=Abl,gu_gujtb-ud-test_Case=Abl,bxr_bdt-ud-train_Case=Abl,bxr_bdt-ud-test_Case=Abl,bej_nsc-ud-test_Case=Abl,tr_boun-ud-dev_Case=Abl,tr_boun-ud-test_Case=Abl,tr_boun-ud-train_Case=Abl,tr_penn-ud-dev_Case=Abl,tr_penn-ud-test_Case=Abl,tr_penn-ud-train_Case=Abl
0,hu_szeged-ud-dev_Case=Ter,0.6459385201336981,0.34674460871818386,0.5249282917191141,0.2756865727955446,0.34786212843883957,0.18098022620621235,0.3406276596148232,0.6021058918302648,0.41996052556580804,3.4670302189562,4.8110681557102914,7.519209830687691,1.6954903456709125,18.66060608666302,16.84134607488792,23.556415406214153,1.469861839480328,0.8566334551656336,1.0275312092575501,0.401636100405989,0.6894099440302605,0.4212731412487762,116.41136086427133,0.5211573066470477,0.46374905867523203,1.2451973750765197,0.3227964232518656,0.35815943315823867,0.3922080576605065,0.5211573066470477,1.469861839480328,1.469861839480328,1.405456737852613,0.5211573066470477,0.5879447357921312,1.469861839480328,0.5211573066470477,0.3919460268099229,0.330965083703313,0.3487575819928215,3.6648831157188453,1.469861839480328,0.5719794522770556,2.778885353424427,2.897360452588154,2.5390656090867894,0.5970221608139532,0.41965568678569637,0.9939787860716613,0.3792297947098865,0.8043048396667792,0.3747548934768163,1.0412405509892766,1.4485411989095345,0.814073737067298,1.0577544679055508,1.2393985994041294,1.2204922850325903,1.1616499419530415,4.274529791482521,1.699673171197595,0.42412782139108174,1.151550612278127,0.5142406828891231,0.30250870490569676,0.3591614627551833,0.44628734569213835,0.47489771610941234,0.3126684261402612,0.2918249244738354,0.2988546953684324,0.27743099546591743,13.692757389885779,1.12683471191192,1.546313827883669,1.0823080634858002,0.31290165248944884,0.330541934767673,0.3505494679253448,1.469861839480328,0.36189168302945746,0.6542167944936379,0.5079365079365078,0.5211573066470477,0.5211573066470477,0.4157397096415491,0.38870283247657034,0.4492188006575388,0.49559867436219873,1.282676181660521,1.114676720809734,1.1890830329692286,1.0733208068027438,0.3458274541188097,0.321113340312125,0.33789130787761235,0.3596980901386366,0.49591905053302726,0.587257698917836,0.5704507703011322,1.469861839480328,1.469861839480328,1.469861839480328,0.48789355750695257,3.0569930360656072,17.89151518687205,3.2780229009836908,0.5211573066470477,1.1033682320816398,1.0663385246717203,0.8612385340605285,0.5211573066470477,1.469861839480328,50.386224356844515,1.469861839480328,0.32508648457261924,0.3278439787196283,0.3442684231058256,1.2502935843629688,0.6036916934556117,1.1264273088918113
1,hu_szeged-ud-test_Case=Ter,0.981033658215459,0.5715444524392794,0.8383913995250516,0.27003086243366076,0.20327890704543547,0.36265586218399565,0.5927349379101761,0.9799018381739814,0.5345224838248488,3.88590296719629,5.221412445784578,7.928398585605507,2.095276678888364,19.021061517433772,17.197306965449716,23.917174791350252,1.0,1.209019689170821,1.4163998524064745,0.6703064653046633,1.0203470160886428,0.6985630677993511,116.73045875006231,0.0,0.1087856586440842,1.616244071283537,0.30307070437746336,0.36080121229411,0.24494897427831777,0.0,1.0,1.0,1.699673171197595,0.0,0.816496580927726,1.0,0.0,0.6756366144362388,0.590605591233093,0.6149239691939756,4.0674781742776265,1.0,0.7071067811865476,3.2012830687745946,3.320446069683141,2.95881040312914,0.9338179035135449,0.7186986956322287,1.333229162597338,0.6902571934115808,1.1230944852859372,0.2719641466102106,1.3795724778374816,1.7776388834631178,1.131370849898476,1.3847506492806019,1.646717170376281,1.6250649173880125,1.5677670543941407,4.69041575982343,2.0245407953653998,0.5315528914927409,1.5273088474063334,0.7991694907840263,0.5094081406735885,0.34999890075894746,0.737259697875463,0.8270922757788645,0.5467389605332817,0.437070031055995,0.4439966880337181,0.4560038470305008,14.000714267493642,1.5255438587204564,1.9497913088598344,1.4775338403664497,0.33052721868725343,0.5762016576278494,0.6027830343127235,1.0,0.5647624381722354,0.9323935000250103,0.8081220356417685,0.0,0.0,0.6382847385042254,0.5792266156024102,0.7570703768841809,0.7352160228214442,1.623738241667633,1.5125579561047746,1.5884201963539495,1.4703182551689247,0.4046988552428869,0.3365943859240105,0.45816212899272757,0.282842712474619,0.8097317868014416,0.9309135298189625,0.8932407601955861,1.0,1.0,1.0,0.05892556509887901,3.4328634643395466,18.26616797694534,3.655505175757629,0.0,1.4909703586443053,1.443137078762504,1.2333317746802706,0.0,1.0,50.73953093988946,1.0,0.5691558741494286,0.5807457490158667,0.6263108795402875,1.5748839956592573,0.9084234082589916,1.4604461325328297
2,hu_szeged-ud-train_Case=Ter,0.8687384245653648,0.464014764787705,0.7269716264306203,0.20412414523193148,0.11223888174264438,0.2379463820393653,0.48167942675875935,0.8627381349986394,0.45041867648553846,3.764438273295523,5.103268650624527,7.8107328120685535,1.9771516409440382,18.91894947679589,17.096339182558992,23.81511541484152,1.1288514320120056,1.097210290540608,1.298153541624414,0.5612903101871825,0.9102590200230893,0.5891430929648561,116.6405774400811,0.15590239111558088,0.13003501778910767,1.501864864947029,0.20514222708485277,0.27849594866959565,0.18521758975744057,0.15590239111558088,1.1288514320120056,1.1288514320120056,1.6061946056163654,0.15590239111558088,0.7240894665409486,1.1288514320120056,0.15590239111558088,0.5644079621773835,0.47561886364661937,0.5034058358836255,3.9513992519931724,1.1288514320120056,0.6319062870042959,3.0780174370771234,3.197161861052662,2.836162565794378,0.8218866307776186,0.6116916739603014,1.2271805988615618,0.5731281745100578,1.0176673220828305,0.20143918413423936,1.2729918433762861,1.6760983132130274,1.0267938232944118,1.280944771672588,1.5248489372122502,1.503634597980449,1.4463278732089917,4.567016409964922,1.9252024103942043,0.4489887238173274,1.4129800970438857,0.6933150538455723,0.3977378699892346,0.2687812913490356,0.6264334132018713,0.7063026112685745,0.43501967589523327,0.32693772957303213,0.33654063973729437,0.3410323079660703,13.912918656973295,1.4053240039802362,1.8297484500761958,1.3577663131241462,0.23466023471322053,0.4642132499824416,0.4927056081756625,1.1288514320120056,0.4620901628913508,0.8315084184781294,0.6977754578438259,0.15590239111558088,0.15590239111558088,0.5368374469468803,0.4809748491922999,0.6443903233979302,0.6358886133659291,1.5155890916729606,1.392370775939606,1.4684570793794651,1.3500558427371174,0.3150728955603361,0.24021746184368534,0.36121544180733023,0.19400744544704693,0.6981775348627444,0.8160303643587999,0.7825897926212609,1.1288514320120056,1.1288514320120056,1.1288514320120056,0.13176156917368242,3.3229882395457904,18.15993553742963,3.545256242835566,0.15590239111558088,1.3730931536173216,1.3274988564807726,1.1168588121626057,0.15590239111558088,1.1288514320120056,50.63948695325505,1.1288514320120056,0.45777487179561793,0.46838411646377975,0.5114710616715179,1.4728522795955357,0.801851528822753,1.3552134481465594
3,et_ewt-ud-train_Case=Ter,0.5004215132845742,0.15563161841026865,0.3668334846551516,0.37693942926328805,0.3716725653956296,0.3364311832204082,0.2883660574982364,0.5598597204428932,0.36936238496708274,3.453863966153623,4.796777147827191,7.511019452986425,1.6781428372079874,18.543112771322942,16.71971606593377,23.438581086177837,1.4713938969562161,0.8094673438332972,0.9896890956369291,0.29732108276263003,0.5936529480383985,0.26038622691377045,116.4073236527668,0.51478150704935,0.45563532599641354,1.130152599412656,0.24075498533356063,0.22141289176345005,0.38078865529319544,0.51478150704935,1.4713938969562161,1.4713938969562161,1.2331080875395943,0.51478150704935,0.5759050847723666,1.4713938969562161,0.51478150704935,0.3799436473904976,0.29671833195726655,0.34753208012038656,3.622811520574796,1.4713938969562161,0.5612486080160912,2.7346311363906404,2.850099254701598,2.495079182431493,0.4718044096337935,0.2855307603454781,0.8573214099741121,0.35773152920733253,0.7873569498451309,0.2917504810540443,0.9759255852381563,1.4053469322555197,0.696419413859206,0.9129922063447823,1.200004488552188,1.1793665376674687,1.122584174217383,4.226700841081611,1.5696386310545383,0.17821055740354752,1.1056575043457402,0.39201004451416804,0.26981034942772114,0.3399550058038093,0.4164902673690867,0.4041872671655745,0.23473380999176224,0.18469543532017876,0.15185185185185188,0.1584721475531095,13.688498822003822,1.0980032317875048,1.523842222502579,1.0474073543284612,0.2999098476404802,0.30009411622910453,0.32051931666733185,1.4713938969562161,0.199094022391598,0.46768861317001176,0.3637951879499098,0.51478150704935,0.51478150704935,0.22402050170728838,0.19759842835632296,0.3132978703335783,0.28325599417854075,1.2779801228998309,1.067339733617366,1.1281093063074927,1.0278166544039082,0.2079779979839919,0.22917806343381344,0.21526984896106588,0.3535533905932738,0.42744797481929625,0.527825728815866,0.5005192355074787,1.4713938969562161,1.4713938969562161,1.4713938969562161,0.4805956951765404,3.006681106293489,17.869976899262216,3.24744513551386,0.51478150704935,1.0212082336944384,0.9629070996958263,0.7624968092281075,0.51478150704935,1.4713938969562161,50.25698956364179,1.4713938969562161,0.26587635076538574,0.2779669494742136,0.2818670372167522,1.1033370396390585,0.46279234073687237,0.9829937286830873
4,et_ewt-ud-test_Case=Ter,0.7966580917811903,0.4223828206267715,0.6689979510100867,0.30618621784789724,0.2746146812180584,0.31899430968986336,0.4418469371128085,0.7649886355082326,0.3535533905932738,3.650151027862085,4.986951613012959,7.705740945955217,1.8763738344711214,18.818313055372418,16.997263963606635,23.713788183249,1.2747548783981961,1.0125833792981094,1.2116401899775489,0.5104366515474736,0.8352765892860988,0.5381856893616357,116.55095452204586,0.3535533905932738,0.3136443544288479,1.422307696552848,0.2690862452958297,0.3183258722547471,0.29154759474226505,0.3535533905932738,1.2747548783981961,1.2747548783981961,1.532064692570853,0.3535533905932738,0.6770032003863301,1.2747548783981961,0.3535533905932738,0.5147771100823493,0.43029660768051414,0.47608917195624106,3.8300624927310065,1.2747548783981961,0.6123724356957945,2.973304756395519,3.0932681410358174,2.731301791186266,0.7467640920584482,0.5526863860572061,1.1412712210513325,0.5249879012198461,0.9448552689644805,0.28910185343024825,1.1887340504331825,1.5763882770434445,0.9513148795220224,1.1959470986309826,1.427429379056814,1.4050513581569326,1.3464514694772212,4.4860896112315904,1.8413126021307278,0.4131662754765153,1.3163837259003452,0.6234355419768751,0.3781425649349602,0.299340097030729,0.5636263559566416,0.6395948973006751,0.405116735517537,0.34263694351454144,0.331807205991482,0.32909242979320563,13.827328013755947,1.3101380685414474,1.731832992773831,1.2655472056412795,0.29324465611438355,0.4261540575124972,0.4511222903841967,1.2747548783981961,0.42060808007549433,0.7702700644723396,0.6487822187351767,0.3535533905932738,0.3535533905932738,0.504608392349582,0.45309506606107397,0.5757507176625045,0.5896111987110497,1.4501687115946345,1.2814216908519354,1.346978954954672,1.2447099915578894,0.3233738349327502,0.2510737912980939,0.36170554846461433,0.32403703492039304,0.6333463608178987,0.7460562981437796,0.712143748548098,1.2747548783981961,1.2747548783981961,1.2747548783981961,0.3280836614171587,3.198185758286635,18.037982194605153,3.4027381887091908,0.3535533905932738,1.27088182959564,1.2260094508419253,1.0199141696705705,0.3535533905932738,1.2747548783981961,50.53835177367778,1.2747548783981961,0.4142054397338083,0.4217708204700748,0.457390852940814,1.393724830125821,0.7360586827471912,1.2734929554761387
5,et_ewt-ud-dev_Case=Ter,0.7457563467699652,0.3572020348097913,0.6048190817951742,0.26378652985574025,0.22044283005422077,0.29615832010411836,0.43360896470108856,0.800129747263997,0.4407785320154718,3.7046597907968413,5.040061988911546,7.75105786790586,1.916064519324006,18.747487331639938,16.921801525366774,23.64306628450154,1.2165525060596438,1.0253671204060164,1.2306257201006792,0.4741912231723456,0.803317222245849,0.46637952596254795,116.586791704721,0.282842712474619,0.24711351391090788,1.3755889276812252,0.17213259316477406,0.15988161300635795,0.24494897427831783,0.282842712474619,1.2165525060596438,1.2165525060596438,1.42672897060218,0.282842712474619,0.692820323027551,1.2165525060596438,0.282842712474619,0.5421546304123033,0.45853927134419303,0.49159017448885134,3.860220430901314,1.2165525060596438,0.6164414002968976,2.9976417776166926,3.1115888993081326,2.756920703290842,0.7037508826566774,0.4923712567237543,1.0758717395675004,0.539709601295539,0.9675810135339983,0.12451087735568192,1.1761038311333947,1.6,0.8944271909999161,1.1201237511212345,1.4558148019091164,1.4356579549123412,1.3778156746234487,4.481071300481616,1.764114158843497,0.26040667109164173,1.3283863518802754,0.5862353409681134,0.3812110917890103,0.28844580932722264,0.591496112907856,0.6401530429259451,0.3737750723235883,0.2815126820047016,0.252586075727815,0.29161782829926336,13.861457354838272,1.3439307457524565,1.7716315171440318,1.2919515207726013,0.25232290213988556,0.4426799854346459,0.46331292002823543,1.2165525060596438,0.361627976501307,0.6672263275847425,0.5771145679064045,0.282842712474619,0.282842712474619,0.3925227051701266,0.33367170325869056,0.5339995838533544,0.4696196335476001,1.4797623488794454,1.3241142533870855,1.3885527430332345,1.2803664929961074,0.1962600457050957,0.19129754234627966,0.2636368206033493,0.28284271247461906,0.6274961156353988,0.7473954776421919,0.7041708484200949,1.2165525060596438,1.2165525060596438,1.2165525060596438,0.258467706987847,3.2353438944758173,18.089328391427156,3.4833356400008175,0.282842712474619,1.2642386916882842,1.2037475916747704,1.0040747432165584,0.282842712474619,1.2165525060596438,50.45968687972608,1.2165525060596438,0.40919684592361744,0.42692578394845176,0.4596304151421764,1.3055441954584668,0.665778685215265,1.1942362833457913
6,olo_kkpp-ud-test_Case=Ter,1.073021595843705,1.1211135621575767,1.0469300511304316,1.286953767623375,1.295255168070455,1.2298258638233295,1.0993077657154242,0.9799018381739812,1.1952286093343936,3.0918050171230966,4.393184608677077,7.080411810407547,1.1435326311811,18.23940188849404,16.42703159015363,23.12894110560764,2.23606797749979,0.6891200936988782,0.8533238752475439,1.0816462132825984,1.0901726717789382,1.0726190181562258,116.01724009818541,1.4142135623730951,1.3630803958976423,1.324802642213672,1.1938112016500706,1.2307692307692308,1.2884098726725126,1.4142135623730951,2.23606797749979,2.23606797749979,1.4907119849998598,1.4142135623730951,1.1547005383792517,2.23606797749979,1.4142135623730951,1.1152214476596363,1.1298893821707428,1.1383226900632362,3.317516715822742,2.23606797749979,1.224744871391589,2.377137013497252,2.4840653211258177,2.1614073999144403,0.9165038263150466,0.9876964151732504,1.0380269746013346,1.0830901193065972,1.1230944852859372,1.2698133860937828,1.184575967005345,1.469693845669907,1.1313708498984762,1.2118394154533487,1.0659450467640614,1.0713451498792315,1.0386748376259973,4.0,1.6629588385661962,1.2001846579990927,1.2165357113833892,0.9089399732655616,1.1479325245714525,1.235316964370803,1.1000993267783075,1.0411924090450628,1.0778073060636717,1.1222848848363858,1.1042442126663525,1.1186678548059656,13.34990636671284,0.9703869303315755,1.2778187323517938,0.930183218615392,1.2313508787015899,1.1330842898951041,1.1247162889891607,2.23606797749979,1.0978707792513127,1.1431787431932456,1.1065666703449764,1.4142135623730951,1.4142135623730951,1.1385500851066221,1.1374694745598912,1.0262336749276724,1.1319378697411457,0.5431965232029289,1.0281353703703722,1.0604215268112687,0.9688031727842792,1.205510202215406,1.2225952231235953,1.1805024378758835,1.2961481396815722,1.0319430656044282,1.0132127121192271,1.0112359550561798,2.23606797749979,2.23606797749979,2.23606797749979,1.3856907623596575,2.782278437527011,17.44649435529259,2.9998469504883833,1.4142135623730951,1.0472052424153584,1.0621201314134474,0.9899145396688296,1.4142135623730951,2.23606797749979,49.96498774141749,2.23606797749979,1.0819675307262937,1.0546400452287026,1.0746303127890153,1.35244105567895,1.091526578591412,1.2409315018499083
7,vep_vwt-ud-test_Case=Ter,0.981033658215459,0.5715444524392794,0.8383913995250516,0.27003086243366076,0.20327890704543547,0.36265586218399565,0.5927349379101761,0.9799018381739814,0.5345224838248488,3.88590296719629,5.221412445784578,7.928398585605507,2.095276678888364,19.021061517433772,17.197306965449716,23.917174791350252,1.0,1.209019689170821,1.4163998524064745,0.6703064653046633,1.0203470160886428,0.6985630677993511,116.73045875006231,0.0,0.1087856586440842,1.616244071283537,0.30307070437746336,0.36080121229411,0.24494897427831777,0.0,1.0,1.0,1.699673171197595,0.0,0.816496580927726,1.0,0.0,0.6756366144362388,0.590605591233093,0.6149239691939756,4.0674781742776265,1.0,0.7071067811865476,3.2012830687745946,3.320446069683141,2.95881040312914,0.9338179035135449,0.7186986956322287,1.333229162597338,0.6902571934115808,1.1230944852859372,0.2719641466102106,1.3795724778374816,1.7776388834631178,1.131370849898476,1.3847506492806019,1.646717170376281,1.6250649173880125,1.5677670543941407,4.69041575982343,2.0245407953653998,0.5315528914927409,1.5273088474063334,0.7991694907840263,0.5094081406735885,0.34999890075894746,0.737259697875463,0.8270922757788645,0.5467389605332817,0.437070031055995,0.4439966880337181,0.4560038470305008,14.000714267493642,1.5255438587204564,1.9497913088598344,1.4775338403664497,0.33052721868725343,0.5762016576278494,0.6027830343127235,1.0,0.5647624381722354,0.9323935000250103,0.8081220356417685,0.0,0.0,0.6382847385042254,0.5792266156024102,0.7570703768841809,0.7352160228214442,1.623738241667633,1.5125579561047746,1.5884201963539495,1.4703182551689247,0.4046988552428869,0.3365943859240105,0.45816212899272757,0.282842712474619,0.8097317868014416,0.9309135298189625,0.8932407601955861,1.0,1.0,1.0,0.05892556509887901,3.4328634643395466,18.26616797694534,3.655505175757629,0.0,1.4909703586443053,1.443137078762504,1.2333317746802706,0.0,1.0,50.73953093988946,1.0,0.5691558741494286,0.5807457490158667,0.6263108795402875,1.5748839956592573,0.9084234082589916,1.4604461325328297
8,kpv_ikdp-ud-test_Case=Ter,1.0862301064948006,1.1314377725739666,1.0869832645584077,1.286953767623375,1.2952551680704552,1.2298258638233293,1.111812634101399,1.066151115317168,1.1952286093343936,3.1339357596917594,4.430149529312866,7.110307576272711,1.5693666346079636,18.23940188849404,16.429840977812688,23.12894110560764,2.23606797749979,1.1126744349882371,1.1654211595456867,1.1038756844228435,1.0901726717789384,1.1017368851511289,116.01724009818541,1.4142135623730951,1.3630803958976423,1.3248026422136718,1.2394742015452747,1.2307692307692308,1.2884098726725126,1.4142135623730951,2.23606797749979,2.23606797749979,1.4907119849998598,1.4142135623730951,1.1547005383792515,2.23606797749979,1.4142135623730951,1.115221447659636,1.1298893821707428,1.1383226900632362,3.317516715822742,2.23606797749979,1.224744871391589,2.49590534839094,2.6024422505023246,2.276375634652057,1.0771932957335157,1.097748789690702,1.194780314534852,1.0407672968008461,1.1344524002886633,1.2698133860937828,1.2065868392096843,1.469693845669907,1.131370849898476,1.2285646484320336,1.257717328261226,1.247999460092822,1.211930661526289,4.0,1.6629588385661962,1.2001846579990927,1.2165357113833895,1.0959798697968863,1.1479325245714525,1.235316964370803,1.1000993267783077,1.0682810911908525,1.1223670543500925,1.181740100065189,1.174144173628772,1.1693416089243078,13.34990636671284,1.188423420944988,1.4608695951257475,1.1689315262243185,1.2313508787015899,1.133084289895104,1.1247162889891607,2.23606797749979,1.1385206800242915,1.1431787431932456,1.1065666703449764,1.4142135623730951,1.4142135623730951,1.1385500851066221,1.1465906588180843,1.0769504270031292,1.1373781341165605,1.4150546053034425,1.1823783999900217,1.2168097180728137,1.1630995388404666,1.205510202215406,1.2225952231235953,1.1805024378758833,1.2961481396815722,1.0696328395487604,1.0614141510268271,1.0653439385288592,2.23606797749979,2.23606797749979,2.23606797749979,1.3856907623596575,2.790080924417303,17.45691271825842,2.9998469504883833,1.4142135623730951,1.1892553764554232,1.1835651423901397,1.1023724023644685,1.4142135623730951,2.23606797749979,49.96498774141749,2.23606797749979,1.1151889697606772,1.1123244243475012,1.0969763772524634,1.35244105567895,1.0915265785914121,1.2674375583952127
9,kpv_lattice-ud-test_Case=Ter,1.7227547029967467,2.017987347078726,1.8219989528397231,2.304932230030639,2.326850901010595,2.2167165356775964,1.992691950828956,1.7089738927550095,2.1285234893930483,2.0976992726511083,3.3365078310566108,5.986163089613183,1.0842898944309562,17.13146245186896,15.3383745622163,22.01643538065934,3.431546328418375,1.5925171877676763,1.4417433176626273,1.9448312721039107,1.7080310644194612,1.9210351685930982,115.10084309696717,2.4907993963089563,2.4216249917217443,1.4285714285714286,2.2333824071502857,2.2099116943662045,2.3129625847313973,2.4907993963089563,3.431546328418375,3.431546328418375,1.6468206157895793,2.4907993963089563,1.9552823969188389,3.431546328418375,2.4907993963089563,1.9626654908878514,2.013729308552657,2.0152430913368713,2.133227163964428,3.431546328418375,2.101991281366023,1.5610762408547054,1.6283752600854526,1.41559218960627,1.7484670614529052,1.9099764176922713,1.5616416009430327,1.8842825091649942,1.6882056273298374,2.2781865686950207,1.5590414121941727,1.5651823914059813,1.672832133520508,1.5590554493701454,1.2890398494690773,1.3046303980519645,1.3201078285300234,3.010186786529354,1.5485752032077493,2.111055404563658,1.3683209129353389,1.8669790171585228,2.068433896875629,2.227817843065782,1.9130902217404346,1.8043032461539366,2.0212961625747385,2.12703322903534,2.115237708782123,2.104420178613959,12.41524737357008,1.333691380066134,1.2366592160808483,1.3680072241800838,2.222141892983921,2.025381682733362,2.0057979140570756,3.431546328418375,2.0330833368588013,1.827921337038083,1.862629258629328,2.4907993963089563,2.4907993963089563,1.994133497321539,2.0326945195078348,1.860900715761833,1.9419266874219192,1.6435433331090805,1.3484496763440008,1.2995193916729897,1.3687508754122135,2.1676461574152586,2.2063969334678117,2.1216639050395143,2.304919317725566,1.819731007048066,1.7285324670933775,1.7583652432806123,3.431546328418375,3.431546328418375,3.431546328418375,2.4529732294501483,2.010845250605082,16.38695514334378,2.215579171376013,2.4907993963089563,1.362977839368948,1.4111242735130345,1.5232028368809993,2.4907993963089563,3.431546328418375,48.87144736292286,3.431546328418375,2.0073824177353994,1.999622493071109,1.9582574660380312,1.524971227835386,1.7725661560754145,1.5247686169525179
