,Treebank,hu_szeged-ud-dev_Case=Abs,hu_szeged-ud-test_Case=Abs,hu_szeged-ud-train_Case=Abs,ess_sli-ud-test_Case=Abs,hit_hittb-ud-test_Case=Abs,mr_ufal-ud-dev_Case=Abs,mr_ufal-ud-test_Case=Abs,mr_ufal-ud-train_Case=Abs,wbp_ufal-ud-test_Case=Abs,nhi_itml-ud-test_Case=Abs,azz_itml-ud-test_Case=Abs,eu_bdt-ud-train_Case=Abs,eu_bdt-ud-test_Case=Abs,eu_bdt-ud-dev_Case=Abs,gu_gujtb-ud-test_Case=Abs
0,hu_szeged-ud-dev_Case=Abs,0.0,0.2627733458469362,0.25072636422374206,1.2824305436059895,1.2824305436059895,1.2824305436059895,1.2824305436059895,86.04179265127284,1.2824305436059895,20.54639063052308,6.405166483449368,39.52583356805362,39.43644693773144,30.827060117512985,1.2824305436059895
1,hu_szeged-ud-test_Case=Abs,0.2627733458469362,0.0,0.14390989949130548,1.0796668344321692,1.0796668344321692,1.0796668344321692,1.0796668344321692,86.21090143727311,1.0796668344321692,20.743709478839808,6.599116778481388,39.73366688520869,39.64447880746408,31.03504308315662,1.0796668344321692
2,hu_szeged-ud-train_Case=Abs,0.25072636422374206,0.14390989949130548,0.0,1.1213369028548654,1.1213369028548654,1.1213369028548654,1.1213369028548654,86.17707447854373,1.1213369028548654,20.705712551181936,6.547302074860466,39.69088191011508,39.602040855220615,30.99214588873308,1.1213369028548654
3,ess_sli-ud-test_Case=Abs,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
4,hit_hittb-ud-test_Case=Abs,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
5,mr_ufal-ud-dev_Case=Abs,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
6,mr_ufal-ud-test_Case=Abs,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
7,mr_ufal-ud-train_Case=Abs,86.04179265127284,86.21090143727311,86.17707447854373,87.14929718592113,87.14929718592113,87.14929718592113,87.14929718592113,0.0,87.14929718592113,71.2797479592612,80.94991592885621,56.55574241966373,56.655780201688565,62.0041927968233,87.14929718592113
8,wbp_ufal-ud-test_Case=Abs,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
9,nhi_itml-ud-test_Case=Abs,20.54639063052308,20.743709478839808,20.705712551181936,21.703103265616754,21.703103265616754,21.703103265616754,21.703103265616754,71.2797479592612,21.703103265616754,0.0,14.540668504727487,20.54995222085967,20.477714668750192,12.48843628579779,21.703103265616754
10,azz_itml-ud-test_Case=Abs,6.405166483449368,6.599116778481388,6.547302074860466,7.607222967012422,7.607222967012422,7.607222967012422,7.607222967012422,80.94991592885621,7.607222967012422,14.540668504727487,0.0,33.42344392509478,33.33800414081278,24.742947499351843,7.607222967012422
11,eu_bdt-ud-train_Case=Abs,39.52583356805362,39.73366688520869,39.69088191011508,40.741182744764195,40.741182744764195,40.741182744764195,40.741182744764195,56.55574241966373,40.741182744764195,20.54995222085967,33.42344392509478,0.0,0.5432091724182111,8.715424697573251,40.741182744764195
12,eu_bdt-ud-test_Case=Abs,39.43644693773144,39.64447880746408,39.602040855220615,40.65127036035156,40.65127036035156,40.65127036035156,40.65127036035156,56.655780201688565,40.65127036035156,20.477714668750192,33.33800414081278,0.5432091724182111,0.0,8.618485429733488,40.65127036035156
13,eu_bdt-ud-dev_Case=Abs,30.827060117512985,31.03504308315662,30.99214588873308,32.04328476137671,32.04328476137671,32.04328476137671,32.04328476137671,62.0041927968233,32.04328476137671,12.48843628579779,24.742947499351843,8.715424697573251,8.618485429733488,0.0,32.04328476137671
14,gu_gujtb-ud-test_Case=Abs,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
