,Treebank,hu_szeged-ud-dev_Case=Abs,hu_szeged-ud-test_Case=Abs,hu_szeged-ud-train_Case=Abs,ess_sli-ud-test_Case=Abs,hit_hittb-ud-test_Case=Abs,mr_ufal-ud-dev_Case=Abs,mr_ufal-ud-test_Case=Abs,mr_ufal-ud-train_Case=Abs,wbp_ufal-ud-test_Case=Abs,nhi_itml-ud-test_Case=Abs,azz_itml-ud-test_Case=Abs,eu_bdt-ud-train_Case=Abs,eu_bdt-ud-test_Case=Abs,eu_bdt-ud-dev_Case=Abs,gu_gujtb-ud-test_Case=Abs
0,hu_szeged-ud-dev_Case=Ine,78.5790516319197,78.73612397708507,78.70164994548725,79.57229417328622,79.57229417328622,79.57229417328622,79.57229417328622,66.82626729063954,79.57229417328622,66.17692802230347,74.09582491504679,56.83261529459377,56.89208950148046,60.07343631317082,79.57229417328622
1,hu_szeged-ud-test_Case=Ine,52.47951194088717,52.62724787536312,52.59607532924342,53.4353191562784,53.4353191562784,53.4353191562784,53.4353191562784,65.65820588471787,53.4353191562784,41.902296704784604,48.274578409706706,37.780592485065185,37.805049300409166,38.0867953805075,53.4353191562784
2,hu_szeged-ud-train_Case=Ine,31.699458324495648,31.850263412577497,31.81863812718906,32.67200382276872,32.67200382276872,32.67200382276872,32.67200382276872,69.41891780764438,32.67200382276872,23.640441833124004,27.60159362798104,28.292391113892673,28.261535001564976,24.017182747048672,32.67200382276872
3,fi_ood-ud-test_Case=Ine,509.4800460816615,509.6544948708015,509.6152656023083,510.61629429543274,510.61629429543274,510.61629429543274,510.61629429543274,444.49746905916123,510.61629429543274,493.15224404079225,503.9316595137851,476.1551886512122,476.2142703410051,483.36778500077924,510.61629429543274
4,et_ewt-ud-train_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
5,et_ewt-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
6,et_ewt-ud-dev_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
7,si_stb-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
8,olo_kkpp-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
9,olo_kkpp-ud-train_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
10,mdf_jr-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
11,mdf_jr-ud-train_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
12,vep_vwt-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
13,fi_tdt-ud-train_Case=Ine,167.37829396319256,167.54909907871595,167.51053031093642,168.5023815651686,168.5023815651686,168.5023815651686,168.5023815651686,112.5526838737652,168.5023815651686,151.49226420289756,161.98079049213695,135.74443460454214,135.8073619400114,142.3317883325023,168.5023815651686
14,fi_tdt-ud-test_Case=Ine,73.07015987708533,73.24084287532988,73.2033343890869,74.19460896857669,74.19460896857669,74.19460896857669,74.19460896857669,52.99849054454287,74.19460896857669,58.04919582390844,67.72604010228642,45.13329035700335,45.170359599033546,49.90963933248443,74.19460896857669
15,fi_tdt-ud-dev_Case=Ine,111.71088306774743,111.88193504706236,111.84303390938813,112.83714912307127,112.83714912307127,112.83714912307127,112.83714912307127,68.3902202235248,112.83714912307127,96.04641367717439,106.3104319270124,81.18022672237448,81.2407719217859,87.24558110282821,112.83714912307127
16,myv_jr-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
17,myv_jr-ud-train_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
18,kpv_ikdp-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
19,kpv_lattice-ud-test_Case=Ine,260.45573536139426,260.6356363033317,260.59389953215094,261.627597932634,261.627597932634,261.627597932634,261.627597932634,184.45053537466353,261.627597932634,243.9260412097218,254.89761405472913,226.7903566495994,226.9286775244797,234.00932332419256,261.627597932634
20,kpv_lattice-ud-train_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
21,fi_pud-ud-test_Case=Ine,80.70833738046423,80.87608540648745,80.83975429011862,81.8102583258783,81.8102583258783,81.8102583258783,81.8102583258783,56.73677136117102,81.8102583258783,66.00173310596229,75.5062671033477,53.13520914992732,53.181392194901676,57.99161242462869,81.8102583258783
22,et_edt-ud-dev_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
23,et_edt-ud-train_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
24,et_edt-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
25,koi_uh-ud-train_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
26,koi_uh-ud-test_Case=Ine,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
