,Treebank,hu_szeged-ud-dev_Case=Abs,hu_szeged-ud-test_Case=Abs,hu_szeged-ud-train_Case=Abs,ess_sli-ud-test_Case=Abs,hit_hittb-ud-test_Case=Abs,mr_ufal-ud-dev_Case=Abs,mr_ufal-ud-test_Case=Abs,mr_ufal-ud-train_Case=Abs,wbp_ufal-ud-test_Case=Abs,nhi_itml-ud-test_Case=Abs,azz_itml-ud-test_Case=Abs,eu_bdt-ud-train_Case=Abs,eu_bdt-ud-test_Case=Abs,eu_bdt-ud-dev_Case=Abs,gu_gujtb-ud-test_Case=Abs
0,sl_ssj-ud-test_Case=Loc,1.470940756456838,1.6308903268733974,1.59410834772382,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,84.91211108880407,2.618603778329093,19.46815640903304,5.3166626583278145,38.382388138602856,38.29337571249148,29.685420298447244,2.618603778329093
1,sl_ssj-ud-dev_Case=Loc,1.4646082672209897,1.6262210778295805,1.5870686099384346,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,84.90705319607686,2.6192505338582834,19.45569260567579,5.29752358041102,38.37267447449376,38.283795170862426,29.67559915221058,2.6192505338582834
2,sl_ssj-ud-train_Case=Loc,1.449373069078584,1.6097580828149953,1.5729453716661963,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,84.92673752912927,2.599685732683534,19.47924193694854,5.325902108613168,38.39597980640311,38.30698091993046,29.69894854117448,2.599685732683534
3,xcl_caval-ud-train_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
4,xcl_caval-ud-dev_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
5,xcl_caval-ud-test_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
6,hu_szeged-ud-train_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
7,fa_seraji-ud-dev_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
8,fa_seraji-ud-test_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
9,fa_seraji-ud-train_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
10,tr_pud-ud-test_Case=Loc,1033.7105754121935,1033.861252179129,1033.8288560251624,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,978.0807737605315,1034.690775062772,1019.7799992712057,1029.1165019584396,1005.4437072014546,1005.5260874761517,1011.5895016875103,1034.690775062772
11,pl_pdb-ud-test_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
12,pl_pdb-ud-train_Case=Loc,18055.938356046616,18056.116338864336,18056.07779060761,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,17984.642392886213,18057.104502106642,18038.728786888325,18050.34115001005,18021.34399555192,18021.432295057522,18028.935221348387,18057.104502106642
13,pl_pdb-ud-dev_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
14,uk_iu-ud-dev_Case=Loc,1.384709447630933,1.5434456675993589,1.508291699123282,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,84.99307812154638,2.5312407050621375,19.541858965240973,5.386598310847979,38.462038496881554,38.372932311509956,29.764921373090893,2.5312407050621375
15,uk_iu-ud-train_Case=Loc,1.4139864957847248,1.5736141607018284,1.537742151943547,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,84.9583988593985,2.5631727626677683,19.52142817605987,5.3646366735617415,38.43078130901943,38.34176189254875,29.733608847058402,2.5631727626677683
16,uk_iu-ud-test_Case=Loc,1.3807702917188915,1.5411534257573816,1.5041460796083748,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,84.98783979317245,2.533995936859706,19.533634736255404,5.374454077481498,38.454368204870775,38.36541483602048,29.75723349192554,2.533995936859706
17,sa_vedic-ud-test_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
18,sa_vedic-ud-train_Case=Loc,2097.6168435645905,2097.80290313016,2097.7580607229406,2098.8328767304088,2098.8328767304088,2098.8328767304088,2098.8328767304088,2025.2837935569535,2098.8328767304088,2079.9520887169547,2091.791430921398,2061.6472971761195,2061.757172145406,2069.5333246314576,2098.8328767304088
19,sa_vedic-ud-dev_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
20,bn_bru-ud-test_Case=Loc,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
21,hr_set-ud-dev_Case=Loc,1.3908633033146052,1.552667606466167,1.5171247025243764,2.5506280728351767,2.5506280728351767,2.5506280728351767,2.5506280728351767,84.96600701049414,2.5506280728351767,19.4916691938851,5.3363862868728384,38.42734616329065,38.338186278431266,29.73008666394636,2.5506280728351767
22,hr_set-ud-train_Case=Loc,1.3776924211172654,1.5399362224845148,1.5028258036090625,2.5407626679910997,2.5407626679910997,2.5407626679910997,2.5407626679910997,84.97338707395276,2.5407626679910997,19.493555291578627,5.3315807303854745,38.43261852262659,38.34349422377591,29.735278975094257,2.5407626679910997
23,hr_set-ud-test_Case=Loc,1.3350955873568056,1.4976332333958096,1.460968354329455,2.4989825192711765,2.4989825192711765,2.4989825192711765,2.4989825192711765,85.01245409344007,2.4989825192711765,19.52142038993374,5.358837679705075,38.4684245193475,38.37927498089274,29.771076269065315,2.4989825192711765
