,Treebank,hu_szeged-ud-dev_Case=Abs,hu_szeged-ud-test_Case=Abs,hu_szeged-ud-train_Case=Abs,ess_sli-ud-test_Case=Abs,hit_hittb-ud-test_Case=Abs,mr_ufal-ud-dev_Case=Abs,mr_ufal-ud-test_Case=Abs,mr_ufal-ud-train_Case=Abs,wbp_ufal-ud-test_Case=Abs,nhi_itml-ud-test_Case=Abs,azz_itml-ud-test_Case=Abs,eu_bdt-ud-train_Case=Abs,eu_bdt-ud-test_Case=Abs,eu_bdt-ud-dev_Case=Abs,gu_gujtb-ud-test_Case=Abs
0,fi_ood-ud-test_Case=Par,9.680605550226753,9.890359125472184,9.843861561651853,10.881208844195129,10.881208844195129,10.881208844195129,10.881208844195129,78.27307705246619,10.881208844195129,12.038952065579021,4.440158988783892,30.068611210510614,29.9738678227817,21.37735103050534,10.881208844195129
1,sah_yktdt-ud-test_Case=Par,5.279556705658579,5.485041519749215,5.456866907823952,6.334035048845246,6.334035048845246,6.334035048845246,6.334035048845246,82.72798800889575,6.334035048845246,16.258680492525357,3.8738848881948114,34.92814982609856,34.82962711209438,26.25198813247051,6.334035048845246
2,sms_giellagas-ud-test_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
3,et_ewt-ud-train_Case=Par,48.0181328679207,48.23038550218263,48.19227039354256,49.174596926907114,49.174596926907114,49.174596926907114,49.174596926907114,56.84492118524253,49.174596926907114,30.17900346674034,42.38205308624037,14.128939016102322,14.053833195750126,19.80091782035825,49.174596926907114
4,et_ewt-ud-test_Case=Par,42.940418972238874,43.15232890559777,43.11580094319788,44.08588319352249,44.08588319352249,44.08588319352249,44.08588319352249,59.269561213379944,44.08588319352249,25.438361899839204,37.37672939983867,11.689901027326119,11.5612666176217,15.543086517838512,44.08588319352249
5,et_ewt-ud-dev_Case=Par,30.511340528178145,30.72378663330348,30.686073205240785,31.663385794952504,31.663385794952504,31.663385794952504,31.663385794952504,64.97668812735841,31.663385794952504,14.158830076521241,24.975661168298444,12.820010045770584,12.656803822817924,7.935249539567012,31.663385794952504
6,olo_kkpp-ud-test_Case=Par,138.56442246678517,138.77656470471734,138.72894050958237,139.7390425042336,139.7390425042336,139.7390425042336,139.7390425042336,87.24677644474895,139.7390425042336,119.8847697778636,132.73114011246778,100.50891031015233,100.56100035749151,108.74908460601637,139.7390425042336
7,olo_kkpp-ud-train_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
8,vep_vwt-ud-test_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
9,fi_tdt-ud-train_Case=Par,17.518994771467327,17.72882103100273,17.68734134853294,18.711198078741774,18.711198078741774,18.711198078741774,18.711198078741774,72.45133300643349,18.711198078741774,7.739953873627326,11.901213626929541,22.623158824689273,22.515033054100368,14.046809075451925,18.711198078741774
10,fi_tdt-ud-test_Case=Par,17.4784654753185,17.68825348197508,17.644520513236166,18.668674296799974,18.668674296799974,18.668674296799974,18.668674296799974,72.56031560019568,18.668674296799974,7.874126563359423,11.860832032700596,22.70173341199797,22.594429818729086,14.131679583966449,18.668674296799974
11,fi_tdt-ud-dev_Case=Par,15.907818652329142,16.11736155732458,16.075052093925947,17.107076434426677,17.107076434426677,17.107076434426677,17.107076434426677,73.47590247086862,17.107076434426677,8.241977232426123,10.301050069287282,24.11762463580821,24.011560821952287,15.491915418400323,17.107076434426677
12,ru_taiga-ud-train_Case=Par,45.50034056724781,45.69140118240886,45.65198298317236,46.65833258915282,46.65833258915282,46.65833258915282,46.65833258915282,57.82732917920384,46.65833258915282,27.980592921646846,39.81496886890339,17.73520234164826,17.820486467948996,20.859319948969077,46.65833258915282
13,ru_taiga-ud-dev_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
14,ru_taiga-ud-test_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
15,fi_pud-ud-test_Case=Par,20.64065153137974,20.851061018474027,20.810326140855064,21.823579013918195,21.823579013918195,21.823579013918195,21.823579013918195,70.34959282857453,21.823579013918195,8.17127602306478,15.054882913887102,19.92434944886246,19.808540847445933,11.561894216574558,21.823579013918195
16,et_edt-ud-dev_Case=Par,90.42394866172486,90.63528257862454,90.59620276776867,91.58649739557852,91.58649739557852,91.58649739557852,91.58649739557852,56.94448823621501,91.58649739557852,71.93765515519722,84.70565307573492,52.902253083519064,52.934661144179664,60.89770286917385,91.58649739557852
17,et_edt-ud-train_Case=Par,79.11419717258572,79.32568439677158,79.28680345567827,80.27025559877289,80.27025559877289,80.27025559877289,80.27025559877289,54.42897473593925,80.27025559877289,60.796196396450014,73.4356227998459,42.069016415850385,42.08820133815784,49.844727152081084,80.27025559877289
18,et_edt-ud-test_Case=Par,80.64026458740865,80.85134161412505,80.81294578055753,81.79242650183359,81.79242650183359,81.79242650183359,81.79242650183359,55.21076259014291,81.79242650183359,62.42838699016381,74.98869963842479,43.71772140773195,43.737117033211504,51.46114472047341,81.79242650183359
19,ru_syntagrus-ud-train_Case=Par,83.16226794597029,83.3328145940462,83.29527927977587,84.27039812413372,84.27039812413372,84.27039812413372,84.27039812413372,58.94488951554664,84.27039812413372,67.20096082499468,77.83436830147008,54.55357134619835,54.65901754964879,59.818514750822175,84.27039812413372
20,ru_syntagrus-ud-dev_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
21,ru_syntagrus-ud-test_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
22,ru_poetry-ud-dev_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
23,ru_poetry-ud-train_Case=Par,11.24556845683469,11.422494157628845,11.389422062213807,12.36931687685298,12.36931687685298,12.36931687685298,12.36931687685298,77.9487010796203,12.36931687685298,13.330092198656818,6.9015756195050155,30.77225312977826,30.697540108672943,22.32405435055431,12.36931687685298
24,krl_kkpp-ud-test_Case=Par,34.058482146176424,34.26939890581772,34.2208213508032,35.21696420620656,35.21696420620656,35.21696420620656,35.21696420620656,62.586039543008404,35.21696420620656,17.85158290868569,28.45671858193596,11.240670241860478,11.118230554649095,9.098489523571445,35.21696420620656
25,eu_bdt-ud-train_Case=Par,27.906571454979932,28.117132364386837,28.079410782835925,29.085810543974876,29.085810543974876,29.085810543974876,29.085810543974876,65.84914103464068,29.085810543974876,10.556167745405329,22.142115162939806,12.902528599173529,12.749078518239797,5.669805172136084,29.085810543974876
26,eu_bdt-ud-test_Case=Par,16.52285169391693,16.733278326445653,16.694831429208985,17.713271860387625,17.713271860387625,17.713271860387625,17.713271860387625,73.33457574705126,17.713271860387625,7.315601457936185,10.888409448466765,23.406179246445248,23.28721909372582,14.774829155003665,17.713271860387625
27,eu_bdt-ud-dev_Case=Par,10.092801338461282,10.30309886169429,10.264980393805295,11.285692885477854,11.285692885477854,11.285692885477854,11.285692885477854,78.17375579230254,11.285692885477854,11.302299881607171,4.774175230467632,29.598202991057942,29.498269932219458,20.910507647997903,11.285692885477854
28,fi_ftb-ud-dev_Case=Par,8.214459314941042,8.423664429811307,8.385370114960073,9.401034930993175,9.401034930993175,9.401034930993175,9.401034930993175,79.53421599859611,9.401034930993175,12.891676511790651,3.2558250330379455,31.488921150281964,31.391225200558615,22.79683896718451,9.401034930993175
29,fi_ftb-ud-train_Case=Par,10.12355947767465,10.332630427865318,10.293026241223593,11.310617670681031,11.310617670681031,11.310617670681031,11.310617670681031,78.04666491627337,11.310617670681031,11.216003856451652,4.743535077352811,29.614320512347103,29.515300049709975,20.928501715342435,11.310617670681031
30,fi_ftb-ud-test_Case=Par,10.395656989629574,10.605517820613342,10.56655144101401,11.574769776600762,11.574769776600762,11.574769776600762,11.574769776600762,77.92727061759334,11.574769776600762,11.22191971743314,5.141822043795687,29.406856897284737,29.30480487454491,20.724253827826864,11.574769776600762
31,ru_gsd-ud-dev_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
32,ru_gsd-ud-train_Case=Par,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
