,Treebank,hu_szeged-ud-dev_Case=Abs,hu_szeged-ud-test_Case=Abs,hu_szeged-ud-train_Case=Abs,ess_sli-ud-test_Case=Abs,hit_hittb-ud-test_Case=Abs,mr_ufal-ud-dev_Case=Abs,mr_ufal-ud-test_Case=Abs,mr_ufal-ud-train_Case=Abs,wbp_ufal-ud-test_Case=Abs,nhi_itml-ud-test_Case=Abs,azz_itml-ud-test_Case=Abs,eu_bdt-ud-train_Case=Abs,eu_bdt-ud-test_Case=Abs,eu_bdt-ud-dev_Case=Abs,gu_gujtb-ud-test_Case=Abs
0,hu_szeged-ud-dev_Case=Tra,0.35318796063454666,0.5278837396658003,0.475548577649163,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,85.84342578205974,1.5309310892394863,20.36763765340121,6.19710153703467,39.3324166409151,39.243866659287484,30.633928697264928,1.5309310892394863
1,hu_szeged-ud-test_Case=Tra,0.18649293371350253,0.16691303290117362,0.17272043058086514,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,86.13385900252389,1.1726039399558574,20.664687778615342,6.516675800748684,39.650265391943066,39.56109539800288,30.95165697201314,1.1726039399558574
2,hu_szeged-ud-train_Case=Tra,0.236894508725852,0.12558973311974497,0.1460647501712975,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,86.17437206037535,1.1235657524150513,20.705833376188195,6.559388279647318,39.69375218700228,39.6045513748446,30.995131076873832,1.1235657524150513
3,fi_ood-ud-test_Case=Tra,2.2658050457141528,2.4384377484765394,2.402590818291116,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,84.23336871027193,3.451894652855358,18.8063747610742,4.656637041789421,37.598789029810405,37.50725959973763,28.902531734439023,3.451894652855358
4,et_ewt-ud-train_Case=Tra,2.982703554243116,3.142819295860646,3.1029614503093694,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,83.85956068551364,4.0984566532751705,18.4571096176963,4.395031723989633,37.17551267678046,37.08259128295791,28.487096423271304,4.0984566532751705
5,et_ewt-ud-test_Case=Tra,2.9706213143755233,3.134113326707311,3.099022871896264,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,83.80565467259379,4.100771455544949,18.411083673038398,4.3484821549770905,37.13848650849695,37.045040748753436,28.448999414503703,4.100771455544949
6,et_ewt-ud-dev_Case=Tra,4.266731467687576,4.422862662034504,4.384146187783658,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,83.04060565470365,5.3378073681990434,17.779988469319537,4.186870658701844,36.319307394266296,36.224803325950624,27.648888312717233,5.3378073681990434
7,gub_tudet-ud-test_Case=Tra,1.2824305436059895,1.0796668344321692,1.1213369028548654,0.0,0.0,0.0,0.0,87.14929718592113,0.0,21.703103265616754,7.607222967012422,40.741182744764195,40.65127036035156,32.04328476137671,0.0
8,olo_kkpp-ud-test_Case=Tra,0.8074956652836267,0.948880577798809,0.9215384877464531,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,85.42761585705414,1.932535608352669,20.063328811873504,5.905990655561756,38.98097100057628,38.892919919967156,30.28276609907045,1.932535608352669
9,mdf_jr-ud-test_Case=Tra,2.841409046916833,3.0023720898117334,2.9613199220066333,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,83.91457710076361,3.9567979478361033,18.531140374522202,4.449172831986738,37.30973927542159,37.218476580098816,28.621443778238213,3.9567979478361033
10,vep_vwt-ud-test_Case=Tra,2.6473126870110977,2.7756336234874945,2.7504706428894035,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989,84.5694980474639,3.605551275463989,19.166586151199642,5.262023269512298,37.932866561899274,37.83928509097537,29.2509072775452,3.605551275463989
11,fi_tdt-ud-train_Case=Tra,3.1126997602019806,3.2869407912812014,3.2472456429454444,4.293306195252593,4.293306195252593,4.293306195252593,4.293306195252593,83.5689150292576,4.293306195252593,18.101585003927948,4.049000407275915,36.87011620620344,36.77735435172199,28.178405832006977,4.293306195252593
12,fi_tdt-ud-test_Case=Tra,4.412947576537382,4.589671966208091,4.5436736694222635,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,82.41298082392133,5.606948352043668,17.00706732385944,3.1756889755792925,35.65918087900445,35.5675277169384,26.97360164146543,5.606948352043668
13,fi_tdt-ud-dev_Case=Tra,3.510272057455857,3.6836796627812483,3.642439523241721,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,83.25010030023988,4.688197948039311,17.772622585883234,3.7786232480618716,36.52859838413493,36.43622659228071,27.84000239010919,4.688197948039311
14,myv_jr-ud-test_Case=Tra,4.62118728259594,4.78532240081377,4.752413287001353,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,82.61820982713995,5.756060406646084,17.280085856483115,3.796488915571249,35.81810141041583,35.72505272125899,27.148296841666518,5.756060406646084
15,myv_jr-ud-train_Case=Tra,11.007976071471205,11.18265774847494,11.1433531545324,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,77.6700714561278,12.167168939404103,13.470058245449515,6.379232177511896,30.50096373822506,30.398070744494962,21.98833510994801,12.167168939404103
