,Treebank,et_ewt-ud-train_Case=Add,et_ewt-ud-test_Case=Add,et_ewt-ud-dev_Case=Add,et_edt-ud-dev_Case=Add,et_edt-ud-train_Case=Add,et_edt-ud-test_Case=Add
0,hu_szeged-ud-dev_Case=Abs,0.2360672189527709,0.24265088321348932,0.23528199372186934,0.20758951152696198,0.1989567340179716,0.20055943827966896
1,hu_szeged-ud-test_Case=Abs,0.09186596706284038,0.09535044068167435,0.10737982068061137,0.17843230421517786,0.1988612119463369,0.23792468937455613
2,hu_szeged-ud-train_Case=Abs,0.112883766871789,0.10092559541309244,0.1124638236166217,0.16652293444064356,0.17509277255186423,0.20866822796879061
3,ess_sli-ud-test_Case=Abs,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
4,hit_hittb-ud-test_Case=Abs,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
5,mr_ufal-ud-dev_Case=Abs,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
6,mr_ufal-ud-test_Case=Abs,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
7,mr_ufal-ud-train_Case=Abs,86.18547778904723,86.19259071805091,86.18181756619168,86.10062987752251,86.07270588929056,86.03637890597214
8,wbp_ufal-ud-test_Case=Abs,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
9,nhi_itml-ud-test_Case=Abs,20.715484709617893,20.71885855683891,20.704553086664742,20.62207896384676,20.597479407416436,20.5590558684397
10,azz_itml-ud-test_Case=Abs,6.5656910449755115,6.569090762147967,6.549273287903572,6.473994585701444,6.446016845227085,6.405491277320736
11,eu_bdt-ud-train_Case=Abs,39.70581727722765,39.71183657049797,39.69742738881171,39.618602671274346,39.588817115005305,39.548615618892946
12,eu_bdt-ud-test_Case=Abs,39.616509918747845,39.62259779363799,39.60811954251824,39.52927308830747,39.49952402897368,39.459392762963375
13,eu_bdt-ud-dev_Case=Abs,31.00704238378735,31.013128283428355,30.998673799229262,30.919921088620818,30.890033656369877,30.84983140413403
14,gu_gujtb-ud-test_Case=Abs,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
