,Treebank,et_ewt-ud-train_Case=Add,et_ewt-ud-test_Case=Add,et_ewt-ud-dev_Case=Add,et_edt-ud-dev_Case=Add,et_edt-ud-train_Case=Add,et_edt-ud-test_Case=Add
0,hu_szeged-ud-dev_Case=Ill,0.2141408185621601,0.21917179255601826,0.21172642434866906,0.18130556472865886,0.16936757378599582,0.17051612786475848
1,hu_szeged-ud-test_Case=Ill,0.3227549034644778,0.3291968549329597,0.3199205332913681,0.2757845180288017,0.2604742452683964,0.24752427023453466
2,hu_szeged-ud-train_Case=Ill,0.10491201049414643,0.11164347247712575,0.1109721353079899,0.13054173227345112,0.13943572732080803,0.17003382484576932
3,fi_ood-ud-test_Case=Ill,0.8098915185436869,0.8144797173552645,0.8025032440994389,0.7229535791121172,0.6932581916629534,0.6556486436351848
4,sms_giellagas-ud-test_Case=Ill,5.087974016631667,5.093892870831491,5.079807520412996,5.0042327460530025,4.97725075966655,4.9389840710153985
5,sms_giellagas-ud-train_Case=Ill,0.11108241135314532,0.10958904109589036,0.12957670877434005,0.2233693746936237,0.24901480953538424,0.29244192421024817
6,et_ewt-ud-train_Case=Ill,5.589950618366523,5.594707084169718,5.578574897581019,5.509559176729666,5.482185880286189,5.4447471866093675
7,et_ewt-ud-test_Case=Ill,4.360818650449939,4.365192196068032,4.34859761699883,4.274637113133651,4.246662653225555,4.207718532887955
8,et_ewt-ud-dev_Case=Ill,10.726394975883336,10.731734991166185,10.713185599018265,10.643490846751732,10.614687282532858,10.575535228478614
9,egy_ujaen-ud-test_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
10,si_stb-ud-test_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
11,lt_alksnis-ud-test_Case=Ill,0.11108241135314532,0.10958904109589036,0.12957670877434005,0.2233693746936237,0.24901480953538424,0.29244192421024817
12,lt_alksnis-ud-dev_Case=Ill,0.11108241135314532,0.10958904109589036,0.12957670877434005,0.2233693746936237,0.24901480953538424,0.29244192421024817
13,lt_alksnis-ud-train_Case=Ill,0.11108241135314532,0.10958904109589036,0.12957670877434005,0.2233693746936237,0.24901480953538424,0.29244192421024817
14,olo_kkpp-ud-test_Case=Ill,0.7831281081863886,0.7890319909996782,0.7779158325866238,0.7046785188993548,0.6731705572871013,0.636396833181682
15,olo_kkpp-ud-train_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
16,mdf_jr-ud-test_Case=Ill,7.7209886063695095,7.726185649428518,7.712776997446879,7.637576346523784,7.612916171135052,7.5760479148937225
17,mdf_jr-ud-train_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
18,vep_vwt-ud-test_Case=Ill,0.5937093710423852,0.5962406465624835,0.5836771473560354,0.5152332540922111,0.4898060872532475,0.4579426473096624
19,fi_tdt-ud-train_Case=Ill,0.8873242885904732,0.8911225435897875,0.8799660327943047,0.7887998522763452,0.7576312560914339,0.7162907616377931
20,fi_tdt-ud-test_Case=Ill,0.8917631748491243,0.8954437801548609,0.8842842401568299,0.7948078912562794,0.763055479007814,0.7218715154068394
21,fi_tdt-ud-dev_Case=Ill,0.8320743495608973,0.8355033452991137,0.824660540511492,0.7359969564257118,0.704713477376421,0.6642900604465818
22,myv_jr-ud-test_Case=Ill,0.6475649094427369,0.6538225642535025,0.6413537251375725,0.5729564593026167,0.5486956427061982,0.5159874965554344
23,myv_jr-ud-train_Case=Ill,0.4450785258088947,0.45135042803265885,0.4396570389148556,0.38105611797345323,0.35960988728634397,0.3341562195263226
24,kpv_ikdp-ud-test_Case=Ill,1.2769581553030067,1.2822820285922638,1.268906401902884,1.200709540796834,1.1752854730619893,1.1405426753748007
25,kpv_lattice-ud-test_Case=Ill,8.457065898193012,8.462572533472974,8.449097879422661,8.376205121945018,8.35064379035937,8.313683551410321
26,kpv_lattice-ud-train_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
27,fi_pud-ud-test_Case=Ill,0.9109917520339332,0.9147994020153619,0.9042917686719139,0.8101742843287552,0.7791371268788947,0.7375102978547983
28,et_edt-ud-dev_Case=Ill,3.402113384386187,3.4072305956092146,3.391355928907069,3.3211966807598508,3.2935789775430044,3.2561572020780365
29,et_edt-ud-train_Case=Ill,3.3364229771379232,3.3415071113937866,3.3255252352735525,3.254837396654008,3.227374001001833,3.1898853753510177
30,et_edt-ud-test_Case=Ill,4.361812594091074,4.366544038827195,4.350194805147869,4.279837369605765,4.252338535566219,4.214460973218242
31,koi_uh-ud-train_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
32,koi_uh-ud-test_Case=Ill,30.27332919442844,30.279265637827933,30.265769280219143,30.191837253381813,30.166154854069237,30.128716805285446
33,sme_giella-ud-train_Case=Ill,0.07254077892372124,0.07640353724886582,0.08564042768163516,0.07302854552543295,0.08456296052991716,0.12657322491165532
34,sme_giella-ud-test_Case=Ill,0.13098623157320965,0.12782569495575638,0.12970256867880373,0.09897135174759565,0.08401224737311559,0.10650591728516046
35,krl_kkpp-ud-test_Case=Ill,0.2827719099663432,0.2845487402227315,0.2779999111821512,0.21165272449782443,0.18426984410526495,0.1656226261043495
36,fi_ftb-ud-dev_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
37,fi_ftb-ud-train_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
38,fi_ftb-ud-test_Case=Ill,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
