,Treebank,hu_szeged-ud-dev_Case=Ade,hu_szeged-ud-test_Case=Ade,hu_szeged-ud-train_Case=Ade,fi_ood-ud-test_Case=Ade,et_ewt-ud-train_Case=Ade,et_ewt-ud-test_Case=Ade,et_ewt-ud-dev_Case=Ade,olo_kkpp-ud-test_Case=Ade,vep_vwt-ud-test_Case=Ade,fi_tdt-ud-train_Case=Ade,fi_tdt-ud-test_Case=Ade,fi_tdt-ud-dev_Case=Ade,fi_pud-ud-test_Case=Ade,et_edt-ud-dev_Case=Ade,et_edt-ud-train_Case=Ade,et_edt-ud-test_Case=Ade,krl_kkpp-ud-test_Case=Ade,fi_ftb-ud-dev_Case=Ade,fi_ftb-ud-train_Case=Ade,fi_ftb-ud-test_Case=Ade
0,hu_szeged-ud-dev_Case=All,0.2705436443063228,0.14306944072758043,0.1975778931254825,0.5598015081893313,0.671760368834551,0.6530817378305378,0.9626027183304197,0.7764116507006272,0.44638229091000925,0.8964855301749086,0.9176249271144437,0.9324361108750783,1.154115965015757,0.5494943564147148,0.5807576483590823,0.45820896242281567,0.38893804031706414,1.29172958692549,1.29172958692549,1.29172958692549
1,hu_szeged-ud-test_Case=All,0.2837544389655483,0.1826044984382843,0.17379321515137772,0.6183892131110232,0.7322586673952682,0.7129529741623065,1.0197785787661235,0.8489292854251405,0.505177277431055,0.9578981495381402,0.9828220758350644,0.9935814418721058,1.2160191094426007,0.6057542221188359,0.6355566326351155,0.5088938153858921,0.4564827649192984,1.2216165268919335,1.2216165268919335,1.2216165268919335
2,hu_szeged-ud-train_Case=All,0.25029318757731833,0.14536737165007757,0.15862889748099399,0.6005399751644477,0.714320940944447,0.6930574709381562,1.00301723263431,0.8280999102600665,0.4895271303273823,0.9432213521064701,0.9685168022210388,0.9799313883993684,1.2025040180636655,0.5900788428399644,0.620646686985757,0.4929009884148033,0.4327764548830301,1.2334468765583195,1.2334468765583195,1.2334468765583195
3,fi_ood-ud-test_Case=All,0.37077763415380827,0.26758178614206424,0.35717483020533053,0.37007923559807204,0.47377623231004273,0.46095282914485863,0.7607094351490089,0.616490629410579,0.27379867939522295,0.6825306281128212,0.7115657481788442,0.71244469430605,0.9421511424843245,0.325501230422905,0.3542655652020251,0.2482504199577729,0.26527870593521974,1.4885496183206106,1.4885496183206106,1.4885496183206106
4,ess_sli-ud-test_Case=All,40.43252480986069,40.435572247200604,40.47956274467401,40.08782557170591,40.013295404377594,40.02774663229416,39.83191846239723,39.9519794856268,40.18979970091914,39.84051395259018,39.82323354650917,39.81128134648494,39.65209445088272,40.098090299952254,40.078781847735506,40.17575918357439,40.219508782663546,41.43669871020132,41.43669871020132,41.43669871020132
5,hit_hittb-ud-test_Case=All,0.4050462936504913,0.335299918733898,0.3082207001484488,0.8146657764756383,0.9298928155685491,0.9091540382121331,1.2126901021904224,1.0526315789473684,0.697614984548545,1.1640891530224247,1.19408613676893,1.2004080938733854,1.4264862419387834,0.8046556425732687,0.8331528819533678,0.6989284488146839,0.6491430649325309,1.0,1.0,1.0
6,et_ewt-ud-train_Case=All,0.30761563739688813,0.1979357625959416,0.27140483322169073,0.41808869562793316,0.5291592014598685,0.5121352277441504,0.8168383659316096,0.6932221145860961,0.3197519549006079,0.7586628313558508,0.792263773432734,0.7941278607764619,1.0229185294754362,0.39571951317248527,0.4234163481016991,0.29220995485240364,0.28846803315505126,1.3930450983353315,1.3930450983353315,1.3930450983353315
7,et_ewt-ud-test_Case=All,0.34827379364824873,0.24467602488638976,0.32927920659009374,0.37451755391925146,0.4780890761921704,0.4600918374017453,0.7739023533522539,0.6065948504579048,0.24995356300758292,0.700821916089541,0.7295209093156113,0.7422915775869997,0.9629694252300649,0.3370318280905262,0.369064693395128,0.2514391457484985,0.20780537595459161,1.4619432297123496,1.4619432297123496,1.4619432297123496
8,et_ewt-ud-dev_Case=All,0.31036301564438307,0.20028586519491207,0.2731168221974879,0.42440601051175375,0.5352459506292666,0.5111631116048341,0.8171864447837884,0.7051109711013934,0.3421527827193489,0.7658410548171022,0.8031950691302526,0.8025036183924507,1.027957222866491,0.4028875228412841,0.43034293582662037,0.29913765767042827,0.3035132517968257,1.3878741802897074,1.3878741802897074,1.3878741802897074
9,ml_ufal-ud-test_Case=All,3.5055759155950397,3.502323827025296,3.5489435047630726,3.1363846501692594,3.0634555788863738,3.0811081986623083,2.8989568153534035,3.0698245413510916,3.2176596049509856,2.875051216146141,2.8653746855802433,2.824557035887148,2.702502491184521,3.110561959377276,3.087723876552203,3.196345722315172,3.295282494529111,4.58257569495584,4.58257569495584,4.58257569495584
10,egy_ujaen-ud-test_Case=All,1.3375584099395434,1.3144621146642357,1.2629330940315089,1.7886065521032837,1.897422799077966,1.8771070193697335,2.166296264635297,2.0006924009208644,1.6593171286204857,2.1333499449356674,2.160771997383269,2.171466165088107,2.3950690043825595,1.7767514466365293,1.8041476170465596,1.6708159613082763,1.6152048534938224,0.0,0.0,0.0
11,olo_kkpp-ud-test_Case=All,0.37731722081554525,0.30553919265669194,0.32771434850319875,0.5738139235461407,0.6733630174766158,0.6773422105229426,0.9635707154226092,0.7723383262767874,0.40336053911842484,0.8919453411272255,0.9161294355041963,0.9392589924417968,1.1545029494819095,0.5392896313028697,0.5674733326126792,0.45105929650013227,0.37948739859466846,1.3016200966614866,1.3016200966614866,1.3016200966614866
12,olo_kkpp-ud-train_Case=All,0.5929270612815711,0.552026926707974,0.5873670062235365,0.46775895244973686,0.5347417985260525,0.5372916129241558,0.7176780116424508,0.8128129058673947,0.5354126134736338,0.7489899259173268,0.7816166419363936,0.7733837656555712,0.9912740249146466,0.5496891877461297,0.5483262349781335,0.460367762297166,0.5298695299316616,1.5811388300841898,1.5811388300841898,1.5811388300841898
13,vep_vwt-ud-test_Case=All,0.31825260756547186,0.22709322897932854,0.23921166824012208,0.6159917667221626,0.7278025288429324,0.7204764518863065,1.0202880251776887,0.8491952992109109,0.483045891539648,0.9535242802477087,0.9831159458171773,0.9975025503067552,1.216213292519721,0.5974818758873686,0.627148702384526,0.49822003049327745,0.44284189161846726,1.2092238098144703,1.2092238098144703,1.2092238098144703
14,fi_tdt-ud-train_Case=All,0.5626306727774405,0.5031518741113993,0.5779243745576187,0.2648092552310228,0.3132108953625581,0.3201532414054602,0.5767067980544011,0.45662225547095403,0.2326182891329107,0.46684333275152523,0.4921880280979688,0.4913152784336636,0.7155352134336691,0.16857049674948962,0.18855715719132585,0.20646611422035596,0.28035175838279325,1.734535185874498,1.734535185874498,1.734535185874498
15,fi_tdt-ud-test_Case=All,0.5741845816869416,0.5127145097033827,0.5896611431822356,0.2813035297067539,0.32466708432412567,0.3186618805530681,0.5805808828115272,0.45661336771503713,0.285161434672244,0.46998331989663045,0.4945360901440491,0.487627854633781,0.7100521710786222,0.20350052457578688,0.22455928829338756,0.2466659633681512,0.30663897129924167,1.7503098632872058,1.7503098632872058,1.7503098632872058
16,fi_tdt-ud-dev_Case=All,0.3132397369589232,0.2035238059002305,0.27592146745389035,0.44015131980597444,0.5491266296837042,0.5288782008293629,0.8354332831303063,0.7039439525522415,0.3433610181070567,0.771977542470838,0.8057008951163407,0.8032350842603176,1.0331066072986512,0.40829698688864563,0.43727171573318346,0.3142960778903769,0.31180068529361693,1.3901779182917564,1.3901779182917564,1.3901779182917564
17,tpn_tudet-ud-test_Case=All,0.7665987288739208,0.7200062093384086,0.7891627067834476,0.4573561419413796,0.4671814587254373,0.48020981793152967,0.5775640630385346,0.6881353914896557,0.5557777333511023,0.578764736736576,0.5978250597667641,0.5844779828801554,0.7673070957598953,0.517142128338794,0.5085213877074442,0.5094191996842526,0.5693544559655064,1.9002923751652299,1.9002923751652299,1.9002923751652299
18,fi_pud-ud-test_Case=All,0.4660074009015225,0.4171518808386333,0.4639154177348597,0.32643872143621205,0.40519136255745136,0.4070595766327788,0.6788997487352583,0.5446323462704257,0.2540508593499217,0.5781953398705096,0.6027278476782791,0.6027928904781527,0.825254678262191,0.2633959132680281,0.28721895365354827,0.24115436614655422,0.2814548741356632,1.6361461644880222,1.6361461644880222,1.6361461644880222
19,et_edt-ud-dev_Case=All,0.34676119472685935,0.24981659982475174,0.32403135020832374,0.3974925871014785,0.5006066580329785,0.49290589513098043,0.7964112642456287,0.6311827182468741,0.25435485418598497,0.7177473944289615,0.7450593046817938,0.7560557051332192,0.9807751005292483,0.35192853436814486,0.38249652464525696,0.2663222327562682,0.23760096628187352,1.4444051062310876,1.4444051062310876,1.4444051062310876
20,et_edt-ud-train_Case=All,0.373277795375584,0.28243465514743193,0.35947257260476734,0.3720726947349547,0.47214709556740536,0.46415719725076093,0.7642395444121345,0.6096203456039635,0.24483137408402814,0.6811886527539245,0.7090929184414462,0.7143635482290518,0.9416483951326267,0.3178305863881077,0.34827488900792075,0.24273338296914862,0.241650460154926,1.487667600355589,1.487667600355589,1.487667600355589
21,et_edt-ud-test_Case=All,0.42648952256115547,0.35312412504458623,0.4238851718819601,0.34122568436658984,0.43209264049386986,0.4227255429229305,0.7137241785768875,0.5863923982269503,0.24562331496509512,0.6280692853343697,0.6588969045155575,0.6558905337545409,0.8844916867535936,0.27612643744796184,0.30271861610583806,0.21883211816066092,0.2654572123797776,1.5561603904098478,1.5561603904098478,1.5561603904098478
22,wbp_ufal-ud-test_Case=All,0.4050462936504913,0.335299918733898,0.3082207001484488,0.8146657764756383,0.9298928155685491,0.9091540382121331,1.2126901021904224,1.0526315789473684,0.697614984548545,1.1640891530224247,1.19408613676893,1.2004080938733854,1.4264862419387834,0.8046556425732687,0.8331528819533678,0.6989284488146839,0.6491430649325309,1.0,1.0,1.0
23,arr_tudet-ud-test_Case=All,0.5929270612815711,0.552026926707974,0.5873670062235365,0.6292565390423716,0.7049427873512675,0.6914305581275536,0.9270955575556956,0.8128129058673947,0.594418483337567,0.8693671942052473,0.8968248104829509,0.8965694254734975,1.0881712777793375,0.626724184250935,0.6427169727293744,0.5804640183185347,0.5149142829151275,1.5811388300841898,1.5811388300841898,1.5811388300841898
24,gn_oldtudet-ud-test_Case=All,0.5929270612815711,0.552026926707974,0.5873670062235365,0.6292565390423717,0.7049427873512675,0.6914305581275536,0.9270955575556956,0.8128129058673947,0.5656854249492381,0.8700944434359936,0.8968248104829509,0.8965694254734975,1.0881712777793375,0.626724184250935,0.6432272343530038,0.5804640183185347,0.5723955963754438,1.5811388300841898,1.5811388300841898,1.5811388300841898
