,Treebank,kpv_ikdp-ud-test_Case=Adp,kpv_lattice-ud-test_Case=Adp
0,hu_szeged-ud-dev_Case=Ela,0.42236786197228976,0.45643679821743466
1,hu_szeged-ud-test_Case=Ela,0.3933690748202549,0.41131942996822773
2,hu_szeged-ud-train_Case=Ela,0.3708990935094579,0.34125507535423766
3,fi_ood-ud-test_Case=Ela,0.8957696007772216,0.7125348451508607
4,et_ewt-ud-train_Case=Ela,0.5780763357872089,0.3561823306829924
5,et_ewt-ud-test_Case=Ela,0.5935699403983805,0.39170956748035657
6,et_ewt-ud-dev_Case=Ela,0.6204962600539145,0.41792007106841234
7,egy_ujaen-ud-test_Case=Ela,1.3743685418725535,1.5132745950421556
8,olo_kkpp-ud-test_Case=Ela,0.4151332327181594,0.3363469216459105
9,olo_kkpp-ud-train_Case=Ela,0.4714045207910316,0.5385164807134505
10,mdf_jr-ud-test_Case=Ela,19.516374891072598,19.356910910576612
11,mdf_jr-ud-train_Case=Ela,1.3743685418725535,1.5132745950421556
12,vep_vwt-ud-test_Case=Ela,0.5137011669140814,0.33911649915626346
13,fi_tdt-ud-train_Case=Ela,1.140300773048021,0.9674878065293083
14,fi_tdt-ud-test_Case=Ela,0.9758608590535021,0.7991068622804774
15,fi_tdt-ud-dev_Case=Ela,1.1065443073031822,0.9328434840122398
16,myv_jr-ud-test_Case=Ela,0.6706914265289047,0.4890535705299935
17,myv_jr-ud-train_Case=Ela,1.1821422577085714,1.009242997781718
18,kpv_ikdp-ud-test_Case=Ela,2.867441755680876,2.6938200880286467
19,kpv_lattice-ud-test_Case=Ela,2.125744354180342,1.955608517813628
20,kpv_lattice-ud-train_Case=Ela,1.2472191289246473,1.1357816691600546
21,fi_pud-ud-test_Case=Ela,1.654795606242889,1.4908668654253945
22,et_edt-ud-dev_Case=Ela,0.8113219255713202,0.6347581353439532
23,et_edt-ud-train_Case=Ela,0.7215395504479818,0.5412368358169102
24,et_edt-ud-test_Case=Ela,0.8320906244151968,0.6527392288911137
25,wbp_ufal-ud-test_Case=Ela,0.4714045207910316,0.5385164807134505
26,koi_uh-ud-train_Case=Ela,1.3743685418725535,1.5132745950421556
27,koi_uh-ud-test_Case=Ela,2.6562295750848715,2.5079872407968904
28,krl_kkpp-ud-test_Case=Ela,0.5063156678946007,0.3671511950137164
29,fi_ftb-ud-dev_Case=Ela,1.3743685418725535,1.5132745950421556
30,fi_ftb-ud-train_Case=Ela,1.3743685418725535,1.5132745950421556
31,fi_ftb-ud-test_Case=Ela,1.3743685418725535,1.5132745950421556
