,Treebank,kpv_ikdp-ud-test_Case=Adp,kpv_lattice-ud-test_Case=Adp
0,sl_ssj-ud-test_Case=Ins,1.482057362632741,1.3149844427267752
1,sl_ssj-ud-dev_Case=Ins,1.5523094125069226,1.3863740235629844
2,sl_ssj-ud-train_Case=Ins,1.514982514778806,1.3483801545846894
3,xcl_caval-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
4,xcl_caval-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
5,xcl_caval-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
6,hu_szeged-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
7,hu_szeged-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
8,hu_szeged-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
9,xav_xdt-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
10,tr_pud-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
11,fi_ood-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
12,pl_pdb-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
13,pl_pdb-ud-train_Case=Ins,3334.6235169805905,3334.457620563401
14,pl_pdb-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
15,sah_yktdt-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
16,uk_iu-ud-dev_Case=Ins,3.2013121905644577,3.028587443478564
17,uk_iu-ud-train_Case=Ins,3.496004322228378,3.325854202333214
18,uk_iu-ud-test_Case=Ins,3.5655933700111238,3.3972677305155594
19,sa_vedic-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
20,sa_vedic-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
21,sa_vedic-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
22,hr_set-ud-dev_Case=Ins,2.972933920029608,2.8046442702158747
23,hr_set-ud-train_Case=Ins,2.7481098494074527,2.5788729884977064
24,hr_set-ud-test_Case=Ins,2.6400800510092415,2.4683437946192526
25,orv_rnc-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
26,orv_rnc-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
27,orv_rnc-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
28,tr_atis-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
29,tr_atis-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
30,tr_atis-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
31,hi_pud-ud-test_Case=Ins,0.4714045207910316,0.5385164807134505
32,tr_kenet-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
33,tr_kenet-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
34,tr_kenet-ud-train_Case=Ins,1989.352044147932,1989.2187637361558
35,sk_snk-ud-dev_Case=Ins,4.046935350740156,3.8703775636502313
36,sk_snk-ud-test_Case=Ins,4.489468217400371,4.3089128679756605
37,sk_snk-ud-train_Case=Ins,2.460582211315231,2.2820213373887457
38,lt_hse-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
39,lt_hse-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
40,lt_hse-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
41,hit_hittb-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
42,sa_ufal-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
43,be_hse-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
44,be_hse-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
45,be_hse-ud-test_Case=Ins,623.4967700174734,623.3303217396054
46,cs_pud-ud-test_Case=Ins,3.220624777081092,3.0436985894788577
47,orv_ruthenian-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
48,orv_ruthenian-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
49,orv_ruthenian-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
50,ml_ufal-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
51,egy_ujaen-ud-test_Case=Ins,0.4714045207910316,0.5385164807134505
52,mr_ufal-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
53,mr_ufal-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
54,mr_ufal-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
55,si_stb-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
56,lt_alksnis-ud-test_Case=Ins,7.788462969645013,7.6283485318416995
57,lt_alksnis-ud-dev_Case=Ins,6.514420398638234,6.35813799348748
58,lt_alksnis-ud-train_Case=Ins,6.797161085385961,6.638264570738861
59,cu_proiel-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
60,cu_proiel-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
61,cu_proiel-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
62,olo_kkpp-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
63,hy_bsut-ud-train_Case=Ins,426.0026082340603,425.85618464453466
64,hy_bsut-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
65,hy_bsut-ud-dev_Case=Ins,174.48272757560338,174.33614083144093
66,hsb_ufal-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
67,hsb_ufal-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
68,fi_tdt-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
69,fi_tdt-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
70,fi_tdt-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
71,sr_set-ud-test_Case=Ins,2.646056084806154,2.4797964798985928
72,sr_set-ud-train_Case=Ins,2.5137943064690407,2.349301614102923
73,sr_set-ud-dev_Case=Ins,2.9413774645374726,2.780793501862373
74,tr_framenet-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
75,tr_framenet-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
76,tr_framenet-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
77,ky_ktmu-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
78,ky_ktmu-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
79,kpv_ikdp-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
80,kpv_lattice-ud-test_Case=Ins,100.6175376805102,100.46486948182435
81,abq_atb-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
82,tr_gb-ud-test_Case=Ins,64.19241907473706,64.04912177383855
83,ru_taiga-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
84,ru_taiga-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
85,ru_taiga-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
86,fi_pud-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
87,cs_cltt-ud-dev_Case=Ins,4.70755065264581,4.546421194387605
88,cs_cltt-ud-train_Case=Ins,4.21327671536918,4.050283436793942
89,cs_cltt-ud-test_Case=Ins,8.437497080507036,8.279338527301213
90,hy_armtdp-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
91,hy_armtdp-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
92,hy_armtdp-ud-test_Case=Ins,110.07371267574389,109.92310949022503
93,ota_boun-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
94,ota_boun-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
95,ru_syntagrus-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
96,ru_syntagrus-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
97,ru_syntagrus-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
98,sjo_xdt-ud-test_Case=Ins,0.4714045207910316,0.5385164807134505
99,orv_birchbark-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
100,orv_birchbark-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
101,orv_birchbark-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
102,ru_poetry-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
103,ru_poetry-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
104,ru_poetry-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
105,myu_tudet-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
106,wbp_ufal-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
107,koi_uh-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
108,cs_fictree-ud-dev_Case=Ins,2.899816150249333,2.728869950527235
109,cs_fictree-ud-train_Case=Ins,2.7311145798139926,2.5612409301041588
110,cs_fictree-ud-test_Case=Ins,2.5357263634497347,2.3604489228202046
111,hyw_armtdp-ud-test_Case=Ins,295.2968374741291,295.15299422502903
112,hyw_armtdp-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
113,hyw_armtdp-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
114,sl_sst-ud-train_Case=Ins,1.4029837538237322,1.2238140558157542
115,sl_sst-ud-test_Case=Ins,1.4798393128469958,1.3077714908153293
116,sl_sst-ud-dev_Case=Ins,1.4910141910641337,1.3136609217378123
117,ka_glc-ud-test_Case=Ins,5.824964480830632,5.67806421442559
118,arr_tudet-ud-test_Case=Ins,0.6236095644623235,0.5385164807134505
119,kk_ktb-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
120,kk_ktb-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
121,cs_pdt-ud-test_Case=Ins,3.225628561131727,3.0516621557644767
122,cs_pdt-ud-dev_Case=Ins,3.362550213444214,3.187838367480961
123,cs_pdt-ud-train_Case=Ins,3.266479179477262,3.0925017792912888
124,ta_mwtt-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
125,ota_dudu-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
126,ta_ttb-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
127,ta_ttb-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
128,ta_ttb-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
129,ru_pud-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
130,qtd_sagt-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
131,qtd_sagt-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
132,qtd_sagt-ud-train_Case=Ins,17.899410294445147,17.76485294056779
133,krl_kkpp-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
134,pl_pud-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
135,orv_torot-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
136,orv_torot-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
137,orv_torot-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
138,cs_cac-ud-dev_Case=Ins,4.487577326533657,4.323841084453413
139,cs_cac-ud-train_Case=Ins,4.124112120829948,3.9539493192127315
140,cs_cac-ud-test_Case=Ins,4.318364751206711,4.151390287630373
141,eu_bdt-ud-train_Case=Ins,24.226525972746312,24.083077821086412
142,eu_bdt-ud-test_Case=Ins,28.091986797345292,27.94731650802989
143,eu_bdt-ud-dev_Case=Ins,38.084462761799266,37.94066527662177
144,fi_ftb-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
145,fi_ftb-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
146,fi_ftb-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
147,am_att-ud-test_Case=Ins,6.847546194724712,6.729784543356496
148,pl_lfg-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
149,pl_lfg-ud-train_Case=Ins,1.3743685418725535,1.5132745950421556
150,pl_lfg-ud-dev_Case=Ins,1.3743685418725535,1.5132745950421556
151,tr_tourism-ud-train_Case=Ins,169.53039714327207,169.37706456306296
152,tr_tourism-ud-dev_Case=Ins,56.15059117132151,55.99544624342233
153,tr_tourism-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
154,ab_abnc-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
155,cs_poetry-ud-test_Case=Ins,3.375204705306197,3.2142204578913747
156,ru_gsd-ud-test_Case=Ins,1.3743685418725535,1.5132745950421556
157,ru_gsd-ud-dev_Case=Ins,467.60334567760407,467.432658251432
