,Treebank,kpv_ikdp-ud-test_Case=Adp,kpv_lattice-ud-test_Case=Adp
0,fi_ood-ud-test_Case=Par,9.663598512001265,9.467356193759972
1,sah_yktdt-ud-test_Case=Par,5.304924337087403,5.107837115648853
2,sms_giellagas-ud-test_Case=Par,1.3743685418725535,1.5132745950421556
3,et_ewt-ud-train_Case=Par,48.00853036137359,47.80998063406745
4,et_ewt-ud-test_Case=Par,42.933419934187704,42.73507547554207
5,et_ewt-ud-dev_Case=Par,30.5034242157973,30.30396013724939
6,olo_kkpp-ud-test_Case=Par,138.54802616982877,138.35638763714525
7,olo_kkpp-ud-train_Case=Par,1.3743685418725535,1.5132745950421556
8,vep_vwt-ud-test_Case=Par,1.3743685418725535,1.5132745950421556
9,fi_tdt-ud-train_Case=Par,17.502447613861495,17.305865233564294
10,fi_tdt-ud-test_Case=Par,17.462577765674293,17.265729060772383
11,fi_tdt-ud-dev_Case=Par,15.889415888945331,15.691851355553213
12,ru_taiga-ud-train_Case=Par,45.463049709504624,45.29558477379445
13,ru_taiga-ud-dev_Case=Par,1.3743685418725535,1.5132745950421556
14,ru_taiga-ud-test_Case=Par,1.3743685418725535,1.5132745950421556
15,fi_pud-ud-test_Case=Par,20.62551156101965,20.43043486500816
16,et_edt-ud-dev_Case=Par,90.41177533689621,90.21555904291456
17,et_edt-ud-train_Case=Par,79.10370249758374,78.90807512380732
18,et_edt-ud-test_Case=Par,80.63091508473214,80.4341918270833
19,ru_syntagrus-ud-train_Case=Par,83.1107026133752,82.96438995135202
20,ru_syntagrus-ud-dev_Case=Par,1.3743685418725535,1.5132745950421556
21,ru_syntagrus-ud-test_Case=Par,1.3743685418725535,1.5132745950421556
22,ru_poetry-ud-dev_Case=Par,1.3743685418725535,1.5132745950421556
23,ru_poetry-ud-train_Case=Par,11.20515754264774,11.031319050775387
24,krl_kkpp-ud-test_Case=Par,34.046446126242905,33.85314873113498
25,eu_bdt-ud-train_Case=Par,27.890379414573925,27.699041048382885
26,eu_bdt-ud-test_Case=Par,16.50602583570282,16.312878348102764
27,eu_bdt-ud-dev_Case=Par,10.077869075449762,9.884483686641365
28,fi_ftb-ud-dev_Case=Par,8.203025250380948,8.00247902463426
29,fi_ftb-ud-train_Case=Par,10.109959549777603,9.911914077447879
30,fi_ftb-ud-test_Case=Par,10.38528570659193,10.185233408804962
31,ru_gsd-ud-dev_Case=Par,1.3743685418725535,1.5132745950421556
32,ru_gsd-ud-train_Case=Par,1.3743685418725535,1.5132745950421556
