,Treebank,urb_tudet-ud-test_Case=Aff,_Case=Aff
0,xcl_caval-ud-train_Case=Abl,22.613938943164733,1.9351894565771866
1,xcl_caval-ud-dev_Case=Abl,22.597101332748625,1.5405111778306224
2,xcl_caval-ud-test_Case=Abl,22.603652854373333,1.7956245877591162
3,hu_szeged-ud-dev_Case=Abl,22.594016538307955,1.2204848763230673
4,hu_szeged-ud-test_Case=Abl,22.592143737983033,1.1853095282186634
5,hu_szeged-ud-train_Case=Abl,22.599791301988255,1.3230899037571242
6,tr_pud-ud-test_Case=Abl,22.53642618547874,1.5705228683121009
7,fi_ood-ud-test_Case=Abl,22.629137294012786,1.9451830310337004
8,sah_yktdt-ud-test_Case=Abl,22.35429009640623,1.4638501094227998
9,sa_vedic-ud-test_Case=Abl,23.040632232509235,4.835176356148253
10,sa_vedic-ud-train_Case=Abl,23.359828969139645,6.156303355579317
11,sa_vedic-ud-dev_Case=Abl,24.18888026293602,8.84095777816305
12,la_circse-ud-test_Case=Abl,22.690036068914612,3.0524509968820435
13,tr_atis-ud-dev_Case=Abl,29.333015208975706,19.847563609924517
14,tr_atis-ud-train_Case=Abl,28.17311289049949,18.015411712519857
15,tr_atis-ud-test_Case=Abl,32.66927072954032,24.740949523681046
16,hi_pud-ud-test_Case=Abl,22.561028345356956,0.0
17,la_perseus-ud-test_Case=Abl,22.46422830123942,2.1645814420642675
18,la_perseus-ud-train_Case=Abl,22.48645631685613,2.37784999625236
19,tr_kenet-ud-dev_Case=Abl,22.49399197852393,1.6370949844766072
20,tr_kenet-ud-test_Case=Abl,22.572667510942452,1.9732560939189738
21,tr_kenet-ud-train_Case=Abl,22.523792519863058,1.661973692717177
22,ess_sli-ud-test_Case=Abl,119.59933110180843,117.45211790342479
23,ky_tuecl-ud-test_Case=Abl,22.58317958127243,1.0
24,hit_hittb-ud-test_Case=Abl,22.586847510738917,1.0796668344321692
25,sa_ufal-ud-test_Case=Abl,22.653557633832875,2.543499116394979
26,et_ewt-ud-train_Case=Abl,22.585705082509026,1.2835136958394355
27,et_ewt-ud-test_Case=Abl,22.586061575998436,1.3211972336398206
28,et_ewt-ud-dev_Case=Abl,22.59336185697029,1.2083045973594573
29,gub_tudet-ud-test_Case=Abl,22.58317958127243,1.0
30,ml_ufal-ud-test_Case=Abl,22.561028345356956,0.0
31,egy_ujaen-ud-test_Case=Abl,22.561028345356956,0.0
32,sq_tsa-ud-test_Case=Abl,22.617593938249833,2.560381915956203
33,mr_ufal-ud-train_Case=Abl,22.58317958127243,1.0
34,si_stb-ud-test_Case=Abl,22.479620400116485,1.7320508075688774
35,olo_kkpp-ud-test_Case=Abl,22.561028345356956,0.0
36,olo_kkpp-ud-train_Case=Abl,22.58317958127243,1.0
37,hy_bsut-ud-train_Case=Abl,22.620107223269603,1.6337841938927158
38,hy_bsut-ud-test_Case=Abl,22.613706967223383,1.555949842652198
39,hy_bsut-ud-dev_Case=Abl,22.615492133249408,1.5685931368795876
40,mdf_jr-ud-test_Case=Abl,22.996783927452054,5.008277172510163
41,mdf_jr-ud-train_Case=Abl,22.561028345356956,0.0
42,vep_vwt-ud-test_Case=Abl,22.616365755797283,1.5811388300841898
43,la_llct-ud-dev_Case=Abl,22.75511966926862,4.155343916539191
44,la_llct-ud-test_Case=Abl,22.76102640788933,4.275279936582964
45,la_llct-ud-train_Case=Abl,22.744763032681064,3.915000890586476
46,fi_tdt-ud-train_Case=Abl,22.600858154775892,1.8930626924303462
47,fi_tdt-ud-test_Case=Abl,22.5931616655264,1.6816667996186203
48,fi_tdt-ud-dev_Case=Abl,22.60812906898755,2.26439837484485
49,myv_jr-ud-test_Case=Abl,22.60665222132587,1.6672809540006404
50,myv_jr-ud-train_Case=Abl,22.583288754441178,2.0580816789521883
51,tr_framenet-ud-test_Case=Abl,22.51659480072683,1.2391541302759241
52,tr_framenet-ud-train_Case=Abl,22.533204953684784,2.31313394395121
53,tr_framenet-ud-dev_Case=Abl,22.52465316048174,2.6758176320519302
54,ky_ktmu-ud-train_Case=Abl,22.53175536881226,2.06881608655772
55,ky_ktmu-ud-test_Case=Abl,22.528874526303074,2.307747305488443
56,la_proiel-ud-test_Case=Abl,22.656769877872293,2.615626502506727
57,la_proiel-ud-dev_Case=Abl,22.64755327445017,2.59310032953965
58,la_proiel-ud-train_Case=Abl,22.650763356569456,2.539096521469755
59,kpv_ikdp-ud-test_Case=Abl,23.15167380558045,5.5677643628300215
60,kpv_lattice-ud-test_Case=Abl,22.659040111298452,2.9038076323048845
61,tt_nmctt-ud-test_Case=Abl,22.580112839507144,1.457619202539603
62,tr_gb-ud-test_Case=Abl,22.622434280609195,2.4870435246815115
63,fi_pud-ud-test_Case=Abl,22.59316648624092,1.7539019000502851
64,hy_armtdp-ud-train_Case=Abl,22.60739808359412,1.4836590668344454
65,hy_armtdp-ud-dev_Case=Abl,22.59909269104852,1.3111027643181319
66,hy_armtdp-ud-test_Case=Abl,22.623145443479963,1.6961383184884282
67,ota_boun-ud-train_Case=Abl,22.49313727539571,1.7963682182420742
68,ota_boun-ud-test_Case=Abl,22.54939897379086,1.5290975041636563
69,et_edt-ud-dev_Case=Abl,22.591653570156502,1.4090957242119833
70,et_edt-ud-train_Case=Abl,22.58762574425848,1.4197364464940068
71,et_edt-ud-test_Case=Abl,22.593556804401647,1.4312649016347547
72,sjo_xdt-ud-test_Case=Abl,26.94104675026566,14.724808997063425
73,la_udante-ud-train_Case=Abl,22.647505705677574,2.498443095671545
74,la_udante-ud-test_Case=Abl,22.70638787355224,2.9101945505838316
75,la_udante-ud-dev_Case=Abl,22.6288995969465,2.4494512826049313
76,hyw_armtdp-ud-test_Case=Abl,22.597179117231573,1.3047112700161232
77,hyw_armtdp-ud-dev_Case=Abl,22.612296777848652,1.5427691637114966
78,hyw_armtdp-ud-train_Case=Abl,22.609900700390906,1.568983123616363
79,arr_tudet-ud-test_Case=Abl,22.561028345356956,0.0
80,aln_gps-ud-test_Case=Abl,22.483849805273913,1.5302561498969776
81,kk_ktb-ud-test_Case=Abl,22.59458322191897,1.8525273652199823
82,kk_ktb-ud-train_Case=Abl,22.60395486436398,1.7554579610635008
83,gn_oldtudet-ud-test_Case=Abl,22.58317958127243,1.0
84,ta_mwtt-ud-test_Case=Abl,22.58317958127243,1.0
85,ota_dudu-ud-test_Case=Abl,22.542963096833233,1.5869840952317444
86,ug_udt-ud-test_Case=Abl,22.59014542093275,1.5350364183157206
87,ug_udt-ud-dev_Case=Abl,22.597636061224534,1.7281460843600258
88,ug_udt-ud-train_Case=Abl,22.58339386369291,1.6695676627379603
89,xum_ikuvina-ud-test_Case=Abl,22.62423563510104,2.5041310307005324
90,la_ittb-ud-dev_Case=Abl,22.667094808994193,2.4854867652813493
91,la_ittb-ud-test_Case=Abl,22.67363741081625,2.5623293212180593
92,la_ittb-ud-train_Case=Abl,22.65629326183104,2.443536577527555
93,qtd_sagt-ud-test_Case=Abl,22.58855304201347,1.3690534975757436
94,qtd_sagt-ud-dev_Case=Abl,22.59207727444402,1.3159986632464675
95,qtd_sagt-ud-train_Case=Abl,22.59324701090188,1.423460244283413
96,krl_kkpp-ud-test_Case=Abl,22.593804460515276,1.2165525060596438
97,eu_bdt-ud-train_Case=Abl,22.608642486259697,1.779667587408437
98,eu_bdt-ud-test_Case=Abl,22.62756283827315,1.8991050523865183
99,eu_bdt-ud-dev_Case=Abl,22.611772621317126,1.8603226612578245
100,fi_ftb-ud-dev_Case=Abl,22.561028345356956,0.0
101,fi_ftb-ud-train_Case=Abl,22.561028345356956,0.0
102,fi_ftb-ud-test_Case=Abl,22.561028345356956,0.0
103,eme_tudet-ud-test_Case=Abl,22.585101406802572,1.042499666933067
104,tr_tourism-ud-train_Case=Abl,21.548776507173248,4.334114853669353
105,tr_tourism-ud-dev_Case=Abl,22.23057235222337,19.119675297218684
106,tr_tourism-ud-test_Case=Abl,21.58069402159317,4.552620613847279
107,aqz_tudet-ud-test_Case=Abl,22.58317958127243,1.0
108,tr_imst-ud-train_Case=Abl,22.485596589421352,2.45594317326027
109,tr_imst-ud-dev_Case=Abl,22.516476978807987,2.40092957204441
110,tr_imst-ud-test_Case=Abl,22.476993235606376,2.1970411055274233
111,gu_gujtb-ud-test_Case=Abl,22.58317958127243,1.0
112,bxr_bdt-ud-train_Case=Abl,22.561028345356956,0.0
113,bxr_bdt-ud-test_Case=Abl,54.13409276971399,51.53154373779229
114,bej_nsc-ud-test_Case=Abl,22.561028345356956,0.0
115,tr_boun-ud-dev_Case=Abl,22.548306548166774,1.5505580865874455
116,tr_boun-ud-test_Case=Abl,22.545227114070062,1.561174437723088
117,tr_boun-ud-train_Case=Abl,22.54448085757549,1.606603082099346
118,tr_penn-ud-dev_Case=Abl,22.542286445798588,2.476170913018999
119,tr_penn-ud-test_Case=Abl,22.59521061968283,1.8598483555317864
120,tr_penn-ud-train_Case=Abl,22.490807165354397,2.3789509973157035
