,Treebank,urb_tudet-ud-test_Case=Aff,_Case=Aff
0,sl_ssj-ud-test_Case=Dat,22.349059525488457,3.237354116223063
1,sl_ssj-ud-dev_Case=Dat,22.21428156739613,3.702382866329317
2,sl_ssj-ud-train_Case=Dat,22.352329530992364,3.1179361720571244
3,xcl_caval-ud-train_Case=Dat,22.591095529756142,1.239102502759832
4,xcl_caval-ud-dev_Case=Dat,22.587967347762653,1.1651494545412489
5,xcl_caval-ud-test_Case=Dat,22.59106873586909,1.2227021265001647
6,hu_szeged-ud-dev_Case=Dat,22.718939325629457,3.1993621813334823
7,hu_szeged-ud-test_Case=Dat,23.188227132556303,6.174337938564088
8,hu_szeged-ud-train_Case=Dat,22.70358575473154,3.045362818101901
9,xav_xdt-ud-test_Case=Dat,22.55049888583399,1.3133925536563698
10,tr_pud-ud-test_Case=Dat,22.424167344981576,6.339143832598542
11,es_gsd-ud-test_Case=Dat,22.561028345356956,0.0
12,es_gsd-ud-dev_Case=Dat,22.561028345356956,0.0
13,es_gsd-ud-train_Case=Dat,22.561028345356956,0.0
14,de_hdt-ud-test_Case=Dat,22.561028345356956,0.0
15,de_hdt-ud-train_Case=Dat,22.561028345356956,0.0
16,de_hdt-ud-dev_Case=Dat,22.561028345356956,0.0
17,sga_dipsgg-ud-test_Case=Dat,22.561028345356956,0.0
18,pt_porttinari-ud-train_Case=Dat,22.415815369868913,2.1565242585859323
19,pt_porttinari-ud-test_Case=Dat,22.31179792241343,2.0946968998021687
20,pt_porttinari-ud-dev_Case=Dat,22.60530911091463,1.914854215512676
21,pl_pdb-ud-test_Case=Dat,22.59882225882186,1.541535826120694
22,pl_pdb-ud-train_Case=Dat,22.599457046514523,1.6189288728823157
23,pl_pdb-ud-dev_Case=Dat,22.59257379867955,1.6141540233157499
24,sah_yktdt-ud-test_Case=Dat,36.36963018783666,30.062435031114827
25,uk_iu-ud-dev_Case=Dat,21.26363614771054,8.489732360655166
26,uk_iu-ud-train_Case=Dat,21.49240039767083,4.162123839315832
27,uk_iu-ud-test_Case=Dat,21.684650303141005,5.847542709481503
28,sa_vedic-ud-test_Case=Dat,22.77166550875777,3.344574254420582
29,sa_vedic-ud-train_Case=Dat,22.76288208785455,3.268627846799917
30,sa_vedic-ud-dev_Case=Dat,22.699008539188036,2.7268048798195497
31,es_ancora-ud-train_Case=Dat,22.561028345356956,0.0
32,es_ancora-ud-test_Case=Dat,22.561028345356956,0.0
33,es_ancora-ud-dev_Case=Dat,22.561028345356956,0.0
34,hr_set-ud-dev_Case=Dat,21.756541513108317,5.553167082786309
35,hr_set-ud-train_Case=Dat,21.868931263491074,4.7576712783229205
36,hr_set-ud-test_Case=Dat,21.727632125299166,5.783442463408472
37,orv_rnc-ud-dev_Case=Dat,22.840872064265266,4.083079518090304
38,orv_rnc-ud-train_Case=Dat,22.894051574835522,4.539215744936601
39,orv_rnc-ud-test_Case=Dat,22.839133407702114,4.107366462742187
40,la_circse-ud-test_Case=Dat,22.561028345356956,0.0
41,is_pud-ud-test_Case=Dat,83.7633810205868,83.5211589957898
42,grc_perseus-ud-dev_Case=Dat,24.44542771125429,12.744876506370305
43,grc_perseus-ud-train_Case=Dat,23.210456491017823,10.262650648850979
44,grc_perseus-ud-test_Case=Dat,26.0180295849497,15.986689060580419
45,tr_atis-ud-dev_Case=Dat,22.561028345356956,0.0
46,tr_atis-ud-train_Case=Dat,22.561028345356956,0.0
47,tr_atis-ud-test_Case=Dat,22.561028345356956,0.0
48,pt_pud-ud-test_Case=Dat,22.59944012309931,1.3170777796132698
49,hi_pud-ud-test_Case=Dat,22.561028345356956,0.0
50,la_perseus-ud-test_Case=Dat,22.561028345356956,0.0
51,la_perseus-ud-train_Case=Dat,22.561028345356956,0.0
52,tr_kenet-ud-dev_Case=Dat,24.14971444389205,9.780679893265074
53,tr_kenet-ud-test_Case=Dat,1110.1017971339386,1112.2288433591352
54,tr_kenet-ud-train_Case=Dat,32.15918246742196,24.566461491594044
55,sk_snk-ud-dev_Case=Dat,22.561028345356956,0.0
56,sk_snk-ud-test_Case=Dat,22.561028345356956,0.0
57,sk_snk-ud-train_Case=Dat,22.561028345356956,0.0
58,lt_hse-ud-train_Case=Dat,22.39681199412095,6.020148461624514
59,lt_hse-ud-test_Case=Dat,22.327113561766108,4.06201920231798
60,lt_hse-ud-dev_Case=Dat,22.01947190232188,3.4434202266268423
61,hit_hittb-ud-test_Case=Dat,22.691027214504473,4.988257817052234
62,sa_ufal-ud-test_Case=Dat,22.749847374335406,3.5433819375782165
63,be_hse-ud-train_Case=Dat,22.589366646586743,1.7050530777470636
64,be_hse-ud-dev_Case=Dat,22.577747617953392,1.5667442356683494
65,be_hse-ud-test_Case=Dat,22.587088690341453,2.7172545072324215
66,gub_tudet-ud-test_Case=Dat,36.8148520753966,29.905406423142512
67,cs_pud-ud-test_Case=Dat,22.561028345356956,0.0
68,orv_ruthenian-ud-test_Case=Dat,22.667598692126237,2.607568198644489
69,orv_ruthenian-ud-train_Case=Dat,22.806095087051315,3.6603091299490744
70,orv_ruthenian-ud-dev_Case=Dat,22.783870159685645,3.6135327637321817
71,ml_ufal-ud-test_Case=Dat,23.412015055940653,9.394961741404218
72,apu_ufpa-ud-test_Case=Dat,22.561028345356956,0.0
73,egy_ujaen-ud-test_Case=Dat,22.561028345356956,0.0
74,de_pud-ud-test_Case=Dat,22.561028345356956,0.0
75,gl_treegal-ud-train_Case=Dat,22.5107491470296,1.873927676905276
76,gl_treegal-ud-test_Case=Dat,22.630169408867634,2.579530817562435
77,ro_nonstandard-ud-test_Case=Dat,22.641258171519894,2.67852884899451
78,ro_nonstandard-ud-dev_Case=Dat,22.60201368716251,2.2558629061899005
79,ro_nonstandard-ud-train_Case=Dat,22.60126720827978,2.540442797381302
80,ro_simonero-ud-test_Case=Dat,35.24202037341219,27.073972741361768
81,ro_simonero-ud-train_Case=Dat,24.897891476990576,11.229648258071132
82,ro_simonero-ud-dev_Case=Dat,22.561028345356956,0.0
83,sq_tsa-ud-test_Case=Dat,22.24859546128699,5.385164807134504
84,pt_petrogold-ud-train_Case=Dat,22.58317958127243,1.0
85,pt_petrogold-ud-test_Case=Dat,22.58317958127243,1.0
86,pt_petrogold-ud-dev_Case=Dat,22.58317958127243,1.0
87,mr_ufal-ud-dev_Case=Dat,21.737065119284157,5.049752469181039
88,mr_ufal-ud-test_Case=Dat,19.79898987322333,12.767145334803704
89,mr_ufal-ud-train_Case=Dat,21.117369372745095,5.323024851790458
90,pt_gsd-ud-dev_Case=Dat,21.77154105707724,2.23606797749979
91,pt_gsd-ud-test_Case=Dat,22.58317958127243,1.0
92,pt_gsd-ud-train_Case=Dat,22.58317958127243,1.0
93,si_stb-ud-test_Case=Dat,22.561028345356956,0.0
94,ro_tuecl-ud-test_Case=Dat,22.594288888105513,2.317640087796107
95,lt_alksnis-ud-test_Case=Dat,22.561028345356956,0.0
96,lt_alksnis-ud-dev_Case=Dat,22.561028345356956,0.0
97,lt_alksnis-ud-train_Case=Dat,22.561028345356956,0.0
98,cu_proiel-ud-train_Case=Dat,22.561028345356956,0.0
99,cu_proiel-ud-test_Case=Dat,22.561028345356956,0.0
100,cu_proiel-ud-dev_Case=Dat,22.561028345356956,0.0
101,hy_bsut-ud-train_Case=Dat,57.08724972910022,54.06071794278907
102,hy_bsut-ud-test_Case=Dat,65.69054726518877,63.34357110236208
103,hy_bsut-ud-dev_Case=Dat,42.75307310941258,37.59549181723294
104,mdf_jr-ud-test_Case=Dat,22.561028345356956,0.0
105,mdf_jr-ud-train_Case=Dat,22.561028345356956,0.0
106,la_llct-ud-dev_Case=Dat,22.561028345356956,0.0
107,la_llct-ud-test_Case=Dat,22.561028345356956,0.0
108,la_llct-ud-train_Case=Dat,22.561028345356956,0.0
109,es_pud-ud-test_Case=Dat,22.561028345356956,0.0
110,hsb_ufal-ud-test_Case=Dat,24.0696327812084,11.158579160846998
111,hsb_ufal-ud-train_Case=Dat,22.93468988235943,5.5677643628300215
112,sr_set-ud-test_Case=Dat,22.561028345356956,0.0
113,sr_set-ud-train_Case=Dat,1118.2691983596794,1119.1349337769775
114,sr_set-ud-dev_Case=Dat,22.561028345356956,0.0
115,myv_jr-ud-test_Case=Dat,22.561028345356956,0.0
116,myv_jr-ud-train_Case=Dat,22.561028345356956,0.0
117,tr_framenet-ud-test_Case=Dat,22.561028345356956,0.0
118,tr_framenet-ud-train_Case=Dat,902.7391649862102,904.4639296290372
119,tr_framenet-ud-dev_Case=Dat,22.561028345356956,0.0
120,ky_ktmu-ud-train_Case=Dat,22.561028345356956,0.0
121,ky_ktmu-ud-test_Case=Dat,22.561028345356956,0.0
122,la_proiel-ud-test_Case=Dat,22.561028345356956,0.0
123,la_proiel-ud-dev_Case=Dat,22.561028345356956,0.0
124,la_proiel-ud-train_Case=Dat,22.561028345356956,0.0
125,kpv_ikdp-ud-test_Case=Dat,22.561028345356956,0.0
126,kpv_lattice-ud-test_Case=Dat,22.561028345356956,0.0
127,kpv_lattice-ud-train_Case=Dat,22.561028345356956,0.0
128,tt_nmctt-ud-test_Case=Dat,22.561028345356956,0.0
129,tr_gb-ud-test_Case=Dat,22.561028345356956,0.0
130,grc_proiel-ud-test_Case=Dat,22.561028345356956,0.0
131,grc_proiel-ud-train_Case=Dat,22.561028345356956,0.0
132,grc_proiel-ud-dev_Case=Dat,22.561028345356956,0.0
133,nds_lsdc-ud-train_Case=Dat,31.225599470366248,22.804343057490975
134,nds_lsdc-ud-test_Case=Dat,33.03360031846363,25.74332437739928
135,fo_oft-ud-test_Case=Dat,1167.4442170827692,1168.5114462426118
