,Treebank,urb_tudet-ud-test_Case=Aff,_Case=Aff
0,hu_szeged-ud-dev_Case=Ter,22.60885874667628,1.469861839480328
1,hu_szeged-ud-test_Case=Ter,22.58317958127243,1.0
2,hu_szeged-ud-train_Case=Ter,22.589251991944213,1.1288514320120056
3,et_ewt-ud-train_Case=Ter,22.59125937171277,1.4713938969562161
4,et_ewt-ud-test_Case=Ter,22.597013076953335,1.2747548783981961
5,et_ewt-ud-dev_Case=Ter,22.576093550479452,1.2165525060596438
6,olo_kkpp-ud-test_Case=Ter,22.58317958127243,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,22.58317958127243,1.0
8,kpv_ikdp-ud-test_Case=Ter,22.67156809750927,2.23606797749979
9,kpv_lattice-ud-test_Case=Ter,22.80798284883284,3.431546328418375
10,et_edt-ud-dev_Case=Ter,22.584951699453125,1.1658100334413286
11,et_edt-ud-train_Case=Ter,22.585503851756368,1.2325679372360732
12,et_edt-ud-test_Case=Ter,22.58088771914014,1.2567485880964147
13,ab_abnc-ud-test_Case=Ter,22.58317958127243,1.0
14,gu_gujtb-ud-test_Case=Ter,22.58317958127243,1.0
