,Treebank,hu_szeged-ud-dev_Case=All,hu_szeged-ud-test_Case=All,hu_szeged-ud-train_Case=All,fi_ood-ud-test_Case=All,ess_sli-ud-test_Case=All,hit_hittb-ud-test_Case=All,et_ewt-ud-train_Case=All,et_ewt-ud-test_Case=All,et_ewt-ud-dev_Case=All,ml_ufal-ud-test_Case=All,egy_ujaen-ud-test_Case=All,olo_kkpp-ud-test_Case=All,olo_kkpp-ud-train_Case=All,vep_vwt-ud-test_Case=All,fi_tdt-ud-train_Case=All,fi_tdt-ud-test_Case=All,fi_tdt-ud-dev_Case=All,tpn_tudet-ud-test_Case=All,fi_pud-ud-test_Case=All,et_edt-ud-dev_Case=All,et_edt-ud-train_Case=All,et_edt-ud-test_Case=All,wbp_ufal-ud-test_Case=All,arr_tudet-ud-test_Case=All,gn_oldtudet-ud-test_Case=All,eu_bdt-ud-train_Case=All,eu_bdt-ud-test_Case=All,eu_bdt-ud-dev_Case=All,fi_ftb-ud-dev_Case=All,fi_ftb-ud-train_Case=All,fi_ftb-ud-test_Case=All,eme_tudet-ud-test_Case=All,aqz_tudet-ud-test_Case=All,gu_gujtb-ud-test_Case=All
0,fi_ood-ud-test_Case=Abe,5.485048413771755,5.546367118088811,5.533078568821652,5.321504421975669,37.10645346686866,5.734883511361751,5.3924170324217,5.339987222070508,5.397128818808098,4.109609335312651,6.6248689714505975,5.505486035964007,5.265189666310438,5.535341001239219,5.127650009182248,5.1083588998098515,5.403489785035375,5.005552472560403,5.212145792383245,5.360315087714782,5.326393545689313,5.275766527753718,5.734883511361751,5.328122454381927,5.328122454381927,5.238524115149707,5.180081225808026,5.119020075042767,6.6248689714505975,6.6248689714505975,6.6248689714505975,5.45704275664281,4.456926915584796,5.734883511361751
1,sms_giellagas-ud-test_Case=Abe,0.3201992971410781,0.2525381361380526,0.2554424522554568,0.5188594036020282,40.66939881532551,0.0,0.4135739305083116,0.48805270012001417,0.41099049492265494,3.7416573867739413,1.0,0.385694607919935,0.7071067811865476,0.2494438257849294,0.7724230274778555,0.7882942006460393,0.4151634935508502,0.97182531580755,0.672122791120522,0.47461381660835733,0.5196223649859801,0.5933548207347986,0.0,0.7071067811865476,0.7071067811865476,0.5592645240894408,0.6071202857114182,0.6889388934884743,1.0,1.0,1.0,0.3812200410828154,1.681416216713506,0.0
2,sms_giellagas-ud-train_Case=Abe,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
3,et_ewt-ud-train_Case=Abe,3.5746339455788645,3.631596351949382,3.623047796567166,3.382374930292676,38.235871369833205,3.8273392947447844,3.4688775042887094,3.415823274840624,3.4742378688470597,2.522461454885529,4.723895928549249,3.584582885026383,3.4025134100645267,3.617368031307141,3.176698315392767,3.16116527467966,3.4734865004414726,3.1430375128617594,3.2677421411893444,3.426785532969541,3.386001794543827,3.329082551899841,3.8273392947447844,3.437323485470079,3.437323485470079,3.317780150177694,3.266221573852893,3.196422057552745,4.723895928549249,4.723895928549249,4.723895928549249,3.5666546882433163,2.6134620573909277,3.8273392947447844
4,et_ewt-ud-test_Case=Abe,9.555630526537795,9.60862530605231,9.602374796039118,9.353912453355118,35.11884584284247,9.797958971132713,9.442766282327588,9.38635386415678,9.449267394207892,7.302967433402215,10.661457061146319,9.532892166486057,9.38971068066885,9.5786800296863,9.141734906842652,9.134177528929035,9.447136291924142,9.113482076328213,9.23279707559613,9.392587634207068,9.353276244891076,9.294998519608335,9.797958971132713,9.38971068066885,9.38971068066885,9.288151918181399,9.236232401835515,9.167125959673658,10.661457061146319,10.661457061146319,10.661457061146319,9.552139442837372,8.516505398197719,9.797958971132713
5,et_ewt-ud-dev_Case=Abe,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
6,gub_tudet-ud-test_Case=Abe,1.2395522796722145,1.2787509849977254,1.2685071917561557,1.150065300411272,39.92492955535426,1.4142135623730951,1.183854782478026,1.1572004447316364,1.1881210517109404,2.8284271247461903,2.23606797749979,1.2662171161076472,1.224744871391589,1.2892719737209144,1.087600591035666,1.0859239734087645,1.1883294190790246,1.1303883305208782,1.1074853593246348,1.16799419473072,1.1518940555621813,1.1324772518235942,1.4142135623730951,1.224744871391589,0.7071067811865476,1.1341886289450076,1.1303477121723313,1.0933240689209416,2.23606797749979,2.23606797749979,2.23606797749979,1.2478354962115543,1.1276546183435798,1.4142135623730951
7,olo_kkpp-ud-test_Case=Abe,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
8,olo_kkpp-ud-train_Case=Abe,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
9,mdf_jr-ud-test_Case=Abe,0.5652510256205753,0.560156683619933,0.5806726022258023,0.35776208108245766,40.29267923581156,0.7071067811865476,0.44320877811263365,0.4927297373385731,0.45043730911308916,3.082207001484488,1.5811388300841898,0.6132153437832746,0.7071067811865476,0.6018490028422596,0.40344492438898283,0.4352412637337273,0.41162695461930066,0.7817359599705715,0.3754174150633267,0.43583340605243776,0.37885506384787965,0.32953252103496516,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.5198603791116336,0.576395181241722,0.5300406637866849,1.5811388300841898,1.5811388300841898,1.5811388300841898,0.5926306376355849,1.2886015005270224,0.7071067811865476
10,fi_tdt-ud-train_Case=Abe,10.882306399812837,10.944950895887049,10.931614353190572,10.716240541753903,34.25658898502431,11.136152337719203,10.792070535886598,10.735267491731737,10.796287543851697,8.917056066263623,12.021392967908872,10.90158095880068,10.677728639035967,10.9335619894789,10.51531269958897,10.493942299266386,10.800606983577673,10.399652771981271,10.601795619972354,10.7558483611078,10.720513743356491,10.668388329865753,11.136152337719203,10.712790901015891,10.712790901015891,10.631809140454044,10.572866888088654,10.510566548542162,12.021392967908872,12.021392967908872,12.021392967908872,10.86604722585423,9.806853864315986,11.136152337719203
11,fi_tdt-ud-test_Case=Abe,7.875725737465497,7.936771821009818,7.923670178145246,7.714498680398264,35.86084215408221,8.12403840463596,7.790164850373585,7.731719074162238,7.793698013196132,6.164414002968976,9.0,7.894971723343707,7.713624310270756,7.9243646783546975,7.519925107058784,7.498002880937997,7.796938102057308,7.434902674398487,7.602835023706288,7.752417270559844,7.71774630713871,7.6678255199345005,8.12403840463596,7.713624310270756,7.713624310270756,7.627634757808008,7.568802868320996,7.508964423199183,9.0,9.0,9.0,7.875765465077008,6.843037373405699,8.12403840463596
