,Treebank,hu_szeged-ud-dev_Case=All,hu_szeged-ud-test_Case=All,hu_szeged-ud-train_Case=All,fi_ood-ud-test_Case=All,ess_sli-ud-test_Case=All,hit_hittb-ud-test_Case=All,et_ewt-ud-train_Case=All,et_ewt-ud-test_Case=All,et_ewt-ud-dev_Case=All,ml_ufal-ud-test_Case=All,egy_ujaen-ud-test_Case=All,olo_kkpp-ud-test_Case=All,olo_kkpp-ud-train_Case=All,vep_vwt-ud-test_Case=All,fi_tdt-ud-train_Case=All,fi_tdt-ud-test_Case=All,fi_tdt-ud-dev_Case=All,tpn_tudet-ud-test_Case=All,fi_pud-ud-test_Case=All,et_edt-ud-dev_Case=All,et_edt-ud-train_Case=All,et_edt-ud-test_Case=All,wbp_ufal-ud-test_Case=All,arr_tudet-ud-test_Case=All,gn_oldtudet-ud-test_Case=All,eu_bdt-ud-train_Case=All,eu_bdt-ud-test_Case=All,eu_bdt-ud-dev_Case=All,fi_ftb-ud-dev_Case=All,fi_ftb-ud-train_Case=All,fi_ftb-ud-test_Case=All,eme_tudet-ud-test_Case=All,aqz_tudet-ud-test_Case=All,gu_gujtb-ud-test_Case=All
0,xcl_caval-ud-train_Case=Abl,0.7315091517560126,0.7779913493017674,0.7711544379289068,0.48345010790766146,39.99629932900516,0.981033658215459,0.5923953723986388,0.5605624154920792,0.5880604314279116,2.8839470775686036,1.9351894565771866,0.7856616192864225,0.7462581268229437,0.8115640386798835,0.29255441484931416,0.2723311411556993,0.5766305483317411,0.6371657691675711,0.400858206844639,0.5627299954982548,0.5014663554475157,0.42834675096244434,0.981033658215459,0.7557522354605747,0.7557522354605747,0.5634978388900544,0.5785751382084288,0.46241746117166393,1.9351894565771866,1.9351894565771866,1.9351894565771866,0.7594545226192818,0.9686742783782789,0.981033658215459
1,xcl_caval-ud-dev_Case=Abl,0.3461855666085879,0.38134231344359937,0.3733147839668741,0.1336254976900052,40.27263093710166,0.5715444524392794,0.20358627853537653,0.2193400237991559,0.19758487750266682,3.238742620028417,1.5405111778306224,0.42856578820712254,0.529293333801909,0.4182484847124315,0.2613448332870126,0.27173893098770985,0.18413991534074084,0.6192823316822094,0.22440693489145436,0.21152609453787738,0.16502109717406366,0.15072102191070702,0.5715444524392794,0.5508241526663726,0.5508241526663726,0.288106414077947,0.34241118183698477,0.30348359166939004,1.5405111778306224,1.5405111778306224,1.5405111778306224,0.39147200508963564,1.21524523079169,0.5715444524392794
2,xcl_caval-ud-test_Case=Abl,0.5929839408742228,0.6370791067016682,0.6306985134289486,0.340556881184033,40.09414554490972,0.8383913995250516,0.45081822403098876,0.42131999487042454,0.4481424599850141,3.0017648886096797,1.7956245877591162,0.642986804800572,0.6649935173472099,0.6661492622920748,0.18015776896088653,0.17233030440623048,0.4339369781689214,0.6160668108539457,0.27685394550220455,0.41866672831915147,0.356851370831925,0.28620227019232325,0.8383913995250516,0.6649935173472099,0.6649935173472099,0.4400684648076121,0.4676100162355763,0.3627228856712132,1.7956245877591162,1.7956245877591162,1.7956245877591162,0.6330622582530318,1.0491953440811863,0.8383913995250516
3,hu_szeged-ud-dev_Case=Abl,0.17093227156381993,0.0757614408414158,0.13522008780235084,0.37224911874442107,40.51118672663145,0.27003086243366076,0.28294932952637847,0.3408195656366228,0.2828737454215355,3.5809100333108996,1.2204848763230673,0.3286953507563127,0.60380736442456,0.22760833806246106,0.5977424458916519,0.6045876507982957,0.2829712258895601,0.8186201126828542,0.47049166805269177,0.3368603058421604,0.3745068598770019,0.44333348730993066,0.27003086243366076,0.60380736442456,0.60380736442456,0.4142670977006799,0.4661215332362972,0.5315434606998519,1.2204848763230673,1.2204848763230673,1.2204848763230673,0.3093482936465093,1.5006428663561757,0.27003086243366076
4,hu_szeged-ud-test_Case=Abl,0.17988224658266067,0.1320435026471607,0.11861354569794609,0.363578087304193,40.53108183901982,0.20327890704543547,0.25770914904253195,0.330720376335265,0.25067749787125804,3.5986682568889976,1.1853095282186634,0.3015113445777636,0.5995866344669508,0.1755484649449726,0.6092314786450291,0.6225183301197332,0.26079847033323705,0.8077335112279902,0.5039078499537276,0.3260352084626912,0.3676334313526364,0.4404374447232044,0.20327890704543547,0.5995866344669508,0.5995866344669508,0.4085939655038048,0.458167387940151,0.5276825518249324,1.1853095282186634,1.1853095282186634,1.1853095282186634,0.28231040029551896,1.517506587208168,0.20327890704543547
5,hu_szeged-ud-train_Case=Abl,0.17857919821259066,0.16919845718514168,0.16737651987031577,0.32153994401760677,40.43440420092647,0.36265586218399565,0.24891016765690221,0.2950568262760636,0.2515191143815687,3.503480614650745,1.3230899037571242,0.33383893739910087,0.5674464422768087,0.26444654051266325,0.527387388930964,0.535214646606012,0.25265677295440664,0.7377111135633174,0.4040753651593204,0.2951560019862006,0.3251194576041133,0.3864249051415751,0.36265586218399565,0.5674464422768087,0.5674464422768087,0.3583551472562179,0.40891794139936977,0.4631184315703153,1.3230899037571242,1.3230899037571242,1.3230899037571242,0.3078557535079504,1.4126984126984126,0.36265586218399565
6,tr_pud-ud-test_Case=Abl,0.3550559303689145,0.4065400334349361,0.39159521322065516,0.25152077668611494,40.246260359882726,0.5927349379101761,0.27450955023180784,0.2602611556614539,0.2822077413386509,3.2628615634432636,1.5705228683121009,0.4340584355931595,0.5377013344344238,0.41630656145676564,0.3455451274019276,0.35222693171854513,0.2816112333317135,0.5925189366039972,0.2975019755959075,0.2712665073072046,0.25962972077925517,0.2743976144762637,0.5927349379101761,0.5202783344797838,0.4641012886844324,0.22763220659664238,0.255703526366454,0.25863070829473217,1.5705228683121009,1.5705228683121009,1.5705228683121009,0.4080351067664997,1.1735262737767262,0.5927349379101761
7,fi_ood-ud-test_Case=Abl,0.7118190554615668,0.7702667419493497,0.7579433136548973,0.5368856699286775,39.98038013635877,0.9799018381739814,0.604955103764311,0.5529886677258524,0.6102543307529711,3.022693864864922,1.9451830310337004,0.7506752943721503,0.6783860349806351,0.7938973308519633,0.3802033147038219,0.368560779118446,0.6121620712210073,0.5711573201423338,0.447191207690257,0.5729780869948391,0.5390635470516358,0.4989772770471613,0.9799018381739814,0.7204381596421112,0.7405693124714219,0.5469962332774937,0.5529990970812199,0.46530466188939623,1.9451830310337004,1.9451830310337004,1.9451830310337004,0.7264170020722629,0.9374813994196172,0.9799018381739814
8,sah_yktdt-ud-test_Case=Abl,0.3816467928933231,0.4072055089639779,0.3943049712139776,0.3806529272766879,40.344941265470766,0.5345224838248488,0.3336668616562369,0.36873756373911903,0.34089383969257514,3.3380918415851206,1.4638501094227998,0.44800489118598286,0.46291004988627577,0.42012847619262433,0.5211547039998057,0.5376301988701833,0.3567182984127106,0.6485637367560112,0.4608327320855166,0.37329444177333293,0.38763395107934306,0.4198732496524362,0.5345224838248488,0.5976143046671968,0.2672612419124244,0.4003550165581642,0.4321768845092622,0.46053071169343385,1.4638501094227998,1.4638501094227998,1.4638501094227998,0.33423834960254356,1.2605813165884705,0.5345224838248488
9,sa_vedic-ud-test_Case=Abl,3.6087905899645407,3.678227420799772,3.661332362246846,3.429927297119077,37.99074838933737,3.88590296719629,3.5142456603861643,3.4462826552187775,3.51880650790818,2.689124283377124,4.835176356148253,3.6321302713897774,3.4346707530621243,3.697237876824233,3.2137122101039695,3.193335875437504,3.5189956288138986,3.139017280027028,3.3108203824789078,3.471013094416006,3.4338660471886056,3.3780129999763653,3.88590296719629,3.4584530657751955,3.456082198899051,3.4132980253521974,3.3931177754634136,3.30052164597227,4.835176356148253,4.835176356148253,4.835176356148253,3.609114239672903,2.5500969294754543,3.88590296719629
