,Treebank,hu_szeged-ud-dev_Case=All,hu_szeged-ud-test_Case=All,hu_szeged-ud-train_Case=All,fi_ood-ud-test_Case=All,ess_sli-ud-test_Case=All,hit_hittb-ud-test_Case=All,et_ewt-ud-train_Case=All,et_ewt-ud-test_Case=All,et_ewt-ud-dev_Case=All,ml_ufal-ud-test_Case=All,egy_ujaen-ud-test_Case=All,olo_kkpp-ud-test_Case=All,olo_kkpp-ud-train_Case=All,vep_vwt-ud-test_Case=All,fi_tdt-ud-train_Case=All,fi_tdt-ud-test_Case=All,fi_tdt-ud-dev_Case=All,tpn_tudet-ud-test_Case=All,fi_pud-ud-test_Case=All,et_edt-ud-dev_Case=All,et_edt-ud-train_Case=All,et_edt-ud-test_Case=All,wbp_ufal-ud-test_Case=All,arr_tudet-ud-test_Case=All,gn_oldtudet-ud-test_Case=All,eu_bdt-ud-train_Case=All,eu_bdt-ud-test_Case=All,eu_bdt-ud-dev_Case=All,fi_ftb-ud-dev_Case=All,fi_ftb-ud-train_Case=All,fi_ftb-ud-test_Case=All,eme_tudet-ud-test_Case=All,aqz_tudet-ud-test_Case=All,gu_gujtb-ud-test_Case=All
0,hu_szeged-ud-dev_Case=Ill,0.13251901297489432,0.16143326720970022,0.12630934528372137,0.3105244297134487,40.462092134591515,0.29998469504883835,0.22035854306575575,0.2782476044175354,0.2223300017055618,3.5289697052964213,1.278845324000557,0.29998469504883835,0.5632615241042759,0.20765868726074924,0.5409320801487946,0.5521634207695106,0.2260893297732375,0.761504962007822,0.44223920839613406,0.276680916516369,0.3134994541535734,0.3824615462161663,0.29998469504883835,0.5632615241042759,0.5632615241042759,0.352258973782727,0.4067836168375718,0.46798426320371306,1.278845324000557,1.278845324000557,1.278845324000557,0.2736635333764748,1.4382859460503172,0.29998469504883835
1,hu_szeged-ud-test_Case=Ill,0.22955918810631712,0.263061600862801,0.23527894634991298,0.31106962211258,40.40005460479923,0.4054775835476301,0.24878094519316188,0.28909896271866137,0.2529546959859339,3.4692044927757015,1.3689738821885769,0.3458670470590738,0.5563931713116238,0.2910305982381919,0.5078882151102578,0.5210051114910362,0.2574059050733434,0.7042395113863026,0.4141532693696814,0.28981076759169294,0.31505252583331445,0.37007954873766186,0.4054775835476301,0.5563931713116239,0.5563931713116239,0.3417145909043055,0.3895836758999115,0.43761232981794324,1.3689738821885769,1.3689738821885769,1.3689738821885769,0.3178240672626691,1.373910445501102,0.4054775835476301
2,hu_szeged-ud-train_Case=Ill,0.16811976155982877,0.13262519815133647,0.10349183791172273,0.374972586737036,40.54256831626497,0.18215107011950007,0.27005370866550776,0.34196520243379946,0.2675137611846937,3.610149444599999,1.1689791895833785,0.3017122006401141,0.6054026310473157,0.1695127366932484,0.62234485507318,0.6357741974699034,0.27344653422397075,0.8310152945361994,0.5198204920687575,0.3346918867642848,0.3774930604017527,0.45122770699238895,0.18215107011950007,0.6054026310473157,0.6054026310473157,0.4184909866187876,0.4703387057349602,0.5425424848279983,1.1689791895833785,1.1689791895833785,1.1689791895833785,0.28366973117093036,1.530300946759924,0.18215107011950007
3,fi_ood-ud-test_Case=Ill,0.6558017743557357,0.7147071899365075,0.6992591850078125,0.47623286026355044,40.03126138407332,0.910981887855077,0.54372283472013,0.49091839371436996,0.5526680410660616,3.072114581196476,1.8756033695853715,0.6745457485909676,0.6707369081838275,0.7235861309401177,0.34497522679838566,0.3455103173933299,0.5503881257353274,0.5839512917282665,0.4088845752693424,0.506273208783061,0.47523427183304656,0.4405842314794703,0.910981887855077,0.697056669145343,0.6941815324538676,0.5068929549017581,0.5223820836536358,0.4445693602557878,1.8756033695853715,1.8756033695853715,1.8756033695853715,0.6795623260726723,0.9951792939769664,0.910981887855077
4,sms_giellagas-ud-test_Case=Ill,4.922699716640125,4.98642968240566,4.972596839926213,4.7495630323577025,37.20779156421971,5.1830683509736,4.827456695723175,4.768594967478554,4.832880643389635,3.4282774712314468,6.117168714889247,4.934196104207457,4.740813078151817,4.998567696085117,4.541494038120119,4.529191099952488,4.832023292105303,4.438190043722501,4.62709851540919,4.7872066467590395,4.750970648054107,4.69590600146942,5.1830683509736,4.658060848056574,4.729079987784537,4.689656201013288,4.666067563975092,4.5771657105065495,6.117168714889247,6.117168714889247,6.117168714889247,4.913937438810975,3.766322501484065,5.1830683509736
5,sms_giellagas-ud-train_Case=Ill,0.3201992971410781,0.2525381361380526,0.2554424522554568,0.5188594036020282,40.66939881532551,0.0,0.4135739305083116,0.48805270012001417,0.41099049492265494,3.7416573867739413,1.0,0.385694607919935,0.7071067811865476,0.2494438257849294,0.7724230274778555,0.7882942006460393,0.4151634935508502,0.97182531580755,0.672122791120522,0.47461381660835733,0.5196223649859801,0.5933548207347986,0.0,0.7071067811865476,0.7071067811865476,0.5592645240894408,0.6071202857114182,0.6889388934884743,1.0,1.0,1.0,0.3812200410828154,1.681416216713506,0.0
6,et_ewt-ud-train_Case=Ill,5.423802885449422,5.4882424664429985,5.47404137523629,5.255540643301657,37.04699599545922,5.685122712147314,5.33063292037612,5.275205543462697,5.337124119340251,3.953524347395317,6.5912452584836325,5.445217558494853,5.206981433652642,5.504887503591496,5.047535918012649,5.029657555495033,5.338385820225208,4.939413736411391,5.138997787786979,5.294868077451288,5.258374167451341,5.204399307322641,5.685122712147314,5.268650050014553,5.268650050014553,5.231169419334877,5.204420935375848,5.118393476596218,6.5912452584836325,6.5912452584836325,6.5912452584836325,5.402251828433213,4.366594948484706,5.685122712147314
7,et_ewt-ud-test_Case=Ill,4.1878466621118475,4.254195048443839,4.239869449838926,4.0080011347270625,37.66237379666874,4.46031389029965,4.089407768368923,4.032315453329347,4.094847885616051,2.8938555596297477,5.397629109155241,4.215930433663203,3.9742169039950497,4.275116632587024,3.7903823042743183,3.7704036655501416,4.095223350884394,3.6948853538070408,3.8874509865038513,4.052336985036092,4.01223230401147,3.9545065579920675,4.46031389029965,4.034154186443548,4.034154186443548,3.9885787425620167,3.9628839986526048,3.8694961898062505,5.397629109155241,5.397629109155241,5.397629109155241,4.170169895222172,3.1029384719155857,4.46031389029965
8,et_ewt-ud-dev_Case=Ill,10.55344954102025,10.620988564402092,10.606201094578115,10.374572925168598,33.929483882653,10.826351026232702,10.45234804536417,10.395764771882513,10.459566061766667,8.412219213665644,11.756269669551216,10.572742278994168,10.286932859425155,10.637367167063173,10.151789127314698,10.132410937687213,10.461081161904586,10.011413239984073,10.249146743653197,10.416244853010477,10.377462623768068,10.319140070786363,10.826351026232702,10.37833688715152,10.37833688715152,10.349339968133666,10.319770516039787,10.230126309735475,11.756269669551216,11.756269669551216,11.756269669551216,10.515890995672581,9.378857231185629,10.826351026232702
9,egy_ujaen-ud-test_Case=Ill,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
