,Treebank,hu_szeged-ud-dev_Case=All,hu_szeged-ud-test_Case=All,hu_szeged-ud-train_Case=All,fi_ood-ud-test_Case=All,ess_sli-ud-test_Case=All,hit_hittb-ud-test_Case=All,et_ewt-ud-train_Case=All,et_ewt-ud-test_Case=All,et_ewt-ud-dev_Case=All,ml_ufal-ud-test_Case=All,egy_ujaen-ud-test_Case=All,olo_kkpp-ud-test_Case=All,olo_kkpp-ud-train_Case=All,vep_vwt-ud-test_Case=All,fi_tdt-ud-train_Case=All,fi_tdt-ud-test_Case=All,fi_tdt-ud-dev_Case=All,tpn_tudet-ud-test_Case=All,fi_pud-ud-test_Case=All,et_edt-ud-dev_Case=All,et_edt-ud-train_Case=All,et_edt-ud-test_Case=All,wbp_ufal-ud-test_Case=All,arr_tudet-ud-test_Case=All,gn_oldtudet-ud-test_Case=All,eu_bdt-ud-train_Case=All,eu_bdt-ud-test_Case=All,eu_bdt-ud-dev_Case=All,fi_ftb-ud-dev_Case=All,fi_ftb-ud-train_Case=All,fi_ftb-ud-test_Case=All,eme_tudet-ud-test_Case=All,aqz_tudet-ud-test_Case=All,gu_gujtb-ud-test_Case=All
0,sl_ssj-ud-test_Case=Loc,1.4550414196981074,1.5069251690739474,1.4983927194494877,1.2536707637569247,39.55376684958419,1.696228630811666,1.335518736173006,1.2800267223362973,1.344026340710786,2.6163802354090637,2.618603778329093,1.4267009876240855,1.3729996634820152,1.50212525460005,1.0562935108210207,1.0650373712519976,1.3390539190449309,1.1523058847093668,1.1431970633364594,1.2838231860981293,1.2477756019146602,1.1945335761608258,1.696228630811666,1.3737701692925672,1.3737701692925672,1.2714169194516707,1.2725522790479875,1.1806228902525921,2.618603778329093,2.618603778329093,2.618603778329093,1.4646108251329133,1.003199718391659,1.696228630811666
1,sl_ssj-ud-dev_Case=Loc,1.4463090224944521,1.499313596344879,1.4908472084395459,1.2416666524160023,39.54682410059394,1.692132258571466,1.3265151692435138,1.2698594802537841,1.3352226435989842,2.591836456310421,2.6192505338582834,1.4213523660185017,1.3648584335385454,1.4969397657842192,1.0385050007605838,1.0460047819433067,1.329357760527386,1.1393584194797655,1.128578342666775,1.273691127847957,1.2360876039409832,1.1812891461979447,1.692132258571466,1.3655514238536768,1.3655514238536768,1.2618174572491891,1.2638219488067173,1.1695866588202106,2.6192505338582834,2.6192505338582834,2.6192505338582834,1.458160384746908,0.9803847707150182,1.692132258571466
2,sl_ssj-ud-train_Case=Loc,1.4334669806547418,1.4852966131330103,1.4769452295158763,1.2308612685428455,39.56375751612443,1.6752759658021141,1.3134243627156121,1.2581778156453516,1.3221410183200293,2.6172872113430343,2.599685732683534,1.405799157725831,1.3516128630357034,1.4809882194163,1.0329921226004342,1.0420772214077159,1.3169123456468936,1.1317075228341722,1.1200866467201016,1.2616687261025605,1.225248506963973,1.1715799905399846,1.6752759658021141,1.3530119689168119,1.3530119689168119,1.2494913807264292,1.2510797580831912,1.1587314309149306,2.599685732683534,2.599685732683534,2.599685732683534,1.442884704429584,0.9885009894334483,1.6752759658021141
3,xcl_caval-ud-train_Case=Loc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
4,xcl_caval-ud-dev_Case=Loc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
5,xcl_caval-ud-test_Case=Loc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
6,hu_szeged-ud-train_Case=Loc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
7,fa_seraji-ud-dev_Case=Loc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
8,fa_seraji-ud-test_Case=Loc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
9,fa_seraji-ud-train_Case=Loc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
