,Treebank,hu_szeged-ud-dev_Case=All,hu_szeged-ud-test_Case=All,hu_szeged-ud-train_Case=All,fi_ood-ud-test_Case=All,ess_sli-ud-test_Case=All,hit_hittb-ud-test_Case=All,et_ewt-ud-train_Case=All,et_ewt-ud-test_Case=All,et_ewt-ud-dev_Case=All,ml_ufal-ud-test_Case=All,egy_ujaen-ud-test_Case=All,olo_kkpp-ud-test_Case=All,olo_kkpp-ud-train_Case=All,vep_vwt-ud-test_Case=All,fi_tdt-ud-train_Case=All,fi_tdt-ud-test_Case=All,fi_tdt-ud-dev_Case=All,tpn_tudet-ud-test_Case=All,fi_pud-ud-test_Case=All,et_edt-ud-dev_Case=All,et_edt-ud-train_Case=All,et_edt-ud-test_Case=All,wbp_ufal-ud-test_Case=All,arr_tudet-ud-test_Case=All,gn_oldtudet-ud-test_Case=All,eu_bdt-ud-train_Case=All,eu_bdt-ud-test_Case=All,eu_bdt-ud-dev_Case=All,fi_ftb-ud-dev_Case=All,fi_ftb-ud-train_Case=All,fi_ftb-ud-test_Case=All,eme_tudet-ud-test_Case=All,aqz_tudet-ud-test_Case=All,gu_gujtb-ud-test_Case=All
0,hu_szeged-ud-dev_Case=Ter,0.26086943782477623,0.2853282224166278,0.28886757977142613,0.32118683954822475,40.33256809803606,0.5211573066470477,0.3018042979609447,0.29970112399835663,0.30522296667306337,3.4066021592790867,1.469861839480328,0.42183056601658786,0.5719794522770556,0.39503086299180395,0.45029672999981796,0.4411348848493902,0.300814529815478,0.6894263136661587,0.3267068533083279,0.3162303893527688,0.32550989279600595,0.36515300534107914,0.5211573066470477,0.5719794522770556,0.5719794522770556,0.3553196620515929,0.40176124851214834,0.4238810808070604,1.469861839480328,1.469861839480328,1.469861839480328,0.39432949356858443,1.3099806802835106,0.5211573066470477
1,hu_szeged-ud-test_Case=Ter,0.3201992971410781,0.2525381361380526,0.2554424522554568,0.5188594036020282,40.66939881532551,0.0,0.4135739305083116,0.48805270012001417,0.41099049492265494,3.7416573867739413,1.0,0.385694607919935,0.7071067811865476,0.2494438257849294,0.7724230274778555,0.7882942006460393,0.4151634935508502,0.97182531580755,0.672122791120522,0.47461381660835733,0.5196223649859801,0.5933548207347986,0.0,0.7071067811865476,0.7071067811865476,0.5592645240894408,0.6071202857114182,0.6889388934884743,1.0,1.0,1.0,0.3812200410828154,1.681416216713506,0.0
2,hu_szeged-ud-train_Case=Ter,0.2085660857183225,0.16898892341164745,0.1392155284921393,0.4108998690916911,40.57430597749708,0.15590239111558088,0.30915500341249963,0.3774525302739891,0.307430058475422,3.643392039783196,1.1288514320120056,0.32385809848180386,0.6319062870042959,0.19112241568632857,0.6588584919441737,0.671343402782252,0.31106871880637876,0.8720187306856811,0.5629346700462117,0.3696183719372412,0.4126013825675644,0.4868920872656301,0.15590239111558088,0.6319062870042959,0.6319062870042959,0.45558901088892995,0.5079882991067656,0.5822649264782904,1.1288514320120056,1.1288514320120056,1.1288514320120056,0.3100078442782264,1.5692600678325523,0.15590239111558088
3,et_ewt-ud-train_Case=Ter,0.30028169994790344,0.32763842689084904,0.325099127814132,0.13198934645069488,40.328215928801015,0.51478150704935,0.16860073693816924,0.22964477459351482,0.17046647173192134,3.2810059433045837,1.4713938969562161,0.4102508807107755,0.46368092477478523,0.38369548110737794,0.31434596135903947,0.32786610399113825,0.15462999055709103,0.6267198558987722,0.2626809825546821,0.20596670611331536,0.16889543039037894,0.17663628752845115,0.51478150704935,0.5612486080160912,0.5612486080160912,0.31353575097989295,0.3777379388057588,0.36142466704987686,1.4713938969562161,1.4713938969562161,1.4713938969562161,0.3139490624939505,1.2662036190669617,0.51478150704935
4,et_ewt-ud-test_Case=Ter,0.29328851993792104,0.28571428571428575,0.27607201722554764,0.3872212178405868,40.479933300340306,0.3535533905932738,0.27625501533201846,0.3658382701813725,0.2834095162605872,3.553167600887974,1.2747548783981961,0.3706706006886384,0.3535533905932738,0.2953340857778225,0.5997558157049332,0.6211791441163357,0.31389539184355947,0.6972166887783962,0.5200410945659338,0.3611654845936872,0.3962616962100536,0.4519334644974891,0.3535533905932738,0.6123724356957945,0.6123724356957945,0.4290817157085916,0.46996571002046666,0.5289772954875318,1.2747548783981961,1.2747548783981961,1.2747548783981961,0.07498558108224687,1.4364092748719883,0.3535533905932738
5,et_ewt-ud-dev_Case=Ter,0.2632869968681118,0.20922597879824015,0.2324280022691817,0.3045103135986233,40.51765047482393,0.282842712474619,0.2473856220480361,0.3464538937286715,0.25001083961796045,3.475629439396553,1.2165525060596438,0.34593268346255357,0.6164414002968976,0.24944382578492946,0.5505356689924155,0.5732526765100358,0.226254581686365,0.831330927555995,0.4554390431433351,0.30188618398634687,0.31530446409374907,0.3669858838448679,0.282842712474619,0.6164414002968976,0.6164414002968976,0.41924695616191404,0.48378671620545716,0.5264592305997168,1.2165525060596438,1.2165525060596438,1.2165525060596438,0.32814883955250246,1.4968279216932363,0.282842712474619
6,olo_kkpp-ud-test_Case=Ter,1.2395522796722145,1.2787509849977254,1.2685071917561557,1.0816554162416414,39.92492955535426,1.4142135623730951,1.115913144467836,1.0403038668303328,1.13803636987127,3.1622776601683795,2.23606797749979,1.02851895445316,1.224744871391589,1.1813363431112902,0.9451617902222863,1.0079511743638332,1.1431813724663096,1.1303883305208782,1.0051405896202776,1.033480951097936,1.0398668062970855,1.0278218568293735,1.4142135623730951,1.224744871391589,1.224744871391589,1.094717911810487,1.1141464508984387,1.068318054526736,2.23606797749979,2.23606797749979,2.23606797749979,1.2478354962115543,1.3099806802835106,1.4142135623730951
7,vep_vwt-ud-test_Case=Ter,0.3201992971410781,0.2525381361380526,0.2554424522554568,0.5188594036020282,40.66939881532551,0.0,0.4135739305083116,0.48805270012001417,0.41099049492265494,3.7416573867739413,1.0,0.385694607919935,0.7071067811865476,0.2494438257849294,0.7724230274778555,0.7882942006460393,0.4151634935508502,0.97182531580755,0.672122791120522,0.47461381660835733,0.5196223649859801,0.5933548207347986,0.0,0.7071067811865476,0.7071067811865476,0.5592645240894408,0.6071202857114182,0.6889388934884743,1.0,1.0,1.0,0.3812200410828154,1.681416216713506,0.0
8,kpv_ikdp-ud-test_Case=Ter,1.2395522796722145,1.2787509849977257,1.2685071917561557,1.1500653004112722,39.92492955535426,1.4142135623730951,1.183854782478026,1.1572004447316364,1.1881210517109402,3.1622776601683795,2.23606797749979,1.2662171161076472,1.224744871391589,1.2892719737209146,1.0884219566507431,1.0859239734087645,1.1883294190790246,1.130388330520878,1.107485359324635,1.16799419473072,1.1518940555621813,1.1324772518235944,1.4142135623730951,1.224744871391589,1.224744871391589,1.139348081714604,1.1383618794544383,1.1015332667240976,2.23606797749979,2.23606797749979,2.23606797749979,1.2478354962115543,1.3099806802835106,1.4142135623730951
9,kpv_lattice-ud-test_Case=Ter,2.231695245767678,2.2929572741820743,2.280715525034854,2.0591083093436224,38.96780460737257,2.4907993963089563,2.1396845628851824,2.085164914221993,2.1455140650211715,2.4327694808466287,3.431546328418375,2.25966562050192,2.101991281366023,2.3134429192417016,1.8633254071553256,1.8488639569793837,2.141330855109451,1.8272937004142755,1.943732440759742,2.1007306258462752,2.06225076590866,2.0081207860759362,2.4907993963089563,2.067730689447161,2.101991281366023,2.031975342999734,2.017121853056793,1.928371196505285,3.431546328418375,3.431546328418375,3.431546328418375,2.2371572446411077,1.350885975991688,2.4907993963089563
