,Treebank,hu_szeged-ud-dev_Case=All,hu_szeged-ud-test_Case=All,hu_szeged-ud-train_Case=All,fi_ood-ud-test_Case=All,ess_sli-ud-test_Case=All,hit_hittb-ud-test_Case=All,et_ewt-ud-train_Case=All,et_ewt-ud-test_Case=All,et_ewt-ud-dev_Case=All,ml_ufal-ud-test_Case=All,egy_ujaen-ud-test_Case=All,olo_kkpp-ud-test_Case=All,olo_kkpp-ud-train_Case=All,vep_vwt-ud-test_Case=All,fi_tdt-ud-train_Case=All,fi_tdt-ud-test_Case=All,fi_tdt-ud-dev_Case=All,tpn_tudet-ud-test_Case=All,fi_pud-ud-test_Case=All,et_edt-ud-dev_Case=All,et_edt-ud-train_Case=All,et_edt-ud-test_Case=All,wbp_ufal-ud-test_Case=All,arr_tudet-ud-test_Case=All,gn_oldtudet-ud-test_Case=All,eu_bdt-ud-train_Case=All,eu_bdt-ud-test_Case=All,eu_bdt-ud-dev_Case=All,fi_ftb-ud-dev_Case=All,fi_ftb-ud-train_Case=All,fi_ftb-ud-test_Case=All,eme_tudet-ud-test_Case=All,aqz_tudet-ud-test_Case=All,gu_gujtb-ud-test_Case=All
0,el_gud-ud-train_Case=Voc,11.110452296436858,11.158680767124089,11.158391250124666,10.892348731207285,34.404457075598025,11.357816691600545,10.996440080210629,10.955273248616662,11.002381939041555,8.306623862918073,12.220201853215572,11.129961053743683,10.939226054281292,11.189081980017644,10.67284940798835,10.662950119570151,10.987980412836931,10.664062182030925,10.765788382501025,10.952255920839018,10.898889841030991,10.826927532701125,11.357816691600545,10.94684124911535,10.94684124911535,10.916459215022158,10.907828209751173,10.804160867657254,12.220201853215572,12.220201853215572,12.220201853215572,11.107683054416443,10.03942844273468,11.357816691600545
1,el_gud-ud-test_Case=Voc,13.280666869383856,13.326645856925829,13.324702885496741,13.083048637286026,33.97793401606401,13.509256086106296,13.17279795244716,13.134611221953083,13.178718523619088,10.793516572461451,14.33527118683145,13.290927745292219,13.095800853708795,13.347742214405484,12.882230599372749,12.875607624199738,13.169380951453489,12.836579675979804,12.964832593654219,13.134349442133852,13.088417519064743,13.023636720269424,13.509256086106296,13.114877048604,13.114877048604,13.092179046074564,13.078971830087845,12.986543515294468,14.33527118683145,14.33527118683145,14.33527118683145,13.264216764165987,12.251732051902087,13.509256086106296
2,fa_seraji-ud-dev_Case=Voc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
3,fa_seraji-ud-test_Case=Voc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
4,fa_seraji-ud-train_Case=Voc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
5,sga_dipsgg-ud-test_Case=Voc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
6,pl_pdb-ud-test_Case=Voc,5.260640761447456,5.3071476639086095,5.29725913949752,5.1354922972007975,38.00805500019646,5.454823740581938,5.192104917326565,5.150282280676845,5.1964480266041075,4.540071023448772,6.202369527454974,5.272567331717893,5.137894430958412,5.317374081271827,4.990546079804692,4.981347967352318,5.195683972310672,4.926558134914207,5.047869091140463,5.163252444485095,5.136852621058207,5.0972253379261385,5.454823740581938,5.137894430958412,5.137894430958412,5.1141157246096345,5.097649923688003,5.036355227236517,6.202369527454974,6.202369527454974,6.202369527454974,5.256569527506917,4.5367678510855605,5.454823740581938
7,pl_pdb-ud-train_Case=Voc,5.465025444439187,5.516011132692646,5.505219294374489,5.3225881568717215,37.64425422336134,5.6768159798800495,5.385197749235596,5.335441611768122,5.391242628117024,4.492302875359913,6.473643321286683,5.460886465743043,5.327788526068991,5.519165622118164,5.156206417669394,5.1497456195009335,5.3905802883389065,5.092723792727959,5.223021569717162,5.3486205205658335,5.321011933592584,5.277548588016668,5.6768159798800495,5.327788526068991,5.327788526068991,5.300811314150904,5.283824528965034,5.215328174444453,6.473643321286683,6.473643321286683,6.473643321286683,5.460594514639939,4.6420199976086,5.6768159798800495
8,pl_pdb-ud-dev_Case=Voc,3.342279084200195,3.3896149922842818,3.3792433966989686,3.2144796161810794,38.798711318805424,3.5411862419251547,3.2702656078667514,3.2272112862037496,3.2754130522187466,3.3075670817082456,4.328972164382673,3.3490346456630213,3.2310988842807022,3.3964033263962565,3.071867385950004,3.0651951572802596,3.274939117518579,3.025080347876914,3.1280252299392397,3.2398952367437754,3.2145404402609055,3.1762543478789067,3.5411862419251547,3.2310988842807022,3.2310988842807022,3.1944769472110393,3.1802593584135335,3.1189982867059474,4.328972164382673,4.328972164382673,4.328972164382673,3.34004744801886,2.6978272007188067,3.5411862419251547
9,uk_iu-ud-dev_Case=Voc,1.29172958692549,1.2216165268919335,1.2334468765583195,1.4885496183206106,41.43669871020132,1.0,1.3930450983353315,1.4619432297123496,1.3878741802897074,4.58257569495584,0.0,1.3016200966614866,1.5811388300841898,1.2092238098144703,1.734535185874498,1.7503098632872058,1.3901779182917564,1.9002923751652299,1.6361461644880222,1.4444051062310876,1.487667600355589,1.5561603904098478,1.0,1.5811388300841898,1.5811388300841898,1.5255948231765961,1.5624731402650052,1.6540550354272934,0.0,0.0,0.0,1.3166487815058465,2.634059909139933,1.0
