,Treebank,ml_ufal-ud-test_Case=Ben,egy_ujaen-ud-test_Case=Ben,si_stb-ud-test_Case=Ben,ta_mwtt-ud-test_Case=Ben,eu_bdt-ud-train_Case=Ben,eu_bdt-ud-test_Case=Ben,eu_bdt-ud-dev_Case=Ben,am_att-ud-test_Case=Ben,ab_abnc-ud-test_Case=Ben
0,fi_ood-ud-test_Case=Abe,5.734883511361751,6.6248689714505975,6.6248689714505975,5.734883511361751,5.514222660494287,5.262844370128907,5.3759113566225905,6.6248689714505975,5.734883511361751
1,sms_giellagas-ud-test_Case=Abe,0.0,1.0,1.0,0.0,0.28037336083580466,0.6034878050666787,0.4556450995538138,1.0,0.0
2,sms_giellagas-ud-train_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
3,et_ewt-ud-train_Case=Abe,3.8273392947447844,4.723895928549249,4.723895928549249,3.8273392947447844,3.6002015564639613,3.3399971183848116,3.449370281742393,4.723895928549249,3.8273392947447844
4,et_ewt-ud-test_Case=Abe,9.797958971132713,10.661457061146319,10.661457061146319,9.797958971132713,9.570915251180312,9.305182413745925,9.421073827573508,10.661457061146319,9.797958971132713
5,et_ewt-ud-dev_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
6,gub_tudet-ud-test_Case=Abe,1.4142135623730951,2.23606797749979,2.23606797749979,1.4142135623730951,1.2532648217874212,1.1194134266449938,1.1764705882352942,2.23606797749979,1.4142135623730951
7,olo_kkpp-ud-test_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
8,olo_kkpp-ud-train_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
9,mdf_jr-ud-test_Case=Abe,0.7071067811865476,1.5811388300841898,1.5811388300841898,0.7071067811865476,0.5556689226734698,0.4444444444444445,0.48685133403667197,1.5811388300841898,0.7071067811865476
10,fi_tdt-ud-train_Case=Abe,11.136152337719203,12.021392967908872,12.021392967908872,11.136152337719203,10.912950935029226,10.65573803574486,10.77059956878569,12.021392967908872,11.136152337719203
11,fi_tdt-ud-test_Case=Abe,8.12403840463596,9.0,9.0,8.12403840463596,7.905144377819091,7.654176621497992,7.766933726739976,9.0,8.12403840463596
12,fi_tdt-ud-dev_Case=Abe,2.449489742783178,3.3166247903554,3.3166247903554,2.449489742783178,2.2453445580643803,2.0351843426682446,2.1171023264521187,3.3166247903554,2.449489742783178
13,myv_jr-ud-test_Case=Abe,0.692820323027551,1.6370705543744901,1.6370705543744901,0.692820323027551,0.5038326276696058,0.42134411613018985,0.43988044931388043,1.6370705543744901,0.692820323027551
14,myv_jr-ud-train_Case=Abe,0.7284313590846835,1.6350747346085137,1.6350747346085137,0.7284313590846835,0.5525998471596575,0.4057721597194989,0.4660646932390603,1.6350747346085137,0.7284313590846835
15,kpv_ikdp-ud-test_Case=Abe,0.0,1.0,1.0,0.0,0.28037336083580466,0.6034878050666787,0.4556450995538138,1.0,0.0
16,kpv_lattice-ud-test_Case=Abe,1.699673171197595,2.6246692913372702,2.6246692913372702,1.699673171197595,1.4708043058552858,1.1992796191623836,1.3055054511150825,2.6246692913372702,1.699673171197595
17,fi_pud-ud-test_Case=Abe,1.4142135623730951,2.23606797749979,2.23606797749979,1.4142135623730951,1.2532648217874212,1.1194134266449935,1.1764705882352942,2.23606797749979,1.4142135623730951
18,et_edt-ud-dev_Case=Abe,2.874966451763469,3.7916412290559007,3.7916412290559007,2.874966451763469,2.638766556419763,2.3739845132468327,2.479162594484662,3.7916412290559007,2.874966451763469
19,et_edt-ud-train_Case=Abe,3.8746047519032274,4.787656304765619,4.787656304765619,3.8746047519032274,3.6353605776611433,3.3691997549986175,3.4742541386458217,4.787656304765619,3.8746047519032274
20,et_edt-ud-test_Case=Abe,3.409545424246464,4.286607049870562,4.286607049870562,3.409545424246464,3.1952404608133556,2.938542302604734,3.0585407109072156,4.286607049870562,3.409545424246464
21,koi_uh-ud-test_Case=Abe,1.224744871391589,2.1213203435596424,2.1213203435596424,1.224744871391589,1.019277529323503,0.8678055195451839,0.8754632980080715,2.1213203435596424,1.224744871391589
22,sme_giella-ud-train_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
23,sme_giella-ud-test_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
24,arr_tudet-ud-test_Case=Abe,0.0,1.0,1.0,0.0,0.28037336083580466,0.6034878050666787,0.4556450995538138,1.0,0.0
25,krl_kkpp-ud-test_Case=Abe,1.4142135623730951,2.23606797749979,2.23606797749979,1.4142135623730951,1.2532648217874212,1.1194134266449935,1.1764705882352942,2.23606797749979,1.4142135623730951
26,fi_ftb-ud-dev_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
27,fi_ftb-ud-train_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
28,fi_ftb-ud-test_Case=Abe,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
29,ab_abnc-ud-test_Case=Abe,0.0,1.0,1.0,0.0,0.28037336083580466,0.6034878050666787,0.4556450995538138,1.0,0.0
