,Treebank,ml_ufal-ud-test_Case=Ben,egy_ujaen-ud-test_Case=Ben,si_stb-ud-test_Case=Ben,ta_mwtt-ud-test_Case=Ben,eu_bdt-ud-train_Case=Ben,eu_bdt-ud-test_Case=Ben,eu_bdt-ud-dev_Case=Ben,am_att-ud-test_Case=Ben,ab_abnc-ud-test_Case=Ben
0,sah_yktdt-ud-test_Case=Cmp,0.0,1.0,1.0,0.0,0.28037336083580466,0.6034878050666787,0.4556450995538138,1.0,0.0
1,ml_ufal-ud-test_Case=Cmp,1.4142135623730951,2.23606797749979,2.23606797749979,1.4142135623730951,1.2532648217874212,1.1194134266449935,1.1764705882352942,2.23606797749979,1.4142135623730951
2,egy_ujaen-ud-test_Case=Cmp,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
3,mdf_jr-ud-test_Case=Cmp,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
4,myv_jr-ud-test_Case=Cmp,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
5,myv_jr-ud-train_Case=Cmp,12.0,12.84523257866513,12.84523257866513,12.0,11.776323018015471,11.514617655531877,11.63040996638378,12.84523257866513,12.0
6,kpv_lattice-ud-test_Case=Cmp,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
7,sjo_xdt-ud-test_Case=Cmp,9.899494936611665,10.63014581273465,10.63014581273465,9.899494936611665,9.722296727929612,9.517689832784342,9.614723426827965,10.63014581273465,9.899494936611665
8,koi_uh-ud-train_Case=Cmp,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
9,gu_gujtb-ud-test_Case=Cmp,0.0,1.0,1.0,0.0,0.28037336083580466,0.6034878050666787,0.4556450995538138,1.0,0.0
