,Treebank,ml_ufal-ud-test_Case=Ben,egy_ujaen-ud-test_Case=Ben,si_stb-ud-test_Case=Ben,ta_mwtt-ud-test_Case=Ben,eu_bdt-ud-train_Case=Ben,eu_bdt-ud-test_Case=Ben,eu_bdt-ud-dev_Case=Ben,am_att-ud-test_Case=Ben,ab_abnc-ud-test_Case=Ben
0,es_gsd-ud-train_Case=Com,3.9370039370059056,4.743416490252569,4.743416490252569,3.9370039370059056,3.7489731524321215,3.539896071571998,3.638272147799459,4.743416490252569,3.9370039370059056
1,fi_ood-ud-test_Case=Com,1.7320508075688772,2.6457513110645907,2.6457513110645907,1.7320508075688772,1.4957738399225076,1.259531560972737,1.340092441164061,2.6457513110645907,1.7320508075688772
2,es_ancora-ud-train_Case=Com,8.366600265340756,9.219544457292887,9.219544457292887,8.366600265340756,8.156166603614153,7.911157927451987,8.027633933756226,9.219544457292887,8.366600265340756
3,es_ancora-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
4,es_ancora-ud-dev_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
5,sms_giellagas-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
6,et_ewt-ud-train_Case=Com,8.918077077791608,9.727331990547098,9.727331990547098,8.918077077791608,8.716469787307016,8.488845258759316,8.587487407871375,9.727331990547098,8.918077077791608
7,et_ewt-ud-test_Case=Com,6.689698507085539,7.497106880006976,7.497106880006976,6.689698507085539,6.489269420906419,6.265191719566953,6.3677243868251345,7.497106880006976,6.689698507085539
8,et_ewt-ud-dev_Case=Com,10.492815330201854,11.28188777357483,11.28188777357483,10.492815330201854,10.297256072900453,10.07290281322039,10.175300120120811,11.28188777357483,10.492815330201854
9,ml_ufal-ud-test_Case=Com,10.27131929208707,11.022703842524301,11.022703842524301,10.27131929208707,10.088066485305426,9.875771574795099,9.976529550325209,11.022703842524301,10.27131929208707
10,apu_ufpa-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
11,egy_ujaen-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
12,mr_ufal-ud-train_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
13,olo_kkpp-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
14,mdf_jr-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
15,vep_vwt-ud-test_Case=Com,10.099504938362077,10.908712114635714,10.908712114635714,10.099504938362077,9.889029018854787,9.656763765348776,9.76647751469191,10.908712114635714,10.099504938362077
16,es_pud-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
17,fi_tdt-ud-train_Case=Com,2.005095549659743,2.9067128499108295,2.9067128499108295,2.005095549659743,1.7770690197151724,1.5519069617535155,1.629905533638112,2.9067128499108295,2.005095549659743
18,fi_tdt-ud-test_Case=Com,0.0,1.0,1.0,0.0,0.28037336083580466,0.6034878050666787,0.4556450995538138,1.0,0.0
19,fi_tdt-ud-dev_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
20,myv_jr-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
21,myv_jr-ud-train_Case=Com,2.449489742783178,3.3166247903554,3.3166247903554,2.449489742783178,2.2500524895195997,2.0351843426682446,2.135545277726041,3.3166247903554,2.449489742783178
22,kpv_ikdp-ud-test_Case=Com,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
23,kpv_lattice-ud-test_Case=Com,18.466185312619388,19.235384061671343,19.235384061671343,18.466185312619388,18.27260608208337,18.047092033460615,18.15218251626526,19.235384061671343,18.466185312619388
