,Treebank,ml_ufal-ud-test_Case=Ben,egy_ujaen-ud-test_Case=Ben,si_stb-ud-test_Case=Ben,ta_mwtt-ud-test_Case=Ben,eu_bdt-ud-train_Case=Ben,eu_bdt-ud-test_Case=Ben,eu_bdt-ud-dev_Case=Ben,am_att-ud-test_Case=Ben,ab_abnc-ud-test_Case=Ben
0,hu_szeged-ud-dev_Case=Ess,1.6547190813232433,2.49284690951645,2.49284690951645,1.6547190813232433,1.478109351920834,1.3099806802835108,1.3837974454061805,2.49284690951645,1.6547190813232433
1,hu_szeged-ud-test_Case=Ess,1.0647065323364933,1.9322525714823102,1.9322525714823102,1.0647065323364933,0.896989505985057,0.7746094196989989,0.8232150660566769,1.9322525714823102,1.0647065323364933
2,hu_szeged-ud-train_Case=Ess,0.6810352803144473,1.5829800566512728,1.5829800566512728,0.6810352803144473,0.5250189505934701,0.494408559654692,0.4841969845676616,1.5829800566512728,0.6810352803144473
3,fi_ood-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
4,sms_giellagas-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
5,et_ewt-ud-train_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
6,et_ewt-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
7,et_ewt-ud-dev_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
8,egy_ujaen-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
9,olo_kkpp-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
10,olo_kkpp-ud-train_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
11,vep_vwt-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
12,fi_tdt-ud-train_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
13,fi_tdt-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
14,fi_tdt-ud-dev_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
15,fi_pud-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
16,et_edt-ud-dev_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
17,et_edt-ud-train_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
18,et_edt-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
19,sme_giella-ud-train_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
20,sme_giella-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
21,ka_glc-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
22,krl_kkpp-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
23,eu_bdt-ud-train_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
24,eu_bdt-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
25,eu_bdt-ud-dev_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
26,fi_ftb-ud-dev_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
27,fi_ftb-ud-train_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
28,fi_ftb-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
29,ab_abnc-ud-test_Case=Ess,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
