,Treebank,ml_ufal-ud-test_Case=Ben,egy_ujaen-ud-test_Case=Ben,si_stb-ud-test_Case=Ben,ta_mwtt-ud-test_Case=Ben,eu_bdt-ud-train_Case=Ben,eu_bdt-ud-test_Case=Ben,eu_bdt-ud-dev_Case=Ben,am_att-ud-test_Case=Ben,ab_abnc-ud-test_Case=Ben
0,hu_szeged-ud-dev_Case=Ine,78.79562170577753,79.57229417328622,79.57229417328622,78.79562170577753,78.5974980801524,78.36526142067584,78.47209298319135,79.57229417328622,78.79562170577753
1,hu_szeged-ud-test_Case=Ine,52.684596104237784,53.4353191562784,53.4353191562784,52.684596104237784,52.49453774269615,52.27095834610031,52.37545230939405,53.4353191562784,52.684596104237784
2,hu_szeged-ud-train_Case=Ine,31.908369502707743,32.67200382276872,32.67200382276872,31.908369502707743,31.71529726241551,31.488409578107095,31.594743514844193,32.67200382276872,31.908369502707743
3,fi_ood-ud-test_Case=Ine,509.7234544338724,510.61629429543274,510.61629429543274,509.7234544338724,509.4900493191729,509.21511256461895,509.33991478081447,510.61629429543274,509.7234544338724
4,et_ewt-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
5,et_ewt-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
6,et_ewt-ud-dev_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
7,si_stb-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
8,olo_kkpp-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
9,olo_kkpp-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
10,mdf_jr-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
11,mdf_jr-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
12,vep_vwt-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
13,fi_tdt-ud-train_Case=Ine,167.6189328422888,168.5023815651686,168.5023815651686,167.6189328422888,167.3851640678381,167.1106499993854,167.23326848430415,168.5023815651686,167.6189328422888
14,fi_tdt-ud-test_Case=Ine,73.31057222529367,74.19460896857669,74.19460896857669,73.31057222529367,73.07696229828711,72.80280655287478,72.92559036513731,74.19460896857669,73.31057222529367
15,fi_tdt-ud-dev_Case=Ine,111.95187458109946,112.83714912307127,112.83714912307127,111.95187458109946,111.71751642847389,111.44145337738645,111.5648867355945,112.83714912307127,111.95187458109946
16,myv_jr-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
17,myv_jr-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
18,kpv_ikdp-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
19,kpv_lattice-ud-test_Case=Ine,260.7067317888052,261.627597932634,261.627597932634,260.7067317888052,260.47084815043235,260.1940040682844,260.32033766245013,261.627597932634,260.7067317888052
20,kpv_lattice-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
21,fi_pud-ud-test_Case=Ine,80.94392112658578,81.8102583258783,81.8102583258783,80.94392112658578,80.71610711060059,80.4498070461744,80.56903671561848,81.8102583258783,80.94392112658578
22,et_edt-ud-dev_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
23,et_edt-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
24,et_edt-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
25,koi_uh-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
26,koi_uh-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
27,arr_tudet-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
28,krl_kkpp-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
29,eu_bdt-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
30,eu_bdt-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
31,eu_bdt-ud-dev_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
32,fi_ftb-ud-dev_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
33,fi_ftb-ud-train_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
34,fi_ftb-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
35,ab_abnc-ud-test_Case=Ine,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
