,Treebank,hu_szeged-ud-dev_Case=Cau,hu_szeged-ud-test_Case=Cau,hu_szeged-ud-train_Case=Cau,egy_ujaen-ud-test_Case=Cau,mdf_jr-ud-test_Case=Cau,wbp_ufal-ud-test_Case=Cau,eu_bdt-ud-train_Case=Cau,eu_bdt-ud-test_Case=Cau,eu_bdt-ud-dev_Case=Cau
0,sl_ssj-ud-test_Case=Dat,13.203385268071813,18.837774726274205,16.89914734826248,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063
1,sl_ssj-ud-dev_Case=Dat,12.952772118568117,18.577072936522825,16.556448055734123,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317
2,sl_ssj-ud-train_Case=Dat,13.28823399220448,18.92499476954647,16.990280164038,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244
3,xcl_caval-ud-train_Case=Dat,14.697915102002698,20.341884472713797,18.610565622520006,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832
4,xcl_caval-ud-dev_Case=Dat,14.768833495460472,20.41229828014241,18.691690998458448,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489
5,xcl_caval-ud-test_Case=Dat,14.726548750943325,20.37081854062081,18.627934694570882,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647
6,hu_szeged-ud-dev_Case=Dat,12.532537244944391,18.177896423055856,16.58076091900071,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823
7,hu_szeged-ud-test_Case=Dat,9.590599138569743,15.240252823442562,13.689710123494438,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088
8,hu_szeged-ud-train_Case=Dat,12.696566706100077,18.34264992094787,16.718978279006095,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901
9,xav_xdt-ud-test_Case=Dat,14.68076973458817,20.325476624177846,18.586957793033264,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698
10,tr_pud-ud-test_Case=Dat,10.213064953768008,15.779920238764017,13.768328088461226,6.339143832598542,6.339143832598542,6.339143832598542,6.339143832598542,6.339143832598542,6.339143832598542
11,es_gsd-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
12,es_gsd-ud-dev_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
13,es_gsd-ud-train_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
14,de_hdt-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
15,de_hdt-ud-train_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
16,de_hdt-ud-dev_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
17,sga_dipsgg-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
18,pt_porttinari-ud-train_Case=Dat,13.747142619875701,19.391086437884443,17.674643451008958,2.1565242585859323,2.1565242585859323,2.1565242585859323,2.1565242585859323,2.1565242585859323,2.1565242585859323
19,pt_porttinari-ud-test_Case=Dat,13.834296335630548,19.477878608874242,17.75714860360785,2.0946968998021687,2.0946968998021687,2.0946968998021687,2.0946968998021687,2.0946968998021687,2.0946968998021687
20,pt_porttinari-ud-dev_Case=Dat,13.9522996909709,19.595917942265423,17.89320168853709,1.914854215512676,1.914854215512676,1.914854215512676,1.914854215512676,1.914854215512676,1.914854215512676
21,pl_pdb-ud-test_Case=Dat,14.444580226528043,20.089425784610857,18.330131587295316,1.541535826120694,1.541535826120694,1.541535826120694,1.541535826120694,1.541535826120694,1.541535826120694
22,pl_pdb-ud-train_Case=Dat,14.381137406062797,20.026428393373635,18.262593169494174,1.6189288728823157,1.6189288728823157,1.6189288728823157,1.6189288728823157,1.6189288728823157,1.6189288728823157
23,pl_pdb-ud-dev_Case=Dat,14.383361351303371,20.028699416028005,18.266163727106868,1.6141540233157499,1.6141540233157499,1.6141540233157499,1.6141540233157499,1.6141540233157499,1.6141540233157499
24,sah_yktdt-ud-test_Case=Dat,14.517231140957975,8.986100377805714,12.599603168354152,30.062435031114827,30.062435031114827,30.062435031114827,30.062435031114827,30.062435031114827,30.062435031114827
25,uk_iu-ud-dev_Case=Dat,11.09994994983711,16.301601829949785,13.60179726686473,8.489732360655166,8.489732360655166,8.489732360655166,8.489732360655166,8.489732360655166,8.489732360655166
26,uk_iu-ud-train_Case=Dat,13.001232510174784,18.594673198123957,16.501369781880616,4.162123839315832,4.162123839315832,4.162123839315832,4.162123839315832,4.162123839315832,4.162123839315832
27,uk_iu-ud-test_Case=Dat,12.0471220496268,17.54076977284802,15.137144700325893,5.847542709481503,5.847542709481503,5.847542709481503,5.847542709481503,5.847542709481503,5.847542709481503
28,sa_vedic-ud-test_Case=Dat,13.199290309051893,18.822320372228152,16.803619120291444,3.344574254420582,3.344574254420582,3.344574254420582,3.344574254420582,3.344574254420582,3.344574254420582
29,sa_vedic-ud-train_Case=Dat,13.320615075809613,18.946133532556498,16.93059550118637,3.268627846799917,3.268627846799917,3.268627846799917,3.268627846799917,3.268627846799917,3.268627846799917
30,sa_vedic-ud-dev_Case=Dat,13.633196113941118,19.26944875518753,17.361485510702188,2.7268048798195497,2.7268048798195497,2.7268048798195497,2.7268048798195497,2.7268048798195497,2.7268048798195497
31,es_ancora-ud-train_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
32,es_ancora-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
33,es_ancora-ud-dev_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
34,hr_set-ud-dev_Case=Dat,12.034068170191372,17.571093449944996,15.268907997685828,5.553167082786309,5.553167082786309,5.553167082786309,5.553167082786309,5.553167082786309,5.553167082786309
35,hr_set-ud-train_Case=Dat,12.417657047742518,18.000094481989372,15.814849413339504,4.7576712783229205,4.7576712783229205,4.7576712783229205,4.7576712783229205,4.7576712783229205,4.7576712783229205
36,hr_set-ud-test_Case=Dat,11.947665637698554,17.468107335705703,15.129308243326463,5.783442463408472,5.783442463408472,5.783442463408472,5.783442463408472,5.783442463408472,5.783442463408472
37,orv_rnc-ud-dev_Case=Dat,12.367686685240248,17.99205133475348,15.956307271448463,4.083079518090304,4.083079518090304,4.083079518090304,4.083079518090304,4.083079518090304,4.083079518090304
38,orv_rnc-ud-train_Case=Dat,12.049519048677581,17.661563135065666,15.547060917276617,4.539215744936601,4.539215744936601,4.539215744936601,4.539215744936601,4.539215744936601,4.539215744936601
39,orv_rnc-ud-test_Case=Dat,12.382577964100895,18.00319148661436,15.944048465853378,4.107366462742187,4.107366462742187,4.107366462742187,4.107366462742187,4.107366462742187,4.107366462742187
40,la_circse-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
41,is_pud-ud-test_Case=Dat,70.54519118976147,66.39807226117337,65.82601309512827,83.5211589957898,83.5211589957898,83.5211589957898,83.5211589957898,83.5211589957898,83.5211589957898
42,grc_perseus-ud-dev_Case=Dat,7.77379425780164,12.179640465486331,9.324120875653973,12.744876506370305,12.744876506370305,12.744876506370305,12.744876506370305,12.744876506370305,12.744876506370305
43,grc_perseus-ud-train_Case=Dat,7.714089935018037,12.887331578445142,10.548778642603581,10.262650648850979,10.262650648850979,10.262650648850979,10.262650648850979,10.262650648850979,10.262650648850979
44,grc_perseus-ud-test_Case=Dat,7.709923085762174,10.686935517539409,7.756293296771355,15.986689060580419,15.986689060580419,15.986689060580419,15.986689060580419,15.986689060580419,15.986689060580419
45,tr_atis-ud-dev_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
46,tr_atis-ud-train_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
47,tr_atis-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
48,pt_pud-ud-test_Case=Dat,14.692772067258382,20.336957410947534,18.60162380447646,1.3170777796132698,1.3170777796132698,1.3170777796132698,1.3170777796132698,1.3170777796132698,1.3170777796132698
49,hi_pud-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
50,la_perseus-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
51,la_perseus-ud-train_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
52,tr_kenet-ud-dev_Case=Dat,6.3119875121871765,11.863691215637306,10.385484118282637,9.780679893265074,9.780679893265074,9.780679893265074,9.780679893265074,9.780679893265074,9.780679893265074
53,tr_kenet-ud-test_Case=Dat,1097.372316034991,1092.1281976031935,1093.4514163875779,1112.2288433591352,1112.2288433591352,1112.2288433591352,1112.2288433591352,1112.2288433591352,1112.2288433591352
54,tr_kenet-ud-train_Case=Dat,9.566485913569789,5.4299668647007175,6.955233182904003,24.566461491594044,24.566461491594044,24.566461491594044,24.566461491594044,24.566461491594044,24.566461491594044
55,sk_snk-ud-dev_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
56,sk_snk-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
57,sk_snk-ud-train_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
58,lt_hse-ud-train_Case=Dat,11.768270369939671,17.276926448300923,14.703050278768687,6.020148461624514,6.020148461624514,6.020148461624514,6.020148461624514,6.020148461624514,6.020148461624514
59,lt_hse-ud-test_Case=Dat,12.890565025113006,18.49774761063267,16.431676725154983,4.06201920231798,4.06201920231798,4.06201920231798,4.06201920231798,4.06201920231798,4.06201920231798
60,lt_hse-ud-dev_Case=Dat,13.341664064126334,18.966135233997615,16.831093674675877,3.4434202266268423,3.4434202266268423,3.4434202266268423,3.4434202266268423,3.4434202266268423,3.4434202266268423
61,hit_hittb-ud-test_Case=Dat,10.989613502679319,16.623091183466062,14.905049272886034,4.988257817052234,4.988257817052234,4.988257817052234,4.988257817052234,4.988257817052234,4.988257817052234
62,sa_ufal-ud-test_Case=Dat,13.072447700751717,18.669642619920594,16.51430356455343,3.5433819375782165,3.5433819375782165,3.5433819375782165,3.5433819375782165,3.5433819375782165,3.5433819375782165
63,be_hse-ud-train_Case=Dat,14.332533775996769,19.977019754070458,18.19260233944271,1.7050530777470636,1.7050530777470636,1.7050530777470636,1.7050530777470636,1.7050530777470636,1.7050530777470636
64,be_hse-ud-dev_Case=Dat,14.448345493515857,20.093025842316532,18.31781066339534,1.5667442356683494,1.5667442356683494,1.5667442356683494,1.5667442356683494,1.5667442356683494,1.5667442356683494
65,be_hse-ud-test_Case=Dat,13.64970719612086,19.288303307208437,17.319632760356864,2.7172545072324215,2.7172545072324215,2.7172545072324215,2.7172545072324215,2.7172545072324215,2.7172545072324215
66,gub_tudet-ud-test_Case=Dat,14.352700094407325,8.755950357709132,12.682008253164534,29.905406423142512,29.905406423142512,29.905406423142512,29.905406423142512,29.905406423142512,29.905406423142512
67,cs_pud-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
68,orv_ruthenian-ud-test_Case=Dat,13.562839476294148,19.20245088040488,17.30896008418199,2.607568198644489,2.607568198644489,2.607568198644489,2.607568198644489,2.607568198644489,2.607568198644489
69,orv_ruthenian-ud-train_Case=Dat,12.957487623622114,18.57804802546356,16.450813593420424,3.6603091299490744,3.6603091299490744,3.6603091299490744,3.6603091299490744,3.6603091299490744,3.6603091299490744
70,orv_ruthenian-ud-dev_Case=Dat,12.869259048548587,18.48828767999435,16.481308663602306,3.6135327637321817,3.6135327637321817,3.6135327637321817,3.6135327637321817,3.6135327637321817,3.6135327637321817
71,ml_ufal-ud-test_Case=Dat,7.899883750113423,13.249566800773648,11.255837487766975,9.394961741404218,9.394961741404218,9.394961741404218,9.394961741404218,9.394961741404218,9.394961741404218
72,apu_ufpa-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
73,egy_ujaen-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
74,de_pud-ud-test_Case=Dat,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
75,gl_treegal-ud-train_Case=Dat,14.34729724622742,19.99056567607287,18.195251042341436,1.873927676905276,1.873927676905276,1.873927676905276,1.873927676905276,1.873927676905276,1.873927676905276
76,gl_treegal-ud-test_Case=Dat,14.021239449825488,19.65304593524556,17.79477393053237,2.579530817562435,2.579530817562435,2.579530817562435,2.579530817562435,2.579530817562435,2.579530817562435
77,ro_nonstandard-ud-test_Case=Dat,13.785078819993545,19.422039354437185,17.499539351808366,2.67852884899451,2.67852884899451,2.67852884899451,2.67852884899451,2.67852884899451,2.67852884899451
78,ro_nonstandard-ud-dev_Case=Dat,14.064231285855968,19.705849294026685,17.83994546778742,2.2558629061899005,2.2558629061899005,2.2558629061899005,2.2558629061899005,2.2558629061899005,2.2558629061899005
79,ro_nonstandard-ud-train_Case=Dat,13.867022460510762,19.50630746139197,17.606273520801377,2.540442797381302,2.540442797381302,2.540442797381302,2.540442797381302,2.540442797381302,2.540442797381302
