,Treebank,hu_szeged-ud-dev_Case=Cau,hu_szeged-ud-test_Case=Cau,hu_szeged-ud-train_Case=Cau,egy_ujaen-ud-test_Case=Cau,mdf_jr-ud-test_Case=Cau,wbp_ufal-ud-test_Case=Cau,eu_bdt-ud-train_Case=Cau,eu_bdt-ud-test_Case=Cau,eu_bdt-ud-dev_Case=Cau
0,hu_szeged-ud-dev_Case=Ill,14.69793811242439,20.34473328985773,18.603494048626015,1.278845324000557,1.278845324000557,1.278845324000557,1.278845324000557,1.278845324000557,1.278845324000557
1,hu_szeged-ud-test_Case=Ill,14.640968562832734,20.285937266501566,18.5403629207211,1.3689738821885769,1.3689738821885769,1.3689738821885769,1.3689738821885769,1.3689738821885769,1.3689738821885769
2,hu_szeged-ud-train_Case=Ill,14.777229521993593,20.42139023211558,18.69654932842217,1.1689791895833785,1.1689791895833785,1.1689791895833785,1.1689791895833785,1.1689791895833785,1.1689791895833785
3,fi_ood-ud-test_Case=Ill,14.292021830377955,19.93584430115765,18.105852313547683,1.8756033695853715,1.8756033695853715,1.8756033695853715,1.8756033695853715,1.8756033695853715,1.8756033695853715
4,sms_giellagas-ud-test_Case=Ill,11.989707520192189,17.473083356274262,15.091490530088574,6.117168714889247,6.117168714889247,6.117168714889247,6.117168714889247,6.117168714889247,6.117168714889247
5,sms_giellagas-ud-train_Case=Ill,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
6,et_ewt-ud-train_Case=Ill,11.956495656912445,17.35425532180212,14.818736671368416,6.5912452584836325,6.5912452584836325,6.5912452584836325,6.5912452584836325,6.5912452584836325,6.5912452584836325
7,et_ewt-ud-test_Case=Ill,12.298552760386077,17.813882227072234,15.422528975495554,5.397629109155241,5.397629109155241,5.397629109155241,5.397629109155241,5.397629109155241,5.397629109155241
8,et_ewt-ud-dev_Case=Ill,10.918327552478441,15.343796751959147,11.841025147478145,11.756269669551216,11.756269669551216,11.756269669551216,11.756269669551216,11.756269669551216,11.756269669551216
9,egy_ujaen-ud-test_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
10,si_stb-ud-test_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
11,lt_alksnis-ud-test_Case=Ill,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
12,lt_alksnis-ud-dev_Case=Ill,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
13,lt_alksnis-ud-train_Case=Ill,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
14,olo_kkpp-ud-test_Case=Ill,14.318131014194728,19.961723728205023,18.144961972140205,1.842143079204315,1.842143079204315,1.842143079204315,1.842143079204315,1.842143079204315,1.842143079204315
15,olo_kkpp-ud-train_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
16,mdf_jr-ud-test_Case=Ill,11.479601473918857,16.636743972304195,13.987717826722127,8.705242673240075,8.705242673240075,8.705242673240075,8.705242673240075,8.705242673240075,8.705242673240075
17,mdf_jr-ud-train_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
18,vep_vwt-ud-test_Case=Ill,14.466340242093022,20.109077552190204,18.311881388868812,1.635542723379613,1.635542723379613,1.635542723379613,1.635542723379613,1.635542723379613,1.635542723379613
19,fi_tdt-ud-train_Case=Ill,14.2317150641573,19.876492259822893,18.032807007597007,1.960920608682236,1.960920608682236,1.960920608682236,1.960920608682236,1.960920608682236,1.960920608682236
20,fi_tdt-ud-test_Case=Ill,14.230691254442599,19.87496266606275,18.028061631277776,1.9640267731056948,1.9640267731056948,1.9640267731056948,1.9640267731056948,1.9640267731056948,1.9640267731056948
21,fi_tdt-ud-dev_Case=Ill,14.270171709859603,19.915155294021055,18.074665965317234,1.9045597042899167,1.9045597042899167,1.9045597042899167,1.9045597042899167,1.9045597042899167,1.9045597042899167
22,myv_jr-ud-test_Case=Ill,14.401427077006646,20.04726677462613,18.258376569922483,1.7104654390763518,1.7104654390763518,1.7104654390763518,1.7104654390763518,1.7104654390763518,1.7104654390763518
23,myv_jr-ud-train_Case=Ill,14.546336772851934,20.19144633399302,18.428892601654308,1.5026261478525773,1.5026261478525773,1.5026261478525773,1.5026261478525773,1.5026261478525773,1.5026261478525773
24,kpv_ikdp-ud-test_Case=Ill,14.026403673073151,19.667401116229534,17.8,2.3108440016582685,2.3108440016582685,2.3108440016582685,2.3108440016582685,2.3108440016582685,2.3108440016582685
25,kpv_lattice-ud-test_Case=Ill,11.335671527509602,16.364081497759237,13.573777992128495,9.44519638196462,9.44519638196462,9.44519638196462,9.44519638196462,9.44519638196462,9.44519638196462
26,kpv_lattice-ud-train_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
27,fi_pud-ud-test_Case=Ill,14.218166112304289,19.863637399387176,18.019906545562424,1.983108213213122,1.983108213213122,1.983108213213122,1.983108213213122,1.983108213213122,1.983108213213122
28,et_edt-ud-dev_Case=Ill,12.879389923721396,18.44483716763554,16.280944720676757,4.410228268319544,4.410228268319544,4.410228268319544,4.410228268319544,4.410228268319544,4.410228268319544
29,et_edt-ud-train_Case=Ill,12.90172853171419,18.471102921352728,16.309676345724167,4.347833450101511,4.347833450101511,4.347833450101511,4.347833450101511,4.347833450101511,4.347833450101511
30,et_edt-ud-test_Case=Ill,12.415380587572498,17.921434644374465,15.586818278594727,5.3714540403661655,5.3714540403661655,5.3714540403661655,5.3714540403661655,5.3714540403661655,5.3714540403661655
31,koi_uh-ud-train_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
32,koi_uh-ud-test_Case=Ill,23.45207879911715,23.108440016582687,20.273134932713294,31.25699921617557,31.25699921617557,31.25699921617557,31.25699921617557,31.25699921617557,31.25699921617557
33,sme_giella-ud-train_Case=Ill,14.79049637103962,20.43451331596838,18.711645822229436,1.152010514482039,1.152010514482039,1.152010514482039,1.152010514482039,1.152010514482039,1.152010514482039
34,sme_giella-ud-test_Case=Ill,14.751203762094974,20.39554308470606,18.649631530743385,1.2072765064707807,1.2072765064707807,1.2072765064707807,1.2072765064707807,1.2072765064707807,1.2072765064707807
35,krl_kkpp-ud-test_Case=Ill,14.646029251626741,20.29109151972186,18.5234252758667,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448
36,fi_ftb-ud-dev_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
37,fi_ftb-ud-train_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
38,fi_ftb-ud-test_Case=Ill,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
