,Treebank,hu_szeged-ud-dev_Case=Cau,hu_szeged-ud-test_Case=Cau,hu_szeged-ud-train_Case=Cau,egy_ujaen-ud-test_Case=Cau,mdf_jr-ud-test_Case=Cau,wbp_ufal-ud-test_Case=Cau,eu_bdt-ud-train_Case=Cau,eu_bdt-ud-test_Case=Cau,eu_bdt-ud-dev_Case=Cau
0,hu_szeged-ud-dev_Case=Tem,14.808148094883439,20.451925337239036,18.709122106608852,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772
1,hu_szeged-ud-test_Case=Tem,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
2,hu_szeged-ud-train_Case=Tem,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
3,fa_seraji-ud-dev_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
4,fa_seraji-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
5,fa_seraji-ud-train_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
6,gub_tudet-ud-test_Case=Tem,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
7,lzh_tuecl-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
8,apu_ufpa-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
9,egy_ujaen-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
10,nyq_aha-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
11,mdf_jr-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
12,mdf_jr-ud-train_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
13,myv_jr-ud-test_Case=Tem,13.968217893171309,19.60725489313699,17.647788655932064,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221
14,myv_jr-ud-train_Case=Tem,13.397761006974262,18.96048522585854,16.95582495781317,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313
15,kfm_aha-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
16,soj_aha-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
17,he_htb-ud-train_Case=Tem,11.308182877898641,16.549169163435366,13.77043935392041,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915
18,lzh_kyoto-ud-dev_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
19,lzh_kyoto-ud-train_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
20,lzh_kyoto-ud-test_Case=Tem,15.652475842498529,21.283796653792763,19.697715603592208,0.0,0.0,0.0,0.0,0.0,0.0
21,gu_gujtb-ud-test_Case=Tem,13.19090595827292,18.708286933869708,16.64331697709324,5.0,5.0,5.0,5.0,5.0,5.0
