,Treebank,sah_yktdt-ud-test_Case=Cmp,ml_ufal-ud-test_Case=Cmp,egy_ujaen-ud-test_Case=Cmp,mdf_jr-ud-test_Case=Cmp,myv_jr-ud-test_Case=Cmp,myv_jr-ud-train_Case=Cmp,kpv_lattice-ud-test_Case=Cmp,sjo_xdt-ud-test_Case=Cmp,koi_uh-ud-train_Case=Cmp,gu_gujtb-ud-test_Case=Cmp
0,hu_szeged-ud-dev_Case=Ade,0.4050462936504913,1.2405895775799505,1.3375584099395434,1.3375584099395434,1.3375584099395434,11.743681811936153,1.3375584099395434,9.684475334265661,1.3375584099395434,0.4050462936504913
1,hu_szeged-ud-test_Case=Ade,0.335299918733898,1.2235364400451436,1.3144621146642357,1.3144621146642357,1.3144621146642357,11.7455770348526,1.3144621146642357,9.685284390652175,1.3144621146642357,0.335299918733898
2,hu_szeged-ud-train_Case=Ade,0.3082207001484488,1.2629330940315089,1.2629330940315089,1.2629330940315089,1.2629330940315089,11.793854331811971,1.2629330940315089,9.725996092945955,1.2629330940315089,0.3082207001484488
3,fi_ood-ud-test_Case=Ade,0.8146657764756383,1.0621898401389993,1.7886065521032837,1.7886065521032837,1.7886065521032837,11.33675209413596,1.7886065521032837,9.37633450935373,1.7886065521032837,0.8146657764756383
4,et_ewt-ud-train_Case=Ade,0.9298928155685491,1.0626325886359522,1.897422799077966,1.897422799077966,1.897422799077966,11.250091202298579,1.897422799077966,9.312148637040861,1.897422799077966,0.9298928155685491
5,et_ewt-ud-test_Case=Ade,0.9091540382121331,1.0628223596762216,1.8771070193697335,1.8771070193697335,1.8771070193697335,11.259038813530726,1.8771070193697335,9.32457898172403,1.8771070193697335,0.9091540382121331
6,et_ewt-ud-dev_Case=Ade,1.2126901021904224,1.1173160079979143,2.166296264635297,2.166296264635297,2.166296264635297,11.05559463979691,2.166296264635297,9.160516455331274,2.166296264635297,1.2126901021904224
7,olo_kkpp-ud-test_Case=Ade,1.0526315789473684,1.001384083707392,2.0006924009208644,2.0006924009208644,2.0006924009208644,11.18517023746162,2.0006924009208644,9.265250959702083,2.0006924009208644,1.0526315789473684
8,vep_vwt-ud-test_Case=Ade,0.697614984548545,1.104536101718726,1.6593171286204857,1.6593171286204857,1.6593171286204857,11.411397810960759,1.6593171286204857,9.466784036831093,1.6593171286204857,0.697614984548545
9,fi_tdt-ud-train_Case=Ade,1.1640891530224247,1.076580291855613,2.1333499449356674,2.1333499449356674,2.1333499449356674,11.04090544836572,2.1333499449356674,9.163233284526058,2.1333499449356674,1.1640891530224247
10,fi_tdt-ud-test_Case=Ade,1.19408613676893,1.0875420816556083,2.160771997383269,2.160771997383269,2.160771997383269,11.018336637374533,2.160771997383269,9.150092034698897,2.160771997383269,1.19408613676893
11,fi_tdt-ud-dev_Case=Ade,1.2004080938733854,1.0801360458530307,2.171466165088107,2.171466165088107,2.171466165088107,11.006536091554594,2.171466165088107,9.138981321341932,2.171466165088107,1.2004080938733854
12,fi_pud-ud-test_Case=Ade,1.4264862419387834,1.1547166150736725,2.3950690043825595,2.3950690043825595,2.3950690043825595,10.83411955723815,2.3950690043825595,9.006909305485795,2.3950690043825595,1.4264862419387834
13,et_edt-ud-dev_Case=Ade,0.8046556425732687,1.0668156837640699,1.7767514466365293,1.7767514466365293,1.7767514466365293,11.323260162299771,1.7767514466365293,9.385192896425998,1.7767514466365293,0.8046556425732687
14,et_edt-ud-train_Case=Ade,0.8331528819533678,1.0643784007580626,1.8041476170465596,1.8041476170465596,1.8041476170465596,11.30289281862896,1.8041476170465596,9.367994613431849,1.8041476170465596,0.8331528819533678
15,et_edt-ud-test_Case=Ade,0.6989284488146839,1.0887497309127108,1.6708159613082763,1.6708159613082763,1.6708159613082763,11.417957390731607,1.6708159613082763,9.453392299939875,1.6708159613082763,0.6989284488146839
16,krl_kkpp-ud-test_Case=Ade,0.6491430649325309,1.1108045366985138,1.6152048534938224,1.6152048534938224,1.6152048534938224,11.480260742629063,1.6152048534938224,9.446368970072575,1.6152048534938224,0.6491430649325309
17,fi_ftb-ud-dev_Case=Ade,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
18,fi_ftb-ud-train_Case=Ade,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
19,fi_ftb-ud-test_Case=Ade,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
