,Treebank,sah_yktdt-ud-test_Case=Cmp,ml_ufal-ud-test_Case=Cmp,egy_ujaen-ud-test_Case=Cmp,mdf_jr-ud-test_Case=Cmp,myv_jr-ud-test_Case=Cmp,myv_jr-ud-train_Case=Cmp,kpv_lattice-ud-test_Case=Cmp,sjo_xdt-ud-test_Case=Cmp,koi_uh-ud-train_Case=Cmp,gu_gujtb-ud-test_Case=Cmp
0,es_gsd-ud-train_Case=Com,3.9370039370059056,3.391164991562634,4.743416490252569,4.743416490252569,4.743416490252569,9.974968671630002,4.743416490252569,8.455767262643882,4.743416490252569,3.9370039370059056
1,fi_ood-ud-test_Case=Com,1.7320508075688772,1.4142135623730951,2.6457513110645907,2.6457513110645907,2.6457513110645907,10.816653826391969,2.6457513110645907,8.94427190999916,2.6457513110645907,1.7320508075688772
2,es_ancora-ud-train_Case=Com,8.366600265340756,7.615773105863909,9.219544457292887,9.219544457292887,9.219544457292887,8.602325267042627,9.219544457292887,8.366600265340756,9.219544457292887,8.366600265340756
3,es_ancora-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
4,es_ancora-ud-dev_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
5,sms_giellagas-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
6,et_ewt-ud-train_Case=Com,8.918077077791608,8.212381498477967,9.727331990547098,9.727331990547098,9.727331990547098,9.09083108832978,9.727331990547098,8.88312313002639,9.727331990547098,8.918077077791608
7,et_ewt-ud-test_Case=Com,6.689698507085539,6.024742373011233,7.497106880006976,7.497106880006976,7.497106880006976,9.176416052590898,7.497106880006976,8.340878127264796,7.497106880006976,6.689698507085539
8,et_ewt-ud-dev_Case=Com,10.492815330201854,9.79374062204533,11.28188777357483,11.28188777357483,11.28188777357483,9.587353929625255,11.28188777357483,9.737887156924327,11.28188777357483,10.492815330201854
9,ml_ufal-ud-test_Case=Com,10.27131929208707,9.617692030835672,11.022703842524301,11.022703842524301,11.022703842524301,9.974968671630002,11.022703842524301,9.565563234854496,11.022703842524301,10.27131929208707
10,apu_ufpa-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
11,egy_ujaen-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
12,mr_ufal-ud-train_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
13,olo_kkpp-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
14,mdf_jr-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
15,vep_vwt-ud-test_Case=Com,10.099504938362077,9.38083151964686,10.908712114635714,10.908712114635714,10.908712114635714,9.273618495495704,10.908712114635714,9.38083151964686,10.908712114635714,10.099504938362077
16,es_pud-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
17,fi_tdt-ud-train_Case=Com,2.005095549659743,1.6099182385120923,2.9067128499108295,2.9067128499108295,2.9067128499108295,10.624384736087457,2.9067128499108295,8.832916175491835,2.9067128499108295,2.005095549659743
18,fi_tdt-ud-test_Case=Com,0.0,1.4142135623730951,1.0,1.0,1.0,12.0,1.0,9.899494936611665,1.0,0.0
19,fi_tdt-ud-dev_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
20,myv_jr-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
21,myv_jr-ud-train_Case=Com,2.449489742783178,2.0,3.3166247903554,3.3166247903554,3.3166247903554,10.488088481701515,3.3166247903554,8.717797887081348,3.3166247903554,2.449489742783178
22,kpv_ikdp-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
23,kpv_lattice-ud-test_Case=Com,18.466185312619388,17.72004514666935,19.235384061671343,19.235384061671343,19.235384061671343,14.317821063276353,19.235384061671343,15.588457268119896,19.235384061671343,18.466185312619388
24,fi_pud-ud-test_Case=Com,0.4714045207910316,1.247219128924647,1.3743685418725535,1.3743685418725535,1.3743685418725535,11.55662388223981,1.3743685418725535,9.67241208569794,1.3743685418725535,0.4714045207910316
25,et_edt-ud-dev_Case=Com,4.503425194702186,3.890153917349783,5.331827029066583,5.331827029066583,5.331827029066583,9.631855572160898,5.331827029066583,8.261237897496509,5.331827029066583,4.503425194702186
26,et_edt-ud-train_Case=Com,4.365978718009279,3.767108666542833,5.189646676477866,5.189646676477866,5.189646676477866,9.710192993907924,5.189646676477866,8.304645262871569,5.189646676477866,4.365978718009279
27,et_edt-ud-test_Case=Com,4.023652106571074,3.4472198452971656,4.845626776316869,4.845626776316869,4.845626776316869,9.860123444421472,4.845626776316869,8.376008489143125,4.845626776316869,4.023652106571074
28,sjo_xdt-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
29,wbp_ufal-ud-test_Case=Com,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
30,koi_uh-ud-test_Case=Com,7.0710678118654755,6.48074069840786,7.810249675906654,7.810249675906654,7.810249675906654,9.695359714832659,7.810249675906654,8.831760866327848,7.810249675906654,7.0710678118654755
