,Treebank,sah_yktdt-ud-test_Case=Cmp,ml_ufal-ud-test_Case=Cmp,egy_ujaen-ud-test_Case=Cmp,mdf_jr-ud-test_Case=Cmp,myv_jr-ud-test_Case=Cmp,myv_jr-ud-train_Case=Cmp,kpv_lattice-ud-test_Case=Cmp,sjo_xdt-ud-test_Case=Cmp,koi_uh-ud-train_Case=Cmp,gu_gujtb-ud-test_Case=Cmp
0,hu_szeged-ud-dev_Case=Ill,0.29998469504883835,1.2427937366309019,1.278845324000557,1.278845324000557,1.278845324000557,11.774355411771724,1.278845324000557,9.709367075102358,1.278845324000557,0.29998469504883835
1,hu_szeged-ud-test_Case=Ill,0.4054775835476301,1.2061238126348335,1.3689738821885769,1.3689738821885769,1.3689738821885769,11.707588901102191,1.3689738821885769,9.653842247275215,1.3689738821885769,0.4054775835476301
2,hu_szeged-ud-train_Case=Ill,0.18215107011950007,1.3037813003001484,1.1689791895833785,1.1689791895833785,1.1689791895833785,11.861696576755467,1.1689791895833785,9.782629793619524,1.1689791895833785,0.18215107011950007
3,fi_ood-ud-test_Case=Ill,0.910981887855077,1.0685915964483343,1.8756033695853715,1.8756033695853715,1.8756033695853715,11.27252802169948,1.8756033695853715,9.328123498324837,1.8756033695853715,0.910981887855077
4,sms_giellagas-ud-test_Case=Ill,5.1830683509736,4.3688007225194445,6.117168714889247,6.117168714889247,6.117168714889247,8.652409926191904,6.117168714889247,6.747656200306213,6.117168714889247,5.1830683509736
5,sms_giellagas-ud-train_Case=Ill,0.0,1.4142135623730951,1.0,1.0,1.0,12.0,1.0,9.899494936611665,1.0,0.0
6,et_ewt-ud-train_Case=Ill,5.685122712147314,4.919016817095007,6.5912452584836325,6.5912452584836325,6.5912452584836325,8.621967256213484,6.5912452584836325,7.710600729839737,6.5912452584836325,5.685122712147314
7,et_ewt-ud-test_Case=Ill,4.46031389029965,3.6951860575619193,5.397629109155241,5.397629109155241,5.397629109155241,8.974096054756712,5.397629109155241,7.759793811693711,5.397629109155241,4.46031389029965
8,et_ewt-ud-dev_Case=Ill,10.826351026232702,9.960415480451097,11.756269669551216,11.756269669551216,11.756269669551216,7.73799348732451,11.756269669551216,8.67236280048349,11.756269669551216,10.826351026232702
9,egy_ujaen-ud-test_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
10,si_stb-ud-test_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
11,lt_alksnis-ud-test_Case=Ill,0.0,1.4142135623730951,1.0,1.0,1.0,12.0,1.0,9.899494936611665,1.0,0.0
12,lt_alksnis-ud-dev_Case=Ill,0.0,1.4142135623730951,1.0,1.0,1.0,12.0,1.0,9.899494936611665,1.0,0.0
13,lt_alksnis-ud-train_Case=Ill,0.0,1.4142135623730951,1.0,1.0,1.0,12.0,1.0,9.899494936611665,1.0,0.0
14,olo_kkpp-ud-test_Case=Ill,0.8821034570138243,1.0782958283750912,1.842143079204315,1.842143079204315,1.842143079204315,11.307299836203107,1.842143079204315,9.323730619377734,1.842143079204315,0.8821034570138243
15,olo_kkpp-ud-train_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
16,mdf_jr-ud-test_Case=Ill,7.812249995999872,7.020060541049486,8.705242673240075,8.705242673240075,8.705242673240075,8.125961481572503,8.705242673240075,6.327025367421882,8.705242673240075,7.812249995999872
17,mdf_jr-ud-train_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
18,vep_vwt-ud-test_Case=Ill,0.6892024376045112,1.1291589790636214,1.635542723379613,1.635542723379613,1.635542723379613,11.483684077855852,1.635542723379613,9.490785004413492,1.635542723379613,0.6892024376045112
19,fi_tdt-ud-train_Case=Ill,0.9932698373077208,1.0620547565243055,1.960920608682236,1.960920608682236,1.960920608682236,11.166192607497448,1.960920608682236,9.272045832136078,1.960920608682236,0.9932698373077208
20,fi_tdt-ud-test_Case=Ill,0.9976633700596244,1.0615995676171859,1.9640267731056948,1.9640267731056948,1.9640267731056948,11.168348549178889,1.9640267731056948,9.271507398548417,1.9640267731056948,0.9976633700596244
21,fi_tdt-ud-dev_Case=Ill,0.937133260184627,1.062586385892291,1.9045597042899167,1.9045597042899167,1.9045597042899167,11.227152375142209,1.9045597042899167,9.307755707382949,1.9045597042899167,0.937133260184627
22,myv_jr-ud-test_Case=Ill,0.7407042850873679,1.0824018004507012,1.7104654390763518,1.7104654390763518,1.7104654390763518,11.434393912640154,1.7104654390763518,9.34973236499116,1.7104654390763518,0.7407042850873679
23,myv_jr-ud-train_Case=Ill,0.5348404942548599,1.1402363181976956,1.5026261478525773,1.5026261478525773,1.5026261478525773,11.599119599394404,1.5026261478525773,9.502638521028622,1.5026261478525773,0.5348404942548599
24,kpv_ikdp-ud-test_Case=Ill,1.3686976778431874,1.1575836902790226,2.3108440016582685,2.3108440016582685,2.3108440016582685,11.009389931629574,2.3108440016582685,8.722002828097073,2.3108440016582685,1.3686976778431874
25,kpv_lattice-ud-test_Case=Ill,8.548033548777191,7.736574942229584,9.44519638196462,9.44519638196462,9.44519638196462,8.084218690555982,9.44519638196462,4.3091620474310774,9.44519638196462,8.548033548777191
26,kpv_lattice-ud-train_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
27,fi_pud-ud-test_Case=Ill,1.017191707411669,1.0661330845353183,1.983108213213122,1.983108213213122,1.983108213213122,11.139022229286063,1.983108213213122,9.260043437253584,1.983108213213122,1.017191707411669
28,et_edt-ud-dev_Case=Ill,3.497974794706087,2.8322326793738855,4.410228268319544,4.410228268319544,4.410228268319544,9.63365227916327,4.410228268319544,8.169199940287855,4.410228268319544,3.497974794706087
29,et_edt-ud-train_Case=Ill,3.4326230484631535,2.768058213957817,4.347833450101511,4.347833450101511,4.347833450101511,9.66061877318895,4.347833450101511,8.181541295744497,4.347833450101511,3.4326230484631535
30,et_edt-ud-test_Case=Ill,4.458319738792651,3.728365765164456,5.3714540403661655,5.3714540403661655,5.3714540403661655,9.105644374321974,5.3714540403661655,7.876883240984555,5.3714540403661655,4.458319738792651
31,koi_uh-ud-train_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
32,koi_uh-ud-test_Case=Ill,30.364452901377952,29.46183972531247,31.25699921617557,31.25699921617557,31.25699921617557,22.93468988235943,31.25699921617557,22.40535650240808,31.25699921617557,30.364452901377952
33,sme_giella-ud-train_Case=Ill,0.1725285923127573,1.3162081920629696,1.152010514482039,1.152010514482039,1.152010514482039,11.85487913901011,1.152010514482039,9.79531680666752,1.152010514482039,0.1725285923127573
34,sme_giella-ud-test_Case=Ill,0.22925506622611905,1.2835884105523825,1.2072765064707807,1.2072765064707807,1.2072765064707807,11.817608204307431,1.2072765064707807,9.757963268099992,1.2072765064707807,0.22925506622611905
35,krl_kkpp-ud-test_Case=Ill,0.3808697000222803,1.2044157438154888,1.3562839573037448,1.3562839573037448,1.3562839573037448,11.70140331354205,1.3562839573037448,9.658361694266992,1.3562839573037448,0.3808697000222803
36,fi_ftb-ud-dev_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
37,fi_ftb-ud-train_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
38,fi_ftb-ud-test_Case=Ill,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
