,Treebank,si_stb-ud-test_Case=Cns,kpv_lattice-ud-test_Case=Cns,wbp_ufal-ud-test_Case=Cns
0,sl_ssj-ud-test_Case=Dat,2.1786805007127867,3.237354116223063,3.237354116223063
1,sl_ssj-ud-dev_Case=Dat,1.899378553340247,3.702382866329317,3.702382866329317
2,sl_ssj-ud-train_Case=Dat,2.2010912144331956,3.1179361720571244,3.1179361720571244
3,xcl_caval-ud-train_Case=Dat,3.5568146659477824,1.239102502759832,1.239102502759832
4,xcl_caval-ud-dev_Case=Dat,3.612924774380282,1.1651494545412489,1.1651494545412489
5,xcl_caval-ud-test_Case=Dat,3.571053938646444,1.2227021265001647,1.2227021265001647
6,hu_szeged-ud-dev_Case=Dat,2.9725272694034177,3.1993621813334823,3.1993621813334823
7,hu_szeged-ud-test_Case=Dat,4.137928102274354,6.174337938564088,6.174337938564088
8,hu_szeged-ud-train_Case=Dat,2.950051884704569,3.045362818101901,3.045362818101901
9,xav_xdt-ud-test_Case=Dat,3.4820970692960302,1.3133925536563698,1.3133925536563698
10,tr_pud-ud-test_Case=Dat,3.130915314925321,6.339143832598542,6.339143832598542
11,es_gsd-ud-test_Case=Dat,4.58257569495584,0.0,0.0
12,es_gsd-ud-dev_Case=Dat,4.58257569495584,0.0,0.0
13,es_gsd-ud-train_Case=Dat,4.58257569495584,0.0,0.0
14,de_hdt-ud-test_Case=Dat,4.58257569495584,0.0,0.0
15,de_hdt-ud-train_Case=Dat,4.58257569495584,0.0,0.0
16,de_hdt-ud-dev_Case=Dat,4.58257569495584,0.0,0.0
17,sga_dipsgg-ud-test_Case=Dat,4.58257569495584,0.0,0.0
18,pt_porttinari-ud-train_Case=Dat,2.8628746782428585,2.1565242585859323,2.1565242585859323
19,pt_porttinari-ud-test_Case=Dat,2.821202522590214,2.0946968998021687,2.0946968998021687
20,pt_porttinari-ud-dev_Case=Dat,3.1622776601683795,1.914854215512676,1.914854215512676
21,pl_pdb-ud-test_Case=Dat,3.336593238970559,1.541535826120694,1.541535826120694
22,pl_pdb-ud-train_Case=Dat,3.284743751344228,1.6189288728823157,1.6189288728823157
23,pl_pdb-ud-dev_Case=Dat,3.284295293238893,1.6141540233157499,1.6141540233157499
24,sah_yktdt-ud-test_Case=Dat,27.087820141163075,30.062435031114827,30.062435031114827
25,uk_iu-ud-dev_Case=Dat,4.290558109254423,8.489732360655166,8.489732360655166
26,uk_iu-ud-train_Case=Dat,1.1878527484696004,4.162123839315832,4.162123839315832
27,uk_iu-ud-test_Case=Dat,2.1276957189747825,5.847542709481503,5.847542709481503
28,sa_vedic-ud-test_Case=Dat,2.4445143950370833,3.344574254420582,3.344574254420582
29,sa_vedic-ud-train_Case=Dat,2.4823887407832874,3.268627846799917,3.268627846799917
30,sa_vedic-ud-dev_Case=Dat,2.6506491738975755,2.7268048798195497,2.7268048798195497
31,es_ancora-ud-train_Case=Dat,4.58257569495584,0.0,0.0
32,es_ancora-ud-test_Case=Dat,4.58257569495584,0.0,0.0
33,es_ancora-ud-dev_Case=Dat,4.58257569495584,0.0,0.0
34,hr_set-ud-dev_Case=Dat,2.034588764786199,5.553167082786309,5.553167082786309
35,hr_set-ud-train_Case=Dat,1.697701163141528,4.7576712783229205,4.7576712783229205
36,hr_set-ud-test_Case=Dat,2.1855353889862945,5.783442463408472,5.783442463408472
37,orv_rnc-ud-dev_Case=Dat,2.482551867489854,4.083079518090304,4.083079518090304
38,orv_rnc-ud-train_Case=Dat,2.592761409714969,4.539215744936601,4.539215744936601
39,orv_rnc-ud-test_Case=Dat,2.5023130040765027,4.107366462742187,4.107366462742187
40,la_circse-ud-test_Case=Dat,4.58257569495584,0.0,0.0
41,is_pud-ud-test_Case=Dat,79.65013496535961,83.5211589957898,83.5211589957898
42,grc_perseus-ud-dev_Case=Dat,9.134105164854944,12.744876506370305,12.744876506370305
43,grc_perseus-ud-train_Case=Dat,6.752852040881719,10.262650648850979,10.262650648850979
44,grc_perseus-ud-test_Case=Dat,12.371704636165953,15.986689060580419,15.986689060580419
45,tr_atis-ud-dev_Case=Dat,4.58257569495584,0.0,0.0
46,tr_atis-ud-train_Case=Dat,4.58257569495584,0.0,0.0
47,tr_atis-ud-test_Case=Dat,4.58257569495584,0.0,0.0
48,pt_pud-ud-test_Case=Dat,3.52831115292242,1.3170777796132698,1.3170777796132698
49,hi_pud-ud-test_Case=Dat,4.58257569495584,0.0,0.0
50,la_perseus-ud-test_Case=Dat,4.58257569495584,0.0,0.0
51,la_perseus-ud-train_Case=Dat,4.58257569495584,0.0,0.0
52,tr_kenet-ud-dev_Case=Dat,7.0234155395495685,9.780679893265074,9.780679893265074
53,tr_kenet-ud-test_Case=Dat,1108.5819771221252,1112.2288433591352,1112.2288433591352
54,tr_kenet-ud-train_Case=Dat,21.331996544524117,24.566461491594044,24.566461491594044
55,sk_snk-ud-dev_Case=Dat,4.58257569495584,0.0,0.0
56,sk_snk-ud-test_Case=Dat,4.58257569495584,0.0,0.0
57,sk_snk-ud-train_Case=Dat,4.58257569495584,0.0,0.0
58,lt_hse-ud-train_Case=Dat,2.8270457194746603,6.020148461624514,6.020148461624514
59,lt_hse-ud-test_Case=Dat,2.1984843263788196,4.06201920231798,4.06201920231798
60,lt_hse-ud-dev_Case=Dat,1.7728105208558365,3.4434202266268423,3.4434202266268423
61,hit_hittb-ud-test_Case=Dat,2.923932748209059,4.988257817052234,4.988257817052234
62,sa_ufal-ud-test_Case=Dat,2.560381915956203,3.5433819375782165,3.5433819375782165
63,be_hse-ud-train_Case=Dat,3.2200671690142384,1.7050530777470636,1.7050530777470636
64,be_hse-ud-dev_Case=Dat,3.317331382301141,1.5667442356683494,1.5667442356683494
65,be_hse-ud-test_Case=Dat,2.640014953296029,2.7172545072324215,2.7172545072324215
66,gub_tudet-ud-test_Case=Dat,27.10473513367483,29.905406423142512,29.905406423142512
67,cs_pud-ud-test_Case=Dat,4.58257569495584,0.0,0.0
68,orv_ruthenian-ud-test_Case=Dat,2.7505881070485727,2.607568198644489,2.607568198644489
69,orv_ruthenian-ud-train_Case=Dat,2.4912100251882547,3.6603091299490744,3.6603091299490744
70,orv_ruthenian-ud-dev_Case=Dat,2.4992200203180612,3.6135327637321817,3.6135327637321817
71,ml_ufal-ud-test_Case=Dat,6.174337938564089,9.394961741404218,9.394961741404218
72,apu_ufpa-ud-test_Case=Dat,4.58257569495584,0.0,0.0
73,egy_ujaen-ud-test_Case=Dat,4.58257569495584,0.0,0.0
74,de_pud-ud-test_Case=Dat,4.58257569495584,0.0,0.0
75,gl_treegal-ud-train_Case=Dat,3.1163448041369883,1.873927676905276,1.873927676905276
76,gl_treegal-ud-test_Case=Dat,2.9913369729626162,2.579530817562435,2.579530817562435
77,ro_nonstandard-ud-test_Case=Dat,2.7863161864343873,2.67852884899451,2.67852884899451
78,ro_nonstandard-ud-dev_Case=Dat,2.960880306322032,2.2558629061899005,2.2558629061899005
79,ro_nonstandard-ud-train_Case=Dat,2.8068888241282846,2.540442797381302,2.540442797381302
80,ro_simonero-ud-test_Case=Dat,24.20743687382041,27.073972741361768,27.073972741361768
81,ro_simonero-ud-train_Case=Dat,8.155059779057417,11.229648258071132,11.229648258071132
82,ro_simonero-ud-dev_Case=Dat,4.58257569495584,0.0,0.0
83,sq_tsa-ud-test_Case=Dat,2.449489742783178,5.385164807134504,5.385164807134504
84,pt_petrogold-ud-train_Case=Dat,3.7416573867739413,1.0,1.0
85,pt_petrogold-ud-test_Case=Dat,3.7416573867739413,1.0,1.0
86,pt_petrogold-ud-dev_Case=Dat,3.7416573867739413,1.0,1.0
87,mr_ufal-ud-dev_Case=Dat,2.1213203435596424,5.049752469181039,5.049752469181039
88,mr_ufal-ud-test_Case=Dat,8.246211251235321,12.767145334803704,12.767145334803704
89,mr_ufal-ud-train_Case=Dat,1.2970812078414173,5.323024851790458,5.323024851790458
90,pt_gsd-ud-dev_Case=Dat,2.449489742783178,2.23606797749979,2.23606797749979
91,pt_gsd-ud-test_Case=Dat,3.7416573867739413,1.0,1.0
92,pt_gsd-ud-train_Case=Dat,3.7416573867739413,1.0,1.0
93,si_stb-ud-test_Case=Dat,4.58257569495584,0.0,0.0
94,ro_tuecl-ud-test_Case=Dat,2.878280572637146,2.317640087796107,2.317640087796107
95,lt_alksnis-ud-test_Case=Dat,4.58257569495584,0.0,0.0
96,lt_alksnis-ud-dev_Case=Dat,4.58257569495584,0.0,0.0
97,lt_alksnis-ud-train_Case=Dat,4.58257569495584,0.0,0.0
