,Treebank,si_stb-ud-test_Case=Cns,kpv_lattice-ud-test_Case=Cns,wbp_ufal-ud-test_Case=Cns
0,hu_szeged-ud-dev_Case=Tra,3.36804839632687,1.5309310892394863,1.5309310892394863
1,hu_szeged-ud-test_Case=Tra,3.6113247800034083,1.1726039399558574,1.1726039399558574
2,hu_szeged-ud-train_Case=Tra,3.6472455360175573,1.1235657524150513,1.1235657524150513
3,fi_ood-ud-test_Case=Tra,2.536300075645971,3.451894652855358,3.451894652855358
4,et_ewt-ud-train_Case=Tra,2.7923729942068105,4.0984566532751705,4.0984566532751705
5,et_ewt-ud-test_Case=Tra,2.744196101756935,4.100771455544949,4.100771455544949
6,et_ewt-ud-dev_Case=Tra,3.462973794298767,5.3378073681990434,5.3378073681990434
7,gub_tudet-ud-test_Case=Tra,4.58257569495584,0.0,0.0
8,olo_kkpp-ud-test_Case=Tra,3.142857142857143,1.932535608352669,1.932535608352669
9,mdf_jr-ud-test_Case=Tra,2.766992952647332,3.9567979478361033,3.9567979478361033
10,vep_vwt-ud-test_Case=Tra,3.1622776601683795,3.605551275463989,3.605551275463989
11,fi_tdt-ud-train_Case=Tra,2.604578552769268,4.293306195252593,4.293306195252593
12,fi_tdt-ud-test_Case=Tra,3.109443527908882,5.606948352043668,5.606948352043668
13,fi_tdt-ud-dev_Case=Tra,2.73115360241785,4.688197948039311,4.688197948039311
14,myv_jr-ud-test_Case=Tra,3.4569369712420985,5.756060406646084,5.756060406646084
15,myv_jr-ud-train_Case=Tra,8.912911982062877,12.167168939404103,12.167168939404103
16,kpv_ikdp-ud-test_Case=Tra,4.58257569495584,0.0,0.0
17,kpv_lattice-ud-test_Case=Tra,4.58257569495584,0.0,0.0
18,tpn_tudet-ud-test_Case=Tra,3.3986922054533575,1.4281039179389805,1.4281039179389805
19,fi_pud-ud-test_Case=Tra,6.2522723141997805,9.375984796760866,9.375984796760866
20,et_edt-ud-dev_Case=Tra,2.88636005726335,4.6850033295982945,4.6850033295982945
21,et_edt-ud-train_Case=Tra,2.7451734611556766,4.346730359605627,4.346730359605627
22,et_edt-ud-test_Case=Tra,2.668873840357796,3.641976368707614,3.641976368707614
23,krl_kkpp-ud-test_Case=Tra,3.488959659579463,1.3562839573037448,1.3562839573037448
24,fi_ftb-ud-dev_Case=Tra,4.58257569495584,0.0,0.0
25,fi_ftb-ud-train_Case=Tra,4.58257569495584,0.0,0.0
26,fi_ftb-ud-test_Case=Tra,4.58257569495584,0.0,0.0
27,eme_tudet-ud-test_Case=Tra,2.5337718918639855,2.453568829277059,2.453568829277059
28,aqz_tudet-ud-test_Case=Tra,4.58257569495584,0.0,0.0
