,Treebank,es_gsd-ud-train_Case=Com,fi_ood-ud-test_Case=Com,es_ancora-ud-train_Case=Com,es_ancora-ud-test_Case=Com,es_ancora-ud-dev_Case=Com,sms_giellagas-ud-test_Case=Com,et_ewt-ud-train_Case=Com,et_ewt-ud-test_Case=Com,et_ewt-ud-dev_Case=Com,ml_ufal-ud-test_Case=Com,apu_ufpa-ud-test_Case=Com,egy_ujaen-ud-test_Case=Com,mr_ufal-ud-train_Case=Com,olo_kkpp-ud-test_Case=Com,mdf_jr-ud-test_Case=Com,vep_vwt-ud-test_Case=Com,es_pud-ud-test_Case=Com,fi_tdt-ud-train_Case=Com,fi_tdt-ud-test_Case=Com,fi_tdt-ud-dev_Case=Com,myv_jr-ud-test_Case=Com,myv_jr-ud-train_Case=Com,kpv_ikdp-ud-test_Case=Com,kpv_lattice-ud-test_Case=Com,fi_pud-ud-test_Case=Com,et_edt-ud-dev_Case=Com,et_edt-ud-train_Case=Com,et_edt-ud-test_Case=Com,sjo_xdt-ud-test_Case=Com,wbp_ufal-ud-test_Case=Com,koi_uh-ud-test_Case=Com,sme_giella-ud-train_Case=Com,sme_giella-ud-test_Case=Com,arr_tudet-ud-test_Case=Com,ta_mwtt-ud-test_Case=Com,ta_ttb-ud-train_Case=Com,ta_ttb-ud-dev_Case=Com,ta_ttb-ud-test_Case=Com,krl_kkpp-ud-test_Case=Com,eu_bdt-ud-train_Case=Com,eu_bdt-ud-test_Case=Com,eu_bdt-ud-dev_Case=Com,fi_ftb-ud-dev_Case=Com,fi_ftb-ud-train_Case=Com,fi_ftb-ud-test_Case=Com,bxr_bdt-ud-test_Case=Com,bej_nsc-ud-test_Case=Com
0,sl_ssj-ud-test_Case=Dat,2.5350551945261532,1.1654010106195316,6.424875315903456,3.237354116223063,3.237354116223063,3.237354116223063,7.163864440693319,5.0115324811029165,8.753034128264725,8.610803057771422,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063,8.325994732915188,3.237354116223063,1.047851200910695,2.2850533621933233,3.237354116223063,3.237354116223063,1.4488501336569044,3.237354116223063,16.70798374031505,2.0059977122888504,2.9239700178421977,2.8211764507917794,2.536096124118355,3.237354116223063,3.237354116223063,5.559219559028145,13.350517105998831,5.268132786534235,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063,1.869451834906436,1.6788660370110788,37.14456045433958,27.89897782486354,36.56653875659898,1.8476241693343862,1.7127099806234154,1.7143158810480223,1.3915282414617247,3.237354116223063
1,sl_ssj-ud-dev_Case=Dat,2.5181287143873767,1.5300236018513644,6.077908540133047,3.702382866329317,3.702382866329317,3.702382866329317,6.916159062141321,4.812138267086792,8.50289578232217,8.393904865370402,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317,8.063764973978072,3.702382866329317,1.3996426090636769,2.75214562760686,3.702382866329317,3.702382866329317,1.6656246742755572,3.702382866329317,16.431909167497516,2.4668637308669212,2.8164634640281703,2.7324223324704784,2.4867327751058266,3.702382866329317,3.702382866329317,5.407492230435678,13.083280254669399,5.072662213023616,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317,2.059362091090885,2.047186416089708,36.82825191193425,27.585964124290935,36.24165612784395,2.3026253132746834,2.1785120167994334,2.178142684847702,1.8465461144528006,3.702382866329317
2,sl_ssj-ud-train_Case=Dat,2.5741464501984486,1.0411802853721053,6.513423753300093,3.1179361720571244,3.1179361720571244,3.1179361720571244,7.243849791511765,5.083272719654674,8.836806575874895,8.693722578194862,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244,8.40796949047429,3.1179361720571244,0.9780130388433378,2.1601796065306087,3.1179361720571244,3.1179361720571244,1.4169754993948096,3.1179361720571244,16.794609684550462,1.879221809097688,2.976406941918356,2.870486662918447,2.578255912046031,3.1179361720571244,3.1179361720571244,5.625774995705074,13.438117126657362,5.3372480667898,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244,1.859990129114294,1.5498322973234158,37.24145821086117,27.99523201484145,36.66972882064984,1.7159324152146984,1.5885441487725116,1.5924297605751092,1.2594344440103402,3.1179361720571244
3,xcl_caval-ud-train_Case=Dat,3.732594794674955,1.4863218999003738,8.14950833630206,1.239102502759832,1.239102502759832,1.239102502759832,8.702792921928875,6.4774797690422155,10.283255148290962,10.071424786720492,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832,9.88423197213685,1.239102502759832,1.7713340863462925,0.2535032568519937,1.239102502759832,1.239102502759832,2.242676355288008,1.239102502759832,18.257523183337973,0.35648101779671626,4.288150575078679,4.152546471640698,3.8116540822345195,1.239102502759832,1.239102502759832,6.876193836637559,14.89765781408873,6.704287340107457,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832,2.6365460383512516,1.211169091374625,38.80164187311386,29.552867333051427,38.266829812531306,0.43355230934487204,0.4295437971307088,0.49052977156348376,0.7623554603822921,1.239102502759832
4,xcl_caval-ud-dev_Case=Dat,3.8027403436184,1.5669713904134595,8.221721455157697,1.1651494545412489,1.1651494545412489,1.1651494545412489,8.778359730216218,6.552008037815167,10.3560253301703,10.141872275443907,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489,9.960190728011904,1.1651494545412489,1.849928667021561,0.1774437795360273,1.1651494545412489,1.1651494545412489,2.312294031086959,1.1651494545412489,18.33042040930465,0.3808055474180219,4.3637969618056704,4.227562854259891,3.886293245797436,1.1651494545412489,1.1651494545412489,6.945358740484646,14.970359025032575,6.777277567313003,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489,2.704458354374902,1.2592990593909719,38.87608551464819,29.62732635543114,38.34021001098195,0.5000853214327085,0.4913373715043733,0.5522359602249708,0.8370199261068036,1.1651494545412489
5,xcl_caval-ud-test_Case=Dat,3.7621026476868202,1.4975063414300696,8.176272753138338,1.2227021265001647,1.2227021265001647,1.2227021265001647,8.727044899444614,6.502889408275029,10.310356200003943,10.100237743258623,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647,9.90749044040829,1.2227021265001647,1.7896424927107701,0.24363276830424319,1.2227021265001647,1.2227021265001647,2.2690231018397937,1.2227021265001647,18.285008480818743,0.3647797918315415,4.312185410668023,4.17727787925558,3.8366950226923,1.2227021265001647,1.2227021265001647,6.905296467352376,14.925100145444055,6.732442766891991,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647,2.666244901783525,1.2307731189565543,38.8276434654462,29.578677976021513,38.293227052755825,0.41154334752453364,0.43467691482041854,0.48619608057026353,0.7782011336055088,1.2227021265001647
6,hu_szeged-ud-dev_Case=Dat,1.61914565529517,1.29015107484293,6.171957649278696,3.1993621813334823,3.1993621813334823,3.1993621813334823,6.567385843341225,4.333611920241268,8.130751373341331,7.907965501148,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823,7.7630206618247755,3.1993621813334823,0.7740695533796609,2.374008923181827,3.1993621813334823,3.1993621813334823,1.1619828232950147,3.1993621813334823,16.097255438523092,2.1582725938975273,2.1683561887354283,2.0235103277351274,1.6787856832161092,3.1993621813334823,3.1993621813334823,4.7124671817186705,12.740340478582354,4.5560853626989415,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823,0.5142857142857142,2.0089595235710793,36.65999676502701,27.41548712389336,36.14672763013751,2.0507948793548825,1.9804794980170346,1.986073965369459,1.6301551983331906,3.1993621813334823
7,hu_szeged-ud-test_Case=Dat,1.5746719775034717,3.9434782119549316,3.622492095173133,6.174337938564088,6.174337938564088,6.174337938564088,3.614864611257571,1.4157631246661453,5.178708828531823,4.997958767010258,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088,4.838198349107457,6.174337938564088,3.465574134488058,5.356666645500764,6.174337938564088,6.174337938564088,3.3563828927059234,6.174337938564088,13.13586770670911,5.1094594590542375,0.9583892457169234,1.0641400280223514,1.3770717616719017,6.174337938564088,6.174337938564088,1.9219462924391018,9.783693743433822,1.658483311168381,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088,2.5872528966106905,4.718612732832498,33.687838530434206,24.44859014525588,33.19822960610387,4.972486659888233,4.906837191985763,4.902144470347979,4.52365085991151,6.174337938564088
8,hu_szeged-ud-train_Case=Dat,1.7695698774053563,1.1367021759171108,6.309512578606357,3.045362818101901,3.045362818101901,3.045362818101901,6.720968146360242,4.489020027754391,8.289801616745674,8.073719649553844,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901,7.916254912313947,3.045362818101901,0.6378775392675626,2.209383975460221,3.045362818101901,3.045362818101901,1.1288200449485075,3.045362818101901,16.260357766478496,1.9931501178511994,2.3140525028871965,2.171579033425496,1.8272960812608863,3.045362818101901,3.045362818101901,4.879543931515714,12.903129564218924,4.71601399296688,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901,0.6729087029077416,1.858172791332652,36.81871112168555,27.57368246811817,36.30386567936404,1.877822893901786,1.8090242456545733,1.8157895904357129,1.4594991886256468,3.045362818101901
9,xav_xdt-ud-test_Case=Dat,3.7181984885156414,1.4916433890176297,8.119421161634614,1.3133925536563698,1.3133925536563698,1.3133925536563698,8.68506949303029,6.4607044878510616,10.264970925393486,10.048631747655996,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698,9.865343379730884,1.3133925536563698,1.765456523025667,0.3535533905932738,1.3133925536563698,1.3133925536563698,2.2192341021172144,1.3133925536563698,18.238009759839475,0.38369548110737794,4.2733565483348634,4.138305381184381,3.798166215069384,1.3133925536563698,1.3133925536563698,6.864765108872991,14.879936155777012,6.692217194253089,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698,2.631539473388153,1.2349089035228469,38.7822267425571,29.533079381902894,38.24624164542184,0.4624812308503869,0.4403271094863508,0.49497474683058335,0.7392479985132088,1.3133925536563698
