,Treebank,es_gsd-ud-train_Case=Com,fi_ood-ud-test_Case=Com,es_ancora-ud-train_Case=Com,es_ancora-ud-test_Case=Com,es_ancora-ud-dev_Case=Com,sms_giellagas-ud-test_Case=Com,et_ewt-ud-train_Case=Com,et_ewt-ud-test_Case=Com,et_ewt-ud-dev_Case=Com,ml_ufal-ud-test_Case=Com,apu_ufpa-ud-test_Case=Com,egy_ujaen-ud-test_Case=Com,mr_ufal-ud-train_Case=Com,olo_kkpp-ud-test_Case=Com,mdf_jr-ud-test_Case=Com,vep_vwt-ud-test_Case=Com,es_pud-ud-test_Case=Com,fi_tdt-ud-train_Case=Com,fi_tdt-ud-test_Case=Com,fi_tdt-ud-dev_Case=Com,myv_jr-ud-test_Case=Com,myv_jr-ud-train_Case=Com,kpv_ikdp-ud-test_Case=Com,kpv_lattice-ud-test_Case=Com,fi_pud-ud-test_Case=Com,et_edt-ud-dev_Case=Com,et_edt-ud-train_Case=Com,et_edt-ud-test_Case=Com,sjo_xdt-ud-test_Case=Com,wbp_ufal-ud-test_Case=Com,koi_uh-ud-test_Case=Com,sme_giella-ud-train_Case=Com,sme_giella-ud-test_Case=Com,arr_tudet-ud-test_Case=Com,ta_mwtt-ud-test_Case=Com,ta_ttb-ud-train_Case=Com,ta_ttb-ud-dev_Case=Com,ta_ttb-ud-test_Case=Com,krl_kkpp-ud-test_Case=Com,eu_bdt-ud-train_Case=Com,eu_bdt-ud-test_Case=Com,eu_bdt-ud-dev_Case=Com,fi_ftb-ud-dev_Case=Com,fi_ftb-ud-train_Case=Com,fi_ftb-ud-test_Case=Com,bxr_bdt-ud-test_Case=Com,bej_nsc-ud-test_Case=Com
0,hu_szeged-ud-dev_Case=Ela,3.8760469496862893,1.6470971875883882,8.299101837399258,1.0827689526491961,1.0827689526491961,1.0827689526491961,8.854376480913189,6.6268112022824,10.43059733113778,10.212443890981367,1.0827689526491961,1.0827689526491961,1.0827689526491961,1.0827689526491961,1.0827689526491961,10.035583149242578,1.0827689526491961,1.9311852072667397,0.10112587531821468,1.0827689526491961,1.0827689526491961,2.3845129729851653,1.0827689526491961,18.403420935204807,0.4223678619722897,4.439767401217675,4.302883009143482,3.961057505538801,1.0827689526491961,1.0827689526491961,7.014229510919076,15.043689418075731,6.850824992694035,1.0827689526491961,1.0827689526491961,1.0827689526491961,1.0827689526491961,2.772345959351854,1.3190739829094518,38.952337873894784,29.703636515390752,38.41791121493117,0.5639452548489816,0.5739492752818481,0.6268406060248313,0.9192289482128342,1.0827689526491961
1,hu_szeged-ud-test_Case=Ela,3.8302235241429394,1.5943778775204236,8.247893979801198,1.146066921150376,1.146066921150376,1.146066921150376,8.800641024317574,6.575284531660113,10.38141040044719,10.167836444356473,1.146066921150376,1.146066921150376,1.146066921150376,1.146066921150376,1.146066921150376,9.98137040200597,1.146066921150376,1.8755135351172927,0.16659862556700852,1.146066921150376,1.146066921150376,2.3358781069679653,1.146066921150376,18.356759306721273,0.3933690748202549,4.385618785796208,4.2500018946894595,3.9089312296741006,1.146066921150376,1.146066921150376,6.971311474426415,14.996341390553924,6.80606638834354,1.146066921150376,1.146066921150376,1.146066921150376,1.146066921150376,2.7306274975932263,1.3198639385658397,38.90359953383931,29.654531646369545,38.371016379022116,0.4854808028926832,0.5183191364371966,0.5598833697790123,0.8551728640599652,1.146066921150376
2,hu_szeged-ud-train_Case=Ela,3.7610507368955615,1.5048422723163597,8.169500642067465,1.2450962012087863,1.2450962012087863,1.2450962012087863,8.72767497135656,6.503247623754306,10.309360588196594,10.099635909410075,1.2450962012087863,1.2450962012087863,1.2450962012087863,1.2450962012087863,1.2450962012087863,9.908042802153822,1.2450962012087863,1.7954759641999256,0.27216552697590873,1.2450962012087863,1.2450962012087863,2.2631157994440145,1.2450962012087863,18.28377139149077,0.3708990935094578,4.313831362686274,4.17881377130862,3.8384757953824877,1.2450962012087863,1.2450962012087863,6.9060206843827,14.92440164798122,6.732441960711298,1.2450962012087863,1.2450962012087863,1.2450962012087863,1.2450962012087863,2.668650056057017,1.2258244175433537,38.82659693598744,29.577492157518062,38.29136764309726,0.43945613333038497,0.44362226696949403,0.49931169554915233,0.7766656842089568,1.2450962012087863
3,fi_ood-ud-test_Case=Ela,3.261145684420621,1.0076262680048207,7.5445014621736135,2.068522117325686,2.068522117325686,2.068522117325686,8.137767369788758,5.937465409029615,9.734731706483517,9.569492720907116,2.068522117325686,2.068522117325686,2.068522117325686,2.068522117325686,2.068522117325686,9.314066654371823,2.068522117325686,1.265707248422107,1.1201926861291118,2.068522117325686,2.068522117325686,1.7807299960206808,2.068522117325686,17.712027255465948,0.8957696007772216,3.760210688411644,3.636469473505193,3.3098104958000922,2.068522117325686,2.068522117325686,6.413662851679626,14.351525485113614,6.187227533474455,2.068522117325686,2.068522117325686,2.068522117325686,2.068522117325686,2.281869291269855,1.0653971911992441,38.207940682380695,28.959323021627366,37.65533153924825,0.7266031102824922,0.6001952541102763,0.6196236361407953,0.536322725875512,2.068522117325686
4,et_ewt-ud-train_Case=Ela,3.4295454039284268,1.1210402189734714,7.779418836595851,1.731320857985841,1.731320857985841,1.731320857985841,8.362535644371441,6.149779342617393,9.952161987934101,9.77124710019631,1.731320857985841,1.731320857985841,1.731320857985841,1.731320857985841,1.731320857985841,9.54314130605698,1.731320857985841,1.4189965018396387,0.763760760418742,1.731320857985841,1.731320857985841,1.9159521358054599,1.731320857985841,17.93265076601305,0.5741802087972857,3.962153637742212,3.8327680440604612,3.4989718123423383,1.731320857985841,1.731320857985841,6.596409889360146,14.571705223666104,6.387137107157718,1.731320857985841,1.731320857985841,1.731320857985841,1.731320857985841,2.3989680429035705,0.9696560503899164,38.447099115367884,29.197501689526966,37.89776692506516,0.44977544559057536,0.2480647676808283,0.3363958218929967,0.4463711934532576,1.731320857985841
5,et_ewt-ud-test_Case=Ela,3.433805846601144,1.0937070018726696,7.7824729142553215,1.7364217584408124,1.7364217584408124,1.7364217584408124,8.353913592768285,6.143463865685483,9.951051451278735,9.772303676404881,1.7364217584408124,1.7364217584408124,1.7364217584408124,1.7364217584408124,1.7364217584408124,9.532050572116871,1.7364217584408124,1.415902718802421,0.7754788325534144,1.7364217584408124,1.7364217584408124,1.9247897795864555,1.7364217584408124,17.931084217437657,0.5788643147009428,3.953043510103011,3.8250007801952886,3.4921034679757796,1.7364217584408124,1.7364217584408124,6.5979089037737575,14.570875716437785,6.387338959686428,1.7364217584408124,1.7364217584408124,1.7364217584408124,1.7364217584408124,2.4028693707402935,1.0075517471508262,38.44779048883535,29.197796648130183,37.90701629858406,0.37756477484268597,0.3025029290331592,0.3552393642958268,0.4404712222748976,1.7364217584408124
6,et_ewt-ud-dev_Case=Ela,3.4156079423595083,1.114291897625418,7.76016372615743,1.7642602345031582,1.7642602345031582,1.7642602345031582,8.340586430020023,6.129872366306904,9.933634071752676,9.756152246053125,1.7642602345031582,1.7642602345031582,1.7642602345031582,1.7642602345031582,1.7642602345031582,9.519912983179374,1.7642602345031582,1.4123645033730412,0.8063799251291472,1.7642602345031582,1.7642602345031582,1.9301599417808852,1.7642602345031582,17.91541449536238,0.6204962600539145,3.942631461459382,3.8142037826565396,3.4815948193086044,1.7642602345031582,1.7642602345031582,6.583192282370463,14.555293394086991,6.373999171387158,1.7642602345031582,1.7642602345031582,1.7642602345031582,1.7642602345031582,2.392805341195892,1.018501525695881,38.42952141215349,29.179516023979684,37.884192964093096,0.46342713848408496,0.32700999612223086,0.40312113336740135,0.4528460227167813,1.7642602345031582
7,egy_ujaen-ud-test_Case=Ela,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
8,olo_kkpp-ud-test_Case=Ela,3.6631089728451673,1.385051387833237,8.054237909282277,1.4021363680319483,1.4021363680319483,1.4021363680319483,8.610114052436748,6.390899282245139,10.19805005299257,9.999489782902293,1.4021363680319483,1.4021363680319483,1.4021363680319483,1.4021363680319483,1.4021363680319483,9.788928912383657,1.4021363680319483,1.6536909861128894,0.45175395145262554,1.4021363680319483,1.4021363680319483,2.1633936555429614,1.4021363680319483,18.176758727097887,0.4151332327181594,4.198823547157386,4.066595043370142,3.727858648606125,1.4021363680319483,1.4021363680319483,6.811355065119513,14.813681279858308,6.629830203412235,1.4021363680319483,1.4021363680319483,1.4021363680319483,1.4021363680319483,2.5846222371641736,1.200906686944618,38.70389877060645,29.45439227839875,38.158838278641426,0.3417309546287458,0.26868595453240135,0.3059500648420765,0.6536825205636511,1.4021363680319483
9,olo_kkpp-ud-train_Case=Ela,3.9370039370059056,1.7320508075688772,8.366600265340756,1.0,1.0,1.0,8.918077077791608,6.689698507085539,10.492815330201854,10.27131929208707,1.0,1.0,1.0,1.0,1.0,10.099504938362077,1.0,2.005095549659743,0.0,1.0,1.0,2.449489742783178,1.0,18.466185312619388,0.4714045207910316,4.503425194702186,4.365978718009279,4.023652106571074,1.0,1.0,7.0710678118654755,15.105876340020794,6.9160826734854215,1.0,1.0,1.0,1.0,2.8284271247461903,1.4142135623730951,39.019048054906605,29.770417830083908,38.48701079585163,0.6236095644623235,0.6511451483079109,0.692820323027551,0.9925341137422676,1.0
