,Treebank,es_gsd-ud-train_Case=Com,fi_ood-ud-test_Case=Com,es_ancora-ud-train_Case=Com,es_ancora-ud-test_Case=Com,es_ancora-ud-dev_Case=Com,sms_giellagas-ud-test_Case=Com,et_ewt-ud-train_Case=Com,et_ewt-ud-test_Case=Com,et_ewt-ud-dev_Case=Com,ml_ufal-ud-test_Case=Com,apu_ufpa-ud-test_Case=Com,egy_ujaen-ud-test_Case=Com,mr_ufal-ud-train_Case=Com,olo_kkpp-ud-test_Case=Com,mdf_jr-ud-test_Case=Com,vep_vwt-ud-test_Case=Com,es_pud-ud-test_Case=Com,fi_tdt-ud-train_Case=Com,fi_tdt-ud-test_Case=Com,fi_tdt-ud-dev_Case=Com,myv_jr-ud-test_Case=Com,myv_jr-ud-train_Case=Com,kpv_ikdp-ud-test_Case=Com,kpv_lattice-ud-test_Case=Com,fi_pud-ud-test_Case=Com,et_edt-ud-dev_Case=Com,et_edt-ud-train_Case=Com,et_edt-ud-test_Case=Com,sjo_xdt-ud-test_Case=Com,wbp_ufal-ud-test_Case=Com,koi_uh-ud-test_Case=Com,sme_giella-ud-train_Case=Com,sme_giella-ud-test_Case=Com,arr_tudet-ud-test_Case=Com,ta_mwtt-ud-test_Case=Com,ta_ttb-ud-train_Case=Com,ta_ttb-ud-dev_Case=Com,ta_ttb-ud-test_Case=Com,krl_kkpp-ud-test_Case=Com,eu_bdt-ud-train_Case=Com,eu_bdt-ud-test_Case=Com,eu_bdt-ud-dev_Case=Com,fi_ftb-ud-dev_Case=Com,fi_ftb-ud-train_Case=Com,fi_ftb-ud-test_Case=Com,bxr_bdt-ud-test_Case=Com,bej_nsc-ud-test_Case=Com
0,sl_ssj-ud-test_Case=Loc,2.45734963514777,0.7467361303757166,6.82486475100954,2.618603778329093,2.618603778329093,2.618603778329093,7.345625534675369,5.133861160078292,8.929014675351485,8.74739241761039,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,8.527760210834252,2.618603778329093,0.5399563575519827,1.696228630811666,2.618603778329093,2.618603778329093,1.2484682813218364,2.618603778329093,16.90211301501141,1.4483266626618134,2.9603082851123173,2.8317033380546373,2.5007786665961813,2.618603778329093,2.618603778329093,5.584269860497747,13.538046858096127,5.3684776814389545,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,1.48322044576541,1.3113045452194778,37.409193821798794,28.161616829781916,36.85512457503028,1.3105646016278223,1.1755087460215103,1.1858718721201493,0.8828203735662453,2.618603778329093
1,sl_ssj-ud-dev_Case=Loc,2.4815345186503324,0.7314533300661555,6.8366894025770915,2.6192505338582834,2.6192505338582834,2.6192505338582834,7.360340871612519,5.150909160742845,8.94680443479822,8.768763924146548,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,8.541430021506132,2.6192505338582834,0.5503003129177246,1.692132258571466,2.6192505338582834,2.6192505338582834,1.2586579405621592,2.6192505338582834,16.920189983651582,1.4392160004023211,2.9768334955709745,2.849585250277188,2.5200210295373213,2.6192505338582834,2.6192505338582834,5.6083564105539745,13.55578047674028,5.3886825605204285,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,1.5163942757144813,1.305877964030687,37.42456733349588,28.17682707189566,36.87069597530657,1.2934016969515651,1.1634780665115982,1.1718393714075563,0.8696284018160192,2.6192505338582834
2,sl_ssj-ud-train_Case=Loc,2.4784216307069022,0.7452612593189273,6.844609464685065,2.599685732683534,2.599685732683534,2.599685732683534,7.367821726833653,5.156048907408164,8.951455005164183,8.770099625575673,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,8.549909307002121,2.599685732683534,0.5568425496534685,1.6752759658021141,2.599685732683534,2.599685732683534,1.2573860957092717,2.599685732683534,16.924918505365373,1.4258542636583922,2.9821901769494357,2.8536029257322255,2.522636449368481,2.599685732683534,2.599685732683534,5.606958396283924,13.560574615244013,5.391435134274064,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,1.503037830535226,1.2998061702662511,37.43209831932939,28.184515469853626,36.878339139592406,1.288570877073744,1.1536695780013404,1.1644414673645567,0.8617876905229118,2.599685732683534
3,xcl_caval-ud-train_Case=Loc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
4,xcl_caval-ud-dev_Case=Loc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
5,xcl_caval-ud-test_Case=Loc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
6,hu_szeged-ud-train_Case=Loc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
7,fa_seraji-ud-dev_Case=Loc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
8,fa_seraji-ud-test_Case=Loc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
9,fa_seraji-ud-train_Case=Loc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
