,Treebank,es_gsd-ud-train_Case=Com,fi_ood-ud-test_Case=Com,es_ancora-ud-train_Case=Com,es_ancora-ud-test_Case=Com,es_ancora-ud-dev_Case=Com,sms_giellagas-ud-test_Case=Com,et_ewt-ud-train_Case=Com,et_ewt-ud-test_Case=Com,et_ewt-ud-dev_Case=Com,ml_ufal-ud-test_Case=Com,apu_ufpa-ud-test_Case=Com,egy_ujaen-ud-test_Case=Com,mr_ufal-ud-train_Case=Com,olo_kkpp-ud-test_Case=Com,mdf_jr-ud-test_Case=Com,vep_vwt-ud-test_Case=Com,es_pud-ud-test_Case=Com,fi_tdt-ud-train_Case=Com,fi_tdt-ud-test_Case=Com,fi_tdt-ud-dev_Case=Com,myv_jr-ud-test_Case=Com,myv_jr-ud-train_Case=Com,kpv_ikdp-ud-test_Case=Com,kpv_lattice-ud-test_Case=Com,fi_pud-ud-test_Case=Com,et_edt-ud-dev_Case=Com,et_edt-ud-train_Case=Com,et_edt-ud-test_Case=Com,sjo_xdt-ud-test_Case=Com,wbp_ufal-ud-test_Case=Com,koi_uh-ud-test_Case=Com,sme_giella-ud-train_Case=Com,sme_giella-ud-test_Case=Com,arr_tudet-ud-test_Case=Com,ta_mwtt-ud-test_Case=Com,ta_ttb-ud-train_Case=Com,ta_ttb-ud-dev_Case=Com,ta_ttb-ud-test_Case=Com,krl_kkpp-ud-test_Case=Com,eu_bdt-ud-train_Case=Com,eu_bdt-ud-test_Case=Com,eu_bdt-ud-dev_Case=Com,fi_ftb-ud-dev_Case=Com,fi_ftb-ud-train_Case=Com,fi_ftb-ud-test_Case=Com,bxr_bdt-ud-test_Case=Com,bej_nsc-ud-test_Case=Com
0,fi_ood-ud-test_Case=Par,7.566861556093086,8.540615152603214,4.795108194700969,10.881208844195129,10.881208844195129,10.881208844195129,6.520697788707311,6.561977352947912,7.260090389927709,7.7576388603788695,10.881208844195129,10.881208844195129,10.881208844195129,10.881208844195129,10.881208844195129,6.814143603179219,10.881208844195129,8.340774592785108,9.961042212637476,10.881208844195129,10.881208844195129,8.214446970551906,10.881208844195129,13.023474843289438,9.662939374106095,7.094133914732328,7.198932040728837,7.384197789024211,10.881208844195129,10.881208844195129,7.243671003383423,10.27049708483426,6.710190560121098,10.881208844195129,10.881208844195129,10.881208844195129,10.881208844195129,8.277785030989302,9.075027268484053,31.98207070760261,22.960252085574794,31.269952695515546,9.475961222186394,9.387517714699218,9.372840159875908,9.025535677567648,10.881208844195129
1,sah_yktdt-ud-test_Case=Par,4.58475735453906,4.595650117230423,5.2459508194416005,6.334035048845246,6.334035048845246,6.334035048845246,7.146940984232259,5.618093556235209,8.497116671879775,8.556868586112563,6.334035048845246,6.334035048845246,6.334035048845246,6.334035048845246,6.334035048845246,8.094442537939225,6.334035048845246,4.510034164312429,5.542562584220407,6.334035048845246,6.334035048845246,4.463182720884279,6.334035048845246,15.934867429633671,5.292342476530491,4.5805203146728735,4.574199972911958,4.526278342032509,6.334035048845246,6.334035048845246,6.222539674441618,12.727234577864902,5.840728063211814,6.334035048845246,6.334035048845246,6.334035048845246,6.334035048845246,4.68187996428785,4.931531202375181,35.964882563102826,26.79921226039634,35.37753524484146,5.180948004199832,5.114316660329522,5.1146847410177685,4.766896871668608,6.334035048845246
2,sms_giellagas-ud-test_Case=Par,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
3,et_ewt-ud-train_Case=Par,45.613260729226035,46.91795012730492,41.22162800735608,49.174596926907114,49.174596926907114,49.174596926907114,42.221455599987685,43.705538837843825,41.41406921141881,42.0088445894446,49.174596926907114,49.174596926907114,49.174596926907114,49.174596926907114,49.174596926907114,41.47039961404124,49.174596926907114,46.71763568912181,48.29837284690319,49.174596926907114,49.174596926907114,46.50892127790093,49.174596926907114,37.61713899526502,48.006333989435056,45.09530194681449,45.2170603494709,45.468394156427635,49.174596926907114,49.174596926907114,43.95241122295268,39.106205641285065,43.65035123608883,49.174596926907114,49.174596926907114,49.174596926907114,49.174596926907114,46.47973184862086,47.38141118393293,32.86469197160737,33.102403248670846,32.00523176724084,47.846579584491934,47.7593077687544,47.75093292458986,47.38947636899027,49.174596926907114
4,et_ewt-ud-test_Case=Par,40.614514414965434,41.870562980706744,36.27579796511085,44.08588319352249,44.08588319352249,44.08588319352249,37.38167456627859,38.78830331521857,36.63219702697852,37.22494695631247,44.08588319352249,44.08588319352249,44.08588319352249,44.08588319352249,44.08588319352249,36.68266250603759,44.08588319352249,41.67398281256591,43.21959645815241,44.08588319352249,44.08588319352249,41.46827375876474,44.08588319352249,33.310135048554045,42.93137673833458,40.1140354555333,40.23230722414076,40.47475308429211,44.08588319352249,44.08588319352249,39.04837542419273,34.56690639912025,38.740073392732896,44.08588319352249,44.08588319352249,44.08588319352249,44.08588319352249,41.45684937511296,42.318800626040826,31.033773017684176,29.953778386757268,30.07620745452534,42.77652602566335,42.68613551690274,42.677898163917945,42.32164355014913,44.08588319352249
5,et_ewt-ud-dev_Case=Par,28.2412818405964,29.437561040276417,24.0160363090998,31.663385794952504,31.663385794952504,31.663385794952504,25.233529036865235,26.511648772966897,24.629547866316454,25.237274020781246,31.663385794952504,31.663385794952504,31.663385794952504,31.663385794952504,31.663385794952504,24.62051989702898,31.663385794952504,29.249866561705044,30.79074536285213,31.663385794952504,31.663385794952504,29.06320698064823,31.663385794952504,22.552605171021817,30.5034242157973,27.748948037228416,27.864938517019503,28.099063274776178,31.663385794952504,31.663385794952504,26.824801956398485,23.16870194896555,26.478064767505188,31.663385794952504,31.663385794952504,31.663385794952504,31.663385794952504,29.06320698064823,29.87925701887515,27.28548657762543,22.661592569318195,26.25442819792501,30.345931449793326,30.25372485422556,30.247479233813845,29.89196663689908,31.663385794952504
6,olo_kkpp-ud-test_Case=Par,136.03124641052142,137.41542853697325,131.5750736271882,139.7390425042336,139.7390425042336,139.7390425042336,132.23362695912652,133.92816009381932,131.28078544897258,131.89958301677834,139.7390425042336,139.7390425042336,139.7390425042336,139.7390425042336,139.7390425042336,131.36209498938422,139.7390425042336,137.19440995335407,138.84523758487362,139.7390425042336,139.7390425042336,137.00364958642524,139.7390425042336,126.13088440187835,138.54802616982877,135.45352667119676,135.58726782420842,135.85943673690193,139.7390425042336,139.7390425042336,134.15662488300754,128.30115938681146,133.89556630350745,139.7390425042336,139.7390425042336,139.7390425042336,139.7390425042336,136.94524453225822,137.94926603646718,112.2504021274658,117.86126495917892,111.93413241723903,138.36084063860778,138.28385296195708,138.26669881066806,137.91434639713435,139.7390425042336
7,olo_kkpp-ud-train_Case=Par,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
8,vep_vwt-ud-test_Case=Par,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
9,fi_tdt-ud-train_Case=Par,15.216566396250615,16.389210582417007,11.272577041764059,18.711198078741774,18.711198078741774,18.711198078741774,12.567063918883667,13.594669998935533,12.34635762533839,13.0035638722355,18.711198078741774,18.711198078741774,18.711198078741774,18.711198078741774,18.711198078741774,12.1425807337338,18.711198078741774,16.18417265992318,17.800626985468384,18.711198078741774,18.711198078741774,15.989511846753343,18.711198078741774,13.560983056371285,17.499892616289305,14.69910625403307,14.817873754538107,15.048574907551005,18.711198078741774,18.711198078741774,14.05247583784958,12.482950049687531,13.631106017905758,18.711198078741774,18.711198078741774,18.711198078741774,18.711198078741774,16.034532220018445,16.890865740572007,28.084853592151543,19.963948750478657,27.1913672175028,17.32457798031253,17.23218722853248,17.216359245869356,16.869860988256598,18.711198078741774
10,fi_tdt-ud-test_Case=Par,15.225616572080096,16.34776437314901,11.329580751289962,18.668674296799974,18.668674296799974,18.668674296799974,12.634298507057373,13.634502115364695,12.462687252503732,13.12742929899072,18.668674296799974,18.668674296799974,18.668674296799974,18.668674296799974,18.668674296799974,12.225358890437533,18.668674296799974,16.1566821962876,17.760050675603377,18.668674296799974,18.668674296799974,15.967448136756232,18.668674296799974,13.79744179186852,17.46105062385677,14.703119189277986,14.822133420872012,15.04998067142273,18.668674296799974,18.668674296799974,14.118052273596383,12.689292730487384,13.684303817697732,18.668674296799974,18.668674296799974,18.668674296799974,18.668674296799974,16.030577032658556,16.8516883427151,28.344761616762828,20.23010572828965,27.478981058256142,17.278260586323174,17.192645621705598,17.17496433766312,16.83066941799557,18.668674296799974
11,fi_tdt-ud-dev_Case=Par,13.59177449033929,14.755701129350303,9.730661436844107,17.107076434426677,17.107076434426677,17.107076434426677,11.045559633529201,12.00151690760564,10.927304673691168,11.583373258400545,17.107076434426677,17.107076434426677,17.107076434426677,17.107076434426677,17.107076434426677,10.689191068848483,17.107076434426677,14.554152504409936,16.189549170238305,17.107076434426677,17.107076434426677,14.366406550248549,17.107076434426677,12.893702716880595,15.885408287730545,13.072017588048016,13.190981294613652,13.420954302288218,17.107076434426677,17.107076434426677,12.486862178092016,11.471249458246321,12.03708574735673,17.107076434426677,17.107076434426677,17.107076434426677,17.107076434426677,14.409357800512977,15.25919641951278,28.57937188501185,20.184010042277272,27.721890046113778,15.708359669586663,15.616459488196108,15.602273569509379,15.254792349698974,17.107076434426677
12,ru_taiga-ud-train_Case=Par,42.7609635064506,44.328320518603,38.7556447501522,46.65833258915282,46.65833258915282,46.65833258915282,38.95066521880794,40.624972981554905,38.01087273769167,38.555155297314,46.65833258915282,46.65833258915282,46.65833258915282,46.65833258915282,46.65833258915282,38.1051177665153,46.65833258915282,44.07970517327975,45.760244754590204,46.65833258915282,46.65833258915282,43.840620433565945,46.65833258915282,33.27160951922825,45.463049709504624,42.209883689809296,42.33874887855616,42.614885732008396,46.65833258915282,46.65833258915282,40.792156108742276,35.234038939639035,40.566509873983605,46.65833258915282,46.65833258915282,46.65833258915282,46.65833258915282,43.70354676682432,44.87761134463375,27.285272787918228,28.010910572687763,26.80951323690902,45.299619816898634,45.22613825920692,45.21592639767541,44.85211697004072,46.65833258915282
13,ru_taiga-ud-dev_Case=Par,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
14,ru_taiga-ud-test_Case=Par,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
