,Treebank,es_gsd-ud-train_Case=Com,fi_ood-ud-test_Case=Com,es_ancora-ud-train_Case=Com,es_ancora-ud-test_Case=Com,es_ancora-ud-dev_Case=Com,sms_giellagas-ud-test_Case=Com,et_ewt-ud-train_Case=Com,et_ewt-ud-test_Case=Com,et_ewt-ud-dev_Case=Com,ml_ufal-ud-test_Case=Com,apu_ufpa-ud-test_Case=Com,egy_ujaen-ud-test_Case=Com,mr_ufal-ud-train_Case=Com,olo_kkpp-ud-test_Case=Com,mdf_jr-ud-test_Case=Com,vep_vwt-ud-test_Case=Com,es_pud-ud-test_Case=Com,fi_tdt-ud-train_Case=Com,fi_tdt-ud-test_Case=Com,fi_tdt-ud-dev_Case=Com,myv_jr-ud-test_Case=Com,myv_jr-ud-train_Case=Com,kpv_ikdp-ud-test_Case=Com,kpv_lattice-ud-test_Case=Com,fi_pud-ud-test_Case=Com,et_edt-ud-dev_Case=Com,et_edt-ud-train_Case=Com,et_edt-ud-test_Case=Com,sjo_xdt-ud-test_Case=Com,wbp_ufal-ud-test_Case=Com,koi_uh-ud-test_Case=Com,sme_giella-ud-train_Case=Com,sme_giella-ud-test_Case=Com,arr_tudet-ud-test_Case=Com,ta_mwtt-ud-test_Case=Com,ta_ttb-ud-train_Case=Com,ta_ttb-ud-dev_Case=Com,ta_ttb-ud-test_Case=Com,krl_kkpp-ud-test_Case=Com,eu_bdt-ud-train_Case=Com,eu_bdt-ud-test_Case=Com,eu_bdt-ud-dev_Case=Com,fi_ftb-ud-dev_Case=Com,fi_ftb-ud-train_Case=Com,fi_ftb-ud-test_Case=Com,bxr_bdt-ud-test_Case=Com,bej_nsc-ud-test_Case=Com
0,el_gud-ud-train_Case=Voc,9.246621004453464,10.099504938362077,7.87400787401181,12.220201853215572,12.220201853215572,12.220201853215572,8.309001514793428,8.395197367720142,8.924383905860031,9.336309049440612,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,8.524474568362947,12.220201853215572,9.948506878705278,11.357816691600545,12.220201853215572,12.220201853215572,9.797958971132712,12.220201853215572,13.946325680981353,11.075498483890765,8.859372932521943,8.948272704647772,9.108898634809258,12.220201853215572,12.220201853215572,8.981462390204985,11.437329233697875,8.533248298896044,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,9.882644720249061,10.567244989431572,32.29701568600761,23.44260129668966,31.658332236553463,10.913803695829932,10.850037314777127,10.84189405346993,10.56940853095455,12.220201853215572
1,el_gud-ud-test_Case=Voc,11.467344941179714,12.349089035228468,9.874208829065749,14.33527118683145,14.33527118683145,14.33527118683145,10.327357889976232,10.584176556937708,10.675336524782503,11.090536506409418,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,10.41633332799983,14.33527118683145,12.198611496763867,13.509256086106296,14.33527118683145,14.33527118683145,12.020815280171307,14.33527118683145,14.679918255903198,13.243447016879287,11.135993295660686,11.218189911365197,11.375388067844925,14.33527118683145,14.33527118683145,11.067971810589327,12.55736835487436,10.679254901947559,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,12.103718436910205,12.747548783981962,32.01280125894084,23.4117729168705,31.332890067786597,13.110640292864757,13.030008935580504,13.029965464267356,12.766206682403793,14.33527118683145
2,fa_seraji-ud-dev_Case=Voc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
3,fa_seraji-ud-test_Case=Voc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
4,fa_seraji-ud-train_Case=Voc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
5,sga_dipsgg-ud-test_Case=Voc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
6,pl_pdb-ud-test_Case=Voc,4.70236588303794,4.602572483882003,6.764251772429551,6.202369527454974,6.202369527454974,6.202369527454974,7.412445187884447,5.846579583982715,8.799925634853453,8.797610992972665,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,8.369039151929606,6.202369527454974,4.5333233293206945,5.454823740581938,6.202369527454974,6.202369527454974,4.508495382302715,6.202369527454974,16.209722454157454,5.235064058023548,4.73992129407661,4.723954442340393,4.656415521027979,6.202369527454974,6.202369527454974,6.417450698633201,13.008778433293827,6.067272153383261,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,4.725095831011779,4.9031435147801465,36.245568186358,27.08249344589906,35.663177717331344,5.127070125574874,5.0609776108319995,5.060289577904104,4.856642796676705,6.202369527454974
7,pl_pdb-ud-train_Case=Voc,4.65626299987092,4.709648089185321,6.438440214577923,6.473643321286683,6.473643321286683,6.473643321286683,7.110509724053803,5.618281111214363,8.485463992826423,8.521302911279772,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,8.042436516626472,6.473643321286683,4.604475354177959,5.6768159798800495,6.473643321286683,6.473643321286683,4.5625813702695295,6.473643321286683,15.863734045023564,5.436407131341831,4.631502870477775,4.6302008856854515,4.591322120918507,6.473643321286683,6.473643321286683,6.230340982669453,12.66422084730922,5.84467029161084,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,4.781485470623656,5.0541489380115525,35.84668852283652,26.68311949401808,35.235394958070785,5.315925879115487,5.232528804357289,5.229015519749881,5.012195869877446,6.473643321286683
8,pl_pdb-ud-dev_Case=Voc,3.5270384177096794,2.782085548648711,6.7926430790966785,4.328972164382673,4.328972164382673,4.328972164382673,7.4458705101768325,5.487280559064235,8.974868492786396,8.890444308357148,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,8.54049178911847,4.328972164382673,2.757401912330237,3.5411862419251547,4.328972164382673,4.328972164382673,2.8530685235374214,4.328972164382673,16.755297669692414,3.320977098519182,3.7730084259963,3.706373773496804,3.5173444185329372,4.328972164382673,4.328972164382673,6.044832503882965,13.449070599859308,5.734673945462895,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,3.184336665618132,3.056141357987225,37.066284470451635,27.847521333943607,36.49369808610796,3.2138588781850537,3.138423854401954,3.1400636936215163,2.9489037044046116,4.328972164382673
9,uk_iu-ud-dev_Case=Voc,4.743416490252569,2.6457513110645907,9.219544457292887,0.0,0.0,0.0,9.727331990547098,7.497106880006976,11.28188777357483,11.022703842524301,0.0,0.0,0.0,0.0,0.0,10.908712114635714,0.0,2.9067128499108295,1.0,0.0,0.0,3.3166247903554,0.0,19.235384061671343,1.3743685418725535,5.331827029066583,5.189646676477866,4.845626776316869,0.0,0.0,7.810249675906654,15.880412463157246,7.707374917435497,0.0,0.0,0.0,0.0,3.605551275463989,2.23606797749979,39.816070178314234,30.571410028180104,39.29694644625712,1.5456030825826172,1.614826143444763,1.6370705543744901,1.959507443590762,0.0
