,Treebank,kmr_mg-ud-train_Case=Con,kmr_mg-ud-test_Case=Con
0,hu_szeged-ud-dev_Case=Abs,10.817561097547522,8.758065704893077
1,hu_szeged-ud-test_Case=Abs,10.99310569316356,8.931403394296147
2,hu_szeged-ud-train_Case=Abs,10.948203765023438,8.891025847743741
3,ess_sli-ud-test_Case=Abs,11.973930014828047,9.907268912419791
4,hit_hittb-ud-test_Case=Abs,11.973930014828047,9.907268912419791
5,mr_ufal-ud-dev_Case=Abs,11.973930014828047,9.907268912419791
6,mr_ufal-ud-test_Case=Abs,11.973930014828047,9.907268912419791
7,mr_ufal-ud-train_Case=Abs,77.80986441319635,79.41051498203346
8,wbp_ufal-ud-test_Case=Abs,11.973930014828047,9.907268912419791
9,nhi_itml-ud-test_Case=Abs,11.343609175910569,13.029204779142868
10,azz_itml-ud-test_Case=Abs,5.181200755601086,3.633760423986504
11,eu_bdt-ud-train_Case=Abs,30.302549709348344,32.17934393915804
12,eu_bdt-ud-test_Case=Abs,30.22606602958253,32.09651533222507
13,eu_bdt-ud-dev_Case=Abs,21.7817067851119,23.597344682103113
14,gu_gujtb-ud-test_Case=Abs,11.973930014828047,9.907268912419791
