,Treebank,hu_szeged-ud-dev_Case=Del,hu_szeged-ud-test_Case=Del,hu_szeged-ud-train_Case=Del
0,hu_szeged-ud-dev_Case=Abs,0.2101884045119678,0.25116703344375113,0.19696565004907626
1,hu_szeged-ud-test_Case=Abs,0.24452511967384566,0.09898761596621232,0.23242275205103466
2,hu_szeged-ud-train_Case=Abs,0.1526544538418098,0.08870760675501571,0.13638020334926002
3,ess_sli-ud-test_Case=Abs,1.259531560972737,1.08869426309121,1.2452843148017878
4,hit_hittb-ud-test_Case=Abs,1.259531560972737,1.08869426309121,1.2452843148017878
5,mr_ufal-ud-dev_Case=Abs,1.259531560972737,1.08869426309121,1.2452843148017878
6,mr_ufal-ud-test_Case=Abs,1.259531560972737,1.08869426309121,1.2452843148017878
7,mr_ufal-ud-train_Case=Abs,86.04861531443062,86.19297380563776,86.06632235744596
8,wbp_ufal-ud-test_Case=Abs,1.259531560972737,1.08869426309121,1.2452843148017878
9,nhi_itml-ud-test_Case=Abs,20.586013470735022,20.733349519682164,20.598261755441378
10,azz_itml-ud-test_Case=Abs,6.419931485786041,6.583373812418924,6.432695314059833
11,eu_bdt-ud-train_Case=Abs,39.56334221623137,39.71996586203936,39.576555784040934
12,eu_bdt-ud-test_Case=Abs,39.47473950270401,39.63072015813865,39.48790661586585
13,eu_bdt-ud-dev_Case=Abs,30.864540669006693,31.02111726624502,30.87777651533701
14,gu_gujtb-ud-test_Case=Abs,1.259531560972737,1.08869426309121,1.2452843148017878
