,Treebank,hu_szeged-ud-dev_Case=Dis,hu_szeged-ud-test_Case=Dis,hu_szeged-ud-train_Case=Dis
0,hi_pud-ud-test_Case=Erg,1.224744871391589,1.0,1.0
1,ess_sli-ud-test_Case=Erg,0.7071067811865476,0.0,0.0
2,mr_ufal-ud-dev_Case=Erg,0.7071067811865476,0.0,0.0
3,mr_ufal-ud-test_Case=Erg,0.7071067811865476,0.0,0.0
4,mr_ufal-ud-train_Case=Erg,0.7071067811865476,0.0,0.0
5,wbp_ufal-ud-test_Case=Erg,0.7071067811865476,0.0,0.0
6,ka_glc-ud-test_Case=Erg,0.7071067811865476,0.0,0.0
7,eu_bdt-ud-train_Case=Erg,0.7071067811865476,0.0,0.0
8,eu_bdt-ud-test_Case=Erg,0.7071067811865476,0.0,0.0
9,eu_bdt-ud-dev_Case=Erg,0.7071067811865476,0.0,0.0
10,gu_gujtb-ud-test_Case=Erg,0.7071067811865476,0.0,0.0
