,Treebank,hu_szeged-ud-dev_Case=Dis,hu_szeged-ud-test_Case=Dis,hu_szeged-ud-train_Case=Dis
0,sl_ssj-ud-test_Case=Ins,2.75454341833,2.6649321774579495,2.6649321774579495
1,sl_ssj-ud-dev_Case=Ins,2.827964605578224,2.7413368399473135,2.7413368399473135
2,sl_ssj-ud-train_Case=Ins,2.786889045241589,2.697949439910849,2.697949439910849
3,xcl_caval-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
4,xcl_caval-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
5,xcl_caval-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
6,hu_szeged-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
7,hu_szeged-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
8,hu_szeged-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
9,xav_xdt-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
10,tr_pud-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
11,fi_ood-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
12,pl_pdb-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
13,pl_pdb-ud-train_Case=Ins,3335.8909104865334,3335.8910353906954,3335.8910353906954
14,pl_pdb-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
15,sah_yktdt-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
16,uk_iu-ud-dev_Case=Ins,4.479651036592621,4.424265218622617,4.424265218622617
17,uk_iu-ud-train_Case=Ins,4.76589001930548,4.714933003721951,4.714933003721951
18,uk_iu-ud-test_Case=Ins,4.82971896846553,4.78021517915417,4.78021517915417
19,sa_vedic-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
20,sa_vedic-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
21,sa_vedic-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
22,hr_set-ud-dev_Case=Ins,4.250102499305944,4.193132313244931,4.193132313244931
23,hr_set-ud-train_Case=Ins,4.0290514661676164,3.9671141971867048,3.9671141971867048
24,hr_set-ud-test_Case=Ins,3.923901986890229,3.8596640789997627,3.8596640789997627
25,orv_rnc-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
26,orv_rnc-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
27,orv_rnc-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
28,tr_atis-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
29,tr_atis-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
30,tr_atis-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
31,hi_pud-ud-test_Case=Ins,1.224744871391589,1.0,1.0
32,tr_kenet-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
33,tr_kenet-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
34,tr_kenet-ud-train_Case=Ins,1990.3922980156449,1990.392172412261,1990.392172412261
35,sk_snk-ud-dev_Case=Ins,5.326910580379677,5.280498900582525,5.280498900582525
36,sk_snk-ud-test_Case=Ins,5.774077016971966,5.731899447851193,5.731899447851193
37,sk_snk-ud-train_Case=Ins,3.7520762158772927,3.685614975541244,3.685614975541244
38,lt_hse-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
39,lt_hse-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
40,lt_hse-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
41,hit_hittb-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
42,sa_ufal-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
43,be_hse-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
44,be_hse-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
45,be_hse-ud-test_Case=Ins,624.7539515681353,624.7535514104742,624.7535514104742
46,cs_pud-ud-test_Case=Ins,4.518572488077478,4.4629023437680875,4.4629023437680875
47,orv_ruthenian-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
48,orv_ruthenian-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
49,orv_ruthenian-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
50,ml_ufal-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
51,egy_ujaen-ud-test_Case=Ins,1.224744871391589,1.0,1.0
52,mr_ufal-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
53,mr_ufal-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
54,mr_ufal-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
55,si_stb-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
56,lt_alksnis-ud-test_Case=Ins,9.029514721504146,9.001785162169785,9.001785162169785
57,lt_alksnis-ud-dev_Case=Ins,7.7396760533562174,7.7073072736783805,7.7073072736783805
58,lt_alksnis-ud-train_Case=Ins,8.03940389745475,8.00824668865855,8.00824668865855
59,cu_proiel-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
60,cu_proiel-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
61,cu_proiel-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
62,olo_kkpp-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
63,hy_bsut-ud-train_Case=Ins,427.1551240474589,427.15687984626913,427.15687984626913
64,hy_bsut-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
65,hy_bsut-ud-dev_Case=Ins,175.65164388641514,175.65022060902743,175.65022060902743
66,hsb_ufal-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
67,hsb_ufal-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
68,fi_tdt-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
69,fi_tdt-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
70,fi_tdt-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
71,sr_set-ud-test_Case=Ins,3.9182999875256828,3.853968706702711,3.853968706702711
72,sr_set-ud-train_Case=Ins,3.7856461546483464,3.7190209475349576,3.7190209475349576
73,sr_set-ud-dev_Case=Ins,4.211628248076983,4.154854088894098,4.154854088894098
74,tr_framenet-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
75,tr_framenet-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
76,tr_framenet-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
77,ky_ktmu-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
78,ky_ktmu-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
79,kpv_ikdp-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
80,kpv_lattice-ud-test_Case=Ins,101.80864403379509,101.81355508968342,101.81355508968342
81,abq_atb-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
82,tr_gb-ud-test_Case=Ins,65.32100223766727,65.31717487256574,65.31717487256574
83,ru_taiga-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
84,ru_taiga-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
85,ru_taiga-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
86,fi_pud-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
87,cs_cltt-ud-dev_Case=Ins,5.969706231070962,5.927680194248629,5.927680194248629
88,cs_cltt-ud-train_Case=Ins,5.481183024397085,5.437023495424304,5.437023495424304
89,cs_cltt-ud-test_Case=Ins,9.682708765993988,9.657527429940018,9.657527429940018
90,hy_armtdp-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
91,hy_armtdp-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
92,hy_armtdp-ud-test_Case=Ins,111.24522461660995,111.26994203287786,111.26994203287786
93,ota_boun-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
94,ota_boun-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
95,ru_syntagrus-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
96,ru_syntagrus-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
97,ru_syntagrus-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
98,sjo_xdt-ud-test_Case=Ins,1.224744871391589,1.0,1.0
99,orv_birchbark-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
100,orv_birchbark-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
101,orv_birchbark-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
102,ru_poetry-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
103,ru_poetry-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
104,ru_poetry-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
105,myu_tudet-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
106,wbp_ufal-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
107,koi_uh-ud-test_Case=Ins,0.7071067811865476,0.0,0.0
108,cs_fictree-ud-dev_Case=Ins,4.168341924813365,4.10936840909688,4.10936840909688
109,cs_fictree-ud-train_Case=Ins,4.004295652604761,3.9422742840411606,3.9422742840411606
110,cs_fictree-ud-test_Case=Ins,3.819180410342751,3.7553579845843172,3.7553579845843172
111,hyw_armtdp-ud-test_Case=Ins,296.43296038058924,296.4338037403966,296.4338037403966
112,hyw_armtdp-ud-dev_Case=Ins,0.7071067811865476,0.0,0.0
113,hyw_armtdp-ud-train_Case=Ins,0.7071067811865476,0.0,0.0
114,sl_sst-ud-train_Case=Ins,2.6805280978517736,2.592174266818801,2.592174266818801
115,sl_sst-ud-test_Case=Ins,2.742660997847241,2.658997230571959,2.658997230571959
116,sl_sst-ud-dev_Case=Ins,2.7858041957935664,2.6972969617107383,2.6972969617107383
117,ka_glc-ud-test_Case=Ins,7.019159140618078,6.983451513494049,6.983451513494049
